date,countrycode,population,cases,deaths
2020-03-02,AD,78015,0,0
2020-03-03,AD,78015,0,0
2020-03-04,AD,78015,0,0
2020-03-05,AD,78015,0,0
2020-03-06,AD,78015,0,0
2020-03-07,AD,78015,0,0
2020-03-08,AD,78015,0,0
2020-03-09,AD,78015,0,0
2020-03-10,AD,78015,0,0
2020-03-11,AD,78015,0,0
2020-03-12,AD,78015,0,0
2020-03-13,AD,78015,0,0
2020-03-14,AD,78015,0,0
2020-03-15,AD,78015,0,0
2020-03-16,AD,78015,1,0
2020-03-17,AD,78015,37,0
2020-03-18,AD,78015,0,0
2020-03-19,AD,78015,14,0
2020-03-20,AD,78015,22,0
2020-03-21,AD,78015,13,0
2020-03-22,AD,78015,25,1
2020-03-23,AD,78015,20,0
2020-03-24,AD,78015,31,0
2020-03-25,AD,78015,24,0
2020-03-26,AD,78015,36,2
2020-03-27,AD,78015,43,0
2020-03-28,AD,78015,41,0
2020-03-29,AD,78015,26,3
2020-03-30,AD,78015,36,2
2020-03-31,AD,78015,6,4
2020-04-01,AD,78015,14,2
2020-04-02,AD,78015,38,1
2020-04-03,AD,78015,11,1
2020-04-04,AD,78015,27,1
2020-04-05,AD,78015,35,1
2020-04-06,AD,78015,24,3
2020-04-07,AD,78015,20,1
2020-04-08,AD,78015,19,1
2020-04-09,AD,78015,19,2
2020-04-10,AD,78015,18,1
2020-04-11,AD,78015,0,0
2020-04-12,AD,78015,37,3
2020-04-13,AD,78015,8,0
2020-04-14,AD,78015,13,2
2020-04-15,AD,78015,14,2
2020-04-16,AD,78015,0,0
2020-04-17,AD,78015,23,2
2020-04-18,AD,78015,8,0
2020-04-19,AD,78015,9,1
2020-04-20,AD,78015,4,1
2020-04-21,AD,78015,0,0
2020-04-22,AD,78015,6,0
2020-04-23,AD,78015,0,0
2020-04-24,AD,78015,8,3
2020-04-25,AD,78015,7,0
2020-04-26,AD,78015,0,0
2020-04-27,AD,78015,5,0
2020-04-28,AD,78015,0,1
2020-04-29,AD,78015,0,1
2020-04-30,AD,78015,2,0
2020-05-01,AD,78015,0,1
2020-05-02,AD,78015,2,1
2020-05-03,AD,78015,1,1
2020-05-04,AD,78015,2,0
2020-05-05,AD,78015,1,1
2020-05-06,AD,78015,0,0
2020-05-07,AD,78015,1,1
2020-05-08,AD,78015,0,0
2020-05-09,AD,78015,2,1
2020-05-10,AD,78015,1,0
2020-05-11,AD,78015,0,0
2020-05-12,AD,78015,3,0
2020-05-13,AD,78015,2,1
2020-05-14,AD,78015,1,0
2020-05-15,AD,78015,0,0
2020-05-16,AD,78015,0,2
2020-05-17,AD,78015,0,0
2020-05-18,AD,78015,0,0
2020-05-19,AD,78015,0,0
2020-05-20,AD,78015,1,0
2020-05-21,AD,78015,0,0
2020-05-22,AD,78015,0,0
2020-05-23,AD,78015,0,0
2020-05-24,AD,78015,0,0
2020-05-25,AD,78015,1,0
2020-05-26,AD,78015,0,0
2020-05-27,AD,78015,0,0
2020-05-28,AD,78015,0,0
2020-05-29,AD,78015,1,0
2020-05-30,AD,78015,0,0
2020-05-31,AD,78015,0,0
2020-06-01,AD,78015,1,0
2020-06-02,AD,78015,79,0
2020-06-03,AD,78015,7,0
2020-06-04,AD,78015,1,0
2020-06-05,AD,78015,0,0
2020-06-06,AD,78015,0,0
2020-06-07,AD,78015,0,0
2020-06-08,AD,78015,0,0
2020-06-09,AD,78015,0,0
2020-06-10,AD,78015,0,0
2020-06-11,AD,78015,0,0
2020-06-12,AD,78015,1,0
2020-06-13,AD,78015,0,0
2020-06-14,AD,78015,0,0
2020-06-15,AD,78015,0,0
2020-06-16,AD,78015,1,1
2020-06-17,AD,78015,0,0
2020-06-18,AD,78015,1,0
2020-06-19,AD,78015,0,0
2020-06-20,AD,78015,0,0
2020-06-21,AD,78015,0,0
2020-06-22,AD,78015,0,0
2020-06-23,AD,78015,0,0
2020-06-24,AD,78015,0,0
2020-06-25,AD,78015,0,0
2020-06-26,AD,78015,0,0
2020-06-27,AD,78015,0,0
2020-06-28,AD,78015,0,0
2020-06-29,AD,78015,0,0
2020-06-30,AD,78015,0,0
2020-07-01,AD,78015,0,0
2020-07-02,AD,78015,0,0
2020-07-03,AD,78015,0,0
2020-07-04,AD,78015,0,0
2020-07-05,AD,78015,0,0
2020-07-06,AD,78015,0,0
2020-07-07,AD,78015,0,0
2020-07-08,AD,78015,0,0
2020-07-09,AD,78015,0,0
2020-07-10,AD,78015,0,0
2020-07-11,AD,78015,0,0
2020-07-12,AD,78015,0,0
2020-07-13,AD,78015,3,0
2020-07-14,AD,78015,3,0
2020-07-15,AD,78015,1,0
2020-07-16,AD,78015,15,0
2020-07-17,AD,78015,3,0
2020-07-18,AD,78015,0,0
2020-07-19,AD,78015,0,0
2020-07-20,AD,78015,4,0
2020-07-21,AD,78015,0,0
2020-07-22,AD,78015,5,0
