date,countrycode,population,cases,deaths
2020-01-25,MY,31949789,0,0
2020-01-26,MY,31949789,1,0
2020-01-27,MY,31949789,0,0
2020-01-28,MY,31949789,0,0
2020-01-29,MY,31949789,3,0
2020-01-30,MY,31949789,1,0
2020-01-31,MY,31949789,0,0
2020-02-01,MY,31949789,0,0
2020-02-02,MY,31949789,0,0
2020-02-03,MY,31949789,0,0
2020-02-04,MY,31949789,2,0
2020-02-05,MY,31949789,2,0
2020-02-06,MY,31949789,0,0
2020-02-07,MY,31949789,0,0
2020-02-08,MY,31949789,4,0
2020-02-09,MY,31949789,0,0
2020-02-10,MY,31949789,2,0
2020-02-11,MY,31949789,0,0
2020-02-12,MY,31949789,0,0
2020-02-13,MY,31949789,1,0
2020-02-14,MY,31949789,0,0
2020-02-15,MY,31949789,3,0
2020-02-16,MY,31949789,0,0
2020-02-17,MY,31949789,0,0
2020-02-18,MY,31949789,0,0
2020-02-19,MY,31949789,0,0
2020-02-20,MY,31949789,0,0
2020-02-21,MY,31949789,0,0
2020-02-22,MY,31949789,0,0
2020-02-23,MY,31949789,0,0
2020-02-24,MY,31949789,0,0
2020-02-25,MY,31949789,0,0
2020-02-26,MY,31949789,0,0
2020-02-27,MY,31949789,1,0
2020-02-28,MY,31949789,0,0
2020-02-29,MY,31949789,2,0
2020-03-01,MY,31949789,4,0
2020-03-02,MY,31949789,0,0
2020-03-03,MY,31949789,7,0
2020-03-04,MY,31949789,14,0
2020-03-05,MY,31949789,0,0
2020-03-06,MY,31949789,33,0
2020-03-07,MY,31949789,10,0
2020-03-08,MY,31949789,6,0
2020-03-09,MY,31949789,18,0
2020-03-10,MY,31949789,12,0
2020-03-11,MY,31949789,20,0
2020-03-12,MY,31949789,0,0
2020-03-13,MY,31949789,48,0
2020-03-14,MY,31949789,41,0
2020-03-15,MY,31949789,190,0
2020-03-16,MY,31949789,138,0
2020-03-17,MY,31949789,107,2
2020-03-18,MY,31949789,117,0
2020-03-19,MY,31949789,110,0
2020-03-20,MY,31949789,130,1
2020-03-21,MY,31949789,153,5
2020-03-22,MY,31949789,123,2
2020-03-23,MY,31949789,212,4
2020-03-24,MY,31949789,106,2
2020-03-25,MY,31949789,172,4
2020-03-26,MY,31949789,235,3
2020-03-27,MY,31949789,130,3
2020-03-28,MY,31949789,159,1
2020-03-29,MY,31949789,150,8
2020-03-30,MY,31949789,156,2
2020-03-31,MY,31949789,140,6
2020-04-01,MY,31949789,142,2
2020-04-02,MY,31949789,208,5
2020-04-03,MY,31949789,217,3
2020-04-04,MY,31949789,150,4
2020-04-05,MY,31949789,179,4
2020-04-06,MY,31949789,131,1
2020-04-07,MY,31949789,170,1
2020-04-08,MY,31949789,156,2
2020-04-09,MY,31949789,109,2
2020-04-10,MY,31949789,118,3
2020-04-11,MY,31949789,184,3
2020-04-12,MY,31949789,153,3
2020-04-13,MY,31949789,134,1
2020-04-14,MY,31949789,170,5
2020-04-15,MY,31949789,85,1
2020-04-16,MY,31949789,110,1
2020-04-17,MY,31949789,69,2
2020-04-18,MY,31949789,54,2
2020-04-19,MY,31949789,84,1
2020-04-20,MY,31949789,36,0
2020-04-21,MY,31949789,57,3
2020-04-22,MY,31949789,50,1
2020-04-23,MY,31949789,71,2
2020-04-24,MY,31949789,88,1
2020-04-25,MY,31949789,51,2
2020-04-26,MY,31949789,38,0
2020-04-27,MY,31949789,40,1
2020-04-28,MY,31949789,31,1
2020-04-29,MY,31949789,94,0
2020-04-30,MY,31949789,57,2
2020-05-01,MY,31949789,69,1
2020-05-02,MY,31949789,105,0
2020-05-03,MY,31949789,122,2
2020-05-04,MY,31949789,55,0
2020-05-05,MY,31949789,30,1
2020-05-06,MY,31949789,45,1
2020-05-07,MY,31949789,39,0
2020-05-08,MY,31949789,68,0
2020-05-09,MY,31949789,54,1
2020-05-10,MY,31949789,67,0
2020-05-11,MY,31949789,70,1
2020-05-12,MY,31949789,16,0
2020-05-13,MY,31949789,37,2
2020-05-14,MY,31949789,40,1
2020-05-15,MY,31949789,36,0
2020-05-16,MY,31949789,17,1
2020-05-17,MY,31949789,22,0
2020-05-18,MY,31949789,47,0
2020-05-19,MY,31949789,37,1
2020-05-20,MY,31949789,31,0
2020-05-21,MY,31949789,50,1
2020-05-22,MY,31949789,78,0
