date,countrycode,population,cases,deaths
2020-03-01,AM,2957728,0,0
2020-03-02,AM,2957728,0,0
2020-03-03,AM,2957728,0,0
2020-03-04,AM,2957728,0,0
2020-03-05,AM,2957728,0,0
2020-03-06,AM,2957728,0,0
2020-03-07,AM,2957728,0,0
2020-03-08,AM,2957728,0,0
2020-03-09,AM,2957728,0,0
2020-03-10,AM,2957728,0,0
2020-03-11,AM,2957728,0,0
2020-03-12,AM,2957728,3,0
2020-03-13,AM,2957728,4,0
2020-03-14,AM,2957728,10,0
2020-03-15,AM,2957728,8,0
2020-03-16,AM,2957728,26,0
2020-03-17,AM,2957728,26,0
2020-03-18,AM,2957728,6,0
2020-03-19,AM,2957728,31,0
2020-03-20,AM,2957728,21,0
2020-03-21,AM,2957728,24,0
2020-03-22,AM,2957728,34,0
2020-03-23,AM,2957728,41,0
2020-03-24,AM,2957728,14,0
2020-03-25,AM,2957728,16,0
2020-03-26,AM,2957728,25,1
2020-03-27,AM,2957728,39,0
2020-03-28,AM,2957728,78,0
2020-03-29,AM,2957728,17,2
2020-03-30,AM,2957728,58,0
2020-03-31,AM,2957728,50,0
2020-04-01,AM,2957728,39,1
2020-04-02,AM,2957728,92,3
2020-04-03,AM,2957728,73,0
2020-04-04,AM,2957728,34,0
2020-04-05,AM,2957728,52,0
2020-04-06,AM,2957728,11,1
2020-04-07,AM,2957728,20,0
2020-04-08,AM,2957728,28,1
2020-04-09,AM,2957728,40,1
2020-04-10,AM,2957728,16,2
2020-04-11,AM,2957728,30,1
2020-04-12,AM,2957728,46,0
2020-04-13,AM,2957728,26,1
2020-04-14,AM,2957728,28,2
2020-04-15,AM,2957728,44,1
2020-04-16,AM,2957728,48,1
2020-04-17,AM,2957728,42,1
2020-04-18,AM,2957728,47,1
2020-04-19,AM,2957728,43,0
2020-04-20,AM,2957728,48,2
2020-04-21,AM,2957728,62,2
2020-04-22,AM,2957728,72,0
2020-04-23,AM,2957728,50,0
2020-04-24,AM,2957728,73,3
2020-04-25,AM,2957728,81,1
2020-04-26,AM,2957728,69,0
2020-04-27,AM,2957728,62,1
2020-04-28,AM,2957728,59,1
2020-04-29,AM,2957728,65,0
2020-04-30,AM,2957728,134,2
2020-05-01,AM,2957728,82,1
2020-05-02,AM,2957728,125,0
2020-05-03,AM,2957728,113,2
2020-05-04,AM,2957728,121,4
2020-05-05,AM,2957728,112,1
2020-05-06,AM,2957728,163,0
2020-05-07,AM,2957728,102,2
2020-05-08,AM,2957728,145,1
2020-05-09,AM,2957728,146,1
2020-05-10,AM,2957728,138,1
2020-05-11,AM,2957728,79,1
2020-05-12,AM,2957728,146,1
2020-05-13,AM,2957728,180,1
2020-05-14,AM,2957728,142,1
2020-05-15,AM,2957728,184,3
2020-05-16,AM,2957728,239,3
2020-05-17,AM,2957728,189,5
2020-05-18,AM,2957728,351,1
2020-05-19,AM,2957728,218,3
2020-05-20,AM,2957728,230,3
2020-05-21,AM,2957728,335,3
2020-05-22,AM,2957728,322,4
2020-05-23,AM,2957728,374,3
2020-05-24,AM,2957728,359,4
2020-05-25,AM,2957728,452,6
2020-05-26,AM,2957728,289,4
2020-05-27,AM,2957728,372,7
2020-05-28,AM,2957728,442,15
2020-05-29,AM,2957728,460,7
2020-05-30,AM,2957728,251,7
2020-05-31,AM,2957728,355,4
2020-06-01,AM,2957728,210,8
2020-06-02,AM,2957728,517,19
2020-06-03,AM,2957728,515,12
2020-06-04,AM,2957728,697,6
2020-06-05,AM,2957728,596,7
2020-06-06,AM,2957728,547,7
2020-06-07,AM,2957728,766,10
2020-06-08,AM,2957728,195,11
2020-06-09,AM,2957728,350,6
2020-06-10,AM,2957728,428,10
2020-06-11,AM,2957728,566,18
2020-06-12,AM,2957728,612,13
2020-06-13,AM,2957728,723,6
2020-06-14,AM,2957728,663,5
2020-06-15,AM,2957728,397,16
2020-06-16,AM,2957728,425,8
2020-06-17,AM,2957728,544,9
2020-06-18,AM,2957728,665,7
2020-06-19,AM,2957728,459,10
2020-06-20,AM,2957728,551,13
2020-06-21,AM,2957728,560,18
2020-06-22,AM,2957728,320,10
2020-06-23,AM,2957728,418,12
2020-06-24,AM,2957728,711,14
2020-06-25,AM,2957728,771,11
2020-06-26,AM,2957728,759,13
2020-06-27,AM,2957728,662,11
2020-06-28,AM,2957728,736,5
2020-06-29,AM,2957728,482,7
2020-06-30,AM,2957728,415,10
2020-07-01,AM,2957728,523,10
2020-07-02,AM,2957728,593,6
2020-07-03,AM,2957728,662,10
2020-07-04,AM,2957728,580,8
2020-07-05,AM,2957728,706,7
2020-07-06,AM,2957728,330,7
2020-07-07,AM,2957728,349,12
2020-07-08,AM,2957728,535,18
2020-07-09,AM,2957728,526,14
2020-07-10,AM,2957728,557,11
2020-07-11,AM,2957728,489,13
2020-07-12,AM,2957728,577,6
2020-07-13,AM,2957728,182,8
2020-07-14,AM,2957728,339,8
2020-07-15,AM,2957728,515,11
2020-07-16,AM,2957728,554,15
2020-07-17,AM,2957728,442,13
2020-07-18,AM,2957728,461,11
2020-07-19,AM,2957728,415,10
2020-07-20,AM,2957728,104,9
2020-07-21,AM,2957728,273,12
2020-07-22,AM,2957728,439,16
2020-07-23,AM,2957728,469,10
2020-07-24,AM,2957728,451,4
2020-07-25,AM,2957728,383,8
2020-07-26,AM,2957728,321,5
2020-07-27,AM,2957728,73,6
2020-07-28,AM,2957728,239,8
2020-07-29,AM,2957728,308,4
2020-07-30,AM,2957728,259,5
2020-07-31,AM,2957728,354,10
2020-08-01,AM,2957728,291,11
2020-08-02,AM,2957728,209,5
2020-08-03,AM,2957728,52,8
2020-08-04,AM,2957728,196,6
2020-08-05,AM,2957728,288,2
2020-08-06,AM,2957728,233,2
2020-08-07,AM,2957728,166,5
2020-08-08,AM,2957728,200,8
2020-08-09,AM,2957728,225,6
2020-08-10,AM,2957728,23,5
2020-08-11,AM,2957728,160,7
2020-08-12,AM,2957728,201,3
2020-08-13,AM,2957728,229,3
2020-08-14,AM,2957728,276,5
2020-08-15,AM,2957728,196,3
2020-08-16,AM,2957728,168,1
2020-08-17,AM,2957728,38,6
2020-08-18,AM,2957728,145,8
2020-08-19,AM,2957728,210,1
2020-08-20,AM,2957728,263,3
2020-08-21,AM,2957728,158,6
2020-08-22,AM,2957728,139,8
2020-08-23,AM,2957728,176,2
2020-08-24,AM,2957728,33,2
2020-08-25,AM,2957728,111,4
2020-08-26,AM,2957728,131,3
2020-08-27,AM,2957728,203,3
2020-08-28,AM,2957728,181,5
2020-08-29,AM,2957728,175,3
2020-08-30,AM,2957728,124,5
2020-08-31,AM,2957728,31,2
2020-09-01,AM,2957728,97,2
2020-09-02,AM,2957728,197,3
2020-09-03,AM,2957728,196,3
2020-09-04,AM,2957728,190,4
2020-09-05,AM,2957728,188,4
2020-09-06,AM,2957728,134,2
2020-09-07,AM,2957728,62,3
2020-09-08,AM,2957728,108,3
2020-09-09,AM,2957728,199,2
2020-09-10,AM,2957728,174,1
2020-09-11,AM,2957728,177,3
2020-09-12,AM,2957728,172,2
2020-09-13,AM,2957728,187,5
2020-09-14,AM,2957728,107,3
2020-09-15,AM,2957728,150,1
2020-09-16,AM,2957728,257,3
2020-09-17,AM,2957728,295,2
2020-09-18,AM,2957728,239,1
2020-09-19,AM,2957728,244,2
2020-09-20,AM,2957728,277,2
2020-09-21,AM,2957728,121,6
2020-09-22,AM,2957728,115,2
2020-09-23,AM,2957728,210,4
2020-09-24,AM,2957728,374,3
2020-09-25,AM,2957728,392,2
2020-09-26,AM,2957728,429,1
2020-09-27,AM,2957728,328,3
2020-09-28,AM,2957728,174,6
2020-09-29,AM,2957728,327,1
2020-09-30,AM,2957728,458,1
2020-10-01,AM,2957728,491,4
2020-10-02,AM,2957728,532,3
2020-10-03,AM,2957728,543,6
2020-10-04,AM,2957728,571,5
2020-10-05,AM,2957728,181,7
2020-10-06,AM,2957728,406,6
2020-10-07,AM,2957728,672,5
2020-10-08,AM,2957728,718,9
2020-10-09,AM,2957728,614,6
2020-10-10,AM,2957728,649,6
2020-10-11,AM,2957728,715,4
2020-10-12,AM,2957728,370,6
2020-10-13,AM,2957728,745,6
2020-10-14,AM,2957728,1058,7
2020-10-15,AM,2957728,1371,7
2020-10-16,AM,2957728,1465,10
2020-10-17,AM,2957728,1540,11
2020-10-18,AM,2957728,1694,14
2020-10-19,AM,2957728,766,10
2020-10-20,AM,2957728,1234,10
2020-10-21,AM,2957728,1836,20
2020-10-22,AM,2957728,2306,10
2020-10-23,AM,2957728,2474,14
2020-10-24,AM,2957728,2213,12
2020-10-25,AM,2957728,2314,23
2020-10-26,AM,2957728,973,16
2020-10-27,AM,2957728,1600,26
2020-10-28,AM,2957728,2241,21
2020-10-29,AM,2957728,2383,29
2020-10-30,AM,2957728,2398,28
2020-10-31,AM,2957728,2381,41
2020-11-01,AM,2957728,2441,22
2020-11-02,AM,2957728,1194,28
2020-11-03,AM,2957728,1328,22
2020-11-04,AM,2957728,2374,35
2020-11-05,AM,2957728,2413,28
2020-11-06,AM,2957728,2210,30
2020-11-07,AM,2957728,2476,27
2020-11-08,AM,2957728,2175,26
2020-11-09,AM,2957728,1042,21
2020-11-10,AM,2957728,1221,29
2020-11-11,AM,2957728,1861,27
2020-11-12,AM,2957728,2132,32
2020-11-13,AM,2957728,1703,29
2020-11-14,AM,2957728,1472,41
2020-11-15,AM,2957728,1482,25
2020-11-16,AM,2957728,549,25
2020-11-17,AM,2957728,984,23
2020-11-18,AM,2957728,1589,28
2020-11-19,AM,2957728,1520,31
2020-11-20,AM,2957728,1667,30
2020-11-21,AM,2957728,1193,31
2020-11-22,AM,2957728,1385,21
2020-11-23,AM,2957728,485,24
2020-11-24,AM,2957728,813,26
2020-11-25,AM,2957728,1563,38
2020-11-26,AM,2957728,1785,28
2020-11-27,AM,2957728,1476,22
2020-11-28,AM,2957728,1248,31
2020-11-29,AM,2957728,1174,21
2020-11-30,AM,2957728,356,22
2020-12-01,AM,2957728,843,29
2020-12-02,AM,2957728,1264,35
2020-12-03,AM,2957728,1277,26
2020-12-04,AM,2957728,1184,23
2020-12-05,AM,2957728,1267,32
2020-12-06,AM,2957728,978,17
2020-12-07,AM,2957728,407,18
2020-12-08,AM,2957728,584,28
2020-12-09,AM,2957728,1138,21
2020-12-10,AM,2957728,1174,23
2020-12-11,AM,2957728,1077,29
2020-12-12,AM,2957728,995,17
2020-12-13,AM,2957728,1013,24
2020-12-14,AM,2957728,357,17
2020-12-15,AM,2957728,438,26
2020-12-16,AM,2957728,1098,27
2020-12-17,AM,2957728,1174,25
2020-12-18,AM,2957728,861,15
2020-12-19,AM,2957728,920,20
2020-12-20,AM,2957728,652,14
2020-12-21,AM,2957728,240,26
2020-12-22,AM,2957728,537,17
2020-12-23,AM,2957728,838,18
2020-12-24,AM,2957728,702,23
2020-12-25,AM,2957728,621,19
2020-12-26,AM,2957728,586,19
2020-12-27,AM,2957728,485,16
2020-12-28,AM,2957728,114,7
2020-12-29,AM,2957728,348,22
2020-12-30,AM,2957728,582,10
2020-12-31,AM,2957728,531,16
2021-01-01,AM,2957728,329,5
2021-01-02,AM,2957728,60,8
2021-01-03,AM,2957728,229,14
2021-01-04,AM,2957728,193,14
2021-01-05,AM,2957728,324,14
2021-01-06,AM,2957728,309,12
2021-01-07,AM,2957728,201,11
2021-01-08,AM,2957728,361,7
2021-01-09,AM,2957728,379,14
2021-01-10,AM,2957728,337,7
2021-01-11,AM,2957728,157,2
2021-01-12,AM,2957728,355,10
2021-01-13,AM,2957728,485,10
2021-01-14,AM,2957728,448,12
2021-01-15,AM,2957728,396,11
2021-01-16,AM,2957728,263,13
2021-01-17,AM,2957728,351,5
2021-01-18,AM,2957728,90,6
2021-01-19,AM,2957728,236,9
2021-01-20,AM,2957728,309,9
2021-01-21,AM,2957728,307,5
2021-01-22,AM,2957728,183,9
2021-01-23,AM,2957728,198,4
2021-01-24,AM,2957728,127,5
2021-01-25,AM,2957728,58,8
2021-01-26,AM,2957728,138,5
2021-01-27,AM,2957728,195,4
2021-01-28,AM,2957728,242,11
2021-01-29,AM,2957728,59,2
2021-01-30,AM,2957728,173,2
2021-01-31,AM,2957728,125,9
2021-02-01,AM,2957728,62,4
2021-02-02,AM,2957728,143,5
2021-02-03,AM,2957728,190,7
2021-02-04,AM,2957728,147,11
2021-02-05,AM,2957728,158,2
2021-02-06,AM,2957728,211,5
2021-02-07,AM,2957728,151,3
2021-02-08,AM,2957728,89,6
2021-02-09,AM,2957728,123,3
2021-02-10,AM,2957728,196,4
2021-02-11,AM,2957728,180,5
2021-02-12,AM,2957728,154,3
2021-02-13,AM,2957728,192,2
2021-02-14,AM,2957728,145,1
2021-02-15,AM,2957728,88,6
2021-02-16,AM,2957728,136,3
2021-02-17,AM,2957728,206,5
2021-02-18,AM,2957728,223,1
2021-02-19,AM,2957728,191,2
2021-02-20,AM,2957728,223,1
2021-02-21,AM,2957728,168,5
2021-02-22,AM,2957728,104,3
2021-02-23,AM,2957728,166,4
2021-02-24,AM,2957728,273,4
2021-02-25,AM,2957728,282,4
2021-02-26,AM,2957728,283,4
2021-02-27,AM,2957728,283,7
2021-02-28,AM,2957728,265,2
2021-03-01,AM,2957728,158,3
2021-03-02,AM,2957728,240,5
2021-03-03,AM,2957728,360,2
2021-03-04,AM,2957728,491,6
2021-03-05,AM,2957728,442,7
2021-03-06,AM,2957728,508,4
2021-03-07,AM,2957728,422,2
2021-03-08,AM,2957728,337,4
2021-03-09,AM,2957728,182,7
2021-03-10,AM,2957728,340,5
2021-03-11,AM,2957728,748,2
2021-03-12,AM,2957728,818,4
2021-03-13,AM,2957728,795,10
2021-03-14,AM,2957728,486,2
2021-03-15,AM,2957728,317,10
2021-03-16,AM,2957728,585,12
2021-03-17,AM,2957728,854,5
2021-03-18,AM,2957728,1024,19
2021-03-19,AM,2957728,891,19
2021-03-20,AM,2957728,1071,12
2021-03-21,AM,2957728,586,16
2021-03-22,AM,2957728,506,12
2021-03-23,AM,2957728,801,24
2021-03-24,AM,2957728,1164,14
2021-03-25,AM,2957728,1257,18
2021-03-26,AM,2957728,1005,18
2021-03-27,AM,2957728,1094,16
2021-03-28,AM,2957728,777,14
2021-03-29,AM,2957728,424,12
2021-03-30,AM,2957728,750,21
2021-03-31,AM,2957728,1148,18
2021-04-01,AM,2957728,1097,18
2021-04-02,AM,2957728,1116,19
2021-04-03,AM,2957728,1192,23
2021-04-04,AM,2957728,590,17
2021-04-05,AM,2957728,479,22
2021-04-06,AM,2957728,760,13
2021-04-07,AM,2957728,1025,20
2021-04-08,AM,2957728,1231,28
2021-04-09,AM,2957728,1029,22
2021-04-10,AM,2957728,1009,23
2021-04-11,AM,2957728,650,15
2021-04-12,AM,2957728,510,18
2021-04-13,AM,2957728,726,22
2021-04-14,AM,2957728,1075,19
2021-04-15,AM,2957728,1014,23
2021-04-16,AM,2957728,961,18
2021-04-17,AM,2957728,870,24
2021-04-18,AM,2957728,547,19
2021-04-19,AM,2957728,298,17
2021-04-20,AM,2957728,667,24
2021-04-21,AM,2957728,1033,25
2021-04-22,AM,2957728,881,25
2021-04-23,AM,2957728,715,15
2021-04-24,AM,2957728,764,17
2021-04-25,AM,2957728,410,17
2021-04-26,AM,2957728,181,22
2021-04-27,AM,2957728,595,18
2021-04-28,AM,2957728,808,13
2021-04-29,AM,2957728,656,16
2021-04-30,AM,2957728,536,21
2021-05-01,AM,2957728,532,20
2021-05-02,AM,2957728,267,11
2021-05-03,AM,2957728,145,10
2021-05-04,AM,2957728,399,16
2021-05-05,AM,2957728,493,13
2021-05-06,AM,2957728,425,14
2021-05-07,AM,2957728,356,17
2021-05-08,AM,2957728,411,16
2021-05-09,AM,2957728,178,9
2021-05-10,AM,2957728,83,15
2021-05-11,AM,2957728,243,7
2021-05-12,AM,2957728,354,16
2021-05-13,AM,2957728,267,19
2021-05-14,AM,2957728,230,10
2021-05-15,AM,2957728,282,13
2021-05-16,AM,2957728,131,9
2021-05-17,AM,2957728,67,10
2021-05-18,AM,2957728,212,13
2021-05-19,AM,2957728,229,11
2021-05-20,AM,2957728,191,7
2021-05-21,AM,2957728,140,7
2021-05-22,AM,2957728,181,15
2021-05-23,AM,2957728,68,6
2021-05-24,AM,2957728,34,2
2021-05-25,AM,2957728,157,6
2021-05-26,AM,2957728,130,11
2021-05-27,AM,2957728,140,5
2021-05-28,AM,2957728,104,7
2021-05-29,AM,2957728,42,5
2021-05-30,AM,2957728,81,4
2021-05-31,AM,2957728,34,6
2021-06-01,AM,2957728,108,7
2021-06-02,AM,2957728,92,1
2021-06-03,AM,2957728,108,2
