date,countrycode,population,cases,deaths
2020-02-25,AT,8858775,0,0
2020-02-26,AT,8858775,0,0
2020-02-27,AT,8858775,1,0
2020-02-28,AT,8858775,0,0
2020-02-29,AT,8858775,6,0
2020-03-01,AT,8858775,5,0
2020-03-02,AT,8858775,4,0
2020-03-03,AT,8858775,3,0
2020-03-04,AT,8858775,8,0
2020-03-05,AT,8858775,12,0
2020-03-06,AT,8858775,14,0
2020-03-07,AT,8858775,24,0
2020-03-08,AT,8858775,25,0
2020-03-09,AT,8858775,27,0
2020-03-10,AT,8858775,51,0
2020-03-11,AT,8858775,64,0
2020-03-12,AT,8858775,56,1
2020-03-13,AT,8858775,202,0
2020-03-14,AT,8858775,151,0
2020-03-15,AT,8858775,205,0
2020-03-16,AT,8858775,158,2
2020-03-17,AT,8858775,314,0
2020-03-18,AT,8858775,314,1
2020-03-19,AT,8858775,367,2
2020-03-20,AT,8858775,375,0
2020-03-21,AT,8858775,426,2
2020-03-22,AT,8858775,766,8
2020-03-23,AT,8858775,894,5
2020-03-24,AT,8858775,809,7
2020-03-25,AT,8858775,305,2
2020-03-26,AT,8858775,1321,19
2020-03-27,AT,8858775,748,9
2020-03-28,AT,8858775,614,10
2020-03-29,AT,8858775,517,18
2020-03-30,AT,8858775,830,22
2020-03-31,AT,8858775,562,20
2020-04-01,AT,8858775,531,18
2020-04-02,AT,8858775,418,12
2020-04-03,AT,8858775,395,10
2020-04-04,AT,8858775,257,18
2020-04-05,AT,8858775,270,18
2020-04-06,AT,8858775,246,16
2020-04-07,AT,8858775,342,23
2020-04-08,AT,8858775,303,30
2020-04-09,AT,8858775,302,22
2020-04-10,AT,8858775,311,24
2020-04-11,AT,8858775,251,18
2020-04-12,AT,8858775,139,13
2020-04-13,AT,8858775,96,18
2020-04-14,AT,8858775,185,16
2020-04-15,AT,8858775,110,9
2020-04-16,AT,8858775,140,17
2020-04-17,AT,8858775,119,21
2020-04-18,AT,8858775,76,12
2020-04-19,AT,8858775,78,9
2020-04-20,AT,8858775,46,18
2020-04-21,AT,8858775,78,21
2020-04-22,AT,8858775,52,19
2020-04-23,AT,8858775,77,12
2020-04-24,AT,8858775,69,8
2020-04-25,AT,8858775,77,6
2020-04-26,AT,8858775,77,6
2020-04-27,AT,8858775,49,7
2020-04-28,AT,8858775,83,20
2020-04-29,AT,8858775,45,11
2020-04-30,AT,8858775,50,4
2020-05-01,AT,8858775,79,5
2020-05-02,AT,8858775,27,7
2020-05-03,AT,8858775,39,2
2020-05-04,AT,8858775,24,2
2020-05-05,AT,8858775,29,6
2020-05-06,AT,8858775,34,2
2020-05-07,AT,8858775,68,1
2020-05-08,AT,8858775,22,5
2020-05-09,AT,8858775,59,1
2020-05-10,AT,8858775,38,3
2020-05-11,AT,8858775,11,2
2020-05-12,AT,8858775,79,3
2020-05-13,AT,8858775,36,1
2020-05-14,AT,8858775,61,2
2020-05-15,AT,8858775,51,2
2020-05-16,AT,8858775,92,1
2020-05-17,AT,8858775,41,0
2020-05-18,AT,8858775,27,0
2020-05-19,AT,8858775,52,3
2020-05-20,AT,8858775,32,1
2020-05-21,AT,8858775,51,0
2020-05-22,AT,8858775,32,2
