date,countrycode,population,cases,deaths
2020-02-28,AZ,10047719,0,0
2020-03-01,AZ,10047719,2,0
2020-03-02,AZ,10047719,0,0
2020-03-03,AZ,10047719,0,0
2020-03-04,AZ,10047719,0,0
2020-03-05,AZ,10047719,3,0
2020-03-06,AZ,10047719,0,0
2020-03-07,AZ,10047719,3,0
2020-03-08,AZ,10047719,0,0
2020-03-09,AZ,10047719,0,0
2020-03-10,AZ,10047719,2,0
2020-03-11,AZ,10047719,0,0
2020-03-12,AZ,10047719,0,0
2020-03-13,AZ,10047719,4,1
2020-03-14,AZ,10047719,0,0
2020-03-15,AZ,10047719,8,0
2020-03-16,AZ,10047719,-8,0
2020-03-17,AZ,10047719,13,0
2020-03-18,AZ,10047719,0,0
2020-03-19,AZ,10047719,16,0
2020-03-20,AZ,10047719,0,0
2020-03-21,AZ,10047719,9,0
2020-03-22,AZ,10047719,12,0
2020-03-23,AZ,10047719,7,0
2020-03-24,AZ,10047719,15,0
2020-03-25,AZ,10047719,6,1
2020-03-26,AZ,10047719,29,1
2020-03-27,AZ,10047719,43,0
2020-03-28,AZ,10047719,17,1
2020-03-29,AZ,10047719,27,0
2020-03-30,AZ,10047719,64,0
2020-03-31,AZ,10047719,25,1
2020-04-01,AZ,10047719,61,0
2020-04-02,AZ,10047719,41,0
2020-04-03,AZ,10047719,43,0
2020-04-04,AZ,10047719,78,0
2020-04-05,AZ,10047719,63,2
2020-04-06,AZ,10047719,57,0
2020-04-07,AZ,10047719,76,1
2020-04-08,AZ,10047719,105,0
2020-04-09,AZ,10047719,104,1
2020-04-10,AZ,10047719,65,1
2020-04-11,AZ,10047719,67,1
2020-04-12,AZ,10047719,40,0
2020-04-13,AZ,10047719,50,1
2020-04-14,AZ,10047719,49,1
2020-04-15,AZ,10047719,56,0
2020-04-16,AZ,10047719,30,2
2020-04-17,AZ,10047719,57,0
2020-04-18,AZ,10047719,33,3
2020-04-19,AZ,10047719,25,1
2020-04-20,AZ,10047719,38,0
2020-04-21,AZ,10047719,44,1
2020-04-22,AZ,10047719,38,0
2020-04-23,AZ,10047719,30,0
2020-04-24,AZ,10047719,44,1
