date,countrycode,population,cases,deaths
2020-03-17,BB,288000,0,0
2020-03-18,BB,288000,0,0
2020-03-19,BB,288000,3,0
2020-03-20,BB,288000,0,0
2020-03-21,BB,288000,1,0
2020-03-22,BB,288000,8,0
2020-03-23,BB,288000,3,0
2020-03-24,BB,288000,1,0
2020-03-25,BB,288000,0,0
2020-03-26,BB,288000,0,0
2020-03-27,BB,288000,6,0
2020-03-28,BB,288000,2,0
2020-03-29,BB,288000,7,0
2020-03-30,BB,288000,0,0
2020-03-31,BB,288000,1,0
2020-04-01,BB,288000,0,0
2020-04-02,BB,288000,12,0
2020-04-03,BB,288000,5,0
2020-04-04,BB,288000,1,0
2020-04-05,BB,288000,4,1
2020-04-06,BB,288000,4,1
2020-04-07,BB,288000,3,1
2020-04-08,BB,288000,0,0
2020-04-09,BB,288000,3,0
2020-04-10,BB,288000,1,1
2020-04-11,BB,288000,1,0
2020-04-12,BB,288000,3,0
2020-04-13,BB,288000,1,0
2020-04-14,BB,288000,0,0
2020-04-15,BB,288000,1,1
2020-04-16,BB,288000,2,0
2020-04-17,BB,288000,0,0
2020-04-18,BB,288000,0,0
2020-04-19,BB,288000,0,0
2020-04-20,BB,288000,0,0
2020-04-21,BB,288000,0,0
2020-04-22,BB,288000,0,0
2020-04-23,BB,288000,1,1
2020-04-24,BB,288000,1,0
2020-04-25,BB,288000,2,0
2020-04-26,BB,288000,0,0
2020-04-27,BB,288000,1,0
2020-04-28,BB,288000,0,0
2020-04-29,BB,288000,0,1
2020-04-30,BB,288000,1,0
2020-05-01,BB,288000,0,0
2020-05-02,BB,288000,0,0
2020-05-03,BB,288000,1,0
2020-05-04,BB,288000,0,0
2020-05-05,BB,288000,0,0
2020-05-06,BB,288000,0,0
2020-05-07,BB,288000,0,0
2020-05-08,BB,288000,1,0
2020-05-09,BB,288000,1,0
2020-05-10,BB,288000,0,0
2020-05-11,BB,288000,0,0
2020-05-12,BB,288000,1,0
2020-05-13,BB,288000,0,0
2020-05-14,BB,288000,0,0
2020-05-15,BB,288000,0,0
2020-05-16,BB,288000,1,0
2020-05-17,BB,288000,2,0
2020-05-18,BB,288000,0,0
2020-05-19,BB,288000,2,0
2020-05-20,BB,288000,0,0
2020-05-21,BB,288000,0,0
2020-05-22,BB,288000,0,0
2020-05-23,BB,288000,2,0
2020-05-24,BB,288000,0,0
2020-05-25,BB,288000,0,0
2020-05-26,BB,288000,0,0
2020-05-27,BB,288000,0,0
2020-05-28,BB,288000,0,0
2020-05-29,BB,288000,0,0
2020-05-30,BB,288000,0,0
2020-05-31,BB,288000,0,0
2020-06-01,BB,288000,0,0
2020-06-02,BB,288000,0,0
2020-06-03,BB,288000,0,0
2020-06-04,BB,288000,0,0
2020-06-05,BB,288000,0,0
2020-06-06,BB,288000,0,0
2020-06-07,BB,288000,0,0
2020-06-08,BB,288000,0,0
2020-06-09,BB,288000,0,0
2020-06-10,BB,288000,4,0
2020-06-11,BB,288000,0,0
2020-06-12,BB,288000,0,0
2020-06-13,BB,288000,0,0
2020-06-14,BB,288000,0,0
2020-06-15,BB,288000,1,0
2020-06-16,BB,288000,0,0
2020-06-17,BB,288000,0,0
2020-06-18,BB,288000,0,0
2020-06-19,BB,288000,0,0
2020-06-20,BB,288000,0,0
2020-06-21,BB,288000,0,0
2020-06-22,BB,288000,0,0
2020-06-23,BB,288000,0,0
2020-06-24,BB,288000,0,0
2020-06-25,BB,288000,0,0
2020-06-26,BB,288000,0,0
2020-06-27,BB,288000,0,0
2020-06-28,BB,288000,0,0
2020-06-29,BB,288000,0,0
2020-06-30,BB,288000,0,0
2020-07-01,BB,288000,0,0
2020-07-02,BB,288000,0,0
2020-07-03,BB,288000,0,0
2020-07-04,BB,288000,0,0
2020-07-05,BB,288000,1,0
2020-07-06,BB,288000,0,0
2020-07-07,BB,288000,0,0
2020-07-08,BB,288000,0,0
2020-07-09,BB,288000,0,0
2020-07-10,BB,288000,0,0
2020-07-11,BB,288000,5,0
2020-07-12,BB,288000,0,0
