date,countrycode,population,cases,deaths
2020-02-04,BE,11455519,0,0
2020-02-05,BE,11455519,0,0
2020-02-06,BE,11455519,0,0
2020-02-07,BE,11455519,0,0
2020-02-08,BE,11455519,0,0
2020-02-09,BE,11455519,0,0
2020-02-10,BE,11455519,0,0
2020-02-11,BE,11455519,0,0
2020-02-12,BE,11455519,0,0
2020-02-13,BE,11455519,0,0
2020-02-14,BE,11455519,0,0
2020-02-15,BE,11455519,0,0
2020-02-16,BE,11455519,0,0
2020-02-17,BE,11455519,0,0
2020-02-18,BE,11455519,0,0
2020-02-19,BE,11455519,0,0
2020-02-20,BE,11455519,0,0
2020-02-21,BE,11455519,0,0
2020-02-22,BE,11455519,0,0
2020-02-23,BE,11455519,0,0
2020-02-24,BE,11455519,0,0
2020-02-25,BE,11455519,0,0
2020-02-26,BE,11455519,0,0
2020-02-27,BE,11455519,0,0
2020-02-28,BE,11455519,0,0
2020-02-29,BE,11455519,0,0
2020-03-01,BE,11455519,1,0
2020-03-02,BE,11455519,6,0
2020-03-03,BE,11455519,5,0
2020-03-04,BE,11455519,10,0
2020-03-05,BE,11455519,27,0
2020-03-06,BE,11455519,59,0
2020-03-07,BE,11455519,60,0
2020-03-08,BE,11455519,31,0
2020-03-09,BE,11455519,39,0
2020-03-10,BE,11455519,28,0
2020-03-11,BE,11455519,47,3
2020-03-12,BE,11455519,0,0
2020-03-13,BE,11455519,245,0
2020-03-14,BE,11455519,130,1
2020-03-15,BE,11455519,197,0
2020-03-16,BE,11455519,172,1
2020-03-17,BE,11455519,185,5
2020-03-18,BE,11455519,243,4
2020-03-19,BE,11455519,309,7
2020-03-20,BE,11455519,462,16
2020-03-21,BE,11455519,558,30
2020-03-22,BE,11455519,586,8
2020-03-23,BE,11455519,342,13
2020-03-24,BE,11455519,526,34
2020-03-25,BE,11455519,668,56
2020-03-26,BE,11455519,1298,42
2020-03-27,BE,11455519,1049,69
2020-03-28,BE,11455519,1850,64
2020-03-29,BE,11455519,1702,78
2020-03-30,BE,11455519,1063,82
2020-03-31,BE,11455519,876,192
2020-04-01,BE,11455519,1189,123
2020-04-02,BE,11455519,1384,183
2020-04-03,BE,11455519,1422,132
2020-04-04,BE,11455519,1661,140
2020-04-05,BE,11455519,1260,164
2020-04-06,BE,11455519,1123,185
2020-04-07,BE,11455519,1380,403
2020-04-08,BE,11455519,1209,205
2020-04-09,BE,11455519,1580,283
2020-04-10,BE,11455519,1684,496
2020-04-11,BE,11455519,1351,327
2020-04-12,BE,11455519,1629,254
2020-04-13,BE,11455519,942,303
2020-04-14,BE,11455519,530,254
2020-04-15,BE,11455519,2454,283
2020-04-16,BE,11455519,1236,417
2020-04-17,BE,11455519,1329,306
2020-04-18,BE,11455519,1045,290
2020-04-19,BE,11455519,1313,230
2020-04-20,BE,11455519,1487,145
2020-04-21,BE,11455519,973,170
2020-04-22,BE,11455519,933,264
2020-04-23,BE,11455519,908,228
2020-04-24,BE,11455519,1496,189
2020-04-25,BE,11455519,1032,238
2020-04-26,BE,11455519,809,177
2020-04-27,BE,11455519,553,113
2020-04-28,BE,11455519,647,124
2020-04-29,BE,11455519,525,170
2020-04-30,BE,11455519,660,93
2020-05-01,BE,11455519,513,109
2020-05-02,BE,11455519,485,62
2020-05-03,BE,11455519,389,79
2020-05-04,BE,11455519,361,80
2020-05-05,BE,11455519,242,92
2020-05-06,BE,11455519,272,323
2020-05-07,BE,11455519,639,76
2020-05-08,BE,11455519,591,106
2020-05-09,BE,11455519,585,60
2020-05-10,BE,11455519,485,75
2020-05-11,BE,11455519,368,51
2020-05-12,BE,11455519,330,54
2020-05-13,BE,11455519,202,82
2020-05-14,BE,11455519,307,60
2020-05-15,BE,11455519,356,56
2020-05-16,BE,11455519,345,46
2020-05-17,BE,11455519,291,47
2020-05-18,BE,11455519,279,28
2020-05-19,BE,11455519,232,28
2020-05-20,BE,11455519,192,42
2020-05-21,BE,11455519,252,36
2020-05-22,BE,11455519,276,26
2020-05-23,BE,11455519,299,25
2020-05-24,BE,11455519,282,43
2020-05-25,BE,11455519,250,32
2020-05-26,BE,11455519,113,22
2020-05-27,BE,11455519,137,30
2020-05-28,BE,11455519,257,24
2020-05-29,BE,11455519,212,42
2020-05-30,BE,11455519,125,23
2020-05-31,BE,11455519,195,14
2020-06-01,BE,11455519,136,19
2020-06-02,BE,11455519,98,19
2020-06-03,BE,11455519,70,17
2020-06-04,BE,11455519,82,26
2020-06-05,BE,11455519,140,18
2020-06-06,BE,11455519,165,14
