date,countrycode,population,cases,deaths
2020-03-10,BF,20321383,0,0
2020-03-11,BF,20321383,1,0
2020-03-12,BF,20321383,0,0
2020-03-13,BF,20321383,0,0
2020-03-14,BF,20321383,0,0
2020-03-15,BF,20321383,1,0
2020-03-16,BF,20321383,12,0
2020-03-17,BF,20321383,0,0
2020-03-18,BF,20321383,5,1
2020-03-19,BF,20321383,13,0
2020-03-20,BF,20321383,7,0
2020-03-21,BF,20321383,24,1
2020-03-22,BF,20321383,11,2
2020-03-23,BF,20321383,24,0
2020-03-24,BF,20321383,15,0
2020-03-25,BF,20321383,32,0
2020-03-26,BF,20321383,6,3
2020-03-27,BF,20321383,28,2
2020-03-28,BF,20321383,27,2
2020-03-29,BF,20321383,15,1
2020-03-30,BF,20321383,24,0
2020-03-31,BF,20321383,15,2
2020-04-01,BF,20321383,21,2
2020-04-02,BF,20321383,6,0
2020-04-03,BF,20321383,14,0
2020-04-04,BF,20321383,16,0
2020-04-05,BF,20321383,27,1
2020-04-06,BF,20321383,19,1
2020-04-07,BF,20321383,20,1
2020-04-08,BF,20321383,30,4
2020-04-09,BF,20321383,29,1
2020-04-10,BF,20321383,0,0
2020-04-11,BF,20321383,41,3
2020-04-12,BF,20321383,13,0
2020-04-13,BF,20321383,0,0
2020-04-14,BF,20321383,31,3
2020-04-15,BF,20321383,14,2
2020-04-16,BF,20321383,4,0
2020-04-17,BF,20321383,11,3
2020-04-18,BF,20321383,8,1
2020-04-19,BF,20321383,11,0
2020-04-20,BF,20321383,5,2
2020-04-21,BF,20321383,19,0
2020-04-22,BF,20321383,9,1
2020-04-23,BF,20321383,7,2
2020-04-24,BF,20321383,13,0
2020-04-25,BF,20321383,0,0
2020-04-26,BF,20321383,3,1
2020-04-27,BF,20321383,3,0
2020-04-28,BF,20321383,3,0
2020-04-29,BF,20321383,3,1
2020-04-30,BF,20321383,4,0
2020-05-01,BF,20321383,4,1
2020-05-02,BF,20321383,3,0
2020-05-03,BF,20321383,10,1
2020-05-04,BF,20321383,10,1
2020-05-05,BF,20321383,16,2
2020-05-06,BF,20321383,41,0
2020-05-07,BF,20321383,7,0
2020-05-08,BF,20321383,8,0
2020-05-09,BF,20321383,4,0
2020-05-10,BF,20321383,3,1
2020-05-11,BF,20321383,9,1
2020-05-12,BF,20321383,6,1
2020-05-13,BF,20321383,7,0
2020-05-14,BF,20321383,0,0
2020-05-15,BF,20321383,7,0
2020-05-16,BF,20321383,2,0
2020-05-17,BF,20321383,14,0
2020-05-18,BF,20321383,0,0
2020-05-19,BF,20321383,0,0
2020-05-20,BF,20321383,13,1
2020-05-21,BF,20321383,3,0
2020-05-22,BF,20321383,2,0
2020-05-23,BF,20321383,0,0
2020-05-24,BF,20321383,0,0
2020-05-25,BF,20321383,18,0
2020-05-26,BF,20321383,0,0
2020-05-27,BF,20321383,13,1
2020-05-28,BF,20321383,2,0
2020-05-29,BF,20321383,0,0
2020-05-30,BF,20321383,0,0
