date,countrycode,population,cases,deaths
2020-02-24,BH,1501635,0,0
2020-02-25,BH,1501635,22,0
2020-02-26,BH,1501635,10,0
2020-02-27,BH,1501635,0,0
2020-02-28,BH,1501635,3,0
2020-02-29,BH,1501635,5,0
2020-03-01,BH,1501635,6,0
2020-03-02,BH,1501635,2,0
2020-03-03,BH,1501635,0,0
2020-03-04,BH,1501635,3,0
2020-03-05,BH,1501635,3,0
2020-03-06,BH,1501635,5,0
2020-03-07,BH,1501635,25,0
2020-03-08,BH,1501635,0,0
2020-03-09,BH,1501635,10,0
2020-03-10,BH,1501635,15,0
2020-03-11,BH,1501635,85,0
2020-03-12,BH,1501635,0,0
2020-03-13,BH,1501635,-6,0
2020-03-14,BH,1501635,21,0
2020-03-15,BH,1501635,4,0
2020-03-16,BH,1501635,0,1
2020-03-17,BH,1501635,14,0
2020-03-18,BH,1501635,28,0
2020-03-19,BH,1501635,22,0
2020-03-20,BH,1501635,7,0
2020-03-21,BH,1501635,20,0
2020-03-22,BH,1501635,29,1
2020-03-23,BH,1501635,43,0
2020-03-24,BH,1501635,15,1
2020-03-25,BH,1501635,27,1
2020-03-26,BH,1501635,39,0
2020-03-27,BH,1501635,8,0
2020-03-28,BH,1501635,10,0
2020-03-29,BH,1501635,23,0
2020-03-30,BH,1501635,16,0
2020-03-31,BH,1501635,52,0
2020-04-01,BH,1501635,2,0
2020-04-02,BH,1501635,74,0
2020-04-03,BH,1501635,29,0
2020-04-04,BH,1501635,16,0
2020-04-05,BH,1501635,12,0
2020-04-06,BH,1501635,56,0
2020-04-07,BH,1501635,55,1
2020-04-08,BH,1501635,12,0
2020-04-09,BH,1501635,64,0
2020-04-10,BH,1501635,38,1
2020-04-11,BH,1501635,115,0
2020-04-12,BH,1501635,96,0
2020-04-13,BH,1501635,225,0
2020-04-14,BH,1501635,167,1
2020-04-15,BH,1501635,143,0
2020-04-16,BH,1501635,29,0
2020-04-17,BH,1501635,40,0
2020-04-18,BH,1501635,33,0
2020-04-19,BH,1501635,108,0
2020-04-20,BH,1501635,26,0
2020-04-21,BH,1501635,66,0
2020-04-22,BH,1501635,54,0
2020-04-23,BH,1501635,190,1
2020-04-24,BH,1501635,301,0
2020-04-25,BH,1501635,70,0
2020-04-26,BH,1501635,59,0
2020-04-27,BH,1501635,76,0
2020-04-28,BH,1501635,88,0
2020-04-29,BH,1501635,110,0
2020-04-30,BH,1501635,119,0
2020-05-01,BH,1501635,130,0
2020-05-02,BH,1501635,114,0
2020-05-03,BH,1501635,99,0
2020-05-04,BH,1501635,150,0
2020-05-05,BH,1501635,187,0
2020-05-06,BH,1501635,214,0
2020-05-07,BH,1501635,265,0
2020-05-08,BH,1501635,245,0
2020-05-09,BH,1501635,330,0
2020-05-10,BH,1501635,167,0
2020-05-11,BH,1501635,295,0
2020-05-12,BH,1501635,295,1
2020-05-13,BH,1501635,285,1
2020-05-14,BH,1501635,382,0
2020-05-15,BH,1501635,385,2
2020-05-16,BH,1501635,164,0
2020-05-17,BH,1501635,209,0
2020-05-18,BH,1501635,228,0
2020-05-19,BH,1501635,348,0
2020-05-20,BH,1501635,356,0
2020-05-21,BH,1501635,286,0
2020-05-22,BH,1501635,240,0
2020-05-23,BH,1501635,388,1
2020-05-24,BH,1501635,336,1
2020-05-25,BH,1501635,33,0
2020-05-26,BH,1501635,195,0
2020-05-27,BH,1501635,326,1
2020-05-28,BH,1501635,360,0
2020-05-29,BH,1501635,397,0
2020-05-30,BH,1501635,344,2
2020-05-31,BH,1501635,605,2
2020-06-01,BH,1501635,473,0
2020-06-02,BH,1501635,440,0
2020-06-03,BH,1501635,504,1
2020-06-04,BH,1501635,481,1
2020-06-05,BH,1501635,539,1
2020-06-06,BH,1501635,548,2
2020-06-07,BH,1501635,380,2
2020-06-08,BH,1501635,654,1
2020-06-09,BH,1501635,314,2
2020-06-10,BH,1501635,469,2
2020-06-11,BH,1501635,467,3
2020-06-12,BH,1501635,602,2
2020-06-13,BH,1501635,444,1
2020-06-14,BH,1501635,514,5
2020-06-15,BH,1501635,786,4
2020-06-16,BH,1501635,540,1
2020-06-17,BH,1501635,408,2
2020-06-18,BH,1501635,469,6
2020-06-19,BH,1501635,486,2
2020-06-20,BH,1501635,415,3
2020-06-21,BH,1501635,433,3
2020-06-22,BH,1501635,643,2
2020-06-23,BH,1501635,655,2
2020-06-24,BH,1501635,508,2
2020-06-25,BH,1501635,511,2
2020-06-26,BH,1501635,724,2
2020-06-27,BH,1501635,462,5
2020-06-28,BH,1501635,438,5
2020-06-29,BH,1501635,534,1
2020-06-30,BH,1501635,519,3
2020-07-01,BH,1501635,656,5
2020-07-02,BH,1501635,423,2
2020-07-03,BH,1501635,573,1
2020-07-04,BH,1501635,447,1
2020-07-05,BH,1501635,510,1
2020-07-06,BH,1501635,454,1
2020-07-07,BH,1501635,500,0
2020-07-08,BH,1501635,610,0
2020-07-09,BH,1501635,597,5
2020-07-10,BH,1501635,511,1
2020-07-11,BH,1501635,431,0
2020-07-12,BH,1501635,471,4
2020-07-13,BH,1501635,535,1
2020-07-14,BH,1501635,602,2
2020-07-15,BH,1501635,482,6
2020-07-16,BH,1501635,524,4
2020-07-17,BH,1501635,389,3
2020-07-18,BH,1501635,531,0
2020-07-19,BH,1501635,418,2
2020-07-20,BH,1501635,514,2
2020-07-21,BH,1501635,380,1
2020-07-22,BH,1501635,321,1
2020-07-23,BH,1501635,359,4
2020-07-24,BH,1501635,462,2
2020-07-25,BH,1501635,289,1
2020-07-26,BH,1501635,384,3
2020-07-27,BH,1501635,351,1
2020-07-28,BH,1501635,439,0
2020-07-29,BH,1501635,390,3
2020-07-30,BH,1501635,444,2
