date,countrycode,population,cases,deaths
2020-03-31,BI,12574571,0,0
2020-04-01,BI,12574571,0,0
2020-04-02,BI,12574571,1,0
2020-04-03,BI,12574571,0,0
2020-04-04,BI,12574571,0,0
2020-04-05,BI,12574571,0,0
2020-04-06,BI,12574571,0,0
2020-04-07,BI,12574571,0,0
2020-04-08,BI,12574571,0,0
2020-04-09,BI,12574571,0,0
2020-04-10,BI,12574571,0,0
2020-04-11,BI,12574571,2,0
2020-04-12,BI,12574571,0,0
2020-04-13,BI,12574571,0,1
2020-04-14,BI,12574571,0,0
2020-04-15,BI,12574571,0,0
2020-04-16,BI,12574571,0,0
2020-04-17,BI,12574571,0,0
2020-04-18,BI,12574571,0,0
2020-04-19,BI,12574571,0,0
2020-04-20,BI,12574571,0,0
2020-04-21,BI,12574571,0,0
2020-04-22,BI,12574571,6,0
2020-04-23,BI,12574571,0,0
2020-04-24,BI,12574571,0,0
2020-04-25,BI,12574571,0,0
2020-04-26,BI,12574571,0,0
2020-04-27,BI,12574571,0,0
2020-04-28,BI,12574571,0,0
2020-04-29,BI,12574571,0,0
2020-04-30,BI,12574571,0,0
2020-05-01,BI,12574571,0,0
2020-05-02,BI,12574571,4,0
2020-05-03,BI,12574571,0,0
2020-05-04,BI,12574571,0,0
2020-05-05,BI,12574571,0,0
2020-05-06,BI,12574571,0,0
2020-05-07,BI,12574571,0,0
2020-05-08,BI,12574571,0,0
2020-05-09,BI,12574571,0,0
2020-05-10,BI,12574571,0,0
2020-05-11,BI,12574571,0,0
2020-05-12,BI,12574571,0,0
2020-05-13,BI,12574571,0,0
2020-05-14,BI,12574571,0,0
2020-05-15,BI,12574571,0,0
2020-05-16,BI,12574571,0,0
2020-05-17,BI,12574571,8,0
2020-05-18,BI,12574571,19,0
2020-05-19,BI,12574571,0,0
2020-05-20,BI,12574571,0,0
2020-05-21,BI,12574571,0,0
2020-05-22,BI,12574571,0,0
2020-05-23,BI,12574571,0,0
2020-05-24,BI,12574571,0,0
2020-05-25,BI,12574571,0,0
2020-05-26,BI,12574571,0,0
2020-05-27,BI,12574571,0,0
2020-05-28,BI,12574571,0,0
2020-05-29,BI,12574571,0,0
2020-05-30,BI,12574571,21,0
2020-05-31,BI,12574571,0,0
2020-06-01,BI,12574571,0,0
2020-06-02,BI,12574571,0,0
2020-06-03,BI,12574571,0,0
2020-06-04,BI,12574571,0,0
2020-06-05,BI,12574571,0,0
2020-06-06,BI,12574571,20,0
2020-06-07,BI,12574571,0,0
2020-06-08,BI,12574571,0,0
2020-06-09,BI,12574571,0,0
2020-06-10,BI,12574571,0,0
2020-06-11,BI,12574571,2,0
2020-06-12,BI,12574571,0,0
2020-06-13,BI,12574571,0,0
2020-06-14,BI,12574571,0,0
2020-06-15,BI,12574571,0,0
2020-06-16,BI,12574571,19,0
2020-06-17,BI,12574571,0,0
2020-06-18,BI,12574571,0,0
2020-06-19,BI,12574571,0,0
2020-06-20,BI,12574571,0,0
2020-06-21,BI,12574571,40,0
2020-06-22,BI,12574571,0,0
2020-06-23,BI,12574571,0,0
2020-06-24,BI,12574571,0,0
2020-06-25,BI,12574571,0,0
2020-06-26,BI,12574571,0,0
2020-06-27,BI,12574571,26,0
2020-06-28,BI,12574571,0,0
