date,countrycode,population,cases,deaths
2020-03-11,BO,11513102,0,0
2020-03-12,BO,11513102,0,0
2020-03-13,BO,11513102,1,0
2020-03-14,BO,11513102,7,0
2020-03-15,BO,11513102,0,0
2020-03-16,BO,11513102,1,0
2020-03-17,BO,11513102,0,0
2020-03-18,BO,11513102,1,0
2020-03-19,BO,11513102,0,0
2020-03-20,BO,11513102,3,0
2020-03-21,BO,11513102,4,0
2020-03-22,BO,11513102,5,0
2020-03-23,BO,11513102,3,0
2020-03-24,BO,11513102,2,0
2020-03-25,BO,11513102,3,0
2020-03-26,BO,11513102,11,0
2020-03-27,BO,11513102,18,0
2020-03-28,BO,11513102,13,0
2020-03-29,BO,11513102,7,1
2020-03-30,BO,11513102,16,3
2020-03-31,BO,11513102,10,2
2020-04-01,BO,11513102,8,1
2020-04-02,BO,11513102,8,1
2020-04-03,BO,11513102,9,1
2020-04-04,BO,11513102,7,1
2020-04-05,BO,11513102,18,0
2020-04-06,BO,11513102,26,1
2020-04-07,BO,11513102,11,3
2020-04-08,BO,11513102,16,1
2020-04-09,BO,11513102,54,3
2020-04-10,BO,11513102,4,1
2020-04-11,BO,11513102,7,1
2020-04-12,BO,11513102,25,4
2020-04-13,BO,11513102,30,3
2020-04-14,BO,11513102,24,1
2020-04-15,BO,11513102,43,0
2020-04-16,BO,11513102,44,1
2020-04-17,BO,11513102,24,2
2020-04-18,BO,11513102,28,0
2020-04-19,BO,11513102,27,1
2020-04-20,BO,11513102,44,1
2020-04-21,BO,11513102,34,1
2020-04-22,BO,11513102,11,3
2020-04-23,BO,11513102,94,6
2020-04-24,BO,11513102,104,1
2020-04-25,BO,11513102,59,2
2020-04-26,BO,11513102,84,4
2020-04-27,BO,11513102,64,3
2020-04-28,BO,11513102,0,0
2020-04-29,BO,11513102,96,6
2020-04-30,BO,11513102,0,0
2020-05-01,BO,11513102,119,7
2020-05-02,BO,11513102,0,0
2020-05-03,BO,11513102,365,10
2020-05-04,BO,11513102,87,6
2020-05-05,BO,11513102,121,4
2020-05-06,BO,11513102,84,5
2020-05-07,BO,11513102,195,11
2020-05-08,BO,11513102,185,4
2020-05-09,BO,11513102,171,8
2020-05-10,BO,11513102,119,4
2020-05-11,BO,11513102,275,4
2020-05-12,BO,11513102,133,6
2020-05-13,BO,11513102,184,14
2020-05-14,BO,11513102,224,10
2020-05-15,BO,11513102,205,12
