date,countrycode,population,cases,deaths
2020-03-22,BS,393450,0,0
2020-03-23,BS,393450,0,0
2020-03-24,BS,393450,1,0
2020-03-25,BS,393450,0,0
2020-03-26,BS,393450,4,0
2020-03-27,BS,393450,1,0
2020-03-28,BS,393450,0,0
2020-03-29,BS,393450,1,0
2020-03-30,BS,393450,3,0
2020-03-31,BS,393450,0,0
2020-04-01,BS,393450,7,1
2020-04-02,BS,393450,3,0
2020-04-03,BS,393450,0,0
2020-04-04,BS,393450,4,3
2020-04-05,BS,393450,0,0
2020-04-06,BS,393450,1,1
2020-04-07,BS,393450,4,1
2020-04-08,BS,393450,7,1
2020-04-09,BS,393450,1,1
2020-04-10,BS,393450,1,0
2020-04-11,BS,393450,4,0
2020-04-12,BS,393450,0,0
2020-04-13,BS,393450,1,0
2020-04-14,BS,393450,2,0
2020-04-15,BS,393450,0,0
2020-04-16,BS,393450,4,0
2020-04-17,BS,393450,1,1
2020-04-18,BS,393450,1,0
2020-04-19,BS,393450,0,0
2020-04-20,BS,393450,5,0
2020-04-21,BS,393450,5,0
2020-04-22,BS,393450,0,0
2020-04-23,BS,393450,7,2
2020-04-24,BS,393450,1,0
2020-04-25,BS,393450,5,0
2020-04-26,BS,393450,2,0
2020-04-27,BS,393450,0,0
2020-04-28,BS,393450,0,0
2020-04-29,BS,393450,0,0
2020-04-30,BS,393450,1,0
2020-05-01,BS,393450,0,0
2020-05-02,BS,393450,2,0
2020-05-03,BS,393450,0,0
2020-05-04,BS,393450,0,0
2020-05-05,BS,393450,6,0
2020-05-06,BS,393450,3,0
2020-05-07,BS,393450,0,0
2020-05-08,BS,393450,0,0
2020-05-09,BS,393450,0,0
2020-05-10,BS,393450,0,0
2020-05-11,BS,393450,1,0
2020-05-12,BS,393450,0,0
2020-05-13,BS,393450,1,0
2020-05-14,BS,393450,2,0
2020-05-15,BS,393450,0,0
2020-05-16,BS,393450,0,0
2020-05-17,BS,393450,0,0
2020-05-18,BS,393450,0,0
2020-05-19,BS,393450,0,0
2020-05-20,BS,393450,1,0
2020-05-21,BS,393450,0,0
2020-05-22,BS,393450,0,0
2020-05-23,BS,393450,3,0
2020-05-24,BS,393450,0,0
2020-05-25,BS,393450,0,0
2020-05-26,BS,393450,0,0
2020-05-27,BS,393450,0,0
2020-05-28,BS,393450,1,0
2020-05-29,BS,393450,1,0
2020-05-30,BS,393450,0,0
2020-05-31,BS,393450,0,0
2020-06-01,BS,393450,0,0
2020-06-02,BS,393450,0,0
2020-06-03,BS,393450,0,0
2020-06-04,BS,393450,0,0
2020-06-05,BS,393450,0,0
2020-06-06,BS,393450,1,0
2020-06-07,BS,393450,0,0
2020-06-08,BS,393450,0,0
2020-06-09,BS,393450,0,0
2020-06-10,BS,393450,0,0
2020-06-11,BS,393450,0,0
2020-06-12,BS,393450,0,0
2020-06-13,BS,393450,0,0
2020-06-14,BS,393450,0,0
2020-06-15,BS,393450,0,0
2020-06-16,BS,393450,1,0
2020-06-17,BS,393450,0,0
2020-06-18,BS,393450,0,0
2020-06-19,BS,393450,0,0
2020-06-20,BS,393450,0,0
2020-06-21,BS,393450,0,0
2020-06-22,BS,393450,0,0
2020-06-23,BS,393450,0,0
2020-06-24,BS,393450,0,0
2020-06-25,BS,393450,0,0
2020-06-26,BS,393450,0,0
2020-06-27,BS,393450,0,0
2020-06-28,BS,393450,0,0
2020-06-29,BS,393450,0,0
2020-06-30,BS,393450,0,0
2020-07-01,BS,393450,0,0
2020-07-02,BS,393450,0,0
2020-07-03,BS,393450,0,0
2020-07-04,BS,393450,0,0
2020-07-05,BS,393450,0,0
2020-07-06,BS,393450,0,0
2020-07-07,BS,393450,0,0
2020-07-08,BS,393450,2,0
2020-07-09,BS,393450,1,0
2020-07-10,BS,393450,1,0
2020-07-11,BS,393450,3,0
2020-07-12,BS,393450,0,0
2020-07-13,BS,393450,2,0
2020-07-14,BS,393450,3,0
2020-07-15,BS,393450,3,0
2020-07-16,BS,393450,5,0
2020-07-17,BS,393450,5,0
2020-07-18,BS,393450,9,0
2020-07-19,BS,393450,15,0
2020-07-20,BS,393450,21,0
2020-07-21,BS,393450,20,0
2020-07-22,BS,393450,25,0
2020-07-23,BS,393450,55,0
2020-07-24,BS,393450,42,0
2020-07-25,BS,393450,10,0
2020-07-26,BS,393450,16,0
2020-07-27,BS,393450,40,0
2020-07-28,BS,393450,65,0
2020-07-29,BS,393450,37,0
2020-07-30,BS,393450,24,3
2020-07-31,BS,393450,66,0
2020-08-01,BS,393450,25,0
2020-08-02,BS,393450,49,0
2020-08-03,BS,393450,31,0
2020-08-04,BS,393450,36,0
2020-08-05,BS,393450,36,0
2020-08-06,BS,393450,10,0
2020-08-07,BS,393450,69,0
2020-08-08,BS,393450,48,0
2020-08-09,BS,393450,20,1
2020-08-10,BS,393450,47,0
2020-08-11,BS,393450,44,0
2020-08-12,BS,393450,47,0
2020-08-13,BS,393450,53,0
2020-08-14,BS,393450,30,2
2020-08-15,BS,393450,133,0
2020-08-16,BS,393450,63,1
2020-08-17,BS,393450,14,1
2020-08-18,BS,393450,95,1
2020-08-19,BS,393450,107,2
2020-08-20,BS,393450,79,1
2020-08-21,BS,393450,93,4
2020-08-22,BS,393450,0,0
2020-08-23,BS,393450,62,2
2020-08-24,BS,393450,0,0
2020-08-25,BS,393450,0,0
2020-08-26,BS,393450,0,0
2020-08-27,BS,393450,0,0
2020-08-28,BS,393450,292,21
2020-08-29,BS,393450,78,0
2020-08-30,BS,393450,32,0
2020-08-31,BS,393450,50,0
2020-09-01,BS,393450,59,0
2020-09-02,BS,393450,61,0
2020-09-03,BS,393450,49,0
