date,countrycode,population,cases,deaths
2020-03-23,BZ,419199,0,0
2020-03-24,BZ,419199,0,0
2020-03-25,BZ,419199,1,0
2020-03-26,BZ,419199,0,0
2020-03-27,BZ,419199,0,0
2020-03-28,BZ,419199,0,0
2020-03-29,BZ,419199,0,0
2020-03-30,BZ,419199,1,0
2020-03-31,BZ,419199,0,0
2020-04-01,BZ,419199,0,0
2020-04-02,BZ,419199,0,0
2020-04-03,BZ,419199,1,0
2020-04-04,BZ,419199,0,0
2020-04-05,BZ,419199,1,0
2020-04-06,BZ,419199,2,1
2020-04-07,BZ,419199,0,0
2020-04-08,BZ,419199,1,0
2020-04-09,BZ,419199,1,0
2020-04-10,BZ,419199,1,1
2020-04-11,BZ,419199,3,0
2020-04-12,BZ,419199,1,0
2020-04-13,BZ,419199,4,0
2020-04-14,BZ,419199,0,0
2020-04-15,BZ,419199,0,0
2020-04-16,BZ,419199,0,0
2020-04-17,BZ,419199,0,0
2020-04-18,BZ,419199,0,0
2020-04-19,BZ,419199,0,0
2020-04-20,BZ,419199,0,0
2020-04-21,BZ,419199,0,0
2020-04-22,BZ,419199,0,0
2020-04-23,BZ,419199,0,0
2020-04-24,BZ,419199,0,0
2020-04-25,BZ,419199,0,0
2020-04-26,BZ,419199,0,0
2020-04-27,BZ,419199,0,0
2020-04-28,BZ,419199,0,0
2020-04-29,BZ,419199,0,0
2020-04-30,BZ,419199,0,0
2020-05-01,BZ,419199,0,0
2020-05-02,BZ,419199,0,0
2020-05-03,BZ,419199,0,0
2020-05-04,BZ,419199,0,0
2020-05-05,BZ,419199,0,0
2020-05-06,BZ,419199,0,0
2020-05-07,BZ,419199,0,0
2020-05-08,BZ,419199,0,0
2020-05-09,BZ,419199,0,0
2020-05-10,BZ,419199,0,0
2020-05-11,BZ,419199,0,0
2020-05-12,BZ,419199,0,0
2020-05-13,BZ,419199,0,0
2020-05-14,BZ,419199,0,0
2020-05-15,BZ,419199,0,0
2020-05-16,BZ,419199,0,0
2020-05-17,BZ,419199,0,0
2020-05-18,BZ,419199,0,0
2020-05-19,BZ,419199,0,0
2020-05-20,BZ,419199,0,0
2020-05-21,BZ,419199,0,0
2020-05-22,BZ,419199,0,0
2020-05-23,BZ,419199,0,0
2020-05-24,BZ,419199,0,0
2020-05-25,BZ,419199,0,0
2020-05-26,BZ,419199,0,0
2020-05-27,BZ,419199,0,0
2020-05-28,BZ,419199,0,0
2020-05-29,BZ,419199,0,0
2020-05-30,BZ,419199,0,0
2020-05-31,BZ,419199,0,0
2020-06-01,BZ,419199,0,0
2020-06-02,BZ,419199,0,0
2020-06-03,BZ,419199,0,0
