date,countrycode,population,cases,deaths
2020-01-26,CA,37411038,0,0
2020-01-27,CA,37411038,0,0
2020-01-28,CA,37411038,1,0
2020-01-29,CA,37411038,0,0
2020-01-30,CA,37411038,1,0
2020-01-31,CA,37411038,0,0
2020-02-01,CA,37411038,1,0
2020-02-02,CA,37411038,0,0
2020-02-03,CA,37411038,0,0
2020-02-04,CA,37411038,0,0
2020-02-05,CA,37411038,1,0
2020-02-06,CA,37411038,0,0
2020-02-07,CA,37411038,2,0
2020-02-08,CA,37411038,0,0
2020-02-09,CA,37411038,0,0
2020-02-10,CA,37411038,0,0
2020-02-11,CA,37411038,0,0
2020-02-12,CA,37411038,0,0
2020-02-13,CA,37411038,0,0
2020-02-14,CA,37411038,0,0
2020-02-15,CA,37411038,0,0
2020-02-16,CA,37411038,0,0
2020-02-17,CA,37411038,1,0
2020-02-18,CA,37411038,0,0
2020-02-19,CA,37411038,0,0
2020-02-20,CA,37411038,0,0
2020-02-21,CA,37411038,1,0
2020-02-22,CA,37411038,0,0
2020-02-23,CA,37411038,0,0
2020-02-24,CA,37411038,1,0
2020-02-25,CA,37411038,2,0
2020-02-26,CA,37411038,0,0
2020-02-27,CA,37411038,2,0
2020-02-28,CA,37411038,1,0
2020-02-29,CA,37411038,6,0
2020-03-01,CA,37411038,5,0
2020-03-02,CA,37411038,6,0
2020-03-03,CA,37411038,5,0
2020-03-04,CA,37411038,5,0
2020-03-05,CA,37411038,4,0
2020-03-06,CA,37411038,14,0
2020-03-07,CA,37411038,4,0
2020-03-08,CA,37411038,10,0
2020-03-09,CA,37411038,14,1
2020-03-10,CA,37411038,4,0
2020-03-11,CA,37411038,35,0
2020-03-12,CA,37411038,14,0
2020-03-13,CA,37411038,72,0
2020-03-14,CA,37411038,21,0
2020-03-15,CA,37411038,60,0
2020-03-16,CA,37411038,156,3
2020-03-17,CA,37411038,82,2
2020-03-18,CA,37411038,200,5
2020-03-19,CA,37411038,189,0
2020-03-20,CA,37411038,254,4
2020-03-21,CA,37411038,479,4
2020-03-22,CA,37411038,392,3
2020-03-23,CA,37411038,554,7
2020-03-24,CA,37411038,585,4
2020-03-25,CA,37411038,498,9
2020-03-26,CA,37411038,867,15
2020-03-27,CA,37411038,699,9
2020-03-28,CA,37411038,836,16
2020-03-29,CA,37411038,930,14
2020-03-30,CA,37411038,1106,29
2020-03-31,CA,37411038,1125,27
2020-04-01,CA,37411038,1281,23
2020-04-02,CA,37411038,1692,49
2020-04-03,CA,37411038,1340,53
2020-04-04,CA,37411038,1347,83
2020-04-05,CA,37411038,1569,75
2020-04-06,CA,37411038,1046,85
2020-04-07,CA,37411038,1337,61
2020-04-08,CA,37411038,1264,67
2020-04-09,CA,37411038,1380,123
2020-04-10,CA,37411038,1275,96
2020-04-11,CA,37411038,1307,119
2020-04-12,CA,37411038,1219,108
2020-04-13,CA,37411038,1634,130
2020-04-14,CA,37411038,1626,136
2020-04-15,CA,37411038,1660,154
2020-04-16,CA,37411038,2567,203
2020-04-17,CA,37411038,2086,126
2020-04-18,CA,37411038,1482,143
2020-04-19,CA,37411038,1668,158
2020-04-20,CA,37411038,1565,146
2020-04-21,CA,37411038,1743,193
2020-04-22,CA,37411038,2294,195
2020-04-23,CA,37411038,1669,172
2020-04-24,CA,37411038,847,164
2020-04-25,CA,37411038,1548,181
2020-04-26,CA,37411038,1424,155
2020-04-27,CA,37411038,2505,209
2020-04-28,CA,37411038,1676,197
2020-04-29,CA,37411038,1764,244
2020-04-30,CA,37411038,1655,179
2020-05-01,CA,37411038,1833,202
2020-05-02,CA,37411038,1474,148
2020-05-03,CA,37411038,1160,140
2020-05-04,CA,37411038,1560,242
2020-05-05,CA,37411038,1357,170
2020-05-06,CA,37411038,1603,159
2020-05-07,CA,37411038,1443,147
2020-05-08,CA,37411038,1339,153
2020-05-09,CA,37411038,1160,164
2020-05-10,CA,37411038,1091,118
2020-05-11,CA,37411038,1150,134
2020-05-12,CA,37411038,1197,151
2020-05-13,CA,37411038,1224,103
2020-05-14,CA,37411038,1121,121
2020-05-15,CA,37411038,1263,121
2020-05-16,CA,37411038,1180,119
2020-05-17,CA,37411038,1121,90
2020-05-18,CA,37411038,1041,92
2020-05-19,CA,37411038,1150,75
2020-05-20,CA,37411038,1305,122
2020-05-21,CA,37411038,1162,96
2020-05-22,CA,37411038,1164,98
2020-05-23,CA,37411038,1009,94
2020-05-24,CA,37411038,926,88
2020-05-25,CA,37411038,948,94
2020-05-26,CA,37411038,805,92
2020-05-27,CA,37411038,878,94
2020-05-28,CA,37411038,839,111
2020-05-29,CA,37411038,835,80
2020-05-30,CA,37411038,751,60
2020-05-31,CA,37411038,683,49
2020-06-01,CA,37411038,842,46
2020-06-02,CA,37411038,661,55
2020-06-03,CA,37411038,667,55
2020-06-04,CA,37411038,625,64
2020-06-05,CA,37411038,666,40
2020-06-06,CA,37411038,548,62
2020-06-07,CA,37411038,667,41
2020-06-08,CA,37411038,521,44
2020-06-09,CA,37411038,489,34
2020-06-10,CA,37411038,495,35
2020-06-11,CA,37411038,449,31
2020-06-12,CA,37411038,430,29
2020-06-13,CA,37411038,411,28
2020-06-14,CA,37411038,327,19
2020-06-15,CA,37411038,369,8
2020-06-16,CA,37411038,366,24
2020-06-17,CA,37411038,408,21
2020-06-18,CA,37411038,401,13
2020-06-19,CA,37411038,403,25
2020-06-20,CA,37411038,419,29
2020-06-21,CA,37411038,305,17
2020-06-22,CA,37411038,356,20
2020-06-23,CA,37411038,394,24
2020-06-24,CA,37411038,356,30
