date,countrycode,population,cases,deaths
2020-01-22,CD,101935800,0,0
2020-01-23,CD,101935800,0,0
2020-01-24,CD,101935800,0,0
2020-01-25,CD,101935800,0,0
2020-01-26,CD,101935800,0,0
2020-01-27,CD,101935800,0,0
2020-01-28,CD,101935800,0,0
2020-01-29,CD,101935800,0,0
2020-01-30,CD,101935800,0,0
2020-01-31,CD,101935800,0,0
2020-02-01,CD,101935800,0,0
2020-02-02,CD,101935800,0,0
2020-02-03,CD,101935800,0,0
2020-02-04,CD,101935800,0,0
2020-02-05,CD,101935800,0,0
2020-02-06,CD,101935800,0,0
2020-02-07,CD,101935800,0,0
2020-02-08,CD,101935800,0,0
2020-02-09,CD,101935800,0,0
2020-02-10,CD,101935800,0,0
2020-02-11,CD,101935800,0,0
2020-02-12,CD,101935800,0,0
2020-02-13,CD,101935800,0,0
2020-02-14,CD,101935800,0,0
2020-02-15,CD,101935800,0,0
2020-02-16,CD,101935800,0,0
2020-02-17,CD,101935800,0,0
2020-02-18,CD,101935800,0,0
2020-02-19,CD,101935800,0,0
2020-02-20,CD,101935800,0,0
2020-02-21,CD,101935800,0,0
2020-02-22,CD,101935800,0,0
2020-02-23,CD,101935800,0,0
2020-02-24,CD,101935800,0,0
2020-02-25,CD,101935800,0,0
2020-02-26,CD,101935800,0,0
2020-02-27,CD,101935800,0,0
2020-02-28,CD,101935800,0,0
2020-02-29,CD,101935800,0,0
2020-03-01,CD,101935800,0,0
2020-03-02,CD,101935800,0,0
2020-03-03,CD,101935800,0,0
2020-03-04,CD,101935800,0,0
2020-03-05,CD,101935800,0,0
2020-03-06,CD,101935800,0,0
2020-03-07,CD,101935800,0,0
2020-03-08,CD,101935800,0,0
2020-03-09,CD,101935800,0,0
2020-03-10,CD,101935800,0,0
2020-03-11,CD,101935800,1,0
2020-03-12,CD,101935800,0,0
2020-03-13,CD,101935800,1,0
2020-03-14,CD,101935800,0,0
2020-03-15,CD,101935800,0,0
2020-03-16,CD,101935800,0,0
2020-03-17,CD,101935800,1,0
2020-03-18,CD,101935800,1,0
2020-03-19,CD,101935800,10,0
2020-03-20,CD,101935800,4,0
2020-03-21,CD,101935800,5,1
2020-03-22,CD,101935800,7,0
2020-03-23,CD,101935800,6,0
2020-03-24,CD,101935800,9,1
2020-03-25,CD,101935800,3,0
2020-03-26,CD,101935800,3,1
2020-03-27,CD,101935800,0,0
2020-03-28,CD,101935800,14,3
2020-03-29,CD,101935800,0,0
2020-03-30,CD,101935800,16,2
2020-03-31,CD,101935800,17,0
2020-04-01,CD,101935800,11,1
2020-04-02,CD,101935800,25,4
2020-04-03,CD,101935800,0,0
2020-04-04,CD,101935800,20,5
2020-04-05,CD,101935800,0,0
2020-04-06,CD,101935800,7,0
2020-04-07,CD,101935800,19,0
2020-04-08,CD,101935800,0,0
2020-04-09,CD,101935800,0,0
2020-04-10,CD,101935800,35,2
2020-04-11,CD,101935800,8,0
2020-04-12,CD,101935800,11,0
2020-04-13,CD,101935800,1,0
2020-04-14,CD,101935800,6,0
2020-04-15,CD,101935800,13,1
2020-04-16,CD,101935800,13,1
2020-04-17,CD,101935800,20,1
2020-04-18,CD,101935800,20,2
2020-04-19,CD,101935800,20,0
2020-04-20,CD,101935800,5,0
2020-04-21,CD,101935800,18,0
2020-04-22,CD,101935800,9,0
2020-04-23,CD,101935800,18,0
2020-04-24,CD,101935800,17,0
2020-04-25,CD,101935800,22,3
2020-04-26,CD,101935800,26,0
2020-04-27,CD,101935800,17,0
2020-04-28,CD,101935800,12,2
2020-04-29,CD,101935800,20,0
2020-04-30,CD,101935800,81,1
2020-05-01,CD,101935800,32,1
2020-05-02,CD,101935800,70,1
2020-05-03,CD,101935800,0,0
2020-05-04,CD,101935800,8,1
2020-05-05,CD,101935800,23,0
2020-05-06,CD,101935800,92,1
2020-05-07,CD,101935800,66,1
2020-05-08,CD,101935800,74,3
2020-05-09,CD,101935800,0,0
2020-05-10,CD,101935800,54,2
2020-05-11,CD,101935800,33,0
2020-05-12,CD,101935800,78,3
2020-05-13,CD,101935800,67,6
2020-05-14,CD,101935800,73,0
2020-05-15,CD,101935800,56,0
2020-05-16,CD,101935800,157,11
2020-05-17,CD,101935800,0,0
2020-05-18,CD,101935800,83,0
2020-05-19,CD,101935800,91,0
2020-05-20,CD,101935800,102,0
2020-05-21,CD,101935800,104,0
2020-05-22,CD,101935800,110,2
2020-05-23,CD,101935800,80,0
2020-05-24,CD,101935800,116,0
2020-05-25,CD,101935800,156,4
2020-05-26,CD,101935800,106,1
2020-05-27,CD,101935800,143,0
2020-05-28,CD,101935800,114,1
2020-05-29,CD,101935800,173,0
2020-05-30,CD,101935800,133,0
2020-05-31,CD,101935800,104,3
2020-06-01,CD,101935800,125,0
2020-06-02,CD,101935800,131,0
2020-06-03,CD,101935800,169,3
2020-06-04,CD,101935800,149,3
2020-06-05,CD,101935800,120,3
2020-06-06,CD,101935800,114,1
2020-06-07,CD,101935800,138,3
2020-06-08,CD,101935800,90,3
2020-06-09,CD,101935800,153,2
2020-06-10,CD,101935800,131,6
2020-06-11,CD,101935800,125,2
2020-06-12,CD,101935800,122,3
2020-06-13,CD,101935800,87,5
2020-06-14,CD,101935800,54,1
2020-06-15,CD,101935800,59,5
2020-06-16,CD,101935800,137,0
2020-06-17,CD,101935800,126,3
2020-06-18,CD,101935800,183,2
2020-06-19,CD,101935800,194,5
2020-06-20,CD,101935800,195,3
2020-06-21,CD,101935800,154,5
2020-06-22,CD,101935800,98,5
2020-06-23,CD,101935800,103,0
2020-06-24,CD,101935800,186,7
2020-06-25,CD,101935800,198,0
2020-06-26,CD,101935800,141,7
2020-06-27,CD,101935800,138,4
2020-06-28,CD,101935800,137,4
2020-06-29,CD,101935800,112,10
2020-06-30,CD,101935800,100,3
2020-07-01,CD,101935800,83,5
2020-07-02,CD,101935800,67,1
2020-07-03,CD,101935800,122,3
2020-07-04,CD,101935800,68,3
2020-07-05,CD,101935800,32,0
2020-07-06,CD,101935800,21,0
2020-07-07,CD,101935800,0,0
2020-07-08,CD,101935800,0,0
2020-07-09,CD,101935800,414,7
2020-07-10,CD,101935800,59,0
2020-07-11,CD,101935800,66,0
2020-07-12,CD,101935800,62,0
2020-07-13,CD,101935800,42,1
2020-07-14,CD,101935800,60,0
2020-07-15,CD,101935800,28,2
2020-07-16,CD,101935800,36,1
2020-07-17,CD,101935800,50,0
2020-07-18,CD,101935800,75,0
2020-07-19,CD,101935800,79,1
2020-07-20,CD,101935800,40,0
2020-07-21,CD,101935800,91,2
2020-07-22,CD,101935800,92,1
2020-07-23,CD,101935800,94,4
2020-07-24,CD,101935800,47,0
2020-07-25,CD,101935800,34,3
2020-07-26,CD,101935800,30,0
2020-07-27,CD,101935800,13,4
2020-07-28,CD,101935800,29,0
2020-07-29,CD,101935800,58,2
2020-07-30,CD,101935800,79,5
2020-07-31,CD,101935800,60,0
2020-08-01,CD,101935800,14,0
2020-08-02,CD,101935800,31,0
2020-08-03,CD,101935800,18,0
2020-08-04,CD,101935800,45,0
2020-08-05,CD,101935800,75,0
2020-08-06,CD,101935800,56,0
2020-08-07,CD,101935800,46,3
2020-08-08,CD,101935800,81,0
2020-08-09,CD,101935800,18,6
2020-08-10,CD,101935800,35,0
2020-08-11,CD,101935800,10,1
2020-08-12,CD,101935800,39,0
2020-08-13,CD,101935800,51,9
2020-08-14,CD,101935800,16,4
2020-08-15,CD,101935800,33,1
2020-08-16,CD,101935800,38,1
2020-08-17,CD,101935800,30,3
2020-08-18,CD,101935800,15,0
2020-08-19,CD,101935800,20,3
2020-08-20,CD,101935800,16,1
2020-08-21,CD,101935800,45,1
2020-08-22,CD,101935800,9,3
2020-08-23,CD,101935800,19,0
2020-08-24,CD,101935800,12,0
2020-08-25,CD,101935800,49,0
2020-08-26,CD,101935800,21,3
2020-08-27,CD,101935800,3,1
2020-08-28,CD,101935800,79,0
2020-08-29,CD,101935800,13,3
2020-08-30,CD,101935800,38,0
2020-08-31,CD,101935800,52,0
2020-09-01,CD,101935800,7,1
2020-09-02,CD,101935800,10,0
2020-09-03,CD,101935800,11,0
2020-09-04,CD,101935800,24,0
2020-09-05,CD,101935800,29,0
2020-09-06,CD,101935800,32,1
2020-09-07,CD,101935800,23,0
2020-09-08,CD,101935800,59,0
2020-09-09,CD,101935800,32,0
2020-09-10,CD,101935800,19,2
2020-09-11,CD,101935800,18,0
2020-09-12,CD,101935800,24,0
2020-09-13,CD,101935800,5,2
2020-09-14,CD,101935800,0,0
2020-09-15,CD,101935800,11,3
2020-09-16,CD,101935800,13,0
2020-09-17,CD,101935800,28,0
2020-09-18,CD,101935800,14,1
2020-09-19,CD,101935800,32,0
2020-09-20,CD,101935800,27,3
2020-09-21,CD,101935800,4,0
2020-09-22,CD,101935800,4,0
2020-09-23,CD,101935800,14,0
2020-09-24,CD,101935800,18,0
2020-09-25,CD,101935800,23,0
2020-09-26,CD,101935800,15,0
2020-09-27,CD,101935800,19,0
2020-09-28,CD,101935800,12,0
2020-09-29,CD,101935800,7,1
2020-09-30,CD,101935800,28,0
2020-10-01,CD,101935800,26,0
2020-10-02,CD,101935800,44,0
2020-10-03,CD,101935800,23,2
2020-10-04,CD,101935800,8,0
2020-10-05,CD,101935800,18,0
2020-10-06,CD,101935800,11,0
2020-10-07,CD,101935800,15,2
2020-10-08,CD,101935800,18,0
2020-10-09,CD,101935800,13,0
2020-10-10,CD,101935800,6,0
2020-10-11,CD,101935800,10,0
2020-10-12,CD,101935800,17,0
2020-10-13,CD,101935800,4,0
2020-10-14,CD,101935800,63,5
2020-10-15,CD,101935800,0,0
2020-10-16,CD,101935800,64,20
2020-10-17,CD,101935800,1,1
2020-10-18,CD,101935800,6,0
2020-10-19,CD,101935800,46,1
2020-10-20,CD,101935800,14,0
2020-10-21,CD,101935800,0,0
2020-10-22,CD,101935800,31,1
2020-10-23,CD,101935800,25,0
2020-10-24,CD,101935800,21,1
2020-10-25,CD,101935800,0,0
2020-10-26,CD,101935800,31,0
2020-10-27,CD,101935800,17,0
2020-10-28,CD,101935800,20,0
2020-10-29,CD,101935800,0,0
2020-10-30,CD,101935800,95,2
2020-10-31,CD,101935800,0,0
2020-11-01,CD,101935800,67,1
2020-11-02,CD,101935800,22,0
2020-11-03,CD,101935800,32,7
2020-11-04,CD,101935800,23,0
2020-11-05,CD,101935800,0,0
2020-11-06,CD,101935800,67,0
2020-11-07,CD,101935800,33,1
2020-11-08,CD,101935800,41,0
2020-11-09,CD,101935800,17,0
2020-11-10,CD,101935800,34,0
2020-11-11,CD,101935800,14,0
2020-11-12,CD,101935800,36,2
2020-11-13,CD,101935800,0,0
2020-11-14,CD,101935800,68,1
2020-11-15,CD,101935800,0,0
2020-11-16,CD,101935800,79,2
2020-11-17,CD,101935800,27,1
2020-11-18,CD,101935800,52,1
2020-11-19,CD,101935800,90,0
2020-11-20,CD,101935800,121,1
2020-11-21,CD,101935800,51,3
2020-11-22,CD,101935800,0,0
2020-11-23,CD,101935800,98,2
2020-11-24,CD,101935800,32,2
2020-11-25,CD,101935800,55,0
2020-11-26,CD,101935800,105,2
2020-11-27,CD,101935800,0,0
2020-11-28,CD,101935800,138,0
2020-11-29,CD,101935800,94,0
2020-11-30,CD,101935800,70,0
2020-12-01,CD,101935800,87,2
2020-12-02,CD,101935800,128,1
2020-12-03,CD,101935800,145,1
2020-12-04,CD,101935800,149,0
2020-12-05,CD,101935800,132,5
2020-12-06,CD,101935800,114,2
2020-12-07,CD,101935800,68,0
2020-12-08,CD,101935800,155,0
2020-12-09,CD,101935800,93,6
2020-12-10,CD,101935800,154,0
2020-12-11,CD,101935800,172,0
2020-12-12,CD,101935800,173,2
2020-12-13,CD,101935800,119,0
2020-12-14,CD,101935800,52,4
2020-12-15,CD,101935800,84,2
2020-12-16,CD,101935800,333,6
2020-12-17,CD,101935800,159,2
2020-12-18,CD,101935800,0,0
2020-12-19,CD,101935800,308,3
2020-12-20,CD,101935800,98,1
2020-12-21,CD,101935800,174,0
2020-12-22,CD,101935800,141,0
2020-12-23,CD,101935800,229,196
2020-12-24,CD,101935800,243,7
2020-12-25,CD,101935800,190,0
2020-12-26,CD,101935800,291,0
2020-12-27,CD,101935800,76,6
2020-12-28,CD,101935800,78,0
2020-12-29,CD,101935800,265,5
2020-12-30,CD,101935800,194,0
2020-12-31,CD,101935800,282,7
2021-01-01,CD,101935800,191,0
2021-01-02,CD,101935800,149,4
2021-01-03,CD,101935800,104,1
2021-01-04,CD,101935800,51,3
2021-01-05,CD,101935800,95,0
2021-01-06,CD,101935800,239,0
2021-01-07,CD,101935800,251,11
2021-01-08,CD,101935800,231,1
2021-01-09,CD,101935800,190,0
2021-01-10,CD,101935800,277,0
2021-01-11,CD,101935800,60,8
2021-01-12,CD,101935800,211,6
2021-01-13,CD,101935800,296,1
