date,countrycode,population,cases,deaths
2020-03-15,CF,4920000,0,0
2020-03-16,CF,4920000,0,0
2020-03-17,CF,4920000,0,0
2020-03-18,CF,4920000,0,0
2020-03-19,CF,4920000,0,0
2020-03-20,CF,4920000,2,0
2020-03-21,CF,4920000,0,0
2020-03-22,CF,4920000,0,0
2020-03-23,CF,4920000,0,0
2020-03-24,CF,4920000,0,0
2020-03-25,CF,4920000,0,0
2020-03-26,CF,4920000,0,0
2020-03-27,CF,4920000,0,0
2020-03-28,CF,4920000,0,0
2020-03-29,CF,4920000,0,0
2020-03-30,CF,4920000,0,0
2020-03-31,CF,4920000,0,0
2020-04-01,CF,4920000,0,0
2020-04-02,CF,4920000,0,0
2020-04-03,CF,4920000,5,0
2020-04-04,CF,4920000,0,0
2020-04-05,CF,4920000,0,0
2020-04-06,CF,4920000,0,0
2020-04-07,CF,4920000,0,0
2020-04-08,CF,4920000,0,0
2020-04-09,CF,4920000,0,0
2020-04-10,CF,4920000,0,0
2020-04-11,CF,4920000,0,0
2020-04-12,CF,4920000,0,0
2020-04-13,CF,4920000,3,0
2020-04-14,CF,4920000,0,0
2020-04-15,CF,4920000,1,0
2020-04-16,CF,4920000,0,0
2020-04-17,CF,4920000,0,0
2020-04-18,CF,4920000,0,0
2020-04-19,CF,4920000,0,0
2020-04-20,CF,4920000,0,0
2020-04-21,CF,4920000,2,0
2020-04-22,CF,4920000,0,0
2020-04-23,CF,4920000,2,0
2020-04-24,CF,4920000,0,0
2020-04-25,CF,4920000,0,0
2020-04-26,CF,4920000,3,0
2020-04-27,CF,4920000,0,0
2020-04-28,CF,4920000,31,0
2020-04-29,CF,4920000,0,0
2020-04-30,CF,4920000,0,0
2020-05-01,CF,4920000,22,0
2020-05-02,CF,4920000,0,0
2020-05-03,CF,4920000,0,0
2020-05-04,CF,4920000,13,0
2020-05-05,CF,4920000,0,0
2020-05-06,CF,4920000,9,0
2020-05-07,CF,4920000,0,0
2020-05-08,CF,4920000,49,0
2020-05-09,CF,4920000,0,0
2020-05-10,CF,4920000,0,0
2020-05-11,CF,4920000,0,0
2020-05-12,CF,4920000,0,0
2020-05-13,CF,4920000,0,0
2020-05-14,CF,4920000,0,0
2020-05-15,CF,4920000,158,0
2020-05-16,CF,4920000,26,0
2020-05-17,CF,4920000,0,0
2020-05-18,CF,4920000,0,0
2020-05-19,CF,4920000,39,0
2020-05-20,CF,4920000,52,0
2020-05-21,CF,4920000,18,0
2020-05-22,CF,4920000,43,0
2020-05-23,CF,4920000,73,1
2020-05-24,CF,4920000,52,0
2020-05-25,CF,4920000,48,0
2020-05-26,CF,4920000,19,0
2020-05-27,CF,4920000,31,0
2020-05-28,CF,4920000,53,0
2020-05-29,CF,4920000,119,0
2020-05-30,CF,4920000,88,0
2020-05-31,CF,4920000,49,1
2020-06-01,CF,4920000,58,2
2020-06-02,CF,4920000,0,0
2020-06-03,CF,4920000,104,0
2020-06-04,CF,4920000,115,0
2020-06-05,CF,4920000,163,0
2020-06-06,CF,4920000,119,1
2020-06-07,CF,4920000,64,0
2020-06-08,CF,4920000,216,0
2020-06-09,CF,4920000,0,0
2020-06-10,CF,4920000,38,0
2020-06-11,CF,4920000,64,0
2020-06-12,CF,4920000,92,2
2020-06-13,CF,4920000,13,0
2020-06-14,CF,4920000,0,0
2020-06-15,CF,4920000,165,0
2020-06-16,CF,4920000,188,7
2020-06-17,CF,4920000,154,4
2020-06-18,CF,4920000,41,1
2020-06-19,CF,4920000,0,0
2020-06-20,CF,4920000,81,0
2020-06-21,CF,4920000,122,4
2020-06-22,CF,4920000,155,7
2020-06-23,CF,4920000,88,7
