date,countrycode,population,cases,deaths
2020-01-22,CG,5657000,0,0
2020-01-23,CG,5657000,0,0
2020-01-24,CG,5657000,0,0
2020-01-25,CG,5657000,0,0
2020-01-26,CG,5657000,0,0
2020-01-27,CG,5657000,0,0
2020-01-28,CG,5657000,0,0
2020-01-29,CG,5657000,0,0
2020-01-30,CG,5657000,0,0
2020-01-31,CG,5657000,0,0
2020-02-01,CG,5657000,0,0
2020-02-02,CG,5657000,0,0
2020-02-03,CG,5657000,0,0
2020-02-04,CG,5657000,0,0
2020-02-05,CG,5657000,0,0
2020-02-06,CG,5657000,0,0
2020-02-07,CG,5657000,0,0
2020-02-08,CG,5657000,0,0
2020-02-09,CG,5657000,0,0
2020-02-10,CG,5657000,0,0
2020-02-11,CG,5657000,0,0
2020-02-12,CG,5657000,0,0
2020-02-13,CG,5657000,0,0
2020-02-14,CG,5657000,0,0
2020-02-15,CG,5657000,0,0
2020-02-16,CG,5657000,0,0
2020-02-17,CG,5657000,0,0
2020-02-18,CG,5657000,0,0
2020-02-19,CG,5657000,0,0
2020-02-20,CG,5657000,0,0
2020-02-21,CG,5657000,0,0
2020-02-22,CG,5657000,0,0
2020-02-23,CG,5657000,0,0
2020-02-24,CG,5657000,0,0
2020-02-25,CG,5657000,0,0
2020-02-26,CG,5657000,0,0
2020-02-27,CG,5657000,0,0
2020-02-28,CG,5657000,0,0
2020-02-29,CG,5657000,0,0
2020-03-01,CG,5657000,0,0
2020-03-02,CG,5657000,0,0
2020-03-03,CG,5657000,0,0
2020-03-04,CG,5657000,0,0
2020-03-05,CG,5657000,0,0
2020-03-06,CG,5657000,0,0
2020-03-07,CG,5657000,0,0
2020-03-08,CG,5657000,0,0
2020-03-09,CG,5657000,0,0
2020-03-10,CG,5657000,0,0
2020-03-11,CG,5657000,0,0
2020-03-12,CG,5657000,0,0
2020-03-13,CG,5657000,0,0
2020-03-14,CG,5657000,0,0
2020-03-15,CG,5657000,1,0
2020-03-16,CG,5657000,0,0
2020-03-17,CG,5657000,0,0
2020-03-18,CG,5657000,0,0
2020-03-19,CG,5657000,2,0
2020-03-20,CG,5657000,0,0
2020-03-21,CG,5657000,0,0
2020-03-22,CG,5657000,0,0
2020-03-23,CG,5657000,1,0
2020-03-24,CG,5657000,0,0
2020-03-25,CG,5657000,0,0
2020-03-26,CG,5657000,0,0
2020-03-27,CG,5657000,0,0
2020-03-28,CG,5657000,0,0
2020-03-29,CG,5657000,15,0
2020-03-30,CG,5657000,0,0
2020-03-31,CG,5657000,0,0
2020-04-01,CG,5657000,0,0
2020-04-02,CG,5657000,3,2
2020-04-03,CG,5657000,0,0
2020-04-04,CG,5657000,0,0
2020-04-05,CG,5657000,23,3
2020-04-06,CG,5657000,0,0
2020-04-07,CG,5657000,0,0
2020-04-08,CG,5657000,0,0
2020-04-09,CG,5657000,15,0
2020-04-10,CG,5657000,0,0
2020-04-11,CG,5657000,0,0
2020-04-12,CG,5657000,0,0
2020-04-13,CG,5657000,0,0
2020-04-14,CG,5657000,0,0
2020-04-15,CG,5657000,57,0
2020-04-16,CG,5657000,0,0
2020-04-17,CG,5657000,26,1
2020-04-18,CG,5657000,0,0
2020-04-19,CG,5657000,0,0
2020-04-20,CG,5657000,17,0
2020-04-21,CG,5657000,5,0
2020-04-22,CG,5657000,21,0
2020-04-23,CG,5657000,0,0
2020-04-24,CG,5657000,14,0
2020-04-25,CG,5657000,0,0
2020-04-26,CG,5657000,0,0
2020-04-27,CG,5657000,0,0
2020-04-28,CG,5657000,7,2
2020-04-29,CG,5657000,0,0
2020-04-30,CG,5657000,13,1
2020-05-01,CG,5657000,9,0
2020-05-02,CG,5657000,0,0
2020-05-03,CG,5657000,0,0
2020-05-04,CG,5657000,7,1
2020-05-05,CG,5657000,0,0
2020-05-06,CG,5657000,28,0
2020-05-07,CG,5657000,0,0
2020-05-08,CG,5657000,10,0
2020-05-09,CG,5657000,0,0
2020-05-10,CG,5657000,0,0
2020-05-11,CG,5657000,59,1
2020-05-12,CG,5657000,0,0
