date,countrycode,population,cases,deaths
2020-03-06,CM,25876387,0,0
2020-03-07,CM,25876387,0,0
2020-03-08,CM,25876387,1,0
2020-03-09,CM,25876387,0,0
2020-03-10,CM,25876387,0,0
2020-03-11,CM,25876387,0,0
2020-03-12,CM,25876387,0,0
2020-03-13,CM,25876387,0,0
2020-03-14,CM,25876387,0,0
2020-03-15,CM,25876387,0,0
2020-03-16,CM,25876387,2,0
2020-03-17,CM,25876387,6,0
2020-03-18,CM,25876387,0,0
2020-03-19,CM,25876387,3,0
2020-03-20,CM,25876387,7,0
2020-03-21,CM,25876387,7,0
2020-03-22,CM,25876387,13,0
2020-03-23,CM,25876387,16,0
2020-03-24,CM,25876387,10,0
2020-03-25,CM,25876387,9,1
2020-03-26,CM,25876387,0,0
2020-03-27,CM,25876387,16,1
2020-03-28,CM,25876387,0,0
2020-03-29,CM,25876387,48,4
2020-03-30,CM,25876387,0,0
2020-03-31,CM,25876387,54,0
2020-04-01,CM,25876387,40,0
2020-04-02,CM,25876387,73,1
2020-04-03,CM,25876387,203,1
2020-04-04,CM,25876387,46,1
2020-04-05,CM,25876387,95,0
2020-04-06,CM,25876387,8,0
2020-04-07,CM,25876387,0,0
2020-04-08,CM,25876387,72,1
2020-04-09,CM,25876387,0,0
2020-04-10,CM,25876387,90,2
2020-04-11,CM,25876387,0,0
2020-04-12,CM,25876387,0,0
2020-04-13,CM,25876387,0,0
2020-04-14,CM,25876387,28,2
2020-04-15,CM,25876387,0,3
2020-04-16,CM,25876387,148,5
2020-04-17,CM,25876387,0,0
2020-04-18,CM,25876387,21,0
2020-04-19,CM,25876387,0,20
2020-04-20,CM,25876387,146,0
2020-04-21,CM,25876387,0,1
2020-04-22,CM,25876387,0,0
2020-04-23,CM,25876387,171,0
2020-04-24,CM,25876387,96,0
2020-04-25,CM,25876387,88,10
2020-04-26,CM,25876387,103,3
2020-04-27,CM,25876387,84,2
2020-04-28,CM,25876387,0,0
2020-04-29,CM,25876387,127,3
2020-04-30,CM,25876387,0,0
2020-05-01,CM,25876387,0,0
2020-05-02,CM,25876387,245,3
2020-05-03,CM,25876387,0,0
2020-05-04,CM,25876387,27,0
2020-05-05,CM,25876387,0,0
2020-05-06,CM,25876387,161,44
2020-05-07,CM,25876387,2,0
2020-05-08,CM,25876387,0,0
2020-05-09,CM,25876387,7,0
2020-05-10,CM,25876387,305,6
2020-05-11,CM,25876387,110,11
2020-05-12,CM,25876387,0,0
2020-05-13,CM,25876387,111,11
2020-05-14,CM,25876387,154,3
2020-05-15,CM,25876387,151,1
2020-05-16,CM,25876387,0,0
2020-05-17,CM,25876387,0,0
2020-05-18,CM,25876387,424,0
2020-05-19,CM,25876387,0,0
2020-05-20,CM,25876387,204,6
2020-05-21,CM,25876387,555,10
2020-05-22,CM,25876387,112,3
2020-05-23,CM,25876387,0,0
2020-05-24,CM,25876387,490,6
2020-05-25,CM,25876387,0,0
2020-05-26,CM,25876387,546,10
2020-05-27,CM,25876387,0,0
2020-05-28,CM,25876387,0,0
2020-05-29,CM,25876387,0,2
2020-05-30,CM,25876387,468,14
2020-05-31,CM,25876387,0,0
2020-06-01,CM,25876387,493,8
2020-06-02,CM,25876387,188,1
2020-06-03,CM,25876387,0,0
2020-06-04,CM,25876387,204,3
2020-06-05,CM,25876387,603,2
2020-06-06,CM,25876387,207,7
2020-06-07,CM,25876387,309,0
2020-06-08,CM,25876387,152,0
2020-06-09,CM,25876387,252,0
2020-06-10,CM,25876387,369,0
2020-06-11,CM,25876387,0,0
2020-06-12,CM,25876387,0,0
2020-06-13,CM,25876387,0,0
2020-06-14,CM,25876387,0,0
2020-06-15,CM,25876387,1183,64
2020-06-16,CM,25876387,0,0
2020-06-17,CM,25876387,0,0
2020-06-18,CM,25876387,0,0
2020-06-19,CM,25876387,774,6
