date,countrycode,population,cases,deaths
2020-02-01,CN,1414031000,0,0
2020-02-02,CN,1414031000,0,0
2020-02-03,CN,1414031000,0,0
2020-02-04,CN,1414031000,0,0
2020-02-05,CN,1414031000,0,0
2020-02-06,CN,1414031000,0,0
2020-02-07,CN,1414031000,0,0
2020-02-08,CN,1414031000,0,0
2020-02-09,CN,1414031000,0,0
2020-02-10,CN,1414031000,0,0
2020-02-11,CN,1414031000,0,0
2020-02-12,CN,1414031000,0,0
2020-02-13,CN,1414031000,0,0
2020-02-14,CN,1414031000,0,0
2020-02-15,CN,1414031000,0,0
2020-02-16,CN,1414031000,0,0
2020-02-17,CN,1414031000,0,0
2020-02-18,CN,1414031000,0,0
2020-02-19,CN,1414031000,0,0
2020-02-20,CN,1414031000,0,0
2020-02-21,CN,1414031000,0,0
2020-02-22,CN,1414031000,0,0
2020-02-23,CN,1414031000,0,0
2020-02-24,CN,1414031000,0,0
2020-02-25,CN,1414031000,0,0
2020-02-26,CN,1414031000,0,0
2020-02-27,CN,1414031000,0,0
2020-02-28,CN,1414031000,0,0
2020-02-29,CN,1414031000,0,0
2020-03-01,CN,1414031000,0,0
2020-03-02,CN,1414031000,0,0
2020-03-03,CN,1414031000,0,0
2020-03-04,CN,1414031000,0,0
2020-03-05,CN,1414031000,0,0
2020-03-06,CN,1414031000,0,0
2020-03-07,CN,1414031000,0,0
2020-03-08,CN,1414031000,0,0
2020-03-09,CN,1414031000,0,0
2020-03-10,CN,1414031000,0,0
2020-03-11,CN,1414031000,80921,3161
2020-03-12,CN,1414031000,11,11
2020-03-13,CN,1414031000,13,8
2020-03-14,CN,1414031000,32,13
2020-03-15,CN,1414031000,26,10
2020-03-16,CN,1414031000,30,14
2020-03-17,CN,1414031000,25,13
2020-03-18,CN,1414031000,44,11
2020-03-19,CN,1414031000,54,8
2020-03-20,CN,1414031000,94,4
2020-03-21,CN,1414031000,55,6
2020-03-22,CN,1414031000,92,6
2020-03-23,CN,1414031000,99,9
2020-03-24,CN,1414031000,95,7
2020-03-25,CN,1414031000,70,4
2020-03-26,CN,1414031000,121,6
2020-03-27,CN,1414031000,115,5
2020-03-28,CN,1414031000,102,3
2020-03-29,CN,1414031000,123,5
2020-03-30,CN,1414031000,76,4
2020-03-31,CN,1414031000,81,1
2020-04-01,CN,1414031000,82,7
2020-04-02,CN,1414031000,71,6
2020-04-03,CN,1414031000,79,4
2020-04-04,CN,1414031000,32,4
2020-04-05,CN,1414031000,59,3
2020-04-06,CN,1414031000,63,2
2020-04-07,CN,1414031000,53,0
2020-04-08,CN,1414031000,91,2
2020-04-09,CN,1414031000,74,2
2020-04-10,CN,1414031000,58,1
2020-04-11,CN,1414031000,73,3
2020-04-12,CN,1414031000,120,0
2020-04-13,CN,1414031000,79,2
2020-04-14,CN,1414031000,93,0
2020-04-15,CN,1414031000,50,1
2020-04-16,CN,1414031000,47,0
2020-04-17,CN,1414031000,357,1290
2020-04-18,CN,1414031000,27,0
2020-04-19,CN,1414031000,18,0
2020-04-20,CN,1414031000,12,0
2020-04-21,CN,1414031000,36,0
2020-04-22,CN,1414031000,15,0
2020-04-23,CN,1414031000,16,0
2020-04-24,CN,1414031000,15,0
2020-04-25,CN,1414031000,10,0
2020-04-26,CN,1414031000,3,1
2020-04-27,CN,1414031000,6,0
2020-04-28,CN,1414031000,22,0
2020-04-29,CN,1414031000,4,0
2020-04-30,CN,1414031000,12,0
2020-05-01,CN,1414031000,3,0
2020-05-02,CN,1414031000,0,0
2020-05-03,CN,1414031000,5,0
2020-05-04,CN,1414031000,2,0
2020-05-05,CN,1414031000,2,0
2020-05-06,CN,1414031000,2,0
2020-05-07,CN,1414031000,5,0
2020-05-08,CN,1414031000,1,0
2020-05-09,CN,1414031000,14,0
2020-05-10,CN,1414031000,20,0
2020-05-11,CN,1414031000,1,0
2020-05-12,CN,1414031000,7,0
2020-05-13,CN,1414031000,6,0
2020-05-14,CN,1414031000,5,0
2020-05-15,CN,1414031000,9,0
2020-05-16,CN,1414031000,6,1
2020-05-17,CN,1414031000,10,0
2020-05-18,CN,1414031000,9,0
2020-05-19,CN,1414031000,0,0
2020-05-20,CN,1414031000,0,0
2020-05-21,CN,1414031000,0,0
2020-05-22,CN,1414031000,18,0
2020-05-23,CN,1414031000,3,0
2020-05-24,CN,1414031000,11,0
2020-05-25,CN,1414031000,7,0
2020-05-26,CN,1414031000,1,0
2020-05-27,CN,1414031000,3,0
2020-05-28,CN,1414031000,0,0
2020-05-29,CN,1414031000,17,0
2020-05-30,CN,1414031000,5,0
2020-05-31,CN,1414031000,18,0
2020-06-01,CN,1414031000,8,0
2020-06-02,CN,1414031000,7,0
2020-06-03,CN,1414031000,-1,0
2020-06-04,CN,1414031000,11,0
2020-06-05,CN,1414031000,6,0
2020-06-06,CN,1414031000,9,0
2020-06-07,CN,1414031000,5,0
2020-06-08,CN,1414031000,4,0
2020-06-09,CN,1414031000,3,0
2020-06-10,CN,1414031000,11,0
2020-06-11,CN,1414031000,7,0
2020-06-12,CN,1414031000,12,0
2020-06-13,CN,1414031000,58,0
2020-06-14,CN,1414031000,49,0
2020-06-15,CN,1414031000,43,0
2020-06-16,CN,1414031000,44,0
2020-06-17,CN,1414031000,36,0
2020-06-18,CN,1414031000,36,0
2020-06-19,CN,1414031000,0,0
2020-06-20,CN,1414031000,59,1
2020-06-21,CN,1414031000,19,0
2020-06-22,CN,1414031000,52,0
2020-06-23,CN,1414031000,29,1
2020-06-24,CN,1414031000,20,0
2020-06-25,CN,1414031000,28,1
2020-06-26,CN,1414031000,24,0
2020-06-27,CN,1414031000,18,0
2020-06-28,CN,1414031000,14,0
2020-06-29,CN,1414031000,23,0
2020-06-30,CN,1414031000,5,0
2020-07-01,CN,1414031000,31,0
2020-07-02,CN,1414031000,14,0
2020-07-03,CN,1414031000,8,0
2020-07-04,CN,1414031000,19,0
2020-07-05,CN,1414031000,14,0
2020-07-06,CN,1414031000,18,0
2020-07-07,CN,1414031000,28,0
2020-07-08,CN,1414031000,33,0
2020-07-09,CN,1414031000,42,0
2020-07-10,CN,1414031000,0,0
