date,countrycode,population,cases,deaths
2020-01-22,CV,563198,0,0
2020-01-23,CV,563198,0,0
2020-01-24,CV,563198,0,0
2020-01-25,CV,563198,0,0
2020-01-26,CV,563198,0,0
2020-01-27,CV,563198,0,0
2020-01-28,CV,563198,0,0
2020-01-29,CV,563198,0,0
2020-01-30,CV,563198,0,0
2020-01-31,CV,563198,0,0
2020-02-01,CV,563198,0,0
2020-02-02,CV,563198,0,0
2020-02-03,CV,563198,0,0
2020-02-04,CV,563198,0,0
2020-02-05,CV,563198,0,0
2020-02-06,CV,563198,0,0
2020-02-07,CV,563198,0,0
2020-02-08,CV,563198,0,0
2020-02-09,CV,563198,0,0
2020-02-10,CV,563198,0,0
2020-02-11,CV,563198,0,0
2020-02-12,CV,563198,0,0
2020-02-13,CV,563198,0,0
2020-02-14,CV,563198,0,0
2020-02-15,CV,563198,0,0
2020-02-16,CV,563198,0,0
2020-02-17,CV,563198,0,0
2020-02-18,CV,563198,0,0
2020-02-19,CV,563198,0,0
2020-02-20,CV,563198,0,0
2020-02-21,CV,563198,0,0
2020-02-22,CV,563198,0,0
2020-02-23,CV,563198,0,0
2020-02-24,CV,563198,0,0
2020-02-25,CV,563198,0,0
2020-02-26,CV,563198,0,0
2020-02-27,CV,563198,0,0
2020-02-28,CV,563198,0,0
2020-02-29,CV,563198,0,0
2020-03-01,CV,563198,0,0
2020-03-02,CV,563198,0,0
2020-03-03,CV,563198,0,0
2020-03-04,CV,563198,0,0
2020-03-05,CV,563198,0,0
2020-03-06,CV,563198,0,0
2020-03-07,CV,563198,0,0
2020-03-08,CV,563198,0,0
2020-03-09,CV,563198,0,0
2020-03-10,CV,563198,0,0
2020-03-11,CV,563198,0,0
2020-03-12,CV,563198,0,0
2020-03-13,CV,563198,0,0
2020-03-14,CV,563198,0,0
2020-03-15,CV,563198,0,0
2020-03-16,CV,563198,0,0
2020-03-17,CV,563198,0,0
2020-03-18,CV,563198,0,0
2020-03-19,CV,563198,0,0
2020-03-20,CV,563198,1,0
2020-03-21,CV,563198,2,0
2020-03-22,CV,563198,0,0
2020-03-23,CV,563198,0,0
2020-03-24,CV,563198,0,1
2020-03-25,CV,563198,1,0
2020-03-26,CV,563198,0,0
2020-03-27,CV,563198,1,0
2020-03-28,CV,563198,0,0
2020-03-29,CV,563198,1,0
2020-03-30,CV,563198,0,0
2020-03-31,CV,563198,0,0
2020-04-01,CV,563198,0,0
2020-04-02,CV,563198,0,0
2020-04-03,CV,563198,0,0
2020-04-04,CV,563198,1,0
2020-04-05,CV,563198,0,0
2020-04-06,CV,563198,0,0
2020-04-07,CV,563198,0,0
2020-04-08,CV,563198,0,0
2020-04-09,CV,563198,0,0
2020-04-10,CV,563198,0,0
2020-04-11,CV,563198,1,0
2020-04-12,CV,563198,0,0
2020-04-13,CV,563198,2,0
2020-04-14,CV,563198,1,0
2020-04-15,CV,563198,45,0
2020-04-16,CV,563198,0,0
2020-04-17,CV,563198,0,0
2020-04-18,CV,563198,2,0
2020-04-19,CV,563198,3,0
2020-04-20,CV,563198,6,0
2020-04-21,CV,563198,1,0
2020-04-22,CV,563198,5,0
2020-04-23,CV,563198,9,0
2020-04-24,CV,563198,6,0
