date,countrycode,population,cases,deaths
2020-03-09,CY,888005,0,0
2020-03-10,CY,888005,1,0
2020-03-11,CY,888005,3,0
2020-03-12,CY,888005,0,0
2020-03-13,CY,888005,8,0
2020-03-14,CY,888005,12,0
2020-03-15,CY,888005,0,0
2020-03-16,CY,888005,7,0
2020-03-17,CY,888005,13,0
2020-03-18,CY,888005,3,0
2020-03-19,CY,888005,18,0
2020-03-20,CY,888005,0,0
2020-03-21,CY,888005,17,0
2020-03-22,CY,888005,11,1
2020-03-23,CY,888005,21,0
2020-03-24,CY,888005,8,2
2020-03-25,CY,888005,8,0
2020-03-26,CY,888005,14,0
2020-03-27,CY,888005,16,2
2020-03-28,CY,888005,17,0
2020-03-29,CY,888005,35,0
2020-03-30,CY,888005,16,2
2020-03-31,CY,888005,32,1
2020-04-01,CY,888005,58,1
2020-04-02,CY,888005,36,1
2020-04-03,CY,888005,40,1
2020-04-04,CY,888005,30,0
2020-04-05,CY,888005,20,-2
2020-04-06,CY,888005,19,0
2020-04-07,CY,888005,29,0
2020-04-08,CY,888005,32,0
2020-04-09,CY,888005,38,1
2020-04-10,CY,888005,31,0
2020-04-11,CY,888005,21,0
2020-04-12,CY,888005,17,1
2020-04-13,CY,888005,29,1
2020-04-14,CY,888005,33,0
2020-04-15,CY,888005,20,0
2020-04-16,CY,888005,20,0
2020-04-17,CY,888005,15,0
2020-04-18,CY,888005,11,0
2020-04-19,CY,888005,6,0
2020-04-20,CY,888005,5,0
2020-04-21,CY,888005,12,0
2020-04-22,CY,888005,6,1
2020-04-23,CY,888005,5,0
2020-04-24,CY,888005,9,1
2020-04-25,CY,888005,6,0
2020-04-26,CY,888005,7,0
2020-04-27,CY,888005,5,1
2020-04-28,CY,888005,15,0
2020-04-29,CY,888005,6,0
2020-04-30,CY,888005,7,0
2020-05-01,CY,888005,7,0
2020-05-02,CY,888005,7,0
2020-05-03,CY,888005,8,0
2020-05-04,CY,888005,2,0
2020-05-05,CY,888005,4,0
2020-05-06,CY,888005,5,0
2020-05-07,CY,888005,6,0
2020-05-08,CY,888005,2,0
2020-05-09,CY,888005,1,0
2020-05-10,CY,888005,6,1
2020-05-11,CY,888005,3,0
2020-05-12,CY,888005,2,0
2020-05-13,CY,888005,2,1
2020-05-14,CY,888005,2,0
2020-05-15,CY,888005,3,0
2020-05-16,CY,888005,4,0
2020-05-17,CY,888005,2,0
2020-05-18,CY,888005,1,0
2020-05-19,CY,888005,1,0
2020-05-20,CY,888005,4,0
2020-05-21,CY,888005,1,0
2020-05-22,CY,888005,4,0
2020-05-23,CY,888005,0,0
2020-05-24,CY,888005,8,0
2020-05-25,CY,888005,2,0
2020-05-26,CY,888005,2,0
2020-05-27,CY,888005,0,0
2020-05-28,CY,888005,2,0
2020-05-29,CY,888005,1,0
2020-05-30,CY,888005,2,0
2020-05-31,CY,888005,0,0
2020-06-01,CY,888005,5,0
2020-06-02,CY,888005,3,0
2020-06-03,CY,888005,6,0
2020-06-04,CY,888005,0,0
2020-06-05,CY,888005,2,0
2020-06-06,CY,888005,0,1
2020-06-07,CY,888005,4,0
2020-06-08,CY,888005,6,0
2020-06-09,CY,888005,2,0
2020-06-10,CY,888005,2,0
2020-06-11,CY,888005,1,0
2020-06-12,CY,888005,5,0
2020-06-13,CY,888005,0,0
2020-06-14,CY,888005,3,0
2020-06-15,CY,888005,2,0
2020-06-16,CY,888005,0,0
2020-06-17,CY,888005,0,0
2020-06-18,CY,888005,0,1
2020-06-19,CY,888005,0,0
2020-06-20,CY,888005,0,0
2020-06-21,CY,888005,1,0
2020-06-22,CY,888005,2,0
2020-06-23,CY,888005,2,0
2020-06-24,CY,888005,1,0
2020-06-25,CY,888005,1,0
2020-06-26,CY,888005,0,0
2020-06-27,CY,888005,2,0
