date,countrycode,population,cases,deaths
2020-01-28,DE,83019213,0,0
2020-01-29,DE,83019213,0,0
2020-01-30,DE,83019213,0,0
2020-01-31,DE,83019213,1,0
2020-02-01,DE,83019213,3,0
2020-02-02,DE,83019213,2,0
2020-02-03,DE,83019213,2,0
2020-02-04,DE,83019213,0,0
2020-02-05,DE,83019213,0,0
2020-02-06,DE,83019213,0,0
2020-02-07,DE,83019213,1,0
2020-02-08,DE,83019213,0,0
2020-02-09,DE,83019213,1,0
2020-02-10,DE,83019213,0,0
2020-02-11,DE,83019213,2,0
2020-02-12,DE,83019213,0,0
2020-02-13,DE,83019213,0,0
2020-02-14,DE,83019213,0,0
2020-02-15,DE,83019213,0,0
2020-02-16,DE,83019213,0,0
2020-02-17,DE,83019213,0,0
2020-02-18,DE,83019213,0,0
2020-02-19,DE,83019213,0,0
2020-02-20,DE,83019213,0,0
2020-02-21,DE,83019213,0,0
2020-02-22,DE,83019213,0,0
2020-02-23,DE,83019213,0,0
2020-02-24,DE,83019213,0,0
2020-02-25,DE,83019213,1,0
2020-02-26,DE,83019213,10,0
2020-02-27,DE,83019213,19,0
2020-02-28,DE,83019213,2,0
2020-02-29,DE,83019213,31,0
2020-03-01,DE,83019213,51,0
2020-03-02,DE,83019213,29,0
2020-03-03,DE,83019213,37,0
2020-03-04,DE,83019213,66,0
2020-03-05,DE,83019213,220,0
2020-03-06,DE,83019213,188,0
2020-03-07,DE,83019213,129,0
2020-03-08,DE,83019213,241,0
2020-03-09,DE,83019213,136,2
2020-03-10,DE,83019213,281,0
2020-03-11,DE,83019213,451,1
2020-03-12,DE,83019213,170,0
2020-03-13,DE,83019213,1597,4
2020-03-14,DE,83019213,910,2
2020-03-15,DE,83019213,1210,2
2020-03-16,DE,83019213,1477,6
2020-03-17,DE,83019213,1985,7
2020-03-18,DE,83019213,3070,4
2020-03-19,DE,83019213,2993,16
2020-03-20,DE,83019213,4528,23
2020-03-21,DE,83019213,2365,17
2020-03-22,DE,83019213,2660,10
2020-03-23,DE,83019213,4183,29
2020-03-24,DE,83019213,3930,34
2020-03-25,DE,83019213,4337,49
2020-03-26,DE,83019213,6615,61
2020-03-27,DE,83019213,6933,75
2020-03-28,DE,83019213,6824,91
2020-03-29,DE,83019213,4400,100
2020-03-30,DE,83019213,4790,112
2020-03-31,DE,83019213,4923,130
2020-04-01,DE,83019213,6064,145
2020-04-02,DE,83019213,6922,187
2020-04-03,DE,83019213,6365,168
2020-04-04,DE,83019213,4933,169
2020-04-05,DE,83019213,4031,140
