date,countrycode,population,cases,deaths
2020-02-25,DZ,43053054,0,0
2020-02-26,DZ,43053054,0,0
2020-02-27,DZ,43053054,0,0
2020-02-28,DZ,43053054,0,0
2020-02-29,DZ,43053054,0,0
2020-03-01,DZ,43053054,0,0
2020-03-02,DZ,43053054,2,0
2020-03-03,DZ,43053054,2,0
2020-03-04,DZ,43053054,7,0
2020-03-05,DZ,43053054,0,0
2020-03-06,DZ,43053054,5,0
2020-03-07,DZ,43053054,0,0
2020-03-08,DZ,43053054,2,0
2020-03-09,DZ,43053054,1,0
2020-03-10,DZ,43053054,0,0
2020-03-11,DZ,43053054,0,0
2020-03-12,DZ,43053054,4,1
2020-03-13,DZ,43053054,2,1
2020-03-14,DZ,43053054,11,1
2020-03-15,DZ,43053054,11,1
2020-03-16,DZ,43053054,6,0
2020-03-17,DZ,43053054,6,0
2020-03-18,DZ,43053054,14,3
2020-03-19,DZ,43053054,13,2
2020-03-20,DZ,43053054,3,2
2020-03-21,DZ,43053054,49,4
2020-03-22,DZ,43053054,62,2
2020-03-23,DZ,43053054,29,0
2020-03-24,DZ,43053054,34,2
2020-03-25,DZ,43053054,38,2
2020-03-26,DZ,43053054,65,4
2020-03-27,DZ,43053054,42,1
2020-03-28,DZ,43053054,45,3
2020-03-29,DZ,43053054,57,2
2020-03-30,DZ,43053054,73,4
2020-03-31,DZ,43053054,132,9
2020-04-01,DZ,43053054,131,14
2020-04-02,DZ,43053054,139,28
2020-04-03,DZ,43053054,185,19
2020-04-04,DZ,43053054,80,25
2020-04-05,DZ,43053054,69,22
2020-04-06,DZ,43053054,103,21
2020-04-07,DZ,43053054,45,20
2020-04-08,DZ,43053054,104,12
2020-04-09,DZ,43053054,94,30
2020-04-10,DZ,43053054,95,21
2020-04-11,DZ,43053054,64,19
2020-04-12,DZ,43053054,89,18
2020-04-13,DZ,43053054,69,20
2020-04-14,DZ,43053054,87,13
2020-04-15,DZ,43053054,90,10
2020-04-16,DZ,43053054,108,12
2020-04-17,DZ,43053054,150,16
2020-04-18,DZ,43053054,116,3
2020-04-19,DZ,43053054,95,8
2020-04-20,DZ,43053054,89,9
2020-04-21,DZ,43053054,93,8
2020-04-22,DZ,43053054,99,10
2020-04-23,DZ,43053054,97,5
2020-04-24,DZ,43053054,120,8
2020-04-25,DZ,43053054,129,4
2020-04-26,DZ,43053054,126,6
