date,countrycode,population,cases,deaths
2020-03-01,EC,17373657,0,0
2020-03-02,EC,17373657,0,0
2020-03-03,EC,17373657,1,0
2020-03-04,EC,17373657,3,0
2020-03-05,EC,17373657,3,0
2020-03-06,EC,17373657,0,0
2020-03-07,EC,17373657,0,0
2020-03-08,EC,17373657,1,0
2020-03-09,EC,17373657,1,0
2020-03-10,EC,17373657,0,0
2020-03-11,EC,17373657,2,0
2020-03-12,EC,17373657,0,0
2020-03-13,EC,17373657,0,0
2020-03-14,EC,17373657,11,2
2020-03-15,EC,17373657,0,0
2020-03-16,EC,17373657,9,0
2020-03-17,EC,17373657,21,0
2020-03-18,EC,17373657,53,0
2020-03-19,EC,17373657,88,1
2020-03-20,EC,17373657,168,2
2020-03-21,EC,17373657,139,2
2020-03-22,EC,17373657,283,7
2020-03-23,EC,17373657,192,4
2020-03-24,EC,17373657,101,9
2020-03-25,EC,17373657,91,1
2020-03-26,EC,17373657,230,6
2020-03-27,EC,17373657,192,2
2020-03-28,EC,17373657,228,12
2020-03-29,EC,17373657,101,10
2020-03-30,EC,17373657,38,2
2020-03-31,EC,17373657,278,15
2020-04-01,EC,17373657,508,18
2020-04-02,EC,17373657,415,27
2020-04-03,EC,17373657,205,25
2020-04-04,EC,17373657,97,27
2020-04-05,EC,17373657,181,8
2020-04-06,EC,17373657,101,11
2020-04-07,EC,17373657,0,0
2020-04-08,EC,17373657,703,51
2020-04-09,EC,17373657,515,30
2020-04-10,EC,17373657,2196,25
2020-04-11,EC,17373657,96,18
2020-04-12,EC,17373657,209,18
2020-04-13,EC,17373657,63,22
2020-04-14,EC,17373657,74,14
2020-04-15,EC,17373657,255,19
2020-04-16,EC,17373657,367,15
2020-04-17,EC,17373657,225,18
2020-04-18,EC,17373657,572,35
2020-04-19,EC,17373657,446,18
2020-04-20,EC,17373657,660,33
2020-04-21,EC,17373657,270,13
2020-04-22,EC,17373657,452,17
2020-04-23,EC,17373657,333,23
2020-04-24,EC,17373657,11536,16
2020-04-25,EC,17373657,0,0
2020-04-26,EC,17373657,0,0
2020-04-27,EC,17373657,521,87
2020-04-28,EC,17373657,1018,208
2020-04-29,EC,17373657,417,12
2020-04-30,EC,17373657,259,17
2020-05-01,EC,17373657,1402,163
2020-05-02,EC,17373657,1128,308
2020-05-03,EC,17373657,2074,193
2020-05-04,EC,17373657,2343,5
2020-05-05,EC,17373657,0,0
2020-05-06,EC,17373657,0,49
2020-05-07,EC,17373657,-1583,36
2020-05-08,EC,17373657,-1480,50
2020-05-09,EC,17373657,253,13
2020-05-10,EC,17373657,488,410
2020-05-11,EC,17373657,-50,18
2020-05-12,EC,17373657,910,182
2020-05-13,EC,17373657,67,7
2020-05-14,EC,17373657,16,4
2020-05-15,EC,17373657,965,256
2020-05-16,EC,17373657,1296,94
2020-05-17,EC,17373657,419,48
2020-05-18,EC,17373657,400,63
2020-05-19,EC,17373657,569,40
2020-05-20,EC,17373657,703,49
2020-05-21,EC,17373657,452,51
2020-05-22,EC,17373657,522,117
2020-05-23,EC,17373657,430,40
2020-05-24,EC,17373657,498,12
2020-05-25,EC,17373657,599,95
2020-05-26,EC,17373657,0,0
2020-05-27,EC,17373657,748,72
2020-05-28,EC,17373657,368,38
2020-05-29,EC,17373657,100,21
2020-05-30,EC,17373657,0,0
2020-05-31,EC,17373657,527,24
2020-06-01,EC,17373657,0,0
2020-06-02,EC,17373657,1316,80
2020-06-03,EC,17373657,552,48
2020-06-04,EC,17373657,0,0
2020-06-05,EC,17373657,609,48
2020-06-06,EC,17373657,1153,74
2020-06-07,EC,17373657,392,13
2020-06-08,EC,17373657,258,21
2020-06-09,EC,17373657,539,48
2020-06-10,EC,17373657,523,30
2020-06-11,EC,17373657,0,0
2020-06-12,EC,17373657,1338,108
2020-06-13,EC,17373657,578,46
2020-06-14,EC,17373657,395,22
2020-06-15,EC,17373657,571,33
2020-06-16,EC,17373657,621,41
2020-06-17,EC,17373657,547,37
2020-06-18,EC,17373657,607,80
2020-06-19,EC,17373657,634,69
2020-06-20,EC,17373657,0,0
2020-06-21,EC,17373657,909,67
2020-06-22,EC,17373657,0,0
2020-06-23,EC,17373657,1003,51
2020-06-24,EC,17373657,0,0
2020-06-25,EC,17373657,1513,69
2020-06-26,EC,17373657,700,63
2020-06-27,EC,17373657,718,18
2020-06-28,EC,17373657,681,5
2020-06-29,EC,17373657,410,73
2020-06-30,EC,17373657,767,25
2020-07-01,EC,17373657,1825,49
2020-07-02,EC,17373657,1211,63
2020-07-03,EC,17373657,1189,61
2020-07-04,EC,17373657,878,69
2020-07-05,EC,17373657,423,12
2020-07-06,EC,17373657,422,40
2020-07-07,EC,17373657,865,52
2020-07-08,EC,17373657,0,0
2020-07-09,EC,17373657,976,27
2020-07-10,EC,17373657,797,39
2020-07-11,EC,17373657,2191,92
2020-07-12,EC,17373657,661,16
2020-07-13,EC,17373657,589,16
2020-07-14,EC,17373657,1111,67
2020-07-15,EC,17373657,759,28
2020-07-16,EC,17373657,1036,49
2020-07-17,EC,17373657,1079,43
2020-07-18,EC,17373657,938,32
2020-07-19,EC,17373657,631,31
2020-07-20,EC,17373657,607,5
2020-07-21,EC,17373657,1597,48
2020-07-22,EC,17373657,1040,52
2020-07-23,EC,17373657,891,21
2020-07-24,EC,17373657,901,29
2020-07-25,EC,17373657,987,39
2020-07-26,EC,17373657,658,8
2020-07-27,EC,17373657,467,17
2020-07-28,EC,17373657,1118,52
2020-07-29,EC,17373657,914,39
2020-07-30,EC,17373657,1177,34
2020-07-31,EC,17373657,985,45
2020-08-01,EC,17373657,877,34
2020-08-02,EC,17373657,0,0
2020-08-03,EC,17373657,809,31
2020-08-04,EC,17373657,922,41
2020-08-05,EC,17373657,903,39
2020-08-06,EC,17373657,1671,30
2020-08-07,EC,17373657,1432,20
2020-08-08,EC,17373657,1603,19
2020-08-09,EC,17373657,887,6
2020-08-10,EC,17373657,242,10
2020-08-11,EC,17373657,862,19
2020-08-12,EC,17373657,1547,33
2020-08-13,EC,17373657,1233,26
2020-08-14,EC,17373657,1066,20
2020-08-15,EC,17373657,1279,35
2020-08-16,EC,17373657,854,5
2020-08-17,EC,17373657,209,13
2020-08-18,EC,17373657,1190,22
2020-08-19,EC,17373657,1534,41
2020-08-20,EC,17373657,1033,54
2020-08-21,EC,17373657,973,48
2020-08-22,EC,17373657,608,29
2020-08-23,EC,17373657,680,33
2020-08-24,EC,17373657,520,12
2020-08-25,EC,17373657,741,46
2020-08-26,EC,17373657,1519,42
2020-08-27,EC,17373657,670,61
2020-08-28,EC,17373657,922,33
2020-08-29,EC,17373657,765,33
2020-08-30,EC,17373657,742,18
2020-08-31,EC,17373657,119,1
2020-09-01,EC,17373657,542,15
2020-09-02,EC,17373657,1148,48
2020-09-03,EC,17373657,903,29
2020-09-04,EC,17373657,815,26
2020-09-05,EC,17373657,870,50
2020-09-06,EC,17373657,0,0
2020-09-07,EC,17373657,-7953,3852
2020-09-08,EC,17373657,665,51
2020-09-09,EC,17373657,1409,74
2020-09-10,EC,17373657,1040,48
2020-09-11,EC,17373657,1526,87
2020-09-12,EC,17373657,1719,28
2020-09-13,EC,17373657,2143,39
2020-09-14,EC,17373657,317,19
2020-09-15,EC,17373657,642,41
2020-09-16,EC,17373657,1972,33
2020-09-17,EC,17373657,732,33
2020-09-18,EC,17373657,1872,15
2020-09-19,EC,17373657,1491,40
2020-09-20,EC,17373657,799,6
2020-09-21,EC,17373657,292,5
2020-09-22,EC,17373657,932,31
2020-09-23,EC,17373657,2249,45
2020-09-24,EC,17373657,1254,42
2020-09-25,EC,17373657,1329,23
2020-09-26,EC,17373657,1506,37
2020-09-27,EC,17373657,766,6
2020-09-28,EC,17373657,218,1
2020-09-29,EC,17373657,784,32
2020-09-30,EC,17373657,1298,43
2020-10-01,EC,17373657,1537,78
2020-10-02,EC,17373657,950,62
2020-10-03,EC,17373657,817,102
2020-10-04,EC,17373657,683,50
2020-10-05,EC,17373657,305,34
2020-10-06,EC,17373657,717,21
2020-10-07,EC,17373657,1475,41
2020-10-08,EC,17373657,1514,398
2020-10-09,EC,17373657,803,34
2020-10-10,EC,17373657,980,13
2020-10-11,EC,17373657,205,3
2020-10-12,EC,17373657,282,27
2020-10-13,EC,17373657,856,17
2020-10-14,EC,17373657,912,29
2020-10-15,EC,17373657,1277,42
2020-10-16,EC,17373657,1299,51
2020-10-17,EC,17373657,763,18
2020-10-18,EC,17373657,867,12
2020-10-19,EC,17373657,134,8
2020-10-20,EC,17373657,692,9
2020-10-21,EC,17373657,1510,49
2020-10-22,EC,17373657,826,47
2020-10-23,EC,17373657,1819,28
2020-10-24,EC,17373657,1344,14
2020-10-25,EC,17373657,2021,11
2020-10-26,EC,17373657,543,20
2020-10-27,EC,17373657,1014,15
2020-10-28,EC,17373657,1716,20
2020-10-29,EC,17373657,1394,14
2020-10-30,EC,17373657,845,10
2020-10-31,EC,17373657,1045,38
2020-11-01,EC,17373657,1002,14
2020-11-02,EC,17373657,368,8
2020-11-03,EC,17373657,548,6
2020-11-04,EC,17373657,1323,6
2020-11-05,EC,17373657,350,26
2020-11-06,EC,17373657,725,31
2020-11-07,EC,17373657,978,54
2020-11-08,EC,17373657,1421,15
2020-11-09,EC,17373657,362,9
2020-11-10,EC,17373657,442,10
2020-11-11,EC,17373657,919,71
2020-11-12,EC,17373657,883,26
2020-11-13,EC,17373657,1161,31
2020-11-14,EC,17373657,953,20
2020-11-15,EC,17373657,668,11
2020-11-16,EC,17373657,381,8
2020-11-17,EC,17373657,428,9
