date,countrycode,population,cases,deaths
2020-02-14,EG,100388076,0,0
2020-02-15,EG,100388076,0,0
2020-02-16,EG,100388076,0,0
2020-02-17,EG,100388076,0,0
2020-02-18,EG,100388076,0,0
2020-02-19,EG,100388076,0,0
2020-02-20,EG,100388076,0,0
2020-02-21,EG,100388076,0,0
2020-02-22,EG,100388076,0,0
2020-02-23,EG,100388076,0,0
2020-02-24,EG,100388076,0,0
2020-02-25,EG,100388076,0,0
2020-02-26,EG,100388076,0,0
2020-02-27,EG,100388076,0,0
2020-02-28,EG,100388076,0,0
2020-02-29,EG,100388076,0,0
2020-03-01,EG,100388076,1,0
2020-03-02,EG,100388076,0,0
2020-03-03,EG,100388076,0,0
2020-03-04,EG,100388076,0,0
2020-03-05,EG,100388076,1,0
2020-03-06,EG,100388076,12,0
2020-03-07,EG,100388076,0,0
2020-03-08,EG,100388076,34,1
2020-03-09,EG,100388076,6,0
2020-03-10,EG,100388076,4,0
2020-03-11,EG,100388076,1,0
2020-03-12,EG,100388076,7,0
2020-03-13,EG,100388076,13,1
2020-03-14,EG,100388076,29,0
2020-03-15,EG,100388076,1,0
2020-03-16,EG,100388076,40,0
2020-03-17,EG,100388076,46,2
2020-03-18,EG,100388076,0,2
2020-03-19,EG,100388076,60,0
2020-03-20,EG,100388076,29,2
2020-03-21,EG,100388076,9,2
2020-03-22,EG,100388076,33,4
2020-03-23,EG,100388076,39,5
2020-03-24,EG,100388076,36,1
2020-03-25,EG,100388076,54,1
2020-03-26,EG,100388076,39,3
2020-03-27,EG,100388076,41,6
2020-03-28,EG,100388076,40,6
2020-03-29,EG,100388076,33,4
2020-03-30,EG,100388076,47,1
2020-03-31,EG,100388076,54,5
2020-04-01,EG,100388076,69,6
2020-04-02,EG,100388076,86,6
2020-04-03,EG,100388076,120,8
2020-04-04,EG,100388076,85,5
2020-04-05,EG,100388076,103,7
2020-04-06,EG,100388076,149,7
2020-04-07,EG,100388076,128,9
2020-04-08,EG,100388076,110,9
2020-04-09,EG,100388076,139,15
2020-04-10,EG,100388076,95,17
2020-04-11,EG,100388076,145,11
2020-04-12,EG,100388076,126,13
2020-04-13,EG,100388076,125,5
2020-04-14,EG,100388076,160,14
2020-04-15,EG,100388076,155,5
2020-04-16,EG,100388076,168,13
2020-04-17,EG,100388076,171,9
2020-04-18,EG,100388076,188,19
2020-04-19,EG,100388076,112,15
2020-04-20,EG,100388076,189,11
2020-04-21,EG,100388076,157,14
2020-04-22,EG,100388076,169,12
2020-04-23,EG,100388076,232,11
2020-04-24,EG,100388076,201,7
2020-04-25,EG,100388076,227,13
2020-04-26,EG,100388076,215,10
2020-04-27,EG,100388076,248,20
2020-04-28,EG,100388076,260,22
2020-04-29,EG,100388076,226,21
2020-04-30,EG,100388076,269,12
2020-05-01,EG,100388076,358,14
2020-05-02,EG,100388076,298,9
2020-05-03,EG,100388076,272,14
2020-05-04,EG,100388076,348,7
2020-05-05,EG,100388076,388,16
2020-05-06,EG,100388076,387,17
2020-05-07,EG,100388076,393,13
2020-05-08,EG,100388076,495,21
2020-05-09,EG,100388076,488,11
2020-05-10,EG,100388076,436,11
2020-05-11,EG,100388076,346,8
2020-05-12,EG,100388076,347,11
2020-05-13,EG,100388076,338,12
2020-05-14,EG,100388076,398,15
2020-05-15,EG,100388076,399,21
2020-05-16,EG,100388076,491,20
2020-05-17,EG,100388076,510,18
2020-05-18,EG,100388076,535,15
2020-05-19,EG,100388076,720,14
2020-05-20,EG,100388076,745,21
2020-05-21,EG,100388076,774,16
2020-05-22,EG,100388076,783,11
2020-05-23,EG,100388076,727,28
2020-05-24,EG,100388076,752,29
2020-05-25,EG,100388076,702,19
2020-05-26,EG,100388076,789,14
2020-05-27,EG,100388076,910,19
2020-05-28,EG,100388076,1127,29
2020-05-29,EG,100388076,1289,34
2020-05-30,EG,100388076,1367,34
2020-05-31,EG,100388076,1536,46
2020-06-01,EG,100388076,1399,46
2020-06-02,EG,100388076,1152,47
2020-06-03,EG,100388076,1079,36
2020-06-04,EG,100388076,1152,38
2020-06-05,EG,100388076,1348,40
2020-06-06,EG,100388076,1497,32
2020-06-07,EG,100388076,1467,39
2020-06-08,EG,100388076,1365,34
2020-06-09,EG,100388076,1385,35
2020-06-10,EG,100388076,1455,36
2020-06-11,EG,100388076,1442,35
2020-06-12,EG,100388076,1577,45
2020-06-13,EG,100388076,1677,62
2020-06-14,EG,100388076,1618,91
2020-06-15,EG,100388076,1691,97
2020-06-16,EG,100388076,1567,94
2020-06-17,EG,100388076,1363,84
2020-06-18,EG,100388076,1218,88
2020-06-19,EG,100388076,1774,79
2020-06-20,EG,100388076,1547,89
2020-06-21,EG,100388076,1475,87
2020-06-22,EG,100388076,1576,85
2020-06-23,EG,100388076,1332,87
2020-06-24,EG,100388076,1420,85
2020-06-25,EG,100388076,1569,83
2020-06-26,EG,100388076,1625,87
2020-06-27,EG,100388076,1168,88
2020-06-28,EG,100388076,1265,81
2020-06-29,EG,100388076,1566,83
2020-06-30,EG,100388076,1557,81
2020-07-01,EG,100388076,1503,81
2020-07-02,EG,100388076,1485,86
2020-07-03,EG,100388076,1412,81
2020-07-04,EG,100388076,1324,79
2020-07-05,EG,100388076,1218,63
2020-07-06,EG,100388076,969,79
2020-07-07,EG,100388076,1057,67
2020-07-08,EG,100388076,1025,75
2020-07-09,EG,100388076,950,53
2020-07-10,EG,100388076,981,85
2020-07-11,EG,100388076,923,67
2020-07-12,EG,100388076,912,89
2020-07-13,EG,100388076,931,77
2020-07-14,EG,100388076,929,73
2020-07-15,EG,100388076,913,59
2020-07-16,EG,100388076,928,53
2020-07-17,EG,100388076,703,68
2020-07-18,EG,100388076,698,63
2020-07-19,EG,100388076,603,51
2020-07-20,EG,100388076,627,50
2020-07-21,EG,100388076,676,47
2020-07-22,EG,100388076,667,41
2020-07-23,EG,100388076,668,40
2020-07-24,EG,100388076,659,38
2020-07-25,EG,100388076,511,40
2020-07-26,EG,100388076,479,48
2020-07-27,EG,100388076,420,46
2020-07-28,EG,100388076,465,39
2020-07-29,EG,100388076,409,37
2020-07-30,EG,100388076,401,46
2020-07-31,EG,100388076,321,31
2020-08-01,EG,100388076,238,29
2020-08-02,EG,100388076,167,31
2020-08-03,EG,100388076,157,23
2020-08-04,EG,100388076,112,24
2020-08-05,EG,100388076,123,18
2020-08-06,EG,100388076,131,21
2020-08-07,EG,100388076,141,20
2020-08-08,EG,100388076,167,21
2020-08-09,EG,100388076,178,17
2020-08-10,EG,100388076,174,26
2020-08-11,EG,100388076,168,24
2020-08-12,EG,100388076,129,26
2020-08-13,EG,100388076,145,22
2020-08-14,EG,100388076,112,17
2020-08-15,EG,100388076,116,17
2020-08-16,EG,100388076,139,19
2020-08-17,EG,100388076,115,13
2020-08-18,EG,100388076,163,11
2020-08-19,EG,100388076,161,13
2020-08-20,EG,100388076,111,15
2020-08-21,EG,100388076,123,19
2020-08-22,EG,100388076,89,12
2020-08-23,EG,100388076,103,19
2020-08-24,EG,100388076,138,18
2020-08-25,EG,100388076,141,18
2020-08-26,EG,100388076,206,19
2020-08-27,EG,100388076,237,25
2020-08-28,EG,100388076,223,20
2020-08-29,EG,100388076,212,14
2020-08-30,EG,100388076,230,23
2020-08-31,EG,100388076,212,22
2020-09-01,EG,100388076,176,19
2020-09-02,EG,100388076,165,21
2020-09-03,EG,100388076,145,18
2020-09-04,EG,100388076,157,16
2020-09-05,EG,100388076,130,16
2020-09-06,EG,100388076,151,19
2020-09-07,EG,100388076,178,11
2020-09-08,EG,100388076,187,19
2020-09-09,EG,100388076,175,17
2020-09-10,EG,100388076,154,13
2020-09-11,EG,100388076,151,17
2020-09-12,EG,100388076,148,20
2020-09-13,EG,100388076,153,21
2020-09-14,EG,100388076,168,13
2020-09-15,EG,100388076,163,18
2020-09-16,EG,100388076,160,17
2020-09-17,EG,100388076,141,19
2020-09-18,EG,100388076,131,18
2020-09-19,EG,100388076,128,17
2020-09-20,EG,100388076,115,20
2020-09-21,EG,100388076,126,17
2020-09-22,EG,100388076,113,19
2020-09-23,EG,100388076,121,16
2020-09-24,EG,100388076,138,13
2020-09-25,EG,100388076,112,18
2020-09-26,EG,100388076,111,16
