date,countrycode,population,cases,deaths
2020-01-22,FO,53022,0,0
2020-01-23,FO,53022,0,0
2020-01-24,FO,53022,0,0
2020-01-25,FO,53022,0,0
2020-01-26,FO,53022,0,0
2020-01-27,FO,53022,0,0
2020-01-28,FO,53022,0,0
2020-01-29,FO,53022,0,0
2020-01-30,FO,53022,0,0
2020-01-31,FO,53022,0,0
2020-02-01,FO,53022,0,0
2020-02-02,FO,53022,0,0
2020-02-03,FO,53022,0,0
2020-02-04,FO,53022,0,0
2020-02-05,FO,53022,0,0
2020-02-06,FO,53022,0,0
2020-02-07,FO,53022,0,0
2020-02-08,FO,53022,0,0
2020-02-09,FO,53022,0,0
2020-02-10,FO,53022,0,0
2020-02-11,FO,53022,0,0
2020-02-12,FO,53022,0,0
2020-02-13,FO,53022,0,0
2020-02-14,FO,53022,0,0
2020-02-15,FO,53022,0,0
2020-02-16,FO,53022,0,0
2020-02-17,FO,53022,0,0
2020-02-18,FO,53022,0,0
2020-02-19,FO,53022,0,0
2020-02-20,FO,53022,0,0
2020-02-21,FO,53022,0,0
2020-02-22,FO,53022,0,0
2020-02-23,FO,53022,0,0
2020-02-24,FO,53022,0,0
2020-02-25,FO,53022,0,0
2020-02-26,FO,53022,0,0
2020-02-27,FO,53022,0,0
2020-02-28,FO,53022,0,0
2020-02-29,FO,53022,0,0
2020-03-01,FO,53022,0,0
2020-03-02,FO,53022,0,0
2020-03-03,FO,53022,0,0
2020-03-04,FO,53022,1,0
2020-03-05,FO,53022,0,0
2020-03-06,FO,53022,0,0
2020-03-07,FO,53022,0,0
2020-03-08,FO,53022,1,0
2020-03-09,FO,53022,0,0
2020-03-10,FO,53022,0,0
2020-03-11,FO,53022,0,0
2020-03-12,FO,53022,0,0
2020-03-13,FO,53022,1,0
2020-03-14,FO,53022,6,0
2020-03-15,FO,53022,2,0
2020-03-16,FO,53022,7,0
2020-03-17,FO,53022,29,0
2020-03-18,FO,53022,11,0
2020-03-19,FO,53022,14,0
2020-03-20,FO,53022,8,0
2020-03-21,FO,53022,12,0
2020-03-22,FO,53022,23,0
2020-03-23,FO,53022,3,0
2020-03-24,FO,53022,4,0
2020-03-25,FO,53022,10,0
2020-03-26,FO,53022,8,0
2020-03-27,FO,53022,4,0
2020-03-28,FO,53022,11,0
2020-03-29,FO,53022,4,0
2020-03-30,FO,53022,9,0
2020-03-31,FO,53022,1,0
2020-04-01,FO,53022,4,0
2020-04-02,FO,53022,4,0
2020-04-03,FO,53022,2,0
2020-04-04,FO,53022,2,0
2020-04-05,FO,53022,0,0
2020-04-06,FO,53022,2,0
2020-04-07,FO,53022,1,0
2020-04-08,FO,53022,0,0
2020-04-09,FO,53022,0,0
2020-04-10,FO,53022,0,0
2020-04-11,FO,53022,0,0
2020-04-12,FO,53022,0,0
2020-04-13,FO,53022,0,0
2020-04-14,FO,53022,0,0
2020-04-15,FO,53022,0,0
2020-04-16,FO,53022,0,0
2020-04-17,FO,53022,0,0
2020-04-18,FO,53022,0,0
2020-04-19,FO,53022,1,0
2020-04-20,FO,53022,0,0
