date,countrycode,population,cases,deaths
2020-03-14,GH,30417858,0,0
2020-03-15,GH,30417858,3,0
2020-03-16,GH,30417858,0,0
2020-03-17,GH,30417858,1,0
2020-03-18,GH,30417858,0,0
2020-03-19,GH,30417858,4,0
2020-03-20,GH,30417858,5,0
2020-03-21,GH,30417858,3,1
2020-03-22,GH,30417858,4,0
2020-03-23,GH,30417858,4,1
2020-03-24,GH,30417858,26,0
2020-03-25,GH,30417858,40,2
2020-03-26,GH,30417858,39,0
2020-03-27,GH,30417858,5,0
2020-03-28,GH,30417858,4,1
2020-03-29,GH,30417858,11,0
2020-03-30,GH,30417858,0,0
2020-03-31,GH,30417858,9,0
2020-04-01,GH,30417858,34,0
2020-04-02,GH,30417858,9,0
2020-04-03,GH,30417858,1,0
2020-04-04,GH,30417858,0,0
2020-04-05,GH,30417858,9,0
2020-04-06,GH,30417858,0,0
2020-04-07,GH,30417858,73,0
2020-04-08,GH,30417858,26,1
2020-04-09,GH,30417858,65,0
2020-04-10,GH,30417858,0,0
2020-04-11,GH,30417858,30,2
2020-04-12,GH,30417858,158,0
2020-04-13,GH,30417858,0,0
2020-04-14,GH,30417858,70,0
2020-04-15,GH,30417858,0,0
2020-04-16,GH,30417858,5,0
2020-04-17,GH,30417858,0,0
2020-04-18,GH,30417858,193,1
2020-04-19,GH,30417858,208,0
2020-04-20,GH,30417858,0,0
2020-04-21,GH,30417858,0,0
2020-04-22,GH,30417858,112,0
2020-04-23,GH,30417858,0,0
2020-04-24,GH,30417858,125,1
2020-04-25,GH,30417858,0,0
2020-04-26,GH,30417858,271,1
2020-04-27,GH,30417858,0,0
2020-04-28,GH,30417858,121,5
2020-04-29,GH,30417858,0,0
2020-04-30,GH,30417858,403,1
2020-05-01,GH,30417858,0,0
2020-05-02,GH,30417858,95,1
2020-05-03,GH,30417858,0,0
2020-05-04,GH,30417858,550,0
2020-05-05,GH,30417858,0,0
2020-05-06,GH,30417858,372,0
2020-05-07,GH,30417858,0,0
2020-05-08,GH,30417858,921,0
2020-05-09,GH,30417858,251,4
2020-05-10,GH,30417858,0,0
2020-05-11,GH,30417858,437,0
2020-05-12,GH,30417858,427,0
2020-05-13,GH,30417858,281,2
2020-05-14,GH,30417858,122,0
2020-05-15,GH,30417858,108,4
2020-05-16,GH,30417858,97,1
2020-05-17,GH,30417858,0,0
2020-05-18,GH,30417858,0,0
2020-05-19,GH,30417858,361,2
2020-05-20,GH,30417858,173,0
2020-05-21,GH,30417858,0,0
2020-05-22,GH,30417858,217,0
2020-05-23,GH,30417858,131,0
2020-05-24,GH,30417858,66,1
2020-05-25,GH,30417858,125,0
2020-05-26,GH,30417858,309,2
2020-05-27,GH,30417858,186,0
2020-05-28,GH,30417858,0,0
2020-05-29,GH,30417858,313,0
2020-05-30,GH,30417858,152,1
2020-05-31,GH,30417858,302,1
2020-06-01,GH,30417858,0,0
2020-06-02,GH,30417858,227,2
2020-06-03,GH,30417858,251,0
2020-06-04,GH,30417858,337,0
2020-06-05,GH,30417858,283,4
2020-06-06,GH,30417858,294,2
2020-06-07,GH,30417858,176,0
2020-06-08,GH,30417858,272,4
2020-06-09,GH,30417858,291,0
2020-06-10,GH,30417858,0,0
2020-06-11,GH,30417858,157,0
2020-06-12,GH,30417858,498,0
2020-06-13,GH,30417858,262,0
2020-06-14,GH,30417858,846,6
2020-06-15,GH,30417858,0,0
2020-06-16,GH,30417858,229,4
2020-06-17,GH,30417858,397,8
2020-06-18,GH,30417858,339,0
2020-06-19,GH,30417858,274,4
2020-06-20,GH,30417858,514,15
2020-06-21,GH,30417858,437,0
2020-06-22,GH,30417858,0,0
2020-06-23,GH,30417858,414,10
2020-06-24,GH,30417858,445,0
2020-06-25,GH,30417858,460,0
2020-06-26,GH,30417858,361,8
2020-06-27,GH,30417858,597,0
2020-06-28,GH,30417858,311,9
2020-06-29,GH,30417858,609,0
2020-06-30,GH,30417858,390,0
2020-07-01,GH,30417858,393,5
2020-07-02,GH,30417858,0,0
2020-07-03,GH,30417858,1254,0
2020-07-04,GH,30417858,0,0
2020-07-05,GH,30417858,697,5
2020-07-06,GH,30417858,992,7
2020-07-07,GH,30417858,891,0
2020-07-08,GH,30417858,854,0
2020-07-09,GH,30417858,641,0
2020-07-10,GH,30417858,371,6
2020-07-11,GH,30417858,414,0
2020-07-12,GH,30417858,270,4
2020-07-13,GH,30417858,470,0
2020-07-14,GH,30417858,0,0
2020-07-15,GH,30417858,442,0
2020-07-16,GH,30417858,695,0
2020-07-17,GH,30417858,447,5
2020-07-18,GH,30417858,488,1
2020-07-19,GH,30417858,607,3
2020-07-20,GH,30417858,763,5
2020-07-21,GH,30417858,559,0
2020-07-22,GH,30417858,683,0
2020-07-23,GH,30417858,0,0
