date,countrycode,population,cases,deaths
2020-03-22,GM,2229200,0,0
2020-03-23,GM,2229200,1,1
2020-03-24,GM,2229200,1,0
2020-03-25,GM,2229200,0,0
2020-03-26,GM,2229200,0,0
2020-03-27,GM,2229200,0,0
2020-03-28,GM,2229200,0,0
2020-03-29,GM,2229200,1,0
2020-03-30,GM,2229200,0,0
2020-03-31,GM,2229200,0,0
2020-04-01,GM,2229200,0,0
2020-04-02,GM,2229200,0,0
2020-04-03,GM,2229200,0,0
2020-04-04,GM,2229200,0,0
2020-04-05,GM,2229200,0,0
2020-04-06,GM,2229200,0,0
2020-04-07,GM,2229200,0,0
2020-04-08,GM,2229200,0,0
2020-04-09,GM,2229200,0,0
2020-04-10,GM,2229200,0,0
2020-04-11,GM,2229200,5,0
2020-04-12,GM,2229200,0,0
2020-04-13,GM,2229200,0,0
2020-04-14,GM,2229200,0,0
2020-04-15,GM,2229200,0,0
2020-04-16,GM,2229200,0,0
2020-04-17,GM,2229200,0,0
2020-04-18,GM,2229200,0,0
2020-04-19,GM,2229200,1,0
2020-04-20,GM,2229200,0,0
2020-04-21,GM,2229200,0,0
2020-04-22,GM,2229200,0,0
2020-04-23,GM,2229200,0,0
2020-04-24,GM,2229200,0,0
2020-04-25,GM,2229200,0,0
2020-04-26,GM,2229200,0,0
2020-04-27,GM,2229200,0,0
2020-04-28,GM,2229200,0,0
2020-04-29,GM,2229200,0,0
2020-04-30,GM,2229200,1,0
2020-05-01,GM,2229200,1,0
2020-05-02,GM,2229200,5,0
2020-05-03,GM,2229200,0,0
2020-05-04,GM,2229200,0,0
2020-05-05,GM,2229200,0,0
2020-05-06,GM,2229200,0,0
2020-05-07,GM,2229200,1,0
2020-05-08,GM,2229200,2,0
2020-05-09,GM,2229200,0,0
2020-05-10,GM,2229200,0,0
2020-05-11,GM,2229200,2,0
2020-05-12,GM,2229200,0,0
2020-05-13,GM,2229200,1,0
2020-05-14,GM,2229200,0,0
2020-05-15,GM,2229200,0,0
2020-05-16,GM,2229200,0,0
2020-05-17,GM,2229200,0,0
2020-05-18,GM,2229200,1,0
2020-05-19,GM,2229200,0,0
2020-05-20,GM,2229200,0,0
2020-05-21,GM,2229200,0,0
2020-05-22,GM,2229200,1,0
2020-05-23,GM,2229200,0,0
2020-05-24,GM,2229200,0,0
2020-05-25,GM,2229200,0,0
2020-05-26,GM,2229200,0,0
2020-05-27,GM,2229200,0,0
2020-05-28,GM,2229200,0,0
2020-05-29,GM,2229200,0,0
2020-05-30,GM,2229200,0,0
2020-05-31,GM,2229200,0,0
2020-06-01,GM,2229200,0,0
2020-06-02,GM,2229200,0,0
2020-06-03,GM,2229200,1,0
2020-06-04,GM,2229200,0,0
2020-06-05,GM,2229200,0,0
2020-06-06,GM,2229200,0,0
2020-06-07,GM,2229200,0,0
2020-06-08,GM,2229200,2,0
2020-06-09,GM,2229200,0,0
2020-06-10,GM,2229200,0,0
2020-06-11,GM,2229200,0,0
2020-06-12,GM,2229200,0,0
2020-06-13,GM,2229200,0,0
2020-06-14,GM,2229200,0,0
2020-06-15,GM,2229200,2,0
2020-06-16,GM,2229200,4,0
2020-06-17,GM,2229200,0,0
2020-06-18,GM,2229200,2,0
2020-06-19,GM,2229200,0,0
2020-06-20,GM,2229200,1,1
2020-06-21,GM,2229200,0,0
2020-06-22,GM,2229200,4,0
2020-06-23,GM,2229200,1,0
2020-06-24,GM,2229200,0,0
2020-06-25,GM,2229200,1,0
2020-06-26,GM,2229200,0,0
2020-06-27,GM,2229200,1,0
2020-06-28,GM,2229200,1,0
2020-06-29,GM,2229200,2,0
2020-06-30,GM,2229200,2,0
2020-07-01,GM,2229200,0,0
2020-07-02,GM,2229200,6,0
2020-07-03,GM,2229200,0,0
2020-07-04,GM,2229200,2,0
2020-07-05,GM,2229200,0,0
2020-07-06,GM,2229200,4,1
2020-07-07,GM,2229200,0,0
2020-07-08,GM,2229200,0,0
2020-07-09,GM,2229200,2,0
2020-07-10,GM,2229200,1,0
2020-07-11,GM,2229200,0,0
2020-07-12,GM,2229200,0,0
2020-07-13,GM,2229200,0,0
2020-07-14,GM,2229200,0,0
2020-07-15,GM,2229200,0,0
2020-07-16,GM,2229200,14,0
2020-07-17,GM,2229200,0,0
2020-07-18,GM,2229200,15,1
2020-07-19,GM,2229200,0,0
2020-07-20,GM,2229200,19,0
2020-07-21,GM,2229200,0,0
2020-07-22,GM,2229200,34,1
2020-07-23,GM,2229200,24,0
2020-07-24,GM,2229200,46,1
2020-07-25,GM,2229200,61,0
2020-07-26,GM,2229200,0,0
2020-07-27,GM,2229200,49,2
2020-07-28,GM,2229200,0,0
2020-07-29,GM,2229200,0,0
2020-07-30,GM,2229200,77,0
2020-07-31,GM,2229200,95,1
2020-08-01,GM,2229200,0,0
2020-08-02,GM,2229200,0,0
2020-08-03,GM,2229200,0,0
2020-08-04,GM,2229200,173,5
2020-08-05,GM,2229200,128,2
2020-08-06,GM,2229200,136,0
2020-08-07,GM,2229200,155,3
2020-08-08,GM,2229200,0,0
2020-08-09,GM,2229200,145,4
2020-08-10,GM,2229200,0,0
2020-08-11,GM,2229200,111,9
2020-08-12,GM,2229200,131,1
2020-08-13,GM,2229200,79,10
2020-08-14,GM,2229200,67,7
2020-08-15,GM,2229200,66,4
2020-08-16,GM,2229200,183,9
2020-08-17,GM,2229200,0,0
2020-08-18,GM,2229200,244,0
2020-08-19,GM,2229200,172,14
2020-08-20,GM,2229200,113,4
2020-08-21,GM,2229200,36,3
2020-08-22,GM,2229200,0,0
2020-08-23,GM,2229200,248,3
2020-08-24,GM,2229200,-100,0
2020-08-25,GM,2229200,101,3
2020-08-26,GM,2229200,22,3
2020-08-27,GM,2229200,35,0
2020-08-28,GM,2229200,54,3
2020-08-29,GM,2229200,98,0
2020-08-30,GM,2229200,68,0
2020-08-31,GM,2229200,0,0
2020-09-01,GM,2229200,66,0
2020-09-02,GM,2229200,38,1
2020-09-03,GM,2229200,34,2
2020-09-04,GM,2229200,19,0
2020-09-05,GM,2229200,30,0
2020-09-06,GM,2229200,47,0
2020-09-07,GM,2229200,0,0
2020-09-08,GM,2229200,78,0
2020-09-09,GM,2229200,18,0
2020-09-10,GM,2229200,37,1
2020-09-11,GM,2229200,32,0
2020-09-12,GM,2229200,14,2
2020-09-13,GM,2229200,29,1
2020-09-14,GM,2229200,0,0
2020-09-15,GM,2229200,23,2
2020-09-16,GM,2229200,12,2
2020-09-17,GM,2229200,33,0
2020-09-18,GM,2229200,12,1
2020-09-19,GM,2229200,19,0
2020-09-20,GM,2229200,22,0
2020-09-21,GM,2229200,0,0
2020-09-22,GM,2229200,14,2
2020-09-23,GM,2229200,2,0
2020-09-24,GM,2229200,10,0
2020-09-25,GM,2229200,3,0
2020-09-26,GM,2229200,0,0
2020-09-27,GM,2229200,14,1
2020-09-28,GM,2229200,0,0
2020-09-29,GM,2229200,10,1
2020-09-30,GM,2229200,0,0
2020-10-01,GM,2229200,5,1
2020-10-02,GM,2229200,1,2
2020-10-03,GM,2229200,5,0
2020-10-04,GM,2229200,4,0
2020-10-05,GM,2229200,0,0
2020-10-06,GM,2229200,19,2
2020-10-07,GM,2229200,0,0
2020-10-08,GM,2229200,4,0
2020-10-09,GM,2229200,4,0
2020-10-10,GM,2229200,7,0
2020-10-11,GM,2229200,4,0
2020-10-12,GM,2229200,4,1
2020-10-13,GM,2229200,0,0
2020-10-14,GM,2229200,6,0
2020-10-15,GM,2229200,2,0
2020-10-16,GM,2229200,5,0
2020-10-17,GM,2229200,0,0
2020-10-18,GM,2229200,0,0
2020-10-19,GM,2229200,0,0
2020-10-20,GM,2229200,6,0
2020-10-21,GM,2229200,2,0
2020-10-22,GM,2229200,2,1
2020-10-23,GM,2229200,0,0
2020-10-24,GM,2229200,0,0
2020-10-25,GM,2229200,1,0
2020-10-26,GM,2229200,5,0
2020-10-27,GM,2229200,1,0
2020-10-28,GM,2229200,0,0
2020-10-29,GM,2229200,0,0
2020-10-30,GM,2229200,4,0
2020-10-31,GM,2229200,2,0
2020-11-01,GM,2229200,0,0
2020-11-02,GM,2229200,0,0
2020-11-03,GM,2229200,7,1
2020-11-04,GM,2229200,1,0
2020-11-05,GM,2229200,1,0
2020-11-06,GM,2229200,3,1
2020-11-07,GM,2229200,0,0
2020-11-08,GM,2229200,0,0
2020-11-09,GM,2229200,12,1
2020-11-10,GM,2229200,0,0
2020-11-11,GM,2229200,1,0
2020-11-12,GM,2229200,0,0
2020-11-13,GM,2229200,1,0
2020-11-14,GM,2229200,4,0
2020-11-15,GM,2229200,0,0
2020-11-16,GM,2229200,3,0
2020-11-17,GM,2229200,0,0
2020-11-18,GM,2229200,0,0
2020-11-19,GM,2229200,0,0
2020-11-20,GM,2229200,1,0
2020-11-21,GM,2229200,20,1
2020-11-22,GM,2229200,0,0
2020-11-23,GM,2229200,0,0
2020-11-24,GM,2229200,0,0
2020-11-25,GM,2229200,1,0
2020-11-26,GM,2229200,1,0
2020-11-27,GM,2229200,3,0
2020-11-28,GM,2229200,0,0
2020-11-29,GM,2229200,3,0
2020-11-30,GM,2229200,8,0
2020-12-01,GM,2229200,1,0
2020-12-02,GM,2229200,22,0
2020-12-03,GM,2229200,2,0
