date,countrycode,population,cases,deaths
2020-03-13,GN,12907395,0,0
2020-03-14,GN,12907395,0,0
2020-03-15,GN,12907395,0,0
2020-03-16,GN,12907395,0,0
2020-03-17,GN,12907395,0,0
2020-03-18,GN,12907395,0,0
2020-03-19,GN,12907395,0,0
2020-03-20,GN,12907395,0,0
2020-03-21,GN,12907395,1,0
2020-03-22,GN,12907395,0,0
2020-03-23,GN,12907395,2,0
2020-03-24,GN,12907395,0,0
2020-03-25,GN,12907395,0,0
2020-03-26,GN,12907395,0,0
2020-03-27,GN,12907395,4,0
2020-03-28,GN,12907395,0,0
2020-03-29,GN,12907395,8,0
2020-03-30,GN,12907395,6,0
2020-03-31,GN,12907395,0,0
2020-04-01,GN,12907395,8,0
2020-04-02,GN,12907395,22,0
2020-04-03,GN,12907395,21,0
2020-04-04,GN,12907395,38,0
2020-04-05,GN,12907395,10,0
2020-04-06,GN,12907395,7,0
2020-04-07,GN,12907395,16,0
2020-04-08,GN,12907395,20,0
2020-04-09,GN,12907395,30,0
2020-04-10,GN,12907395,18,0
2020-04-11,GN,12907395,38,0
2020-04-12,GN,12907395,0,0
2020-04-13,GN,12907395,69,0
2020-04-14,GN,12907395,44,0
2020-04-15,GN,12907395,41,1
2020-04-16,GN,12907395,34,0
2020-04-17,GN,12907395,39,2
2020-04-18,GN,12907395,41,0
2020-04-19,GN,12907395,61,2
2020-04-20,GN,12907395,43,0
2020-04-21,GN,12907395,66,1
2020-04-22,GN,12907395,73,0
2020-04-23,GN,12907395,101,0
2020-04-24,GN,12907395,92,0
2020-04-25,GN,12907395,42,1
2020-04-26,GN,12907395,0,0
2020-04-27,GN,12907395,167,0
2020-04-28,GN,12907395,77,0
2020-04-29,GN,12907395,111,0
2020-04-30,GN,12907395,144,0
2020-05-01,GN,12907395,42,0
2020-05-02,GN,12907395,49,0
2020-05-03,GN,12907395,0,0
2020-05-04,GN,12907395,124,2
2020-05-05,GN,12907395,101,1
2020-05-06,GN,12907395,45,1
2020-05-07,GN,12907395,71,0
2020-05-08,GN,12907395,82,0
2020-05-09,GN,12907395,33,0
2020-05-10,GN,12907395,104,0
2020-05-11,GN,12907395,0,0
2020-05-12,GN,12907395,152,0
2020-05-13,GN,12907395,76,3
2020-05-14,GN,12907395,99,1
2020-05-15,GN,12907395,0,0
2020-05-16,GN,12907395,185,1
2020-05-17,GN,12907395,0,0
2020-05-18,GN,12907395,138,0
2020-05-19,GN,12907395,67,2
2020-05-20,GN,12907395,0,0
2020-05-21,GN,12907395,204,0
2020-05-22,GN,12907395,0,1
2020-05-23,GN,12907395,109,1
2020-05-24,GN,12907395,99,0
2020-05-25,GN,12907395,0,0
2020-05-26,GN,12907395,0,0
2020-05-27,GN,12907395,0,0
2020-05-28,GN,12907395,278,2
2020-05-29,GN,12907395,103,0
2020-05-30,GN,12907395,50,1
2020-05-31,GN,12907395,0,0
2020-06-01,GN,12907395,138,0
2020-06-02,GN,12907395,42,0
2020-06-03,GN,12907395,47,0
2020-06-04,GN,12907395,58,0
2020-06-05,GN,12907395,69,0
2020-06-06,GN,12907395,57,0
2020-06-07,GN,12907395,0,0
2020-06-08,GN,12907395,99,0
2020-06-09,GN,12907395,42,0
2020-06-10,GN,12907395,0,0
2020-06-11,GN,12907395,114,0
2020-06-12,GN,12907395,54,1
2020-06-13,GN,12907395,58,1
2020-06-14,GN,12907395,48,0
2020-06-15,GN,12907395,40,1
2020-06-16,GN,12907395,67,0
2020-06-17,GN,12907395,29,0
2020-06-18,GN,12907395,173,0
2020-06-19,GN,12907395,63,1
2020-06-20,GN,12907395,56,0
2020-06-21,GN,12907395,28,0
2020-06-22,GN,12907395,0,0
2020-06-23,GN,12907395,52,1
2020-06-24,GN,12907395,134,1
2020-06-25,GN,12907395,0,0
2020-06-26,GN,12907395,86,0
2020-06-27,GN,12907395,31,1
2020-06-28,GN,12907395,51,1
2020-06-29,GN,12907395,9,0
2020-06-30,GN,12907395,40,2
2020-07-01,GN,12907395,13,0
2020-07-02,GN,12907395,46,0
2020-07-03,GN,12907395,71,0
2020-07-04,GN,12907395,49,1
2020-07-05,GN,12907395,40,0
2020-07-06,GN,12907395,0,0
2020-07-07,GN,12907395,26,0
2020-07-08,GN,12907395,61,0
2020-07-09,GN,12907395,184,2
2020-07-10,GN,12907395,88,1
2020-07-11,GN,12907395,75,0
2020-07-12,GN,12907395,97,0
2020-07-13,GN,12907395,0,0
2020-07-14,GN,12907395,59,1
2020-07-15,GN,12907395,76,0
2020-07-16,GN,12907395,83,1
2020-07-17,GN,12907395,71,0
2020-07-18,GN,12907395,61,0
2020-07-19,GN,12907395,53,0
2020-07-20,GN,12907395,46,1
2020-07-21,GN,12907395,62,1
2020-07-22,GN,12907395,95,0
2020-07-23,GN,12907395,59,1
2020-07-24,GN,12907395,61,0
2020-07-25,GN,12907395,60,0
2020-07-26,GN,12907395,81,1
2020-07-27,GN,12907395,47,2
