date,countrycode,population,cases,deaths
2020-03-14,GT,17581476,0,0
2020-03-15,GT,17581476,0,0
2020-03-16,GT,17581476,1,1
2020-03-17,GT,17581476,4,0
2020-03-18,GT,17581476,0,0
2020-03-19,GT,17581476,3,0
2020-03-20,GT,17581476,3,0
2020-03-21,GT,17581476,5,0
2020-03-22,GT,17581476,2,0
2020-03-23,GT,17581476,1,0
2020-03-24,GT,17581476,1,0
2020-03-25,GT,17581476,3,0
2020-03-26,GT,17581476,1,0
2020-03-27,GT,17581476,3,0
2020-03-28,GT,17581476,6,0
2020-03-29,GT,17581476,0,0
2020-03-30,GT,17581476,2,0
2020-03-31,GT,17581476,2,0
2020-04-01,GT,17581476,1,0
2020-04-02,GT,17581476,8,0
2020-04-03,GT,17581476,3,0
2020-04-04,GT,17581476,11,1
2020-04-05,GT,17581476,0,0
2020-04-06,GT,17581476,9,1
2020-04-07,GT,17581476,7,0
2020-04-08,GT,17581476,10,0
2020-04-09,GT,17581476,8,0
2020-04-10,GT,17581476,31,0
2020-04-11,GT,17581476,11,0
2020-04-12,GT,17581476,18,2
2020-04-13,GT,17581476,1,0
2020-04-14,GT,17581476,11,0
2020-04-15,GT,17581476,13,0
2020-04-16,GT,17581476,16,0
2020-04-17,GT,17581476,18,2
2020-04-18,GT,17581476,21,0
2020-04-19,GT,17581476,22,0
2020-04-20,GT,17581476,32,0
2020-04-21,GT,17581476,5,0
2020-04-22,GT,17581476,22,1
2020-04-23,GT,17581476,68,3
2020-04-24,GT,17581476,46,0
2020-04-25,GT,17581476,43,2
2020-04-26,GT,17581476,27,2
2020-04-27,GT,17581476,30,0
2020-04-28,GT,17581476,0,0
2020-04-29,GT,17581476,27,1
2020-04-30,GT,17581476,42,0
2020-05-01,GT,17581476,45,0
2020-05-02,GT,17581476,44,1
2020-05-03,GT,17581476,15,0
2020-05-04,GT,17581476,27,2
2020-05-05,GT,17581476,33,0
2020-05-06,GT,17581476,35,2
2020-05-07,GT,17581476,34,2
2020-05-08,GT,17581476,68,1
2020-05-09,GT,17581476,67,0
2020-05-10,GT,17581476,85,2
2020-05-11,GT,17581476,62,0
2020-05-12,GT,17581476,85,1
2020-05-13,GT,17581476,143,2
2020-05-14,GT,17581476,176,0
2020-05-15,GT,17581476,125,1
2020-05-16,GT,17581476,120,3
2020-05-17,GT,17581476,0,0
2020-05-18,GT,17581476,149,2
2020-05-19,GT,17581476,221,8
2020-05-20,GT,17581476,132,2
2020-05-21,GT,17581476,247,3
2020-05-22,GT,17581476,231,3
2020-05-23,GT,17581476,311,4
2020-05-24,GT,17581476,370,3
2020-05-25,GT,17581476,336,1
2020-05-26,GT,17581476,194,4
2020-05-27,GT,17581476,191,5
2020-05-28,GT,17581476,203,12
2020-05-29,GT,17581476,259,10
2020-05-30,GT,17581476,132,12
2020-05-31,GT,17581476,348,6
2020-06-01,GT,17581476,249,8
2020-06-02,GT,17581476,250,7
2020-06-03,GT,17581476,174,20
2020-06-04,GT,17581476,394,15
2020-06-05,GT,17581476,331,58
2020-06-06,GT,17581476,307,14
2020-06-07,GT,17581476,263,22
2020-06-08,GT,17581476,447,15
2020-06-09,GT,17581476,364,22
2020-06-10,GT,17581476,355,27
2020-06-11,GT,17581476,340,18
2020-06-12,GT,17581476,421,17
2020-06-13,GT,17581476,509,16
2020-06-14,GT,17581476,354,17
2020-06-15,GT,17581476,427,15
2020-06-16,GT,17581476,434,19
2020-06-17,GT,17581476,545,14
2020-06-18,GT,17581476,617,17
2020-06-19,GT,17581476,641,34
2020-06-20,GT,17581476,246,31
2020-06-21,GT,17581476,390,17
2020-06-22,GT,17581476,624,16
2020-06-23,GT,17581476,771,35
2020-06-24,GT,17581476,279,19
2020-06-25,GT,17581476,800,22
2020-06-26,GT,17581476,209,49
2020-06-27,GT,17581476,569,34
2020-06-28,GT,17581476,533,21
2020-06-29,GT,17581476,479,19
2020-06-30,GT,17581476,687,27
2020-07-01,GT,17581476,915,44
2020-07-02,GT,17581476,1061,26
2020-07-03,GT,17581476,1221,37
2020-07-04,GT,17581476,1208,40
2020-07-05,GT,17581476,747,27
2020-07-06,GT,17581476,724,34
2020-07-07,GT,17581476,815,23
2020-07-08,GT,17581476,624,49
2020-07-09,GT,17581476,1247,39
2020-07-10,GT,17581476,961,47
2020-07-11,GT,17581476,979,33
2020-07-12,GT,17581476,757,47
