date,countrycode,population,cases,deaths
2020-01-22,GU,178306,0,0
2020-01-23,GU,178306,0,0
2020-01-24,GU,178306,0,0
2020-01-25,GU,178306,0,0
2020-01-26,GU,178306,0,0
2020-01-27,GU,178306,0,0
2020-01-28,GU,178306,0,0
2020-01-29,GU,178306,0,0
2020-01-30,GU,178306,0,0
2020-01-31,GU,178306,0,0
2020-02-01,GU,178306,0,0
2020-02-02,GU,178306,0,0
2020-02-03,GU,178306,0,0
2020-02-04,GU,178306,0,0
2020-02-05,GU,178306,0,0
2020-02-06,GU,178306,0,0
2020-02-07,GU,178306,0,0
2020-02-08,GU,178306,0,0
2020-02-09,GU,178306,0,0
2020-02-10,GU,178306,0,0
2020-02-11,GU,178306,0,0
2020-02-12,GU,178306,0,0
2020-02-13,GU,178306,0,0
2020-02-14,GU,178306,0,0
2020-02-15,GU,178306,0,0
2020-02-16,GU,178306,0,0
2020-02-17,GU,178306,0,0
2020-02-18,GU,178306,0,0
2020-02-19,GU,178306,0,0
2020-02-20,GU,178306,0,0
2020-02-21,GU,178306,0,0
2020-02-22,GU,178306,0,0
2020-02-23,GU,178306,0,0
2020-02-24,GU,178306,0,0
2020-02-25,GU,178306,0,0
2020-02-26,GU,178306,0,0
2020-02-27,GU,178306,0,0
2020-02-28,GU,178306,0,0
2020-02-29,GU,178306,0,0
2020-03-01,GU,178306,0,0
2020-03-02,GU,178306,0,0
2020-03-03,GU,178306,0,0
2020-03-04,GU,178306,0,0
2020-03-05,GU,178306,0,0
2020-03-06,GU,178306,0,0
2020-03-07,GU,178306,0,0
2020-03-08,GU,178306,0,0
2020-03-09,GU,178306,0,0
2020-03-10,GU,178306,0,0
2020-03-11,GU,178306,0,0
2020-03-12,GU,178306,0,0
2020-03-13,GU,178306,0,0
2020-03-14,GU,178306,0,0
2020-03-15,GU,178306,0,0
2020-03-16,GU,178306,3,0
2020-03-17,GU,178306,0,0
2020-03-18,GU,178306,2,0
2020-03-19,GU,178306,7,0
2020-03-20,GU,178306,2,0
2020-03-21,GU,178306,1,0
2020-03-22,GU,178306,12,1
2020-03-23,GU,178306,2,0
2020-03-24,GU,178306,3,0
2020-03-25,GU,178306,5,0
2020-03-26,GU,178306,8,0
2020-03-27,GU,178306,6,0
2020-03-28,GU,178306,4,0
2020-03-29,GU,178306,1,0
2020-03-30,GU,178306,2,0
2020-03-31,GU,178306,11,1
2020-04-01,GU,178306,8,1
2020-04-02,GU,178306,5,0
2020-04-03,GU,178306,2,1
2020-04-04,GU,178306,9,0
2020-04-05,GU,178306,19,0
2020-04-06,GU,178306,1,0
2020-04-07,GU,178306,8,0
2020-04-08,GU,178306,0,0
2020-04-09,GU,178306,7,0
2020-04-10,GU,178306,2,0
2020-04-11,GU,178306,3,1
2020-04-12,GU,178306,0,0
2020-04-13,GU,178306,0,0
2020-04-14,GU,178306,0,0
