date,countrycode,population,cases,deaths
2020-01-22,HK,7496981,0,0
2020-01-23,HK,7496981,2,0
2020-01-24,HK,7496981,0,0
2020-01-25,HK,7496981,3,0
2020-01-26,HK,7496981,3,0
2020-01-27,HK,7496981,0,0
2020-01-28,HK,7496981,0,0
2020-01-29,HK,7496981,2,0
2020-01-30,HK,7496981,0,0
2020-01-31,HK,7496981,2,0
2020-02-01,HK,7496981,1,0
2020-02-02,HK,7496981,2,0
2020-02-03,HK,7496981,0,0
2020-02-04,HK,7496981,2,1
2020-02-05,HK,7496981,4,0
2020-02-06,HK,7496981,3,0
2020-02-07,HK,7496981,1,0
2020-02-08,HK,7496981,1,0
2020-02-09,HK,7496981,3,0
2020-02-10,HK,7496981,9,0
2020-02-11,HK,7496981,11,0
2020-02-12,HK,7496981,1,0
2020-02-13,HK,7496981,3,0
2020-02-14,HK,7496981,3,0
2020-02-15,HK,7496981,0,0
2020-02-16,HK,7496981,1,0
2020-02-17,HK,7496981,3,0
2020-02-18,HK,7496981,2,0
2020-02-19,HK,7496981,1,1
2020-02-20,HK,7496981,5,0
2020-02-21,HK,7496981,0,0
2020-02-22,HK,7496981,1,0
2020-02-23,HK,7496981,5,0
2020-02-24,HK,7496981,5,0
2020-02-25,HK,7496981,5,0
2020-02-26,HK,7496981,7,0
2020-02-27,HK,7496981,1,0
2020-02-28,HK,7496981,2,0
2020-02-29,HK,7496981,1,0
2020-03-01,HK,7496981,1,0
2020-03-02,HK,7496981,4,0
2020-03-03,HK,7496981,0,0
2020-03-04,HK,7496981,5,0
2020-03-05,HK,7496981,0,0
2020-03-06,HK,7496981,2,0
2020-03-07,HK,7496981,1,0
2020-03-08,HK,7496981,6,1
2020-03-09,HK,7496981,1,0
2020-03-10,HK,7496981,5,0
2020-03-11,HK,7496981,6,0
2020-03-12,HK,7496981,3,0
2020-03-13,HK,7496981,5,1
2020-03-14,HK,7496981,6,0
2020-03-15,HK,7496981,5,0
2020-03-16,HK,7496981,10,0
2020-03-17,HK,7496981,7,0
2020-03-18,HK,7496981,19,0
2020-03-19,HK,7496981,27,0
2020-03-20,HK,7496981,48,0
2020-03-21,HK,7496981,17,0
2020-03-22,HK,7496981,44,0
2020-03-23,HK,7496981,39,0
2020-03-24,HK,7496981,30,0
2020-03-25,HK,7496981,24,0
2020-03-26,HK,7496981,43,0
2020-03-27,HK,7496981,66,0
2020-03-28,HK,7496981,42,0
2020-03-29,HK,7496981,80,0
2020-03-30,HK,7496981,41,0
2020-03-31,HK,7496981,32,0
2020-04-01,HK,7496981,51,0
2020-04-02,HK,7496981,37,0
2020-04-03,HK,7496981,43,0
2020-04-04,HK,7496981,17,0
2020-04-05,HK,7496981,28,0
2020-04-06,HK,7496981,24,0
2020-04-07,HK,7496981,21,0
2020-04-08,HK,7496981,25,0
2020-04-09,HK,7496981,13,0
2020-04-10,HK,7496981,16,0
2020-04-11,HK,7496981,11,0
2020-04-12,HK,7496981,4,0
2020-04-13,HK,7496981,5,0
2020-04-14,HK,7496981,3,0
2020-04-15,HK,7496981,5,0
2020-04-16,HK,7496981,0,0
2020-04-17,HK,7496981,4,0
2020-04-18,HK,7496981,3,0
2020-04-19,HK,7496981,1,0
2020-04-20,HK,7496981,0,0
2020-04-21,HK,7496981,4,0
2020-04-22,HK,7496981,4,0
2020-04-23,HK,7496981,2,0
2020-04-24,HK,7496981,0,0
2020-04-25,HK,7496981,2,0
2020-04-26,HK,7496981,0,0
2020-04-27,HK,7496981,0,0
2020-04-28,HK,7496981,0,0
2020-04-29,HK,7496981,0,0
2020-04-30,HK,7496981,0,0
2020-05-01,HK,7496981,2,0
2020-05-02,HK,7496981,0,0
2020-05-03,HK,7496981,0,0
2020-05-04,HK,7496981,1,0
2020-05-05,HK,7496981,0,0
2020-05-06,HK,7496981,0,0
2020-05-07,HK,7496981,4,0
2020-05-08,HK,7496981,0,0
2020-05-09,HK,7496981,0,0
2020-05-10,HK,7496981,3,0
2020-05-11,HK,7496981,0,0
2020-05-12,HK,7496981,0,0
2020-05-13,HK,7496981,3,0
2020-05-14,HK,7496981,1,0
2020-05-15,HK,7496981,1,0
2020-05-16,HK,7496981,0,0
2020-05-17,HK,7496981,3,0
2020-05-18,HK,7496981,0,0
2020-05-19,HK,7496981,0,0
2020-05-20,HK,7496981,0,0
2020-05-21,HK,7496981,0,0
2020-05-22,HK,7496981,10,0
2020-05-23,HK,7496981,0,0
2020-05-24,HK,7496981,0,0
2020-05-25,HK,7496981,0,0
2020-05-26,HK,7496981,0,0
2020-05-27,HK,7496981,1,0
2020-05-28,HK,7496981,0,0
2020-05-29,HK,7496981,13,0
2020-05-30,HK,7496981,3,0
2020-05-31,HK,7496981,2,0
2020-06-01,HK,7496981,3,0
2020-06-02,HK,7496981,6,0
2020-06-03,HK,7496981,0,0
2020-06-04,HK,7496981,6,0
2020-06-05,HK,7496981,3,0
2020-06-06,HK,7496981,3,0
2020-06-07,HK,7496981,1,0
2020-06-08,HK,7496981,1,0
2020-06-09,HK,7496981,0,0
2020-06-10,HK,7496981,0,0
2020-06-11,HK,7496981,0,0
2020-06-12,HK,7496981,1,0
2020-06-13,HK,7496981,1,0
2020-06-14,HK,7496981,0,0
2020-06-15,HK,7496981,3,0
2020-06-16,HK,7496981,0,0
2020-06-17,HK,7496981,8,0
2020-06-18,HK,7496981,4,0
2020-06-19,HK,7496981,0,0
2020-06-20,HK,7496981,4,1
2020-06-21,HK,7496981,3,0
2020-06-22,HK,7496981,30,0
2020-06-23,HK,7496981,16,1
2020-06-24,HK,7496981,2,0
2020-06-25,HK,7496981,14,1
2020-06-26,HK,7496981,3,0
2020-06-27,HK,7496981,1,0
2020-06-28,HK,7496981,2,0
2020-06-29,HK,7496981,4,0
2020-06-30,HK,7496981,2,0
2020-07-01,HK,7496981,28,0
2020-07-02,HK,7496981,9,0
2020-07-03,HK,7496981,5,0
2020-07-04,HK,7496981,11,0
2020-07-05,HK,7496981,10,0
2020-07-06,HK,7496981,17,0
2020-07-07,HK,7496981,14,0
2020-07-08,HK,7496981,24,0
2020-07-09,HK,7496981,42,0
2020-07-10,HK,7496981,0,0
2020-07-11,HK,7496981,66,0
2020-07-12,HK,7496981,38,0
2020-07-13,HK,7496981,0,0
2020-07-14,HK,7496981,100,1
2020-07-15,HK,7496981,19,2
2020-07-16,HK,7496981,67,0
2020-07-17,HK,7496981,58,1
2020-07-18,HK,7496981,0,1
2020-07-19,HK,7496981,64,0
2020-07-20,HK,7496981,108,0
2020-07-21,HK,7496981,73,2
2020-07-22,HK,7496981,173,0
2020-07-23,HK,7496981,118,1
2020-07-24,HK,7496981,123,1
2020-07-25,HK,7496981,133,2
2020-07-26,HK,7496981,128,0
2020-07-27,HK,7496981,145,4
2020-07-28,HK,7496981,106,1
2020-07-29,HK,7496981,118,1
2020-07-30,HK,7496981,149,1
2020-07-31,HK,7496981,121,2
2020-08-01,HK,7496981,124,6
2020-08-02,HK,7496981,115,2
2020-08-03,HK,7496981,78,3
2020-08-04,HK,7496981,80,4
2020-08-05,HK,7496981,85,1
2020-08-06,HK,7496981,95,3
2020-08-07,HK,7496981,89,1
2020-08-08,HK,7496981,69,0
2020-08-09,HK,7496981,72,5
2020-08-10,HK,7496981,69,3
2020-08-11,HK,7496981,33,4
2020-08-12,HK,7496981,62,4
2020-08-13,HK,7496981,69,3
2020-08-14,HK,7496981,48,1
2020-08-15,HK,7496981,46,2
2020-08-16,HK,7496981,74,0
2020-08-17,HK,7496981,44,0
2020-08-18,HK,7496981,36,2
2020-08-19,HK,7496981,26,1
2020-08-20,HK,7496981,18,3
2020-08-21,HK,7496981,27,0
2020-08-22,HK,7496981,26,2
2020-08-23,HK,7496981,25,0
2020-08-24,HK,7496981,9,0
2020-08-25,HK,7496981,19,1
2020-08-26,HK,7496981,24,1
2020-08-27,HK,7496981,21,2
2020-08-28,HK,7496981,13,3
2020-08-29,HK,7496981,18,3
2020-08-30,HK,7496981,15,1
2020-08-31,HK,7496981,9,1
2020-09-01,HK,7496981,12,1
2020-09-02,HK,7496981,8,3
2020-09-03,HK,7496981,8,1
2020-09-04,HK,7496981,12,0
2020-09-05,HK,7496981,7,0
2020-09-06,HK,7496981,21,2
2020-09-07,HK,7496981,11,2
2020-09-08,HK,7496981,6,1
2020-09-09,HK,7496981,6,0
2020-09-10,HK,7496981,12,0
