date,countrycode,population,cases,deaths
2020-03-11,HN,9746115,0,0
2020-03-12,HN,9746115,0,0
2020-03-13,HN,9746115,0,0
2020-03-14,HN,9746115,0,0
2020-03-15,HN,9746115,1,0
2020-03-16,HN,9746115,3,0
2020-03-17,HN,9746115,2,0
2020-03-18,HN,9746115,1,0
2020-03-19,HN,9746115,3,0
2020-03-20,HN,9746115,12,0
2020-03-21,HN,9746115,0,0
2020-03-22,HN,9746115,2,0
2020-03-23,HN,9746115,1,0
2020-03-24,HN,9746115,3,0
2020-03-25,HN,9746115,6,0
2020-03-26,HN,9746115,16,1
2020-03-27,HN,9746115,16,0
2020-03-28,HN,9746115,27,0
2020-03-29,HN,9746115,15,2
2020-03-30,HN,9746115,29,4
2020-03-31,HN,9746115,2,0
2020-04-01,HN,9746115,31,3
2020-04-02,HN,9746115,47,4
2020-04-03,HN,9746115,3,1
2020-04-04,HN,9746115,42,0
2020-04-05,HN,9746115,4,7
2020-04-06,HN,9746115,30,0
2020-04-07,HN,9746115,7,0
2020-04-08,HN,9746115,7,0
2020-04-09,HN,9746115,31,1
2020-04-10,HN,9746115,39,0
2020-04-11,HN,9746115,10,1
2020-04-12,HN,9746115,1,1
2020-04-13,HN,9746115,4,0
2020-04-14,HN,9746115,10,1
2020-04-15,HN,9746115,12,5
2020-04-16,HN,9746115,7,4
2020-04-17,HN,9746115,16,6
2020-04-18,HN,9746115,15,5
2020-04-19,HN,9746115,15,0
2020-04-20,HN,9746115,5,0
2020-04-21,HN,9746115,17,0
2020-04-22,HN,9746115,16,0
2020-04-23,HN,9746115,9,1
2020-04-24,HN,9746115,72,8
2020-04-25,HN,9746115,36,4
2020-04-26,HN,9746115,0,0
2020-04-27,HN,9746115,34,2
2020-04-28,HN,9746115,41,3
2020-04-29,HN,9746115,36,2
2020-04-30,HN,9746115,33,5
2020-05-01,HN,9746115,33,4
2020-05-02,HN,9746115,206,1
2020-05-03,HN,9746115,45,6
2020-05-04,HN,9746115,123,1
2020-05-05,HN,9746115,92,10
2020-05-06,HN,9746115,191,6
2020-05-07,HN,9746115,224,6
2020-05-08,HN,9746115,86,2
2020-05-09,HN,9746115,59,1
2020-05-10,HN,9746115,142,0
2020-05-11,HN,9746115,128,8
2020-05-12,HN,9746115,-20,5
2020-05-13,HN,9746115,175,2
2020-05-14,HN,9746115,63,10
2020-05-15,HN,9746115,142,1
2020-05-16,HN,9746115,105,4
2020-05-17,HN,9746115,81,4
2020-05-18,HN,9746115,152,4
2020-05-19,HN,9746115,157,1
2020-05-20,HN,9746115,0,0
2020-05-21,HN,9746115,249,9
2020-05-22,HN,9746115,273,11
2020-05-23,HN,9746115,0,0
2020-05-24,HN,9746115,473,13
2020-05-25,HN,9746115,239,2
2020-05-26,HN,9746115,212,6
2020-05-27,HN,9746115,239,6
2020-05-28,HN,9746115,112,2
2020-05-29,HN,9746115,0,0
2020-05-30,HN,9746115,342,5
2020-05-31,HN,9746115,108,11
2020-06-01,HN,9746115,160,5
2020-06-02,HN,9746115,165,8
2020-06-03,HN,9746115,163,9
2020-06-04,HN,9746115,190,9
2020-06-05,HN,9746115,91,5
2020-06-06,HN,9746115,184,2
2020-06-07,HN,9746115,172,8
2020-06-08,HN,9746115,123,4
2020-06-09,HN,9746115,485,9
2020-06-10,HN,9746115,425,19
2020-06-11,HN,9746115,309,4
2020-06-12,HN,9746115,463,12
2020-06-13,HN,9746115,323,4
2020-06-14,HN,9746115,403,2
2020-06-15,HN,9746115,320,10
2020-06-16,HN,9746115,478,8
2020-06-17,HN,9746115,643,6
2020-06-18,HN,9746115,440,7
2020-06-19,HN,9746115,519,6
2020-06-20,HN,9746115,1048,9
2020-06-21,HN,9746115,463,5
2020-06-22,HN,9746115,587,32
2020-06-23,HN,9746115,587,10
2020-06-24,HN,9746115,628,12
2020-06-25,HN,9746115,795,9
2020-06-26,HN,9746115,628,45
2020-06-27,HN,9746115,1013,8
2020-06-28,HN,9746115,1075,0
2020-06-29,HN,9746115,736,6
2020-06-30,HN,9746115,740,12
2020-07-01,HN,9746115,704,45
2020-07-02,HN,9746115,858,49
2020-07-03,HN,9746115,996,14
2020-07-04,HN,9746115,805,24
2020-07-05,HN,9746115,1022,10
2020-07-06,HN,9746115,722,17
2020-07-07,HN,9746115,763,21
2020-07-08,HN,9746115,550,17
2020-07-09,HN,9746115,406,10
2020-07-10,HN,9746115,669,46
2020-07-11,HN,9746115,530,21
2020-07-12,HN,9746115,507,3
2020-07-13,HN,9746115,489,15
2020-07-14,HN,9746115,527,18
2020-07-15,HN,9746115,930,18
2020-07-16,HN,9746115,831,10
2020-07-17,HN,9746115,878,22
2020-07-18,HN,9746115,1048,34
2020-07-19,HN,9746115,1042,9
2020-07-20,HN,9746115,776,35
2020-07-21,HN,9746115,734,53
2020-07-22,HN,9746115,757,18
2020-07-23,HN,9746115,800,5
2020-07-24,HN,9746115,657,50
2020-07-25,HN,9746115,879,37
2020-07-26,HN,9746115,838,18
2020-07-27,HN,9746115,465,50
2020-07-28,HN,9746115,719,48
2020-07-29,HN,9746115,484,45
2020-07-30,HN,9746115,482,53
2020-07-31,HN,9746115,588,25
2020-08-01,HN,9746115,671,31
2020-08-02,HN,9746115,512,9
2020-08-03,HN,9746115,597,7
2020-08-04,HN,9746115,505,16
2020-08-05,HN,9746115,799,23
2020-08-06,HN,9746115,657,23
2020-08-07,HN,9746115,610,19
2020-08-08,HN,9746115,608,11
2020-08-09,HN,9746115,481,19
2020-08-10,HN,9746115,418,11
2020-08-11,HN,9746115,531,9
2020-08-12,HN,9746115,254,18
2020-08-13,HN,9746115,385,9
2020-08-14,HN,9746115,425,6
2020-08-15,HN,9746115,512,19
2020-08-16,HN,9746115,523,8
2020-08-17,HN,9746115,493,8
2020-08-18,HN,9746115,675,10
2020-08-19,HN,9746115,628,15
