date,countrycode,population,cases,deaths
2020-03-20,HT,11263079,0,0
2020-03-21,HT,11263079,0,0
2020-03-22,HT,11263079,0,0
2020-03-23,HT,11263079,0,0
2020-03-24,HT,11263079,5,0
2020-03-25,HT,11263079,0,0
2020-03-26,HT,11263079,1,0
2020-03-27,HT,11263079,0,0
2020-03-28,HT,11263079,0,0
2020-03-29,HT,11263079,0,0
2020-03-30,HT,11263079,7,0
2020-03-31,HT,11263079,0,0
2020-04-01,HT,11263079,0,0
2020-04-02,HT,11263079,1,0
2020-04-03,HT,11263079,0,0
2020-04-04,HT,11263079,2,0
2020-04-05,HT,11263079,0,0
2020-04-06,HT,11263079,3,0
2020-04-07,HT,11263079,3,1
2020-04-08,HT,11263079,1,0
2020-04-09,HT,11263079,2,0
2020-04-10,HT,11263079,3,1
2020-04-11,HT,11263079,0,0
2020-04-12,HT,11263079,1,0
2020-04-13,HT,11263079,0,0
2020-04-14,HT,11263079,9,1
2020-04-15,HT,11263079,0,0
2020-04-16,HT,11263079,1,0
2020-04-17,HT,11263079,0,0
2020-04-18,HT,11263079,2,0
2020-04-19,HT,11263079,1,0
2020-04-20,HT,11263079,0,0
2020-04-21,HT,11263079,3,0
2020-04-22,HT,11263079,10,0
2020-04-23,HT,11263079,1,1
2020-04-24,HT,11263079,4,0
2020-04-25,HT,11263079,10,1
2020-04-26,HT,11263079,0,1
2020-04-27,HT,11263079,0,0
2020-04-28,HT,11263079,2,0
2020-04-29,HT,11263079,2,0
2020-04-30,HT,11263079,0,0
2020-05-01,HT,11263079,0,1
2020-05-02,HT,11263079,5,1
2020-05-03,HT,11263079,4,0
2020-05-04,HT,11263079,0,0
2020-05-05,HT,11263079,3,1
2020-05-06,HT,11263079,12,2
2020-05-07,HT,11263079,1,1
2020-05-08,HT,11263079,7,0
2020-05-09,HT,11263079,21,0
2020-05-10,HT,11263079,17,0
2020-05-11,HT,11263079,5,0
2020-05-12,HT,11263079,31,3
2020-05-13,HT,11263079,27,1
2020-05-14,HT,11263079,10,2
2020-05-15,HT,11263079,15,0
2020-05-16,HT,11263079,39,2
2020-05-17,HT,11263079,37,0
2020-05-18,HT,11263079,48,0
2020-05-19,HT,11263079,98,0
2020-05-20,HT,11263079,77,1
2020-05-21,HT,11263079,63,1
2020-05-22,HT,11263079,67,0
2020-05-23,HT,11263079,71,3
2020-05-24,HT,11263079,78,0
2020-05-25,HT,11263079,53,1
2020-05-26,HT,11263079,93,1
2020-05-27,HT,11263079,105,4
2020-05-28,HT,11263079,111,2
2020-05-29,HT,11263079,146,1
2020-05-30,HT,11263079,123,1
2020-05-31,HT,11263079,141,0
2020-06-01,HT,11263079,281,6
2020-06-02,HT,11263079,259,3
2020-06-03,HT,11263079,102,1
2020-06-04,HT,11263079,281,3
2020-06-05,HT,11263079,97,2
2020-06-06,HT,11263079,36,0
2020-06-07,HT,11263079,284,0
2020-06-08,HT,11263079,148,0
2020-06-09,HT,11263079,262,1
2020-06-10,HT,11263079,204,3
2020-06-11,HT,11263079,124,2
2020-06-12,HT,11263079,134,2
2020-06-13,HT,11263079,145,6
2020-06-14,HT,11263079,0,0
2020-06-15,HT,11263079,224,6
2020-06-16,HT,11263079,144,3
2020-06-17,HT,11263079,132,3
2020-06-18,HT,11263079,106,4
2020-06-19,HT,11263079,141,2
2020-06-20,HT,11263079,228,2
2020-06-21,HT,11263079,64,3
2020-06-22,HT,11263079,97,1
2020-06-23,HT,11263079,134,0
2020-06-24,HT,11263079,5,0
2020-06-25,HT,11263079,108,1
2020-06-26,HT,11263079,105,3
2020-06-27,HT,11263079,114,4
2020-06-28,HT,11263079,179,2
2020-06-29,HT,11263079,0,0
2020-06-30,HT,11263079,125,6
2020-07-01,HT,11263079,86,1
2020-07-02,HT,11263079,42,0
2020-07-03,HT,11263079,65,2
2020-07-04,HT,11263079,61,3
2020-07-05,HT,11263079,129,0
2020-07-06,HT,11263079,64,3
2020-07-07,HT,11263079,39,0
2020-07-08,HT,11263079,38,0
2020-07-09,HT,11263079,61,4
2020-07-10,HT,11263079,54,6
2020-07-11,HT,11263079,96,7
2020-07-12,HT,11263079,35,5
2020-07-13,HT,11263079,73,4
2020-07-14,HT,11263079,37,0
2020-07-15,HT,11263079,0,2
2020-07-16,HT,11263079,104,2
2020-07-17,HT,11263079,71,2
2020-07-18,HT,11263079,46,0
2020-07-19,HT,11263079,27,1
2020-07-20,HT,11263079,78,0
2020-07-21,HT,11263079,10,0
2020-07-22,HT,11263079,37,5
2020-07-23,HT,11263079,46,3
2020-07-24,HT,11263079,21,0
2020-07-25,HT,11263079,30,0
2020-07-26,HT,11263079,63,2
2020-07-27,HT,11263079,37,1
2020-07-28,HT,11263079,18,0
2020-07-29,HT,11263079,25,1
2020-07-30,HT,11263079,31,0
2020-07-31,HT,11263079,7,1
2020-08-01,HT,11263079,34,2
2020-08-02,HT,11263079,12,0
2020-08-03,HT,11263079,44,4
2020-08-04,HT,11263079,8,0
2020-08-05,HT,11263079,35,1
2020-08-06,HT,11263079,21,5
2020-08-07,HT,11263079,12,0
2020-08-08,HT,11263079,38,0
2020-08-09,HT,11263079,17,6
2020-08-10,HT,11263079,12,5
2020-08-11,HT,11263079,23,1
2020-08-12,HT,11263079,15,0
2020-08-13,HT,11263079,94,4
2020-08-14,HT,11263079,38,5
2020-08-15,HT,11263079,29,0
2020-08-16,HT,11263079,21,4
2020-08-17,HT,11263079,48,0
2020-08-18,HT,11263079,18,0
2020-08-19,HT,11263079,24,0
2020-08-20,HT,11263079,28,0
2020-08-21,HT,11263079,48,0
2020-08-22,HT,11263079,19,0
2020-08-23,HT,11263079,34,0
2020-08-24,HT,11263079,32,0
2020-08-25,HT,11263079,28,0
2020-08-26,HT,11263079,2,0
2020-08-27,HT,11263079,10,1
2020-08-28,HT,11263079,29,3
2020-08-29,HT,11263079,10,1
2020-08-30,HT,11263079,13,0
2020-08-31,HT,11263079,35,0
2020-09-01,HT,11263079,15,0
2020-09-02,HT,11263079,0,0
2020-09-03,HT,11263079,34,5
2020-09-04,HT,11263079,0,0
2020-09-05,HT,11263079,68,6
2020-09-06,HT,11263079,0,0
2020-09-07,HT,11263079,34,2
2020-09-08,HT,11263079,0,0
2020-09-09,HT,11263079,2,0
2020-09-10,HT,11263079,14,0
2020-09-11,HT,11263079,53,1
2020-09-12,HT,11263079,28,1
2020-09-13,HT,11263079,0,0
2020-09-14,HT,11263079,21,3
2020-09-15,HT,11263079,15,0
2020-09-16,HT,11263079,6,0
2020-09-17,HT,11263079,31,1
2020-09-18,HT,11263079,26,0
2020-09-19,HT,11263079,0,0
2020-09-20,HT,11263079,44,1
2020-09-21,HT,11263079,0,0
2020-09-22,HT,11263079,24,0
2020-09-23,HT,11263079,0,0
2020-09-24,HT,11263079,22,4
2020-09-25,HT,11263079,0,0
2020-09-26,HT,11263079,38,2
2020-09-27,HT,11263079,0,0
2020-09-28,HT,11263079,39,0
2020-09-29,HT,11263079,17,0
2020-09-30,HT,11263079,0,0
2020-10-01,HT,11263079,26,2
2020-10-02,HT,11263079,0,0
2020-10-03,HT,11263079,26,0
2020-10-04,HT,11263079,0,0
2020-10-05,HT,11263079,27,0
2020-10-06,HT,11263079,0,0
2020-10-07,HT,11263079,0,0
2020-10-08,HT,11263079,19,0
2020-10-09,HT,11263079,16,1
2020-10-10,HT,11263079,0,0
2020-10-11,HT,11263079,6,0
2020-10-12,HT,11263079,22,0
2020-10-13,HT,11263079,0,0
2020-10-14,HT,11263079,5,0
2020-10-15,HT,11263079,21,1
2020-10-16,HT,11263079,0,0
2020-10-17,HT,11263079,17,0
2020-10-18,HT,11263079,0,0
2020-10-19,HT,11263079,0,0
2020-10-20,HT,11263079,0,0
2020-10-21,HT,11263079,51,0
2020-10-22,HT,11263079,3,0
2020-10-23,HT,11263079,0,0
2020-10-24,HT,11263079,20,0
2020-10-25,HT,11263079,16,0
2020-10-26,HT,11263079,11,1
2020-10-27,HT,11263079,0,0
2020-10-28,HT,11263079,0,0
2020-10-29,HT,11263079,20,0
2020-10-30,HT,11263079,8,0
2020-10-31,HT,11263079,0,0
2020-11-01,HT,11263079,0,0
2020-11-02,HT,11263079,0,0
2020-11-03,HT,11263079,0,0
2020-11-04,HT,11263079,0,0
2020-11-05,HT,11263079,46,0
2020-11-06,HT,11263079,9,0
2020-11-07,HT,11263079,0,0
2020-11-08,HT,11263079,18,0
2020-11-09,HT,11263079,0,0
2020-11-10,HT,11263079,0,0
2020-11-11,HT,11263079,10,0
2020-11-12,HT,11263079,15,0
2020-11-13,HT,11263079,0,0
2020-11-14,HT,11263079,16,0
2020-11-15,HT,11263079,0,0
2020-11-16,HT,11263079,11,0
2020-11-17,HT,11263079,9,0
2020-11-18,HT,11263079,3,0
2020-11-19,HT,11263079,0,0
2020-11-20,HT,11263079,17,0
2020-11-21,HT,11263079,3,0
2020-11-22,HT,11263079,3,0
2020-11-23,HT,11263079,0,0
2020-11-24,HT,11263079,10,0
2020-11-25,HT,11263079,5,0
2020-11-26,HT,11263079,19,0
2020-11-27,HT,11263079,8,0
2020-11-28,HT,11263079,8,0
2020-11-29,HT,11263079,0,0
2020-11-30,HT,11263079,8,0
2020-12-01,HT,11263079,22,1
2020-12-02,HT,11263079,2,0
2020-12-03,HT,11263079,7,0
2020-12-04,HT,11263079,10,0
2020-12-05,HT,11263079,34,0
2020-12-06,HT,11263079,23,0
2020-12-07,HT,11263079,0,0
2020-12-08,HT,11263079,29,0
2020-12-09,HT,11263079,0,0
2020-12-10,HT,11263079,35,0
2020-12-11,HT,11263079,0,0
2020-12-12,HT,11263079,31,0
2020-12-13,HT,11263079,26,0
2020-12-14,HT,11263079,18,1
2020-12-15,HT,11263079,56,0
2020-12-16,HT,11263079,32,0
2020-12-17,HT,11263079,0,0
2020-12-18,HT,11263079,30,0
2020-12-19,HT,11263079,21,0
2020-12-20,HT,11263079,26,0
2020-12-21,HT,11263079,0,0
2020-12-22,HT,11263079,97,0
2020-12-23,HT,11263079,34,1
2020-12-24,HT,11263079,41,0
2020-12-25,HT,11263079,0,0
2020-12-26,HT,11263079,0,0
2020-12-27,HT,11263079,0,0
2020-12-28,HT,11263079,112,1
2020-12-29,HT,11263079,0,0
2020-12-30,HT,11263079,41,0
2020-12-31,HT,11263079,0,0
2021-01-01,HT,11263079,16,0
2021-01-02,HT,11263079,0,0
2021-01-03,HT,11263079,62,0
2021-01-04,HT,11263079,50,0
2021-01-05,HT,11263079,0,0
2021-01-06,HT,11263079,0,0
2021-01-07,HT,11263079,0,0
2021-01-08,HT,11263079,76,0
2021-01-09,HT,11263079,38,1
2021-01-10,HT,11263079,0,0
2021-01-11,HT,11263079,31,1
2021-01-12,HT,11263079,0,0
2021-01-13,HT,11263079,114,0
2021-01-14,HT,11263079,29,0
2021-01-15,HT,11263079,154,0
2021-01-16,HT,11263079,66,0
2021-01-17,HT,11263079,146,2
2021-01-18,HT,11263079,0,0
2021-01-19,HT,11263079,71,0
2021-01-20,HT,11263079,55,0
2021-01-21,HT,11263079,56,0
2021-01-22,HT,11263079,0,0
2021-01-23,HT,11263079,72,3
2021-01-24,HT,11263079,64,0
2021-01-25,HT,11263079,0,0
2021-01-26,HT,11263079,187,0
2021-01-27,HT,11263079,0,0
2021-01-28,HT,11263079,0,0
2021-01-29,HT,11263079,116,1
2021-01-30,HT,11263079,58,1
2021-01-31,HT,11263079,73,0
2021-02-01,HT,11263079,0,0
2021-02-02,HT,11263079,57,0
2021-02-03,HT,11263079,82,0
2021-02-04,HT,11263079,20,0
2021-02-05,HT,11263079,0,0
2021-02-06,HT,11263079,66,0
2021-02-07,HT,11263079,48,1
2021-02-08,HT,11263079,0,0
2021-02-09,HT,11263079,102,0
2021-02-10,HT,11263079,61,0
2021-02-11,HT,11263079,22,0
2021-02-12,HT,11263079,25,0
2021-02-13,HT,11263079,0,0
2021-02-14,HT,11263079,127,1
2021-02-15,HT,11263079,0,0
2021-02-16,HT,11263079,49,0
2021-02-17,HT,11263079,14,0
2021-02-18,HT,11263079,0,0
2021-02-19,HT,11263079,0,0
2021-02-20,HT,11263079,48,0
2021-02-21,HT,11263079,20,0
2021-02-22,HT,11263079,35,0
2021-02-23,HT,11263079,0,0
2021-02-24,HT,11263079,43,0
