date,countrycode,population,cases,deaths
2020-03-04,HU,9664124,0,0
2020-03-05,HU,9664124,0,0
2020-03-06,HU,9664124,0,0
2020-03-07,HU,9664124,2,0
2020-03-08,HU,9664124,3,0
2020-03-09,HU,9664124,2,0
2020-03-10,HU,9664124,0,0
2020-03-11,HU,9664124,4,0
2020-03-12,HU,9664124,0,0
2020-03-13,HU,9664124,6,0
2020-03-14,HU,9664124,11,0
2020-03-15,HU,9664124,2,1
2020-03-16,HU,9664124,7,0
2020-03-17,HU,9664124,11,0
2020-03-18,HU,9664124,8,0
2020-03-19,HU,9664124,15,0
2020-03-20,HU,9664124,12,2
2020-03-21,HU,9664124,18,1
2020-03-22,HU,9664124,28,2
2020-03-23,HU,9664124,36,1
2020-03-24,HU,9664124,20,2
2020-03-25,HU,9664124,39,1
2020-03-26,HU,9664124,35,0
2020-03-27,HU,9664124,39,0
2020-03-28,HU,9664124,43,1
2020-03-29,HU,9664124,65,2
2020-03-30,HU,9664124,39,2
2020-03-31,HU,9664124,45,1
2020-04-01,HU,9664124,33,4
2020-04-02,HU,9664124,60,1
2020-04-03,HU,9664124,38,5
2020-04-04,HU,9664124,55,6
2020-04-05,HU,9664124,55,2
2020-04-06,HU,9664124,11,4
2020-04-07,HU,9664124,73,9
2020-04-08,HU,9664124,78,11
2020-04-09,HU,9664124,85,8
2020-04-10,HU,9664124,210,11
2020-04-11,HU,9664124,120,8
2020-04-12,HU,9664124,100,14
2020-04-13,HU,9664124,48,10
2020-04-14,HU,9664124,54,13
2020-04-15,HU,9664124,67,12
2020-04-16,HU,9664124,73,8
2020-04-17,HU,9664124,111,14
2020-04-18,HU,9664124,71,16
2020-04-19,HU,9664124,82,17
2020-04-20,HU,9664124,68,10
2020-04-21,HU,9664124,114,14
2020-04-22,HU,9664124,70,12
2020-04-23,HU,9664124,116,14
2020-04-24,HU,9664124,159,23
2020-04-25,HU,9664124,0,0
2020-04-26,HU,9664124,57,10
2020-04-27,HU,9664124,83,8
2020-04-28,HU,9664124,66,11
2020-04-29,HU,9664124,78,9
2020-04-30,HU,9664124,48,12
2020-05-01,HU,9664124,88,11
2020-05-02,HU,9664124,79,12
2020-05-03,HU,9664124,56,5
2020-05-04,HU,9664124,37,11
2020-05-05,HU,9664124,30,12
2020-05-06,HU,9664124,46,10
2020-05-07,HU,9664124,39,10
2020-05-08,HU,9664124,28,9
2020-05-09,HU,9664124,35,13
2020-05-10,HU,9664124,50,8
2020-05-11,HU,9664124,21,8
2020-05-12,HU,9664124,29,4
2020-05-13,HU,9664124,28,5
2020-05-14,HU,9664124,39,6
2020-05-15,HU,9664124,37,6
2020-05-16,HU,9664124,56,6
2020-05-17,HU,9664124,36,3
2020-05-18,HU,9664124,26,11
2020-05-19,HU,9664124,21,5
2020-05-20,HU,9664124,42,3
2020-05-21,HU,9664124,43,3
2020-05-22,HU,9664124,37,3
2020-05-23,HU,9664124,35,6
2020-05-24,HU,9664124,28,4
2020-05-25,HU,9664124,15,5
2020-05-26,HU,9664124,15,8
2020-05-27,HU,9664124,22,6
