date,countrycode,population,cases,deaths
2020-02-29,IE,4904240,0,0
2020-03-01,IE,4904240,0,0
2020-03-02,IE,4904240,0,0
2020-03-03,IE,4904240,1,0
2020-03-04,IE,4904240,4,0
2020-03-05,IE,4904240,0,0
2020-03-06,IE,4904240,12,0
2020-03-07,IE,4904240,0,0
2020-03-08,IE,4904240,1,0
2020-03-09,IE,4904240,2,0
2020-03-10,IE,4904240,13,0
2020-03-11,IE,4904240,9,1
2020-03-12,IE,4904240,0,0
2020-03-13,IE,4904240,47,0
2020-03-14,IE,4904240,39,1
2020-03-15,IE,4904240,0,0
2020-03-16,IE,4904240,40,0
2020-03-17,IE,4904240,54,0
2020-03-18,IE,4904240,69,0
2020-03-19,IE,4904240,265,1
2020-03-20,IE,4904240,126,0
2020-03-21,IE,4904240,102,0
2020-03-22,IE,4904240,121,1
2020-03-23,IE,4904240,219,2
2020-03-24,IE,4904240,204,1
2020-03-25,IE,4904240,235,2
2020-03-26,IE,4904240,255,10
2020-03-27,IE,4904240,302,3
2020-03-28,IE,4904240,294,14
2020-03-29,IE,4904240,200,10
2020-03-30,IE,4904240,295,8
2020-03-31,IE,4904240,325,17
2020-04-01,IE,4904240,212,14
2020-04-02,IE,4904240,402,13
2020-04-03,IE,4904240,424,22
2020-04-04,IE,4904240,331,17
2020-04-05,IE,4904240,390,21
2020-04-06,IE,4904240,370,16
2020-04-07,IE,4904240,345,36
2020-04-08,IE,4904240,365,25
2020-04-09,IE,4904240,500,28
2020-04-10,IE,4904240,1515,24
2020-04-11,IE,4904240,839,33
2020-04-12,IE,4904240,727,14
2020-04-13,IE,4904240,992,31
2020-04-14,IE,4904240,832,41
2020-04-15,IE,4904240,1068,38
2020-04-16,IE,4904240,724,42
2020-04-17,IE,4904240,709,44
2020-04-18,IE,4904240,778,41
2020-04-19,IE,4904240,493,39
2020-04-20,IE,4904240,401,77
2020-04-21,IE,4904240,388,43
2020-04-22,IE,4904240,631,39
2020-04-23,IE,4904240,936,25
2020-04-24,IE,4904240,577,220
2020-04-25,IE,4904240,377,49
2020-04-26,IE,4904240,701,24
2020-04-27,IE,4904240,386,15
2020-04-28,IE,4904240,229,57
2020-04-29,IE,4904240,376,31
2020-04-30,IE,4904240,359,42
2020-05-01,IE,4904240,221,33
2020-05-02,IE,4904240,343,21
2020-05-03,IE,4904240,330,17
2020-05-04,IE,4904240,266,16
2020-05-05,IE,4904240,211,20
2020-05-06,IE,4904240,265,36
2020-05-07,IE,4904240,137,28
2020-05-08,IE,4904240,156,26
2020-05-09,IE,4904240,219,17
2020-05-10,IE,4904240,236,12
2020-05-11,IE,4904240,139,9
2020-05-12,IE,4904240,107,21
2020-05-13,IE,4904240,159,9
2020-05-14,IE,4904240,426,9
2020-05-15,IE,4904240,129,12
2020-05-16,IE,4904240,92,15
2020-05-17,IE,4904240,64,10
2020-05-18,IE,4904240,88,4
2020-05-19,IE,4904240,51,14
2020-05-20,IE,4904240,64,10
2020-05-21,IE,4904240,76,12
2020-05-22,IE,4904240,115,9
2020-05-23,IE,4904240,76,12
2020-05-24,IE,4904240,57,4
2020-05-25,IE,4904240,59,-2
2020-05-26,IE,4904240,37,9
2020-05-27,IE,4904240,68,16
2020-05-28,IE,4904240,38,8
2020-05-29,IE,4904240,35,6
2020-05-30,IE,4904240,53,6
2020-05-31,IE,4904240,61,1
2020-06-01,IE,4904240,72,-2
2020-06-02,IE,4904240,4,8
2020-06-03,IE,4904240,45,1
2020-06-04,IE,4904240,31,5
2020-06-05,IE,4904240,21,6
2020-06-06,IE,4904240,20,8
2020-06-07,IE,4904240,18,1
2020-06-08,IE,4904240,6,4
2020-06-09,IE,4904240,8,8
2020-06-10,IE,4904240,16,4
2020-06-11,IE,4904240,7,8
2020-06-12,IE,4904240,12,2
2020-06-13,IE,4904240,45,0
2020-06-14,IE,4904240,8,1
2020-06-15,IE,4904240,18,0
2020-06-16,IE,4904240,13,3
2020-06-17,IE,4904240,7,1
2020-06-18,IE,4904240,14,4
2020-06-19,IE,4904240,13,0
2020-06-20,IE,4904240,6,1
2020-06-21,IE,4904240,5,0
2020-06-22,IE,4904240,4,2
2020-06-23,IE,4904240,8,3
2020-06-24,IE,4904240,5,6
2020-06-25,IE,4904240,9,1
2020-06-26,IE,4904240,9,3
2020-06-27,IE,4904240,23,4
2020-06-28,IE,4904240,2,1
2020-06-29,IE,4904240,23,0
2020-06-30,IE,4904240,11,1
2020-07-01,IE,4904240,4,2
2020-07-02,IE,4904240,12,0
2020-07-03,IE,4904240,9,2
2020-07-04,IE,4904240,11,1
2020-07-05,IE,4904240,18,0
2020-07-06,IE,4904240,4,0
2020-07-07,IE,4904240,7,1
2020-07-08,IE,4904240,4,-4
2020-07-09,IE,4904240,23,5
2020-07-10,IE,4904240,24,1
2020-07-11,IE,4904240,22,2
2020-07-12,IE,4904240,17,0
2020-07-13,IE,4904240,10,0
2020-07-14,IE,4904240,32,0
2020-07-15,IE,4904240,13,2
2020-07-16,IE,4904240,15,1
2020-07-17,IE,4904240,32,3
2020-07-18,IE,4904240,20,1
2020-07-19,IE,4904240,10,0
