date,countrycode,population,cases,deaths
2020-02-23,IQ,39309789,0,0
2020-02-24,IQ,39309789,1,0
2020-02-25,IQ,39309789,0,0
2020-02-26,IQ,39309789,4,0
2020-02-27,IQ,39309789,2,0
2020-02-28,IQ,39309789,0,0
2020-02-29,IQ,39309789,6,0
2020-03-01,IQ,39309789,6,0
2020-03-02,IQ,39309789,7,0
2020-03-03,IQ,39309789,6,0
2020-03-04,IQ,39309789,3,2
2020-03-05,IQ,39309789,0,0
2020-03-06,IQ,39309789,5,1
2020-03-07,IQ,39309789,14,1
2020-03-08,IQ,39309789,6,2
2020-03-09,IQ,39309789,0,0
2020-03-10,IQ,39309789,11,1
2020-03-11,IQ,39309789,0,0
2020-03-12,IQ,39309789,0,1
2020-03-13,IQ,39309789,30,1
2020-03-14,IQ,39309789,9,1
2020-03-15,IQ,39309789,6,0
2020-03-16,IQ,39309789,8,0
2020-03-17,IQ,39309789,30,1
2020-03-18,IQ,39309789,10,1
2020-03-19,IQ,39309789,28,1
2020-03-20,IQ,39309789,16,4
2020-03-21,IQ,39309789,6,0
2020-03-22,IQ,39309789,19,3
2020-03-23,IQ,39309789,33,3
2020-03-24,IQ,39309789,50,4
2020-03-25,IQ,39309789,30,2
2020-03-26,IQ,39309789,36,7
2020-03-27,IQ,39309789,76,4
2020-03-28,IQ,39309789,48,2
2020-03-29,IQ,39309789,41,0
2020-03-30,IQ,39309789,83,4
2020-03-31,IQ,39309789,64,4
2020-04-01,IQ,39309789,34,2
2020-04-02,IQ,39309789,44,2
2020-04-03,IQ,39309789,48,0
2020-04-04,IQ,39309789,58,2
2020-04-05,IQ,39309789,83,5
2020-04-06,IQ,39309789,70,3
2020-04-07,IQ,39309789,91,1
2020-04-08,IQ,39309789,80,4
2020-04-09,IQ,39309789,30,0
2020-04-10,IQ,39309789,47,1
2020-04-11,IQ,39309789,39,2
2020-04-12,IQ,39309789,34,4
2020-04-13,IQ,39309789,26,2
2020-04-14,IQ,39309789,22,0
2020-04-15,IQ,39309789,15,1
2020-04-16,IQ,39309789,19,1
2020-04-17,IQ,39309789,48,1
2020-04-18,IQ,39309789,31,1
2020-04-19,IQ,39309789,26,0
2020-04-20,IQ,39309789,35,0
2020-04-21,IQ,39309789,28,1
2020-04-22,IQ,39309789,29,0
2020-04-23,IQ,39309789,46,0
2020-04-24,IQ,39309789,31,3
2020-04-25,IQ,39309789,55,0
2020-04-26,IQ,39309789,57,1
2020-04-27,IQ,39309789,27,1
2020-04-28,IQ,39309789,81,2
2020-04-29,IQ,39309789,75,2
2020-04-30,IQ,39309789,82,1
2020-05-01,IQ,39309789,68,1
2020-05-02,IQ,39309789,66,1
2020-05-03,IQ,39309789,77,2
2020-05-04,IQ,39309789,50,1
2020-05-05,IQ,39309789,85,4
2020-05-06,IQ,39309789,49,0
2020-05-07,IQ,39309789,63,0
2020-05-08,IQ,39309789,60,2
2020-05-09,IQ,39309789,76,3
2020-05-10,IQ,39309789,88,2
2020-05-11,IQ,39309789,51,1
2020-05-12,IQ,39309789,95,2
2020-05-13,IQ,39309789,119,3
2020-05-14,IQ,39309789,111,0
2020-05-15,IQ,39309789,50,2
2020-05-16,IQ,39309789,67,4
2020-05-17,IQ,39309789,144,2
2020-05-18,IQ,39309789,150,4
2020-05-19,IQ,39309789,57,4
