date,countrycode,population,cases,deaths
2020-02-19,IR,84038000,0,0
2020-02-20,IR,84038000,3,0
2020-02-21,IR,84038000,13,2
2020-02-22,IR,84038000,10,1
2020-02-23,IR,84038000,15,3
2020-02-24,IR,84038000,18,4
2020-02-25,IR,84038000,34,4
2020-02-26,IR,84038000,44,3
2020-02-27,IR,84038000,106,7
2020-02-28,IR,84038000,143,8
2020-02-29,IR,84038000,205,9
2020-03-01,IR,84038000,385,11
2020-03-02,IR,84038000,523,12
2020-03-03,IR,84038000,835,11
2020-03-04,IR,84038000,586,15
2020-03-05,IR,84038000,591,15
2020-03-06,IR,84038000,1234,17
2020-03-07,IR,84038000,1076,21
2020-03-08,IR,84038000,743,49
2020-03-09,IR,84038000,595,43
2020-03-11,IR,84038000,1839,117
2020-03-12,IR,84038000,1075,75
2020-03-13,IR,84038000,1289,85
2020-03-14,IR,84038000,1365,97
2020-03-15,IR,84038000,1209,113
2020-03-16,IR,84038000,1053,129
2020-03-17,IR,84038000,1178,135
2020-03-18,IR,84038000,1192,147
2020-03-19,IR,84038000,1046,149
2020-03-20,IR,84038000,1237,149
2020-03-21,IR,84038000,966,123
2020-03-22,IR,84038000,1028,129
2020-03-23,IR,84038000,1411,127
2020-03-24,IR,84038000,1762,122
2020-03-25,IR,84038000,2206,143
2020-03-26,IR,84038000,2389,157
2020-03-27,IR,84038000,2926,144
2020-03-28,IR,84038000,3076,139
2020-03-29,IR,84038000,2901,123
2020-03-30,IR,84038000,3186,117
2020-03-31,IR,84038000,3110,141
2020-04-01,IR,84038000,2988,138
2020-04-02,IR,84038000,2875,124
2020-04-03,IR,84038000,2715,134
2020-04-04,IR,84038000,2560,158
2020-04-05,IR,84038000,2483,151
2020-04-06,IR,84038000,2274,136
2020-04-07,IR,84038000,2089,133
2020-04-08,IR,84038000,1997,121
2020-04-09,IR,84038000,1634,117
2020-04-10,IR,84038000,1972,122
2020-04-11,IR,84038000,1837,125
2020-04-12,IR,84038000,1657,117
2020-04-13,IR,84038000,1617,111
2020-04-14,IR,84038000,1574,98
2020-04-15,IR,84038000,1512,94
2020-04-16,IR,84038000,1606,92
2020-04-17,IR,84038000,1499,89
2020-04-18,IR,84038000,1374,73
2020-04-19,IR,84038000,1343,87
2020-04-20,IR,84038000,1294,91
2020-04-21,IR,84038000,1297,88
2020-04-22,IR,84038000,1194,94
2020-04-23,IR,84038000,1030,90
2020-04-24,IR,84038000,1168,93
2020-04-25,IR,84038000,1134,76
2020-04-26,IR,84038000,1153,60
2020-04-27,IR,84038000,991,96
2020-04-28,IR,84038000,1112,71
2020-04-29,IR,84038000,1073,80
2020-04-30,IR,84038000,983,71
2020-05-01,IR,84038000,1006,63
2020-05-02,IR,84038000,802,65
2020-05-03,IR,84038000,976,47
2020-05-04,IR,84038000,1223,74
2020-05-05,IR,84038000,1323,63
2020-05-06,IR,84038000,1680,78
2020-05-07,IR,84038000,1485,68
2020-05-08,IR,84038000,1556,55
2020-05-09,IR,84038000,1529,48
2020-05-10,IR,84038000,1383,51
2020-05-11,IR,84038000,1683,45
2020-05-12,IR,84038000,1481,48
2020-05-13,IR,84038000,1958,50
2020-05-14,IR,84038000,1808,71
2020-05-15,IR,84038000,2102,48
2020-05-16,IR,84038000,1757,35
2020-05-17,IR,84038000,1806,51
2020-05-18,IR,84038000,2294,69
2020-05-19,IR,84038000,2111,62
2020-05-20,IR,84038000,2346,64
2020-05-21,IR,84038000,2392,66
2020-05-22,IR,84038000,2311,51
2020-05-23,IR,84038000,1869,59
2020-05-24,IR,84038000,2180,58
2020-05-25,IR,84038000,2023,34
2020-05-26,IR,84038000,1787,57
2020-05-27,IR,84038000,2080,56
2020-05-28,IR,84038000,2258,63
2020-05-29,IR,84038000,2819,50
2020-05-30,IR,84038000,2282,57
2020-05-31,IR,84038000,2516,63
2020-06-01,IR,84038000,2979,81
2020-06-02,IR,84038000,3117,64
2020-06-03,IR,84038000,3134,70
2020-06-04,IR,84038000,3574,59
2020-06-05,IR,84038000,2886,63
2020-06-06,IR,84038000,2269,75
2020-06-07,IR,84038000,2364,72
2020-06-08,IR,84038000,2043,70
2020-06-09,IR,84038000,2095,74
2020-06-10,IR,84038000,2011,81
2020-06-11,IR,84038000,2218,78
2020-06-12,IR,84038000,2369,75
2020-06-13,IR,84038000,2430,71
2020-06-14,IR,84038000,2472,107
2020-06-15,IR,84038000,2449,113
2020-06-16,IR,84038000,2563,115
2020-06-17,IR,84038000,2612,120
2020-06-18,IR,84038000,2596,87
2020-06-19,IR,84038000,2615,120
2020-06-20,IR,84038000,2322,115
2020-06-21,IR,84038000,2368,116
2020-06-22,IR,84038000,2573,119
2020-06-23,IR,84038000,2445,121
2020-06-24,IR,84038000,2531,133
2020-06-25,IR,84038000,2595,134
2020-06-26,IR,84038000,2628,109
2020-06-27,IR,84038000,2456,125
2020-06-28,IR,84038000,2489,144
2020-06-29,IR,84038000,2536,162
2020-06-30,IR,84038000,2457,147
2020-07-01,IR,84038000,2549,141
2020-07-02,IR,84038000,2652,148
2020-07-03,IR,84038000,2566,154
2020-07-04,IR,84038000,2449,148
2020-07-05,IR,84038000,2560,163
2020-07-06,IR,84038000,2613,160
2020-07-07,IR,84038000,2637,200
2020-07-08,IR,84038000,2691,153
2020-07-09,IR,84038000,2079,221
2020-07-10,IR,84038000,2262,142
2020-07-11,IR,84038000,2397,188
2020-07-12,IR,84038000,2186,194
2020-07-13,IR,84038000,2349,203
2020-07-14,IR,84038000,2521,179
2020-07-15,IR,84038000,2388,199
2020-07-16,IR,84038000,2500,198
2020-07-17,IR,84038000,2379,183
2020-07-18,IR,84038000,2166,188
2020-07-19,IR,84038000,2182,209
2020-07-20,IR,84038000,2414,217
2020-07-21,IR,84038000,2625,229
2020-07-22,IR,84038000,2586,219
2020-07-23,IR,84038000,2621,221
2020-07-24,IR,84038000,2489,215
2020-07-25,IR,84038000,2316,195
2020-07-26,IR,84038000,2333,216
2020-07-27,IR,84038000,2434,212
2020-07-28,IR,84038000,2667,235
2020-07-29,IR,84038000,2636,196
2020-07-30,IR,84038000,2621,226
2020-07-31,IR,84038000,2674,197
2020-08-01,IR,84038000,2548,216
2020-08-02,IR,84038000,2685,208
2020-08-03,IR,84038000,2598,215
2020-08-04,IR,84038000,2751,212
2020-08-05,IR,84038000,2697,185
2020-08-06,IR,84038000,2634,174
2020-08-07,IR,84038000,2450,156
2020-08-08,IR,84038000,2125,132
2020-08-09,IR,84038000,2020,163
2020-08-10,IR,84038000,2132,189
2020-08-11,IR,84038000,2345,184
2020-08-12,IR,84038000,2510,188
2020-08-13,IR,84038000,2625,174
2020-08-14,IR,84038000,2501,169
2020-08-15,IR,84038000,2245,161
2020-08-16,IR,84038000,2133,147
2020-08-17,IR,84038000,2247,165
2020-08-18,IR,84038000,2385,168
2020-08-19,IR,84038000,2444,153
2020-08-20,IR,84038000,2279,139
2020-08-21,IR,84038000,2206,112
2020-08-22,IR,84038000,2028,126
2020-08-23,IR,84038000,2113,141
2020-08-24,IR,84038000,2245,133
2020-08-25,IR,84038000,2213,125
2020-08-26,IR,84038000,2243,119
2020-08-27,IR,84038000,2190,117
2020-08-28,IR,84038000,2115,112
2020-08-29,IR,84038000,1905,110
2020-08-30,IR,84038000,1754,103
2020-08-31,IR,84038000,1642,109
2020-09-01,IR,84038000,1682,101
2020-09-02,IR,84038000,1858,125
2020-09-03,IR,84038000,1994,129
2020-09-04,IR,84038000,2026,118
2020-09-05,IR,84038000,1894,110
2020-09-06,IR,84038000,1992,139
2020-09-07,IR,84038000,2152,117
2020-09-08,IR,84038000,2302,132
2020-09-09,IR,84038000,2313,127
2020-09-10,IR,84038000,2063,129
2020-09-11,IR,84038000,2313,115
2020-09-12,IR,84038000,2139,116
2020-09-13,IR,84038000,2089,128
2020-09-14,IR,84038000,2619,156
2020-09-15,IR,84038000,2705,140
2020-09-16,IR,84038000,2981,179
2020-09-17,IR,84038000,2815,176
2020-09-18,IR,84038000,3049,144
2020-09-19,IR,84038000,2845,166
2020-09-20,IR,84038000,3097,183
2020-09-21,IR,84038000,3341,177
2020-09-22,IR,84038000,3712,178
2020-09-23,IR,84038000,3605,184
2020-09-24,IR,84038000,3521,175
2020-09-25,IR,84038000,3563,207
2020-09-26,IR,84038000,3204,172
2020-09-27,IR,84038000,3362,195
2020-09-28,IR,84038000,3512,190
2020-09-29,IR,84038000,3677,207
2020-09-30,IR,84038000,3582,183
2020-10-01,IR,84038000,3825,211
2020-10-02,IR,84038000,3552,187
2020-10-03,IR,84038000,3523,179
2020-10-04,IR,84038000,3653,211
2020-10-05,IR,84038000,3902,235
2020-10-06,IR,84038000,4151,227
2020-10-07,IR,84038000,4019,239
2020-10-08,IR,84038000,4392,230
2020-10-09,IR,84038000,4142,210
2020-10-10,IR,84038000,3875,195
2020-10-11,IR,84038000,3822,251
2020-10-12,IR,84038000,4206,272
2020-10-13,IR,84038000,4108,254
2020-10-14,IR,84038000,4830,279
2020-10-15,IR,84038000,4616,256
2020-10-16,IR,84038000,4552,265
2020-10-17,IR,84038000,4103,253
2020-10-18,IR,84038000,3890,252
2020-10-19,IR,84038000,4251,337
2020-10-20,IR,84038000,5039,322
2020-10-21,IR,84038000,5616,312
2020-10-22,IR,84038000,5471,304
2020-10-23,IR,84038000,6134,335
2020-10-24,IR,84038000,5814,335
2020-10-25,IR,84038000,6191,296
2020-10-26,IR,84038000,5960,337
2020-10-27,IR,84038000,6968,346
2020-10-28,IR,84038000,6824,415
2020-10-29,IR,84038000,8293,399
2020-10-30,IR,84038000,8011,365
2020-10-31,IR,84038000,7820,386
2020-11-01,IR,84038000,7719,434
2020-11-02,IR,84038000,8289,440
2020-11-03,IR,84038000,8932,422
2020-11-04,IR,84038000,8452,419
2020-11-05,IR,84038000,8772,406
2020-11-06,IR,84038000,8864,424
2020-11-07,IR,84038000,9450,423
2020-11-08,IR,84038000,9236,459
2020-11-09,IR,84038000,10463,458
2020-11-10,IR,84038000,10339,453
2020-11-11,IR,84038000,11780,462
2020-11-12,IR,84038000,11517,457
2020-11-13,IR,84038000,11737,461
2020-11-14,IR,84038000,11203,452
2020-11-15,IR,84038000,12543,459
2020-11-16,IR,84038000,13053,486
2020-11-17,IR,84038000,13352,482
2020-11-18,IR,84038000,13421,480
2020-11-19,IR,84038000,13223,476
2020-11-20,IR,84038000,13260,479
2020-11-21,IR,84038000,12931,431
2020-11-22,IR,84038000,13053,475
2020-11-23,IR,84038000,12460,453
2020-11-24,IR,84038000,13721,483
2020-11-25,IR,84038000,13843,469
2020-11-26,IR,84038000,13961,482
2020-11-27,IR,84038000,14051,406
2020-11-28,IR,84038000,13402,391
2020-11-29,IR,84038000,12950,388
2020-11-30,IR,84038000,13321,372
2020-12-01,IR,84038000,13881,382
2020-12-02,IR,84038000,13621,362
2020-12-03,IR,84038000,13922,358
2020-12-04,IR,84038000,13341,347
2020-12-05,IR,84038000,12151,321
2020-12-06,IR,84038000,11561,294
2020-12-07,IR,84038000,10827,284
2020-12-08,IR,84038000,11023,323
2020-12-09,IR,84038000,10223,295
2020-12-10,IR,84038000,10403,284
2020-12-11,IR,84038000,9384,231
2020-12-12,IR,84038000,8411,222
2020-12-13,IR,84038000,7451,247
2020-12-14,IR,84038000,7501,251
2020-12-15,IR,84038000,7704,223
2020-12-16,IR,84038000,7603,213
2020-12-17,IR,84038000,7453,212
2020-12-18,IR,84038000,7121,178
2020-12-19,IR,84038000,6421,175
2020-12-20,IR,84038000,6312,177
2020-12-21,IR,84038000,6151,191
2020-12-22,IR,84038000,6208,187
2020-12-23,IR,84038000,6261,153
2020-12-24,IR,84038000,6178,152
2020-12-25,IR,84038000,6021,132
2020-12-26,IR,84038000,5760,134
2020-12-27,IR,84038000,5502,119
2020-12-28,IR,84038000,5908,121
2020-12-29,IR,84038000,6108,132
2020-12-30,IR,84038000,6272,149
2020-12-31,IR,84038000,6389,128
2021-01-01,IR,84038000,6287,114
2021-01-02,IR,84038000,6045,101
2021-01-03,IR,84038000,5960,102
2021-01-04,IR,84038000,6073,110
2021-01-05,IR,84038000,6113,98
2021-01-06,IR,84038000,6283,82
2021-01-07,IR,84038000,6360,103
2021-01-08,IR,84038000,6251,85
2021-01-09,IR,84038000,5924,82
2021-01-10,IR,84038000,5968,71
2021-01-11,IR,84038000,6208,91
2021-01-12,IR,84038000,6408,98
2021-01-13,IR,84038000,6317,97
2021-01-14,IR,84038000,6471,81
2021-01-15,IR,84038000,6485,83
2021-01-16,IR,84038000,6100,96
2021-01-17,IR,84038000,6016,86
2021-01-18,IR,84038000,5806,83
2021-01-19,IR,84038000,5917,87
2021-01-20,IR,84038000,6182,84
2021-01-21,IR,84038000,6204,93
2021-01-22,IR,84038000,6332,75
2021-01-23,IR,84038000,6180,69
2021-01-24,IR,84038000,5945,89
2021-01-25,IR,84038000,6309,98
2021-01-26,IR,84038000,6420,79
2021-01-27,IR,84038000,6608,91
2021-01-28,IR,84038000,6527,85
2021-01-29,IR,84038000,6573,71
2021-01-30,IR,84038000,6317,82
2021-01-31,IR,84038000,6268,70
2021-02-01,IR,84038000,6597,79
2021-02-02,IR,84038000,6820,72
2021-02-03,IR,84038000,6870,79
2021-02-04,IR,84038000,7040,67
2021-02-05,IR,84038000,7054,80
2021-02-06,IR,84038000,6990,76
2021-02-07,IR,84038000,7065,57
2021-02-08,IR,84038000,7321,67
2021-02-09,IR,84038000,7640,89
2021-02-10,IR,84038000,7585,61
2021-02-11,IR,84038000,7474,65
2021-02-12,IR,84038000,7298,58
2021-02-13,IR,84038000,7120,74
2021-02-14,IR,84038000,7390,62
2021-02-15,IR,84038000,7760,83
2021-02-16,IR,84038000,8011,89
2021-02-17,IR,84038000,8042,67
2021-02-18,IR,84038000,8066,80
