date,countrycode,population,cases,deaths
2020-02-28,IS,368590,0,0
2020-02-29,IS,368590,0,0
2020-03-01,IS,368590,2,0
2020-03-02,IS,368590,3,0
2020-03-03,IS,368590,5,0
2020-03-04,IS,368590,15,0
2020-03-05,IS,368590,8,0
2020-03-06,IS,368590,9,0
2020-03-07,IS,368590,7,0
2020-03-08,IS,368590,0,0
2020-03-09,IS,368590,8,0
2020-03-10,IS,368590,11,0
2020-03-11,IS,368590,16,0
2020-03-12,IS,368590,18,0
2020-03-13,IS,368590,31,0
2020-03-14,IS,368590,22,0
2020-03-15,IS,368590,15,5
2020-03-16,IS,368590,9,-5
2020-03-17,IS,368590,40,1
2020-03-18,IS,368590,30,0
2020-03-19,IS,368590,80,0
2020-03-20,IS,368590,79,-1
2020-03-21,IS,368590,64,1
2020-03-22,IS,368590,95,0
2020-03-23,IS,368590,20,0
2020-03-24,IS,368590,60,1
2020-03-25,IS,368590,89,0
2020-03-26,IS,368590,65,0
2020-03-27,IS,368590,88,0
2020-03-28,IS,368590,73,0
2020-03-29,IS,368590,57,0
2020-03-30,IS,368590,66,0
2020-03-31,IS,368590,49,0
2020-04-01,IS,368590,85,0
2020-04-02,IS,368590,99,2
2020-04-03,IS,368590,45,0
2020-04-04,IS,368590,53,0
2020-04-05,IS,368590,69,0
2020-04-06,IS,368590,76,2
2020-04-07,IS,368590,24,0
2020-04-08,IS,368590,30,0
2020-04-09,IS,368590,32,0
2020-04-10,IS,368590,27,1
2020-04-11,IS,368590,14,1
2020-04-12,IS,368590,12,0
2020-04-13,IS,368590,10,0
2020-04-14,IS,368590,9,0
2020-04-15,IS,368590,7,0
2020-04-16,IS,368590,12,0
2020-04-17,IS,368590,15,1
2020-04-18,IS,368590,6,0
2020-04-19,IS,368590,11,0
2020-04-20,IS,368590,2,1
2020-04-21,IS,368590,5,0
2020-04-22,IS,368590,7,0
2020-04-23,IS,368590,4,0
2020-04-24,IS,368590,0,0
2020-04-25,IS,368590,1,0
2020-04-26,IS,368590,2,0
2020-04-27,IS,368590,0,0
2020-04-28,IS,368590,3,0
2020-04-29,IS,368590,2,0
2020-04-30,IS,368590,0,0
2020-05-01,IS,368590,1,0
2020-05-02,IS,368590,0,0
2020-05-03,IS,368590,1,0
2020-05-04,IS,368590,0,0
2020-05-05,IS,368590,0,0
2020-05-06,IS,368590,0,0
2020-05-07,IS,368590,2,0
2020-05-08,IS,368590,0,0
2020-05-09,IS,368590,0,0
2020-05-10,IS,368590,0,0
2020-05-11,IS,368590,0,0
2020-05-12,IS,368590,0,0
2020-05-13,IS,368590,1,0
2020-05-14,IS,368590,0,0
2020-05-15,IS,368590,0,0
2020-05-16,IS,368590,0,0
2020-05-17,IS,368590,0,0
2020-05-18,IS,368590,0,0
2020-05-19,IS,368590,0,0
2020-05-20,IS,368590,1,0
2020-05-21,IS,368590,0,0
2020-05-22,IS,368590,0,0
2020-05-23,IS,368590,1,0
2020-05-24,IS,368590,0,0
2020-05-25,IS,368590,0,0
2020-05-26,IS,368590,0,0
2020-05-27,IS,368590,1,0
2020-05-28,IS,368590,0,0
2020-05-29,IS,368590,0,0
2020-05-30,IS,368590,1,0
2020-05-31,IS,368590,0,0
2020-06-01,IS,368590,0,0
2020-06-02,IS,368590,0,0
2020-06-03,IS,368590,0,0
2020-06-04,IS,368590,0,0
2020-06-05,IS,368590,0,0
2020-06-06,IS,368590,0,0
2020-06-07,IS,368590,1,0
2020-06-08,IS,368590,0,0
2020-06-09,IS,368590,0,0
2020-06-10,IS,368590,0,0
2020-06-11,IS,368590,0,0
2020-06-12,IS,368590,0,0
2020-06-13,IS,368590,1,0
2020-06-14,IS,368590,2,0
2020-06-15,IS,368590,0,0
2020-06-16,IS,368590,2,0
2020-06-17,IS,368590,3,0
2020-06-18,IS,368590,1,0
2020-06-19,IS,368590,3,0
2020-06-20,IS,368590,3,0
2020-06-21,IS,368590,1,0
2020-06-22,IS,368590,0,0
2020-06-23,IS,368590,1,0
2020-06-24,IS,368590,0,0
2020-06-25,IS,368590,6,0
2020-06-26,IS,368590,2,0
2020-06-27,IS,368590,4,0
2020-06-28,IS,368590,2,0
2020-06-29,IS,368590,2,0
2020-06-30,IS,368590,2,0
2020-07-01,IS,368590,5,0
2020-07-02,IS,368590,3,0
2020-07-03,IS,368590,5,0
2020-07-04,IS,368590,5,0
2020-07-05,IS,368590,3,0
2020-07-06,IS,368590,3,0
2020-07-07,IS,368590,7,0
2020-07-08,IS,368590,7,0
2020-07-09,IS,368590,2,0
2020-07-10,IS,368590,4,0
2020-07-11,IS,368590,2,0
2020-07-12,IS,368590,8,0
2020-07-13,IS,368590,4,0
2020-07-14,IS,368590,5,0
2020-07-15,IS,368590,6,0
2020-07-16,IS,368590,3,0
2020-07-17,IS,368590,2,0
2020-07-18,IS,368590,6,0
2020-07-19,IS,368590,8,0
2020-07-20,IS,368590,0,0
2020-07-21,IS,368590,-91,0
2020-07-22,IS,368590,1,0
2020-07-23,IS,368590,1,0
2020-07-24,IS,368590,2,0
2020-07-25,IS,368590,0,0
2020-07-26,IS,368590,4,0
2020-07-27,IS,368590,7,0
2020-07-28,IS,368590,3,0
2020-07-29,IS,368590,4,0
2020-07-30,IS,368590,11,0
2020-07-31,IS,368590,13,0
2020-08-01,IS,368590,8,0
2020-08-02,IS,368590,14,0
2020-08-03,IS,368590,8,0
2020-08-04,IS,368590,3,0
2020-08-05,IS,368590,8,0
2020-08-06,IS,368590,6,0
2020-08-07,IS,368590,20,0
2020-08-08,IS,368590,3,0
2020-08-09,IS,368590,3,0
2020-08-10,IS,368590,4,0
2020-08-11,IS,368590,6,0
2020-08-12,IS,368590,4,0
2020-08-13,IS,368590,4,0
2020-08-14,IS,368590,7,0
2020-08-15,IS,368590,16,0
2020-08-16,IS,368590,12,0
2020-08-17,IS,368590,3,0
2020-08-18,IS,368590,13,0
2020-08-19,IS,368590,8,0
2020-08-20,IS,368590,5,0
2020-08-21,IS,368590,10,0
2020-08-22,IS,368590,8,0
2020-08-23,IS,368590,6,0
2020-08-24,IS,368590,9,0
2020-08-25,IS,368590,4,0
2020-08-26,IS,368590,5,0
2020-08-27,IS,368590,5,0
2020-08-28,IS,368590,5,0
2020-08-29,IS,368590,8,0
2020-08-30,IS,368590,5,0
2020-08-31,IS,368590,2,0
2020-09-01,IS,368590,9,0
2020-09-02,IS,368590,5,0
2020-09-03,IS,368590,7,0
2020-09-04,IS,368590,7,0
2020-09-05,IS,368590,1,0
2020-09-06,IS,368590,5,0
2020-09-07,IS,368590,2,0
2020-09-08,IS,368590,7,0
2020-09-09,IS,368590,3,0
2020-09-10,IS,368590,4,0
2020-09-11,IS,368590,4,0
2020-09-12,IS,368590,1,0
2020-09-13,IS,368590,3,0
2020-09-14,IS,368590,3,0
2020-09-15,IS,368590,6,0
2020-09-16,IS,368590,15,0
2020-09-17,IS,368590,17,0
2020-09-18,IS,368590,24,0
2020-09-19,IS,368590,77,0
2020-09-20,IS,368590,0,0
2020-09-21,IS,368590,70,0
2020-09-22,IS,368590,42,0
2020-09-23,IS,368590,57,0
2020-09-24,IS,368590,36,0
2020-09-25,IS,368590,49,0
2020-09-26,IS,368590,40,0
2020-09-27,IS,368590,22,0
2020-09-28,IS,368590,40,0
2020-09-29,IS,368590,32,0
2020-09-30,IS,368590,33,0
2020-10-01,IS,368590,41,0
2020-10-02,IS,368590,40,0
2020-10-03,IS,368590,63,0
2020-10-04,IS,368590,49,0
2020-10-05,IS,368590,59,0
2020-10-06,IS,368590,101,0
2020-10-07,IS,368590,91,0
2020-10-08,IS,368590,95,0
2020-10-09,IS,368590,106,0
2020-10-10,IS,368590,87,0
2020-10-11,IS,368590,66,0
2020-10-12,IS,368590,56,0
2020-10-13,IS,368590,86,0
2020-10-14,IS,368590,89,0
2020-10-15,IS,368590,80,0
2020-10-16,IS,368590,92,1
2020-10-17,IS,368590,69,0
2020-10-18,IS,368590,57,0
2020-10-19,IS,368590,46,0
2020-10-20,IS,368590,92,0
2020-10-21,IS,368590,37,0
2020-10-22,IS,368590,38,0
2020-10-23,IS,368590,40,0
2020-10-24,IS,368590,86,0
2020-10-25,IS,368590,54,0
2020-10-26,IS,368590,56,0
2020-10-27,IS,368590,70,0
2020-10-28,IS,368590,97,1
2020-10-29,IS,368590,48,0
2020-10-30,IS,368590,78,0
2020-10-31,IS,368590,68,0
2020-11-01,IS,368590,25,0
2020-11-02,IS,368590,41,0
2020-11-03,IS,368590,26,5
2020-11-04,IS,368590,32,0
2020-11-05,IS,368590,28,1
2020-11-06,IS,368590,22,0
2020-11-07,IS,368590,24,0
2020-11-08,IS,368590,15,2
2020-11-09,IS,368590,23,3
2020-11-10,IS,368590,13,1
2020-11-11,IS,368590,28,0
2020-11-12,IS,368590,18,1
2020-11-13,IS,368590,10,0
2020-11-14,IS,368590,16,0
2020-11-15,IS,368590,3,0
2020-11-16,IS,368590,16,0
2020-11-17,IS,368590,10,0
2020-11-18,IS,368590,11,0
2020-11-19,IS,368590,5,0
2020-11-20,IS,368590,20,1
2020-11-21,IS,368590,18,0
2020-11-22,IS,368590,8,0
2020-11-23,IS,368590,12,0
2020-11-24,IS,368590,9,0
2020-11-25,IS,368590,14,0
2020-11-26,IS,368590,11,0
2020-11-27,IS,368590,23,0
2020-11-28,IS,368590,25,0
2020-11-29,IS,368590,10,0
2020-11-30,IS,368590,11,0
2020-12-01,IS,368590,21,1
2020-12-02,IS,368590,0,0
2020-12-03,IS,368590,35,0
2020-12-04,IS,368590,14,0
2020-12-05,IS,368590,14,0
2020-12-06,IS,368590,6,0
2020-12-07,IS,368590,14,0
2020-12-08,IS,368590,10,1
2020-12-09,IS,368590,10,0
2020-12-10,IS,368590,8,0
2020-12-11,IS,368590,15,0
2020-12-12,IS,368590,13,0
2020-12-13,IS,368590,5,0
2020-12-14,IS,368590,7,0
2020-12-15,IS,368590,7,0
2020-12-16,IS,368590,7,0
2020-12-17,IS,368590,10,0
