date,countrycode,population,cases,deaths
2020-01-31,IT,60550092,0,0
2020-02-01,IT,60550092,0,0
2020-02-02,IT,60550092,0,0
2020-02-03,IT,60550092,0,0
2020-02-04,IT,60550092,0,0
2020-02-05,IT,60550092,0,0
2020-02-06,IT,60550092,0,0
2020-02-07,IT,60550092,1,0
2020-02-08,IT,60550092,0,0
2020-02-09,IT,60550092,0,0
2020-02-10,IT,60550092,0,0
2020-02-11,IT,60550092,0,0
2020-02-12,IT,60550092,0,0
2020-02-13,IT,60550092,0,0
2020-02-14,IT,60550092,0,0
2020-02-15,IT,60550092,0,0
2020-02-16,IT,60550092,0,0
2020-02-17,IT,60550092,0,0
2020-02-18,IT,60550092,0,0
2020-02-19,IT,60550092,0,0
2020-02-20,IT,60550092,0,0
2020-02-21,IT,60550092,17,1
2020-02-22,IT,60550092,42,1
2020-02-23,IT,60550092,93,1
2020-02-24,IT,60550092,74,4
2020-02-25,IT,60550092,93,3
2020-02-26,IT,60550092,131,2
2020-02-27,IT,60550092,202,5
2020-02-28,IT,60550092,233,4
2020-02-29,IT,60550092,240,8
2020-03-01,IT,60550092,566,5
2020-03-02,IT,60550092,342,18
2020-03-03,IT,60550092,466,27
2020-03-04,IT,60550092,587,28
2020-03-05,IT,60550092,769,41
2020-03-06,IT,60550092,778,49
2020-03-07,IT,60550092,1247,36
2020-03-08,IT,60550092,1492,133
2020-03-09,IT,60550092,1797,97
2020-03-10,IT,60550092,977,168
2020-03-11,IT,60550092,2313,196
2020-03-12,IT,60550092,0,0
2020-03-13,IT,60550092,5198,439
2020-03-14,IT,60550092,3497,175
2020-03-15,IT,60550092,3590,368
2020-03-16,IT,60550092,3233,349
2020-03-17,IT,60550092,3526,345
2020-03-18,IT,60550092,4207,475
2020-03-19,IT,60550092,5322,427
2020-03-20,IT,60550092,5986,627
2020-03-21,IT,60550092,6557,793
2020-03-22,IT,60550092,5560,651
2020-03-23,IT,60550092,4789,601
2020-03-24,IT,60550092,5249,743
2020-03-25,IT,60550092,5210,683
2020-03-26,IT,60550092,6203,712
2020-03-27,IT,60550092,5909,919
2020-03-28,IT,60550092,5974,889
2020-03-29,IT,60550092,5217,756
2020-03-30,IT,60550092,4050,812
2020-03-31,IT,60550092,4053,837
2020-04-01,IT,60550092,4782,727
2020-04-02,IT,60550092,4668,760
2020-04-03,IT,60550092,4585,766
2020-04-04,IT,60550092,4805,681
2020-04-05,IT,60550092,4316,525
2020-04-06,IT,60550092,3599,636
2020-04-07,IT,60550092,3039,604
2020-04-08,IT,60550092,3836,542
2020-04-09,IT,60550092,4204,610
2020-04-10,IT,60550092,3951,570
2020-04-11,IT,60550092,4694,619
2020-04-12,IT,60550092,4092,431
2020-04-13,IT,60550092,3153,566
2020-04-14,IT,60550092,2972,602
2020-04-15,IT,60550092,2667,578
2020-04-16,IT,60550092,3786,525
2020-04-17,IT,60550092,3493,575
2020-04-18,IT,60550092,3491,482
2020-04-19,IT,60550092,3047,433
2020-04-20,IT,60550092,2256,454
2020-04-21,IT,60550092,2729,534
2020-04-22,IT,60550092,3370,437
2020-04-23,IT,60550092,2646,464
2020-04-24,IT,60550092,3021,420
2020-04-25,IT,60550092,2357,415
2020-04-26,IT,60550092,2324,260
2020-04-27,IT,60550092,1739,333
2020-04-28,IT,60550092,2091,382
2020-04-29,IT,60550092,2086,323
2020-04-30,IT,60550092,1872,285
2020-05-01,IT,60550092,1965,269
2020-05-02,IT,60550092,1900,474
2020-05-03,IT,60550092,1389,174
2020-05-04,IT,60550092,1221,195
2020-05-05,IT,60550092,1075,236
2020-05-06,IT,60550092,1444,369
2020-05-07,IT,60550092,1401,274
2020-05-08,IT,60550092,1327,243
2020-05-09,IT,60550092,1083,194
2020-05-10,IT,60550092,802,165
2020-05-11,IT,60550092,744,179
2020-05-12,IT,60550092,1402,172
2020-05-13,IT,60550092,888,195
2020-05-14,IT,60550092,992,262
2020-05-15,IT,60550092,789,242
