date,countrycode,population,cases,deaths
2020-03-03,JO,10101697,0,0
2020-03-04,JO,10101697,0,0
2020-03-05,JO,10101697,0,0
2020-03-06,JO,10101697,0,0
2020-03-07,JO,10101697,0,0
2020-03-08,JO,10101697,0,0
2020-03-09,JO,10101697,0,0
2020-03-10,JO,10101697,0,0
2020-03-11,JO,10101697,0,0
2020-03-12,JO,10101697,0,0
2020-03-13,JO,10101697,0,0
2020-03-14,JO,10101697,0,0
2020-03-15,JO,10101697,7,0
2020-03-16,JO,10101697,9,0
2020-03-17,JO,10101697,17,0
2020-03-18,JO,10101697,18,0
2020-03-19,JO,10101697,17,0
2020-03-20,JO,10101697,16,0
2020-03-21,JO,10101697,0,0
2020-03-22,JO,10101697,27,0
2020-03-23,JO,10101697,15,0
2020-03-24,JO,10101697,27,0
2020-03-25,JO,10101697,18,0
2020-03-26,JO,10101697,40,0
2020-03-27,JO,10101697,23,1
2020-03-28,JO,10101697,11,0
2020-03-29,JO,10101697,13,2
2020-03-30,JO,10101697,9,2
2020-03-31,JO,10101697,6,0
2020-04-01,JO,10101697,4,0
2020-04-02,JO,10101697,21,0
2020-04-03,JO,10101697,11,0
2020-04-04,JO,10101697,13,0
2020-04-05,JO,10101697,22,0
2020-04-06,JO,10101697,4,1
2020-04-07,JO,10101697,4,0
2020-04-08,JO,10101697,5,0
2020-04-09,JO,10101697,14,1
2020-04-10,JO,10101697,0,0
2020-04-11,JO,10101697,9,0
2020-04-12,JO,10101697,8,0
2020-04-13,JO,10101697,2,0
2020-04-14,JO,10101697,6,0
2020-04-15,JO,10101697,4,0
2020-04-16,JO,10101697,1,0
2020-04-17,JO,10101697,5,0
2020-04-18,JO,10101697,6,0
2020-04-19,JO,10101697,4,0
2020-04-20,JO,10101697,8,0
2020-04-21,JO,10101697,3,0
2020-04-22,JO,10101697,7,0
2020-04-23,JO,10101697,2,0
2020-04-24,JO,10101697,4,0
2020-04-25,JO,10101697,3,0
2020-04-26,JO,10101697,3,0
2020-04-27,JO,10101697,2,0
2020-04-28,JO,10101697,0,1
2020-04-29,JO,10101697,2,0
2020-04-30,JO,10101697,2,0
2020-05-01,JO,10101697,6,0
2020-05-02,JO,10101697,1,1
2020-05-03,JO,10101697,1,0
2020-05-04,JO,10101697,4,0
2020-05-05,JO,10101697,6,0
2020-05-06,JO,10101697,2,0
2020-05-07,JO,10101697,21,0
2020-05-08,JO,10101697,14,0
2020-05-09,JO,10101697,14,0
2020-05-10,JO,10101697,18,0
2020-05-11,JO,10101697,22,0
2020-05-12,JO,10101697,14,0
2020-05-13,JO,10101697,6,0
2020-05-14,JO,10101697,4,0
2020-05-15,JO,10101697,10,0
2020-05-16,JO,10101697,11,0
2020-05-17,JO,10101697,6,0
2020-05-18,JO,10101697,16,0
2020-05-19,JO,10101697,20,0
2020-05-20,JO,10101697,23,0
2020-05-21,JO,10101697,12,0
2020-05-22,JO,10101697,16,0
2020-05-23,JO,10101697,4,0
2020-05-24,JO,10101697,4,0
2020-05-25,JO,10101697,3,0
2020-05-26,JO,10101697,7,0
2020-05-27,JO,10101697,2,0
2020-05-28,JO,10101697,8,0
2020-05-29,JO,10101697,2,0
2020-05-30,JO,10101697,4,0
2020-05-31,JO,10101697,5,0
2020-06-01,JO,10101697,7,0
2020-06-02,JO,10101697,9,0
2020-06-03,JO,10101697,2,0
2020-06-04,JO,10101697,8,0
2020-06-05,JO,10101697,19,0
2020-06-06,JO,10101697,11,0
2020-06-07,JO,10101697,13,0
2020-06-08,JO,10101697,23,0
2020-06-09,JO,10101697,14,0
2020-06-10,JO,10101697,18,0
2020-06-11,JO,10101697,27,0
2020-06-12,JO,10101697,25,0
2020-06-13,JO,10101697,38,0
2020-06-14,JO,10101697,8,0
2020-06-15,JO,10101697,18,0
2020-06-16,JO,10101697,2,0
2020-06-17,JO,10101697,6,0
2020-06-18,JO,10101697,14,0
2020-06-19,JO,10101697,7,0
2020-06-20,JO,10101697,7,0
2020-06-21,JO,10101697,18,0
2020-06-22,JO,10101697,9,0
2020-06-23,JO,10101697,5,0
2020-06-24,JO,10101697,24,0
2020-06-25,JO,10101697,15,0
2020-06-26,JO,10101697,18,0
2020-06-27,JO,10101697,7,0
2020-06-28,JO,10101697,10,0
2020-06-29,JO,10101697,7,0
2020-06-30,JO,10101697,4,0
2020-07-01,JO,10101697,1,0
2020-07-02,JO,10101697,3,0
2020-07-03,JO,10101697,11,1
2020-07-04,JO,10101697,3,0
2020-07-05,JO,10101697,14,0
2020-07-06,JO,10101697,3,0
2020-07-07,JO,10101697,2,0
2020-07-08,JO,10101697,0,0
2020-07-09,JO,10101697,0,0
2020-07-10,JO,10101697,4,0
2020-07-11,JO,10101697,3,0
2020-07-12,JO,10101697,3,0
2020-07-13,JO,10101697,4,0
2020-07-14,JO,10101697,15,0
2020-07-15,JO,10101697,3,0
2020-07-16,JO,10101697,5,0
2020-07-17,JO,10101697,3,0
2020-07-18,JO,10101697,5,1
2020-07-19,JO,10101697,4,0
2020-07-20,JO,10101697,5,0
2020-07-21,JO,10101697,-110,0
2020-07-22,JO,10101697,7,0
2020-07-23,JO,10101697,11,0
2020-07-24,JO,10101697,15,0
2020-07-25,JO,10101697,8,0
2020-07-26,JO,10101697,14,0
2020-07-27,JO,10101697,8,0
2020-07-28,JO,10101697,6,0
2020-07-29,JO,10101697,5,0
2020-07-30,JO,10101697,4,0
2020-07-31,JO,10101697,2,0
2020-08-01,JO,10101697,15,0
2020-08-02,JO,10101697,5,0
2020-08-03,JO,10101697,5,0
2020-08-04,JO,10101697,6,0
2020-08-05,JO,10101697,7,0
2020-08-06,JO,10101697,1,0
2020-08-07,JO,10101697,5,0
2020-08-08,JO,10101697,9,0
2020-08-09,JO,10101697,6,0
2020-08-10,JO,10101697,16,0
2020-08-11,JO,10101697,15,0
2020-08-12,JO,10101697,20,0
2020-08-13,JO,10101697,17,0
2020-08-14,JO,10101697,9,0
2020-08-15,JO,10101697,10,0
2020-08-16,JO,10101697,39,0
2020-08-17,JO,10101697,20,0
2020-08-18,JO,10101697,40,0
2020-08-19,JO,10101697,44,0
2020-08-20,JO,10101697,16,0
2020-08-21,JO,10101697,34,0
2020-08-22,JO,10101697,44,0
2020-08-23,JO,10101697,33,1
2020-08-24,JO,10101697,30,2
2020-08-25,JO,10101697,77,0
2020-08-26,JO,10101697,40,1
2020-08-27,JO,10101697,45,0
2020-08-28,JO,10101697,68,0
2020-08-29,JO,10101697,24,0
2020-08-30,JO,10101697,73,0
2020-08-31,JO,10101697,68,0
2020-09-01,JO,10101697,63,0
2020-09-02,JO,10101697,64,0
2020-09-03,JO,10101697,72,0
2020-09-04,JO,10101697,68,1
2020-09-05,JO,10101697,52,0
2020-09-06,JO,10101697,58,0
2020-09-07,JO,10101697,67,1
2020-09-08,JO,10101697,103,2
2020-09-09,JO,10101697,78,0
2020-09-10,JO,10101697,80,1
2020-09-11,JO,10101697,206,1
2020-09-12,JO,10101697,117,1
2020-09-13,JO,10101697,252,2
2020-09-14,JO,10101697,214,2
2020-09-15,JO,10101697,149,0
2020-09-16,JO,10101697,175,0
2020-09-17,JO,10101697,279,0
2020-09-18,JO,10101697,213,3
