date,countrycode,population,cases,deaths
2020-03-18,KG,6415851,0,0
2020-03-19,KG,6415851,0,0
2020-03-20,KG,6415851,3,0
2020-03-21,KG,6415851,8,0
2020-03-22,KG,6415851,0,0
2020-03-23,KG,6415851,2,0
2020-03-24,KG,6415851,26,0
2020-03-25,KG,6415851,2,0
2020-03-26,KG,6415851,0,0
2020-03-27,KG,6415851,14,0
2020-03-28,KG,6415851,0,0
2020-03-29,KG,6415851,26,0
2020-03-30,KG,6415851,10,0
2020-03-31,KG,6415851,13,0
2020-04-01,KG,6415851,4,0
2020-04-02,KG,6415851,5,0
2020-04-03,KG,6415851,14,1
2020-04-04,KG,6415851,14,0
2020-04-05,KG,6415851,3,0
2020-04-06,KG,6415851,69,3
2020-04-07,KG,6415851,12,0
2020-04-08,KG,6415851,42,0
2020-04-09,KG,6415851,10,0
2020-04-10,KG,6415851,18,1
2020-04-11,KG,6415851,41,0
2020-04-12,KG,6415851,38,0
2020-04-13,KG,6415851,42,0
2020-04-14,KG,6415851,11,0
2020-04-15,KG,6415851,19,0
2020-04-16,KG,6415851,17,0
2020-04-17,KG,6415851,23,0
2020-04-18,KG,6415851,17,0
2020-04-19,KG,6415851,48,0
2020-04-20,KG,6415851,14,2
2020-04-21,KG,6415851,22,0
2020-04-22,KG,6415851,22,0
2020-04-23,KG,6415851,19,1
2020-04-24,KG,6415851,34,0
2020-04-25,KG,6415851,0,0
2020-04-26,KG,6415851,17,0
2020-04-27,KG,6415851,13,0
2020-04-28,KG,6415851,13,0
2020-04-29,KG,6415851,21,0
2020-04-30,KG,6415851,17,0
2020-05-01,KG,6415851,10,0
2020-05-02,KG,6415851,13,0
2020-05-03,KG,6415851,26,2
2020-05-04,KG,6415851,35,0
2020-05-05,KG,6415851,13,1
2020-05-06,KG,6415851,28,1
2020-05-07,KG,6415851,24,0
2020-05-08,KG,6415851,11,0
2020-05-09,KG,6415851,25,0
2020-05-10,KG,6415851,71,0
2020-05-11,KG,6415851,14,0
2020-05-12,KG,6415851,21,0
2020-05-13,KG,6415851,7,0
2020-05-14,KG,6415851,38,0
2020-05-15,KG,6415851,29,2
2020-05-16,KG,6415851,6,0
2020-05-17,KG,6415851,21,0
2020-05-18,KG,6415851,78,0
2020-05-19,KG,6415851,27,0
2020-05-20,KG,6415851,27,0
2020-05-21,KG,6415851,43,0
2020-05-22,KG,6415851,37,0
2020-05-23,KG,6415851,15,0
2020-05-24,KG,6415851,38,0
2020-05-25,KG,6415851,30,2
2020-05-26,KG,6415851,35,0
2020-05-27,KG,6415851,52,0
2020-05-28,KG,6415851,74,0
2020-05-29,KG,6415851,68,0
2020-05-30,KG,6415851,60,0
2020-05-31,KG,6415851,26,0
2020-06-01,KG,6415851,69,0
2020-06-02,KG,6415851,28,1
2020-06-03,KG,6415851,26,3
2020-06-04,KG,6415851,28,0
2020-06-05,KG,6415851,37,2
2020-06-06,KG,6415851,38,0
2020-06-07,KG,6415851,33,0
2020-06-08,KG,6415851,25,1
2020-06-09,KG,6415851,23,1
2020-06-10,KG,6415851,38,2
2020-06-11,KG,6415851,73,0
2020-06-12,KG,6415851,0,0
2020-06-13,KG,6415851,41,1
2020-06-14,KG,6415851,78,0
2020-06-15,KG,6415851,187,1
2020-06-16,KG,6415851,90,2
2020-06-17,KG,6415851,95,1
2020-06-18,KG,6415851,0,0
2020-06-19,KG,6415851,132,1
2020-06-20,KG,6415851,192,3
2020-06-21,KG,6415851,375,5
2020-06-22,KG,6415851,0,0
2020-06-23,KG,6415851,370,2
2020-06-24,KG,6415851,228,1
2020-06-25,KG,6415851,250,0
2020-06-26,KG,6415851,242,3
2020-06-27,KG,6415851,67,0
