date,countrycode,population,cases,deaths
2020-01-22,KR,51824142,0,0
2020-01-23,KR,51824142,0,0
2020-01-24,KR,51824142,1,0
2020-01-25,KR,51824142,0,0
2020-01-26,KR,51824142,1,0
2020-01-27,KR,51824142,1,0
2020-01-28,KR,51824142,0,0
2020-01-29,KR,51824142,0,0
2020-01-30,KR,51824142,0,0
2020-01-31,KR,51824142,7,0
2020-02-01,KR,51824142,1,0
2020-02-02,KR,51824142,3,0
2020-02-03,KR,51824142,0,0
2020-02-04,KR,51824142,1,0
2020-02-05,KR,51824142,3,0
2020-02-06,KR,51824142,4,0
2020-02-07,KR,51824142,1,0
2020-02-08,KR,51824142,0,0
2020-02-09,KR,51824142,1,0
2020-02-10,KR,51824142,2,0
2020-02-11,KR,51824142,1,0
2020-02-12,KR,51824142,0,0
2020-02-13,KR,51824142,0,0
2020-02-14,KR,51824142,0,0
2020-02-15,KR,51824142,0,0
2020-02-16,KR,51824142,1,0
2020-02-17,KR,51824142,1,0
2020-02-18,KR,51824142,1,0
2020-02-19,KR,51824142,0,0
2020-02-20,KR,51824142,73,1
2020-02-21,KR,51824142,100,1
2020-02-22,KR,51824142,229,0
2020-02-23,KR,51824142,169,4
2020-02-24,KR,51824142,231,2
2020-02-25,KR,51824142,144,2
2020-02-26,KR,51824142,284,2
2020-02-27,KR,51824142,505,1
2020-02-28,KR,51824142,571,0
2020-02-29,KR,51824142,813,3
2020-03-01,KR,51824142,586,1
2020-03-02,KR,51824142,599,11
2020-03-03,KR,51824142,851,0
2020-03-04,KR,51824142,435,7
2020-03-05,KR,51824142,467,0
2020-03-06,KR,51824142,505,7
2020-03-07,KR,51824142,448,2
2020-03-08,KR,51824142,273,6
2020-03-09,KR,51824142,164,3
2020-03-10,KR,51824142,35,1
2020-03-11,KR,51824142,242,6
2020-03-12,KR,51824142,114,6
2020-03-13,KR,51824142,110,0
2020-03-14,KR,51824142,107,6
2020-03-15,KR,51824142,76,3
2020-03-16,KR,51824142,74,0
2020-03-17,KR,51824142,84,6
2020-03-18,KR,51824142,93,3
2020-03-19,KR,51824142,152,7
2020-03-20,KR,51824142,87,3
2020-03-21,KR,51824142,147,8
2020-03-22,KR,51824142,162,9
2020-03-23,KR,51824142,0,0
2020-03-24,KR,51824142,76,9
2020-03-25,KR,51824142,100,6
2020-03-26,KR,51824142,104,5
2020-03-27,KR,51824142,91,8
2020-03-28,KR,51824142,146,5
2020-03-29,KR,51824142,105,8
2020-03-30,KR,51824142,78,6
2020-03-31,KR,51824142,125,4
2020-04-01,KR,51824142,101,3
2020-04-02,KR,51824142,89,4
2020-04-03,KR,51824142,86,5
2020-04-04,KR,51824142,94,3
2020-04-05,KR,51824142,81,6
2020-04-06,KR,51824142,47,3
2020-04-07,KR,51824142,47,6
2020-04-08,KR,51824142,53,8
2020-04-09,KR,51824142,39,4
2020-04-10,KR,51824142,27,4
2020-04-11,KR,51824142,30,3
2020-04-12,KR,51824142,32,3
2020-04-13,KR,51824142,25,3
2020-04-14,KR,51824142,27,5
2020-04-15,KR,51824142,27,3
2020-04-16,KR,51824142,22,4
2020-04-17,KR,51824142,22,1
2020-04-18,KR,51824142,18,2
2020-04-19,KR,51824142,8,2
2020-04-20,KR,51824142,13,2
2020-04-21,KR,51824142,9,1
2020-04-22,KR,51824142,11,1
2020-04-23,KR,51824142,14,2
2020-04-24,KR,51824142,10,0
2020-04-25,KR,51824142,10,2
2020-04-26,KR,51824142,10,1
2020-04-27,KR,51824142,14,1
2020-04-28,KR,51824142,9,2
2020-04-29,KR,51824142,4,1
2020-04-30,KR,51824142,9,1
2020-05-01,KR,51824142,6,2
2020-05-02,KR,51824142,13,0
2020-05-03,KR,51824142,8,2
2020-05-04,KR,51824142,3,2
2020-05-05,KR,51824142,2,1
2020-05-06,KR,51824142,4,1
2020-05-07,KR,51824142,12,0
2020-05-08,KR,51824142,18,0
2020-05-09,KR,51824142,34,0
2020-05-10,KR,51824142,35,0
2020-05-11,KR,51824142,27,2
2020-05-12,KR,51824142,26,1
2020-05-13,KR,51824142,29,1
2020-05-14,KR,51824142,27,0
2020-05-15,KR,51824142,19,2
2020-05-16,KR,51824142,13,0
2020-05-17,KR,51824142,15,1
2020-05-18,KR,51824142,13,0
2020-05-19,KR,51824142,32,0
2020-05-20,KR,51824142,12,1
2020-05-21,KR,51824142,20,0
2020-05-22,KR,51824142,23,2
2020-05-23,KR,51824142,25,0
2020-05-24,KR,51824142,16,1
2020-05-25,KR,51824142,19,2
