date,countrycode,population,cases,deaths
2020-02-24,KW,4207077,0,0
2020-02-25,KW,4207077,10,0
2020-02-26,KW,4207077,15,0
2020-02-27,KW,4207077,17,0
2020-02-28,KW,4207077,2,0
2020-02-29,KW,4207077,0,0
2020-03-01,KW,4207077,0,0
2020-03-02,KW,4207077,11,0
2020-03-03,KW,4207077,0,0
2020-03-04,KW,4207077,0,0
2020-03-05,KW,4207077,2,0
2020-03-06,KW,4207077,0,0
2020-03-07,KW,4207077,3,0
2020-03-08,KW,4207077,3,0
2020-03-09,KW,4207077,0,0
2020-03-10,KW,4207077,5,0
2020-03-11,KW,4207077,3,0
2020-03-12,KW,4207077,8,0
2020-03-13,KW,4207077,0,0
2020-03-14,KW,4207077,24,0
2020-03-15,KW,4207077,8,0
2020-03-16,KW,4207077,11,0
2020-03-17,KW,4207077,7,0
2020-03-18,KW,4207077,12,0
2020-03-19,KW,4207077,6,0
2020-03-20,KW,4207077,11,0
2020-03-21,KW,4207077,17,0
2020-03-22,KW,4207077,12,0
2020-03-23,KW,4207077,1,0
2020-03-24,KW,4207077,2,0
2020-03-25,KW,4207077,4,0
2020-03-26,KW,4207077,13,0
2020-03-27,KW,4207077,17,0
2020-03-28,KW,4207077,10,0
2020-03-29,KW,4207077,20,0
2020-03-30,KW,4207077,11,0
2020-03-31,KW,4207077,23,0
2020-04-01,KW,4207077,28,0
2020-04-02,KW,4207077,25,0
2020-04-03,KW,4207077,75,0
2020-04-04,KW,4207077,62,1
2020-04-05,KW,4207077,77,0
2020-04-06,KW,4207077,109,0
2020-04-07,KW,4207077,78,0
2020-04-08,KW,4207077,112,0
2020-04-09,KW,4207077,55,0
2020-04-10,KW,4207077,83,0
2020-04-11,KW,4207077,161,0
2020-04-12,KW,4207077,80,0
2020-04-13,KW,4207077,66,1
2020-04-14,KW,4207077,55,1
2020-04-15,KW,4207077,50,0
2020-04-16,KW,4207077,119,0
2020-04-17,KW,4207077,134,2
2020-04-18,KW,4207077,93,1
2020-04-19,KW,4207077,164,1
2020-04-20,KW,4207077,80,2
2020-04-21,KW,4207077,85,2
2020-04-22,KW,4207077,168,2
2020-04-23,KW,4207077,151,1
2020-04-24,KW,4207077,215,1
2020-04-25,KW,4207077,278,4
2020-04-26,KW,4207077,183,1
2020-04-27,KW,4207077,213,2
2020-04-28,KW,4207077,152,1
2020-04-29,KW,4207077,300,1
2020-04-30,KW,4207077,284,2
2020-05-01,KW,4207077,353,4
2020-05-02,KW,4207077,242,3
2020-05-03,KW,4207077,364,5
2020-05-04,KW,4207077,295,2
2020-05-05,KW,4207077,526,0
2020-05-06,KW,4207077,485,2
2020-05-07,KW,4207077,278,2
2020-05-08,KW,4207077,641,3
2020-05-09,KW,4207077,415,2
2020-05-10,KW,4207077,1065,9
2020-05-11,KW,4207077,598,7
2020-05-12,KW,4207077,991,10
2020-05-13,KW,4207077,751,7
2020-05-14,KW,4207077,947,6
2020-05-15,KW,4207077,885,8
2020-05-16,KW,4207077,942,11
2020-05-17,KW,4207077,1048,5
2020-05-18,KW,4207077,841,6
2020-05-19,KW,4207077,1073,3
2020-05-20,KW,4207077,804,3
2020-05-21,KW,4207077,1041,5
2020-05-22,KW,4207077,955,9
