date,countrycode,population,cases,deaths
2020-03-13,KZ,18551428,0,0
2020-03-14,KZ,18551428,2,0
2020-03-15,KZ,18551428,3,0
2020-03-16,KZ,18551428,1,0
2020-03-17,KZ,18551428,23,0
2020-03-18,KZ,18551428,2,0
2020-03-19,KZ,18551428,9,0
2020-03-20,KZ,18551428,5,0
2020-03-21,KZ,18551428,4,0
2020-03-22,KZ,18551428,7,0
2020-03-23,KZ,18551428,2,0
2020-03-24,KZ,18551428,10,0
2020-03-25,KZ,18551428,9,0
2020-03-26,KZ,18551428,30,0
2020-03-27,KZ,18551428,39,1
2020-03-28,KZ,18551428,78,0
2020-03-29,KZ,18551428,56,0
2020-03-30,KZ,18551428,18,0
2020-03-31,KZ,18551428,41,1
2020-04-01,KZ,18551428,37,1
2020-04-02,KZ,18551428,55,0
2020-04-03,KZ,18551428,29,0
2020-04-04,KZ,18551428,67,2
2020-04-05,KZ,18551428,53,0
2020-04-06,KZ,18551428,78,1
2020-04-07,KZ,18551428,35,0
2020-04-08,KZ,18551428,30,1
2020-04-09,KZ,18551428,54,2
2020-04-10,KZ,18551428,31,1
2020-04-11,KZ,18551428,53,0
2020-04-12,KZ,18551428,86,2
2020-04-13,KZ,18551428,140,0
2020-04-14,KZ,18551428,141,0
2020-04-15,KZ,18551428,63,4
2020-04-16,KZ,18551428,107,0
2020-04-17,KZ,18551428,144,1
2020-04-18,KZ,18551428,69,2
2020-04-19,KZ,18551428,61,0
2020-04-20,KZ,18551428,176,0
2020-04-21,KZ,18551428,143,0
2020-04-22,KZ,18551428,140,0
2020-04-23,KZ,18551428,154,0
2020-04-24,KZ,18551428,193,6
2020-04-25,KZ,18551428,119,0
2020-04-26,KZ,18551428,116,0
2020-04-27,KZ,18551428,118,0
2020-04-28,KZ,18551428,192,0
2020-04-29,KZ,18551428,111,0
2020-04-30,KZ,18551428,264,0
2020-05-01,KZ,18551428,195,0
2020-05-02,KZ,18551428,260,1
2020-05-03,KZ,18551428,63,1
2020-05-04,KZ,18551428,129,2
2020-05-05,KZ,18551428,156,0
2020-05-06,KZ,18551428,217,1
2020-05-07,KZ,18551428,156,0
2020-05-08,KZ,18551428,256,1
2020-05-09,KZ,18551428,141,0
2020-05-10,KZ,18551428,115,0
2020-05-11,KZ,18551428,117,1
2020-05-12,KZ,18551428,72,0
2020-05-13,KZ,18551428,138,1
2020-05-14,KZ,18551428,154,1
2020-05-15,KZ,18551428,118,0
2020-05-16,KZ,18551428,161,0
2020-05-17,KZ,18551428,307,0
2020-05-18,KZ,18551428,594,1
2020-05-19,KZ,18551428,0,0
2020-05-20,KZ,18551428,218,0
2020-05-21,KZ,18551428,265,0
2020-05-22,KZ,18551428,685,0
2020-05-23,KZ,18551428,0,0
2020-05-24,KZ,18551428,612,0
2020-05-25,KZ,18551428,438,0
