date,countrycode,population,cases,deaths
2020-02-21,LB,6855709,0,0
2020-02-22,LB,6855709,0,0
2020-02-23,LB,6855709,0,0
2020-02-24,LB,6855709,0,0
2020-02-25,LB,6855709,0,0
2020-02-26,LB,6855709,1,0
2020-02-27,LB,6855709,0,0
2020-02-28,LB,6855709,0,0
2020-02-29,LB,6855709,2,0
2020-03-01,LB,6855709,6,0
2020-03-02,LB,6855709,3,0
2020-03-03,LB,6855709,0,0
2020-03-04,LB,6855709,0,0
2020-03-05,LB,6855709,3,0
2020-03-06,LB,6855709,6,0
2020-03-07,LB,6855709,0,0
2020-03-08,LB,6855709,10,0
2020-03-09,LB,6855709,0,0
2020-03-10,LB,6855709,9,1
2020-03-11,LB,6855709,20,2
2020-03-12,LB,6855709,0,0
2020-03-13,LB,6855709,16,0
2020-03-14,LB,6855709,16,0
2020-03-15,LB,6855709,17,0
2020-03-16,LB,6855709,-11,0
2020-03-17,LB,6855709,21,0
2020-03-18,LB,6855709,13,0
2020-03-19,LB,6855709,24,1
2020-03-20,LB,6855709,6,0
2020-03-21,LB,6855709,24,0
2020-03-22,LB,6855709,61,0
2020-03-23,LB,6855709,19,0
2020-03-24,LB,6855709,51,0
2020-03-25,LB,6855709,15,2
2020-03-26,LB,6855709,35,0
2020-03-27,LB,6855709,23,2
2020-03-28,LB,6855709,21,0
2020-03-29,LB,6855709,26,2
2020-03-30,LB,6855709,8,1
2020-03-31,LB,6855709,24,1
2020-04-01,LB,6855709,9,2
2020-04-02,LB,6855709,15,2
2020-04-03,LB,6855709,14,1
2020-04-04,LB,6855709,12,0
2020-04-05,LB,6855709,7,1
2020-04-06,LB,6855709,14,1
2020-04-07,LB,6855709,7,0
2020-04-08,LB,6855709,28,0
2020-04-09,LB,6855709,6,0
2020-04-10,LB,6855709,27,1
2020-04-11,LB,6855709,10,0
2020-04-12,LB,6855709,11,0
2020-04-13,LB,6855709,2,0
2020-04-14,LB,6855709,9,1
2020-04-15,LB,6855709,17,0
2020-04-16,LB,6855709,5,0
2020-04-17,LB,6855709,5,0
2020-04-18,LB,6855709,4,0
2020-04-19,LB,6855709,1,0
2020-04-20,LB,6855709,4,0
2020-04-21,LB,6855709,0,0
2020-04-22,LB,6855709,5,1
2020-04-23,LB,6855709,6,0
2020-04-24,LB,6855709,8,0
2020-04-25,LB,6855709,8,2
2020-04-26,LB,6855709,3,0
2020-04-27,LB,6855709,3,0
2020-04-28,LB,6855709,7,0
2020-04-29,LB,6855709,4,0
2020-04-30,LB,6855709,4,0
2020-05-01,LB,6855709,4,0
2020-05-02,LB,6855709,4,1
2020-05-03,LB,6855709,4,0
2020-05-04,LB,6855709,3,0
2020-05-05,LB,6855709,1,0
2020-05-06,LB,6855709,9,0
2020-05-07,LB,6855709,34,0
2020-05-08,LB,6855709,12,1
2020-05-09,LB,6855709,13,0
2020-05-10,LB,6855709,36,0
2020-05-11,LB,6855709,14,0
2020-05-12,LB,6855709,11,0
2020-05-13,LB,6855709,8,0
2020-05-14,LB,6855709,8,0
2020-05-15,LB,6855709,5,0
2020-05-16,LB,6855709,11,0
2020-05-17,LB,6855709,9,0
2020-05-18,LB,6855709,20,0
2020-05-19,LB,6855709,23,0
2020-05-20,LB,6855709,7,0
2020-05-21,LB,6855709,63,0
2020-05-22,LB,6855709,62,0
2020-05-23,LB,6855709,11,0
2020-05-24,LB,6855709,17,0
2020-05-25,LB,6855709,5,0
2020-05-26,LB,6855709,21,0
2020-05-27,LB,6855709,21,0
2020-05-28,LB,6855709,7,0
2020-05-29,LB,6855709,4,0
2020-05-30,LB,6855709,19,0
2020-05-31,LB,6855709,29,1
2020-06-01,LB,6855709,13,0
2020-06-02,LB,6855709,9,0
2020-06-03,LB,6855709,14,0
2020-06-04,LB,6855709,50,1
2020-06-05,LB,6855709,6,0
2020-06-06,LB,6855709,8,1
2020-06-07,LB,6855709,11,1
2020-06-08,LB,6855709,19,0
2020-06-09,LB,6855709,18,0
2020-06-10,LB,6855709,20,0
2020-06-11,LB,6855709,14,1
2020-06-12,LB,6855709,20,0
2020-06-13,LB,6855709,20,1
2020-06-14,LB,6855709,4,0
2020-06-15,LB,6855709,18,0
2020-06-16,LB,6855709,9,0
2020-06-17,LB,6855709,16,0
2020-06-18,LB,6855709,6,0
2020-06-19,LB,6855709,15,0
2020-06-20,LB,6855709,26,0
2020-06-21,LB,6855709,51,0
2020-06-22,LB,6855709,16,0
2020-06-23,LB,6855709,19,0
2020-06-24,LB,6855709,22,1
2020-06-25,LB,6855709,18,0
2020-06-26,LB,6855709,35,0
2020-06-27,LB,6855709,22,0
2020-06-28,LB,6855709,21,1
2020-06-29,LB,6855709,5,0
2020-06-30,LB,6855709,33,0
2020-07-01,LB,6855709,10,0
2020-07-02,LB,6855709,8,1
2020-07-03,LB,6855709,34,0
2020-07-04,LB,6855709,25,0
2020-07-05,LB,6855709,18,1
2020-07-06,LB,6855709,12,0
2020-07-07,LB,6855709,22,0
2020-07-08,LB,6855709,39,0
2020-07-09,LB,6855709,65,0
2020-07-10,LB,6855709,71,0
2020-07-11,LB,6855709,86,0
2020-07-12,LB,6855709,166,0
2020-07-13,LB,6855709,85,0
2020-07-14,LB,6855709,32,1
2020-07-15,LB,6855709,91,1
2020-07-16,LB,6855709,57,2
2020-07-17,LB,6855709,101,0
2020-07-18,LB,6855709,75,0
2020-07-19,LB,6855709,84,0
2020-07-20,LB,6855709,46,1
2020-07-21,LB,6855709,75,0
2020-07-22,LB,6855709,124,2
2020-07-23,LB,6855709,156,0
2020-07-24,LB,6855709,147,3
2020-07-25,LB,6855709,175,1
2020-07-26,LB,6855709,168,4
2020-07-27,LB,6855709,132,0
2020-07-28,LB,6855709,141,3
2020-07-29,LB,6855709,182,1
2020-07-30,LB,6855709,129,2
2020-07-31,LB,6855709,221,4
2020-08-01,LB,6855709,175,0
2020-08-02,LB,6855709,155,1
2020-08-03,LB,6855709,177,3
2020-08-04,LB,6855709,0,0
2020-08-05,LB,6855709,355,3
2020-08-06,LB,6855709,255,2
2020-08-07,LB,6855709,279,0
2020-08-08,LB,6855709,272,8
2020-08-09,LB,6855709,294,0
2020-08-10,LB,6855709,295,2
2020-08-11,LB,6855709,309,7
2020-08-12,LB,6855709,292,2
2020-08-13,LB,6855709,298,3
2020-08-14,LB,6855709,334,2
2020-08-15,LB,6855709,397,3
2020-08-16,LB,6855709,439,6
2020-08-17,LB,6855709,456,2
2020-08-18,LB,6855709,421,2
2020-08-19,LB,6855709,589,2
2020-08-20,LB,6855709,605,4
2020-08-21,LB,6855709,628,3
2020-08-22,LB,6855709,611,5
2020-08-23,LB,6855709,507,2
2020-08-24,LB,6855709,457,3
2020-08-25,LB,6855709,532,12
2020-08-26,LB,6855709,561,1
2020-08-27,LB,6855709,689,7
2020-08-28,LB,6855709,676,2
2020-08-29,LB,6855709,662,7
2020-08-30,LB,6855709,595,5
2020-08-31,LB,6855709,438,7
2020-09-01,LB,6855709,469,4
2020-09-02,LB,6855709,598,6
2020-09-03,LB,6855709,588,2
2020-09-04,LB,6855709,527,4
2020-09-05,LB,6855709,521,4
2020-09-06,LB,6855709,415,4
2020-09-07,LB,6855709,400,9
2020-09-08,LB,6855709,498,7
2020-09-09,LB,6855709,553,5
2020-09-10,LB,6855709,560,7
2020-09-11,LB,6855709,546,10
2020-09-12,LB,6855709,686,10
2020-09-13,LB,6855709,641,2
2020-09-14,LB,6855709,1091,5
2020-09-15,LB,6855709,48,6
2020-09-16,LB,6855709,634,7
2020-09-17,LB,6855709,685,4
2020-09-18,LB,6855709,750,18
2020-09-19,LB,6855709,779,5
2020-09-20,LB,6855709,1006,11
2020-09-21,LB,6855709,684,10
2020-09-22,LB,6855709,865,8
2020-09-23,LB,6855709,940,13
2020-09-24,LB,6855709,1027,1
2020-09-25,LB,6855709,1143,4
2020-09-26,LB,6855709,1280,7
2020-09-27,LB,6855709,1012,7
2020-09-28,LB,6855709,1018,4
2020-09-29,LB,6855709,1105,10
2020-09-30,LB,6855709,1257,6
2020-10-01,LB,6855709,1248,7
2020-10-02,LB,6855709,1291,12
2020-10-03,LB,6855709,1321,12
2020-10-04,LB,6855709,988,8
2020-10-05,LB,6855709,1175,8
2020-10-06,LB,6855709,1261,10
2020-10-07,LB,6855709,1459,9
2020-10-08,LB,6855709,1367,6
2020-10-09,LB,6855709,1426,11
2020-10-10,LB,6855709,1388,5
2020-10-11,LB,6855709,1010,4
2020-10-12,LB,6855709,1056,7
