date,countrycode,population,cases,deaths
2020-03-14,LC,184000,0,0
2020-03-15,LC,184000,1,0
2020-03-16,LC,184000,0,0
2020-03-17,LC,184000,0,0
2020-03-18,LC,184000,0,0
2020-03-19,LC,184000,0,0
2020-03-20,LC,184000,0,0
2020-03-21,LC,184000,0,0
2020-03-22,LC,184000,0,0
2020-03-23,LC,184000,1,0
2020-03-24,LC,184000,0,0
2020-03-25,LC,184000,0,0
2020-03-26,LC,184000,0,0
2020-03-27,LC,184000,0,0
2020-03-28,LC,184000,0,0
2020-03-29,LC,184000,6,0
2020-03-30,LC,184000,0,0
2020-03-31,LC,184000,4,0
2020-04-01,LC,184000,0,0
2020-04-02,LC,184000,0,0
2020-04-03,LC,184000,0,0
2020-04-04,LC,184000,1,0
2020-04-05,LC,184000,0,0
2020-04-06,LC,184000,0,0
2020-04-07,LC,184000,0,0
2020-04-08,LC,184000,0,0
2020-04-09,LC,184000,0,0
2020-04-10,LC,184000,1,0
2020-04-11,LC,184000,0,0
2020-04-12,LC,184000,0,0
2020-04-13,LC,184000,0,0
2020-04-14,LC,184000,0,0
2020-04-15,LC,184000,0,0
2020-04-16,LC,184000,0,0
2020-04-17,LC,184000,0,0
2020-04-18,LC,184000,0,0
2020-04-19,LC,184000,0,0
2020-04-20,LC,184000,0,0
2020-04-21,LC,184000,0,0
2020-04-22,LC,184000,0,0
2020-04-23,LC,184000,0,0
2020-04-24,LC,184000,0,0
2020-04-25,LC,184000,0,0
2020-04-26,LC,184000,0,0
2020-04-27,LC,184000,0,0
2020-04-28,LC,184000,0,0
2020-04-29,LC,184000,2,0
2020-04-30,LC,184000,0,0
2020-05-01,LC,184000,0,0
2020-05-02,LC,184000,0,0
2020-05-03,LC,184000,1,0
2020-05-04,LC,184000,0,0
2020-05-05,LC,184000,0,0
2020-05-06,LC,184000,0,0
2020-05-07,LC,184000,0,0
2020-05-08,LC,184000,0,0
2020-05-09,LC,184000,0,0
2020-05-10,LC,184000,0,0
2020-05-11,LC,184000,0,0
2020-05-12,LC,184000,0,0
2020-05-13,LC,184000,0,0
2020-05-14,LC,184000,0,0
2020-05-15,LC,184000,0,0
2020-05-16,LC,184000,0,0
2020-05-17,LC,184000,0,0
2020-05-18,LC,184000,0,0
2020-05-19,LC,184000,0,0
2020-05-20,LC,184000,0,0
2020-05-21,LC,184000,0,0
2020-05-22,LC,184000,0,0
2020-05-23,LC,184000,0,0
2020-05-24,LC,184000,0,0
2020-05-25,LC,184000,0,0
2020-05-26,LC,184000,0,0
2020-05-27,LC,184000,0,0
2020-05-28,LC,184000,0,0
2020-05-29,LC,184000,0,0
2020-05-30,LC,184000,0,0
2020-05-31,LC,184000,0,0
2020-06-01,LC,184000,0,0
2020-06-02,LC,184000,0,0
2020-06-03,LC,184000,0,0
2020-06-04,LC,184000,1,0
2020-06-05,LC,184000,0,0
2020-06-06,LC,184000,0,0
2020-06-07,LC,184000,0,0
2020-06-08,LC,184000,0,0
2020-06-09,LC,184000,0,0
2020-06-10,LC,184000,0,0
2020-06-11,LC,184000,0,0
2020-06-12,LC,184000,0,0
2020-06-13,LC,184000,0,0
2020-06-14,LC,184000,0,0
2020-06-15,LC,184000,0,0
2020-06-16,LC,184000,0,0
2020-06-17,LC,184000,0,0
2020-06-18,LC,184000,0,0
2020-06-19,LC,184000,0,0
2020-06-20,LC,184000,0,0
2020-06-21,LC,184000,0,0
2020-06-22,LC,184000,0,0
2020-06-23,LC,184000,0,0
2020-06-24,LC,184000,0,0
2020-06-25,LC,184000,0,0
2020-06-26,LC,184000,0,0
2020-06-27,LC,184000,0,0
2020-06-28,LC,184000,0,0
2020-06-29,LC,184000,0,0
2020-06-30,LC,184000,0,0
2020-07-01,LC,184000,0,0
2020-07-02,LC,184000,0,0
2020-07-03,LC,184000,3,0
2020-07-04,LC,184000,0,0
2020-07-05,LC,184000,0,0
2020-07-06,LC,184000,0,0
2020-07-07,LC,184000,0,0
2020-07-08,LC,184000,0,0
2020-07-09,LC,184000,0,0
2020-07-10,LC,184000,0,0
2020-07-11,LC,184000,0,0
2020-07-12,LC,184000,0,0
2020-07-13,LC,184000,0,0
2020-07-14,LC,184000,0,0
2020-07-15,LC,184000,0,0
2020-07-16,LC,184000,1,0
2020-07-17,LC,184000,0,0
2020-07-18,LC,184000,0,0
2020-07-19,LC,184000,0,0
2020-07-20,LC,184000,0,0
2020-07-21,LC,184000,0,0
2020-07-22,LC,184000,0,0
2020-07-23,LC,184000,1,0
2020-07-24,LC,184000,0,0
2020-07-25,LC,184000,0,0
2020-07-26,LC,184000,0,0
2020-07-27,LC,184000,0,0
2020-07-28,LC,184000,0,0
2020-07-29,LC,184000,0,0
2020-07-30,LC,184000,1,0
2020-07-31,LC,184000,0,0
2020-08-01,LC,184000,0,0
2020-08-02,LC,184000,0,0
2020-08-03,LC,184000,0,0
2020-08-04,LC,184000,0,0
2020-08-05,LC,184000,0,0
2020-08-06,LC,184000,0,0
2020-08-07,LC,184000,0,0
2020-08-08,LC,184000,0,0
2020-08-09,LC,184000,0,0
2020-08-10,LC,184000,0,0
2020-08-11,LC,184000,0,0
2020-08-12,LC,184000,0,0
2020-08-13,LC,184000,0,0
2020-08-14,LC,184000,0,0
2020-08-15,LC,184000,0,0
2020-08-16,LC,184000,0,0
2020-08-17,LC,184000,0,0
2020-08-18,LC,184000,1,0
2020-08-19,LC,184000,0,0
2020-08-20,LC,184000,0,0
2020-08-21,LC,184000,0,0
2020-08-22,LC,184000,0,0
2020-08-23,LC,184000,0,0
2020-08-24,LC,184000,0,0
2020-08-25,LC,184000,0,0
2020-08-26,LC,184000,0,0
2020-08-27,LC,184000,0,0
2020-08-28,LC,184000,0,0
2020-08-29,LC,184000,0,0
2020-08-30,LC,184000,0,0
2020-08-31,LC,184000,0,0
2020-09-01,LC,184000,0,0
2020-09-02,LC,184000,0,0
2020-09-03,LC,184000,0,0
2020-09-04,LC,184000,0,0
2020-09-05,LC,184000,0,0
2020-09-06,LC,184000,0,0
2020-09-07,LC,184000,0,0
2020-09-08,LC,184000,0,0
2020-09-09,LC,184000,1,0
2020-09-10,LC,184000,0,0
2020-09-11,LC,184000,0,0
2020-09-12,LC,184000,0,0
2020-09-13,LC,184000,0,0
2020-09-14,LC,184000,0,0
2020-09-15,LC,184000,0,0
2020-09-16,LC,184000,0,0
2020-09-17,LC,184000,0,0
2020-09-18,LC,184000,0,0
2020-09-19,LC,184000,0,0
2020-09-20,LC,184000,0,0
2020-09-21,LC,184000,0,0
2020-09-22,LC,184000,0,0
2020-09-23,LC,184000,0,0
2020-09-24,LC,184000,0,0
2020-09-25,LC,184000,0,0
2020-09-26,LC,184000,0,0
2020-09-27,LC,184000,0,0
2020-09-28,LC,184000,0,0
2020-09-29,LC,184000,0,0
2020-09-30,LC,184000,0,0
2020-10-01,LC,184000,0,0
2020-10-02,LC,184000,0,0
2020-10-03,LC,184000,0,0
2020-10-04,LC,184000,0,0
2020-10-05,LC,184000,0,0
2020-10-06,LC,184000,0,0
2020-10-07,LC,184000,0,0
2020-10-08,LC,184000,1,0
2020-10-09,LC,184000,0,0
2020-10-10,LC,184000,1,0
2020-10-11,LC,184000,0,0
2020-10-12,LC,184000,0,0
2020-10-13,LC,184000,0,0
2020-10-14,LC,184000,2,0
2020-10-15,LC,184000,0,0
2020-10-16,LC,184000,1,0
2020-10-17,LC,184000,1,0
2020-10-18,LC,184000,0,0
2020-10-19,LC,184000,3,0
2020-10-20,LC,184000,0,0
2020-10-21,LC,184000,2,0
2020-10-22,LC,184000,4,0
2020-10-23,LC,184000,6,0
2020-10-24,LC,184000,4,0
2020-10-25,LC,184000,2,0
2020-10-26,LC,184000,9,0
2020-10-27,LC,184000,2,0
2020-10-28,LC,184000,2,0
2020-10-29,LC,184000,9,0
2020-10-30,LC,184000,2,0
2020-10-31,LC,184000,0,0
2020-11-01,LC,184000,6,0
2020-11-02,LC,184000,0,0
2020-11-03,LC,184000,13,0
2020-11-04,LC,184000,8,0
2020-11-05,LC,184000,1,0
2020-11-06,LC,184000,4,0
2020-11-07,LC,184000,13,0
2020-11-08,LC,184000,8,0
2020-11-09,LC,184000,10,0
2020-11-10,LC,184000,7,1
2020-11-11,LC,184000,0,1
2020-11-12,LC,184000,0,0
2020-11-13,LC,184000,8,0
2020-11-14,LC,184000,4,0
2020-11-15,LC,184000,2,0
2020-11-16,LC,184000,9,0
2020-11-17,LC,184000,7,0
2020-11-18,LC,184000,5,0
2020-11-19,LC,184000,20,0
2020-11-20,LC,184000,0,0
2020-11-21,LC,184000,1,0
2020-11-22,LC,184000,16,0
2020-11-23,LC,184000,3,0
2020-11-24,LC,184000,3,0
2020-11-25,LC,184000,9,0
2020-11-26,LC,184000,3,0
2020-11-27,LC,184000,8,0
2020-11-28,LC,184000,6,0
2020-11-29,LC,184000,5,0
2020-11-30,LC,184000,2,0
2020-12-01,LC,184000,0,0
2020-12-02,LC,184000,2,0
2020-12-03,LC,184000,1,0
2020-12-04,LC,184000,0,0
2020-12-05,LC,184000,3,0
2020-12-06,LC,184000,0,0
2020-12-07,LC,184000,5,0
2020-12-08,LC,184000,0,0
2020-12-09,LC,184000,0,0
2020-12-10,LC,184000,0,0
2020-12-11,LC,184000,4,2
2020-12-12,LC,184000,0,0
2020-12-13,LC,184000,1,0
2020-12-14,LC,184000,3,0
2020-12-15,LC,184000,0,0
2020-12-16,LC,184000,0,0
2020-12-17,LC,184000,1,1
2020-12-18,LC,184000,1,0
2020-12-19,LC,184000,2,0
2020-12-20,LC,184000,5,0
2020-12-21,LC,184000,0,0
2020-12-22,LC,184000,16,0
2020-12-23,LC,184000,2,0
2020-12-24,LC,184000,0,0
2020-12-25,LC,184000,0,0
2020-12-26,LC,184000,0,0
2020-12-27,LC,184000,0,0
2020-12-28,LC,184000,26,0
2020-12-29,LC,184000,0,0
2020-12-30,LC,184000,9,0
2020-12-31,LC,184000,13,0
2021-01-01,LC,184000,0,0
2021-01-02,LC,184000,0,0
2021-01-03,LC,184000,0,0
2021-01-04,LC,184000,7,0
2021-01-05,LC,184000,20,0
2021-01-06,LC,184000,2,0
2021-01-07,LC,184000,1,0
2021-01-08,LC,184000,12,0
2021-01-09,LC,184000,43,0
2021-01-10,LC,184000,0,0
2021-01-11,LC,184000,24,0
2021-01-12,LC,184000,28,0
2021-01-13,LC,184000,12,1
2021-01-14,LC,184000,41,0
2021-01-15,LC,184000,33,0
2021-01-16,LC,184000,35,2
2021-01-17,LC,184000,0,0
2021-01-18,LC,184000,10,0
2021-01-19,LC,184000,35,0
2021-01-20,LC,184000,57,0
2021-01-21,LC,184000,5,1
2021-01-22,LC,184000,37,1
2021-01-23,LC,184000,15,0
2021-01-24,LC,184000,40,1
2021-01-25,LC,184000,76,0
2021-01-26,LC,184000,35,2
2021-01-27,LC,184000,48,0
2021-01-28,LC,184000,60,0
2021-01-29,LC,184000,166,0
2021-01-30,LC,184000,0,0
2021-01-31,LC,184000,0,0
2021-02-01,LC,184000,216,2
2021-02-02,LC,184000,59,1
2021-02-03,LC,184000,9,0
2021-02-04,LC,184000,77,2
2021-02-05,LC,184000,0,0
2021-02-06,LC,184000,257,0
2021-02-07,LC,184000,0,0
2021-02-08,LC,184000,214,1
2021-02-09,LC,184000,0,0
2021-02-10,LC,184000,0,0
2021-02-11,LC,184000,388,3
2021-02-12,LC,184000,72,1
2021-02-13,LC,184000,0,0
2021-02-14,LC,184000,32,0
2021-02-15,LC,184000,0,0
2021-02-16,LC,184000,30,0
2021-02-17,LC,184000,27,1
2021-02-18,LC,184000,44,1
2021-02-19,LC,184000,0,0
2021-02-20,LC,184000,240,3
2021-02-21,LC,184000,218,3
2021-02-22,LC,184000,57,1
2021-02-23,LC,184000,7,0
2021-02-24,LC,184000,7,2
2021-02-25,LC,184000,0,0
2021-02-26,LC,184000,207,1
2021-02-27,LC,184000,0,0
2021-02-28,LC,184000,34,0
2021-03-01,LC,184000,0,1
2021-03-02,LC,184000,389,1
2021-03-03,LC,184000,24,2
2021-03-04,LC,184000,11,4
2021-03-05,LC,184000,0,0
2021-03-06,LC,184000,29,0
2021-03-07,LC,184000,23,0
2021-03-08,LC,184000,5,3
2021-03-09,LC,184000,31,0
2021-03-10,LC,184000,39,1
2021-03-11,LC,184000,25,0
2021-03-12,LC,184000,23,1
2021-03-13,LC,184000,0,0
2021-03-14,LC,184000,42,3
2021-03-15,LC,184000,22,4
2021-03-16,LC,184000,16,0
2021-03-17,LC,184000,14,0
2021-03-18,LC,184000,14,0
2021-03-19,LC,184000,16,0
2021-03-20,LC,184000,0,0
2021-03-21,LC,184000,8,0
2021-03-22,LC,184000,11,0
2021-03-23,LC,184000,17,2
2021-03-24,LC,184000,12,1
2021-03-25,LC,184000,11,0
2021-03-26,LC,184000,19,0
2021-03-27,LC,184000,0,0
2021-03-28,LC,184000,0,0
2021-03-29,LC,184000,11,0
2021-03-30,LC,184000,26,1
2021-03-31,LC,184000,10,1
2021-04-01,LC,184000,7,1
2021-04-02,LC,184000,20,0
2021-04-03,LC,184000,8,0
2021-04-04,LC,184000,0,0
2021-04-05,LC,184000,0,0
2021-04-06,LC,184000,24,2
2021-04-07,LC,184000,7,0
2021-04-08,LC,184000,8,0
