date,countrycode,population,cases,deaths
2020-03-04,LI,39062,0,0
2020-03-05,LI,39062,0,0
2020-03-06,LI,39062,0,0
2020-03-07,LI,39062,0,0
2020-03-08,LI,39062,0,0
2020-03-09,LI,39062,0,0
2020-03-10,LI,39062,0,0
2020-03-11,LI,39062,0,0
2020-03-12,LI,39062,0,0
2020-03-13,LI,39062,0,0
2020-03-14,LI,39062,3,0
2020-03-15,LI,39062,0,0
2020-03-16,LI,39062,0,0
2020-03-17,LI,39062,3,0
2020-03-18,LI,39062,21,0
2020-03-19,LI,39062,0,0
2020-03-20,LI,39062,0,0
2020-03-21,LI,39062,9,0
2020-03-22,LI,39062,0,0
2020-03-23,LI,39062,14,0
2020-03-24,LI,39062,0,0
2020-03-25,LI,39062,0,0
2020-03-26,LI,39062,5,0
2020-03-27,LI,39062,0,0
2020-03-28,LI,39062,0,0
2020-03-29,LI,39062,0,0
2020-03-30,LI,39062,6,0
2020-03-31,LI,39062,6,0
2020-04-01,LI,39062,0,0
2020-04-02,LI,39062,7,0
2020-04-03,LI,39062,0,0
2020-04-04,LI,39062,2,1
2020-04-05,LI,39062,0,0
2020-04-06,LI,39062,0,0
2020-04-07,LI,39062,1,0
2020-04-08,LI,39062,0,0
2020-04-09,LI,39062,0,0
2020-04-10,LI,39062,1,0
2020-04-11,LI,39062,0,0
2020-04-12,LI,39062,0,0
2020-04-13,LI,39062,0,0
2020-04-14,LI,39062,0,0
2020-04-15,LI,39062,0,0
2020-04-16,LI,39062,0,0
2020-04-17,LI,39062,0,0
2020-04-18,LI,39062,0,0
2020-04-19,LI,39062,2,0
2020-04-20,LI,39062,0,0
2020-04-21,LI,39062,0,0
2020-04-22,LI,39062,0,0
2020-04-23,LI,39062,0,0
2020-04-24,LI,39062,0,0
2020-04-25,LI,39062,0,0
2020-04-26,LI,39062,1,0
2020-04-27,LI,39062,0,0
2020-04-28,LI,39062,0,0
2020-04-29,LI,39062,0,0
2020-04-30,LI,39062,0,0
2020-05-01,LI,39062,0,0
2020-05-02,LI,39062,0,0
2020-05-03,LI,39062,0,0
2020-05-04,LI,39062,0,0
2020-05-05,LI,39062,0,0
2020-05-06,LI,39062,0,0
2020-05-07,LI,39062,0,0
2020-05-08,LI,39062,0,0
2020-05-09,LI,39062,0,0
2020-05-10,LI,39062,0,0
2020-05-11,LI,39062,0,0
2020-05-12,LI,39062,0,0
2020-05-13,LI,39062,0,0
2020-05-14,LI,39062,0,0
2020-05-15,LI,39062,0,0
2020-05-16,LI,39062,0,0
2020-05-17,LI,39062,0,0
2020-05-18,LI,39062,0,0
2020-05-19,LI,39062,0,0
2020-05-20,LI,39062,0,0
2020-05-21,LI,39062,0,0
2020-05-22,LI,39062,0,0
2020-05-23,LI,39062,0,0
2020-05-24,LI,39062,0,0
2020-05-25,LI,39062,0,0
2020-05-26,LI,39062,0,0
2020-05-27,LI,39062,0,0
2020-05-28,LI,39062,0,0
2020-05-29,LI,39062,0,0
2020-05-30,LI,39062,0,0
2020-05-31,LI,39062,0,0
2020-06-01,LI,39062,0,0
2020-06-02,LI,39062,0,0
2020-06-03,LI,39062,0,0
2020-06-04,LI,39062,0,0
2020-06-05,LI,39062,0,0
2020-06-06,LI,39062,0,0
2020-06-07,LI,39062,0,0
2020-06-08,LI,39062,0,0
2020-06-09,LI,39062,0,0
2020-06-10,LI,39062,0,0
2020-06-11,LI,39062,0,0
2020-06-12,LI,39062,0,0
2020-06-13,LI,39062,0,0
2020-06-14,LI,39062,0,0
2020-06-15,LI,39062,0,0
2020-06-16,LI,39062,0,0
2020-06-17,LI,39062,0,0
2020-06-18,LI,39062,0,0
2020-06-19,LI,39062,0,0
2020-06-20,LI,39062,0,0
2020-06-21,LI,39062,0,0
2020-06-22,LI,39062,1,0
2020-06-23,LI,39062,3,1
2020-06-24,LI,39062,-4,-1
2020-06-25,LI,39062,0,0
2020-06-26,LI,39062,0,0
2020-06-27,LI,39062,0,0
2020-06-28,LI,39062,0,0
2020-06-29,LI,39062,0,0
2020-06-30,LI,39062,0,0
2020-07-01,LI,39062,0,0
2020-07-02,LI,39062,1,0
2020-07-03,LI,39062,0,0
2020-07-04,LI,39062,0,0
2020-07-05,LI,39062,0,0
2020-07-06,LI,39062,1,0
2020-07-07,LI,39062,0,0
2020-07-08,LI,39062,0,0
2020-07-09,LI,39062,0,0
2020-07-10,LI,39062,0,0
2020-07-11,LI,39062,0,0
2020-07-12,LI,39062,0,0
2020-07-13,LI,39062,0,0
2020-07-14,LI,39062,0,0
2020-07-15,LI,39062,0,0
2020-07-16,LI,39062,0,0
2020-07-17,LI,39062,1,0
2020-07-18,LI,39062,1,0
2020-07-19,LI,39062,0,0
2020-07-20,LI,39062,0,0
2020-07-21,LI,39062,0,0
2020-07-22,LI,39062,0,0
2020-07-23,LI,39062,0,0
2020-07-24,LI,39062,0,0
2020-07-25,LI,39062,0,0
2020-07-26,LI,39062,0,0
2020-07-27,LI,39062,0,0
2020-07-28,LI,39062,1,0
2020-07-29,LI,39062,1,0
2020-07-30,LI,39062,0,0
2020-07-31,LI,39062,0,0
2020-08-01,LI,39062,0,0
2020-08-02,LI,39062,1,0
2020-08-03,LI,39062,0,0
2020-08-04,LI,39062,0,0
2020-08-05,LI,39062,0,0
2020-08-06,LI,39062,0,0
2020-08-07,LI,39062,0,0
2020-08-08,LI,39062,0,0
2020-08-09,LI,39062,0,0
2020-08-10,LI,39062,0,0
2020-08-11,LI,39062,0,0
2020-08-12,LI,39062,1,0
2020-08-13,LI,39062,0,0
2020-08-14,LI,39062,1,0
2020-08-15,LI,39062,0,0
2020-08-16,LI,39062,0,0
2020-08-17,LI,39062,3,0
2020-08-18,LI,39062,3,0
2020-08-19,LI,39062,1,0
2020-08-20,LI,39062,1,0
2020-08-21,LI,39062,0,0
2020-08-22,LI,39062,0,0
2020-08-23,LI,39062,0,0
2020-08-24,LI,39062,1,0
2020-08-25,LI,39062,2,0
2020-08-26,LI,39062,0,0
2020-08-27,LI,39062,3,0
2020-08-28,LI,39062,1,0
2020-08-29,LI,39062,1,0
2020-08-30,LI,39062,0,0
2020-08-31,LI,39062,0,0
2020-09-01,LI,39062,0,0
2020-09-02,LI,39062,0,0
2020-09-03,LI,39062,0,0
2020-09-04,LI,39062,0,0
2020-09-05,LI,39062,0,0
2020-09-06,LI,39062,0,0
2020-09-07,LI,39062,0,0
2020-09-08,LI,39062,0,0
2020-09-09,LI,39062,1,0
2020-09-10,LI,39062,1,0
2020-09-11,LI,39062,0,0
2020-09-12,LI,39062,2,0
2020-09-13,LI,39062,0,0
2020-09-14,LI,39062,0,0
2020-09-15,LI,39062,0,0
2020-09-16,LI,39062,0,0
2020-09-17,LI,39062,1,0
2020-09-18,LI,39062,0,0
2020-09-19,LI,39062,1,0
2020-09-20,LI,39062,0,0
2020-09-21,LI,39062,1,0
2020-09-22,LI,39062,1,0
2020-09-23,LI,39062,1,0
2020-09-24,LI,39062,0,0
2020-09-25,LI,39062,1,0
2020-09-26,LI,39062,0,0
2020-09-27,LI,39062,0,0
2020-09-28,LI,39062,0,0
2020-09-29,LI,39062,1,0
2020-09-30,LI,39062,0,0
2020-10-01,LI,39062,1,0
2020-10-02,LI,39062,1,0
2020-10-03,LI,39062,3,0
2020-10-04,LI,39062,3,0
2020-10-05,LI,39062,1,0
2020-10-06,LI,39062,3,0
2020-10-07,LI,39062,1,0
2020-10-08,LI,39062,4,0
2020-10-09,LI,39062,4,0
2020-10-10,LI,39062,3,0
2020-10-11,LI,39062,2,0
2020-10-12,LI,39062,4,0
2020-10-13,LI,39062,15,0
2020-10-14,LI,39062,11,0
2020-10-15,LI,39062,9,0
2020-10-16,LI,39062,9,0
2020-10-17,LI,39062,25,0
2020-10-18,LI,39062,7,0
2020-10-19,LI,39062,0,0
2020-10-20,LI,39062,11,0
2020-10-21,LI,39062,17,0
2020-10-22,LI,39062,30,0
2020-10-23,LI,39062,42,0
2020-10-24,LI,39062,16,0
2020-10-25,LI,39062,25,0
2020-10-26,LI,39062,37,0
2020-10-27,LI,39062,26,0
2020-10-28,LI,39062,22,0
2020-10-29,LI,39062,26,0
2020-10-30,LI,39062,37,1
2020-10-31,LI,39062,20,1
2020-11-01,LI,39062,18,0
2020-11-02,LI,39062,47,0
2020-11-03,LI,39062,33,0
2020-11-04,LI,39062,28,0
2020-11-05,LI,39062,33,0
2020-11-06,LI,39062,49,0
2020-11-07,LI,39062,24,0
2020-11-08,LI,39062,23,0
2020-11-09,LI,39062,13,1
2020-11-10,LI,39062,45,0
2020-11-11,LI,39062,31,0
2020-11-12,LI,39062,28,0
2020-11-13,LI,39062,23,1
2020-11-14,LI,39062,42,0
2020-11-15,LI,39062,15,0
2020-11-16,LI,39062,4,2
2020-11-17,LI,39062,13,1
2020-11-18,LI,39062,49,0
2020-11-19,LI,39062,21,0
2020-11-20,LI,39062,22,0
2020-11-21,LI,39062,15,0
2020-11-22,LI,39062,3,0
2020-11-23,LI,39062,44,4
2020-11-24,LI,39062,2,1
2020-11-25,LI,39062,25,1
2020-11-26,LI,39062,25,0
2020-11-27,LI,39062,23,1
2020-11-28,LI,39062,22,0
2020-11-29,LI,39062,0,0
2020-11-30,LI,39062,17,1
2020-12-01,LI,39062,16,0
2020-12-02,LI,39062,32,0
2020-12-03,LI,39062,21,1
2020-12-04,LI,39062,12,0
2020-12-05,LI,39062,27,0
2020-12-06,LI,39062,18,0
2020-12-07,LI,39062,1,2
2020-12-08,LI,39062,7,0
2020-12-09,LI,39062,28,0
2020-12-10,LI,39062,9,0
2020-12-11,LI,39062,25,1
2020-12-12,LI,39062,16,0
2020-12-13,LI,39062,32,0
2020-12-14,LI,39062,52,0
2020-12-15,LI,39062,13,1
2020-12-16,LI,39062,21,0
2020-12-17,LI,39062,35,0
2020-12-18,LI,39062,41,2
2020-12-19,LI,39062,35,2
2020-12-20,LI,39062,47,0
2020-12-21,LI,39062,26,2
2020-12-22,LI,39062,42,1
2020-12-23,LI,39062,32,2
2020-12-24,LI,39062,62,0
2020-12-25,LI,39062,60,0
2020-12-26,LI,39062,20,1
2020-12-27,LI,39062,18,0
2020-12-28,LI,39062,20,4
2020-12-29,LI,39062,31,3
2020-12-30,LI,39062,35,1
2020-12-31,LI,39062,32,0
2021-01-01,LI,39062,39,0
2021-01-02,LI,39062,27,0
2021-01-03,LI,39062,20,0
2021-01-04,LI,39062,2,2
2021-01-05,LI,39062,22,4
2021-01-06,LI,39062,49,3
2021-01-07,LI,39062,14,0
2021-01-08,LI,39062,2,0
2021-01-09,LI,39062,18,1
2021-01-10,LI,39062,11,0
2021-01-11,LI,39062,6,0
2021-01-12,LI,39062,9,0
2021-01-13,LI,39062,15,0
2021-01-14,LI,39062,5,0
2021-01-15,LI,39062,3,0
2021-01-16,LI,39062,5,0
2021-01-17,LI,39062,6,0
2021-01-18,LI,39062,6,1
2021-01-19,LI,39062,3,0
2021-01-20,LI,39062,7,0
2021-01-21,LI,39062,10,1
2021-01-22,LI,39062,17,1
2021-01-23,LI,39062,5,0
2021-01-24,LI,39062,4,0
2021-01-25,LI,39062,13,0
2021-01-26,LI,39062,1,0
2021-01-27,LI,39062,3,0
2021-01-28,LI,39062,17,0
2021-01-29,LI,39062,9,0
2021-01-30,LI,39062,9,0
2021-01-31,LI,39062,0,0
2021-02-01,LI,39062,4,0
2021-02-02,LI,39062,0,0
2021-02-03,LI,39062,12,0
2021-02-04,LI,39062,4,0
2021-02-05,LI,39062,5,0
2021-02-06,LI,39062,0,0
2021-02-07,LI,39062,5,0
2021-02-08,LI,39062,3,0
2021-02-09,LI,39062,1,0
2021-02-10,LI,39062,5,0
2021-02-11,LI,39062,2,0
2021-02-12,LI,39062,3,0
2021-02-13,LI,39062,1,0
2021-02-14,LI,39062,1,0
2021-02-15,LI,39062,1,1
2021-02-16,LI,39062,0,0
2021-02-17,LI,39062,0,1
2021-02-18,LI,39062,2,0
2021-02-19,LI,39062,1,0
2021-02-20,LI,39062,2,0
2021-02-21,LI,39062,1,0
2021-02-22,LI,39062,4,0
2021-02-23,LI,39062,3,0
2021-02-24,LI,39062,0,0
2021-02-25,LI,39062,5,0
2021-02-26,LI,39062,6,0
2021-02-27,LI,39062,2,0
2021-02-28,LI,39062,1,0
2021-03-01,LI,39062,8,0
2021-03-02,LI,39062,1,0
2021-03-03,LI,39062,1,0
2021-03-04,LI,39062,5,0
2021-03-05,LI,39062,6,0
2021-03-06,LI,39062,1,0
2021-03-07,LI,39062,1,0
2021-03-08,LI,39062,2,0
2021-03-09,LI,39062,2,1
2021-03-10,LI,39062,0,0
2021-03-11,LI,39062,2,0
2021-03-12,LI,39062,5,0
2021-03-13,LI,39062,1,0
2021-03-14,LI,39062,10,0
2021-03-15,LI,39062,0,0
2021-03-16,LI,39062,3,1
2021-03-17,LI,39062,1,0
2021-03-18,LI,39062,4,0
2021-03-19,LI,39062,2,0
2021-03-20,LI,39062,5,0
2021-03-21,LI,39062,1,0
2021-03-22,LI,39062,4,0
2021-03-23,LI,39062,2,0
2021-03-24,LI,39062,2,0
2021-03-25,LI,39062,6,0
2021-03-26,LI,39062,3,0
2021-03-27,LI,39062,4,0
2021-03-28,LI,39062,9,0
2021-03-29,LI,39062,6,0
2021-03-30,LI,39062,0,0
2021-03-31,LI,39062,6,0
2021-04-01,LI,39062,5,0
2021-04-02,LI,39062,3,0
2021-04-03,LI,39062,1,0
2021-04-04,LI,39062,6,0
2021-04-05,LI,39062,12,0
2021-04-06,LI,39062,0,0
2021-04-07,LI,39062,5,0
2021-04-08,LI,39062,12,0
2021-04-09,LI,39062,8,0
2021-04-10,LI,39062,16,0
2021-04-11,LI,39062,15,0
2021-04-12,LI,39062,1,0
2021-04-13,LI,39062,14,0
2021-04-14,LI,39062,2,0
2021-04-15,LI,39062,10,0
2021-04-16,LI,39062,10,0
2021-04-17,LI,39062,14,0
2021-04-18,LI,39062,9,0
2021-04-19,LI,39062,10,0
2021-04-20,LI,39062,13,0
2021-04-21,LI,39062,13,0
2021-04-22,LI,39062,2,1
2021-04-23,LI,39062,4,0
2021-04-24,LI,39062,11,0
2021-04-25,LI,39062,18,0
2021-04-26,LI,39062,1,0
2021-04-27,LI,39062,18,0
2021-04-28,LI,39062,5,0
2021-04-29,LI,39062,13,0
2021-04-30,LI,39062,5,0
2021-05-01,LI,39062,10,0
2021-05-02,LI,39062,4,0
2021-05-03,LI,39062,6,0
2021-05-04,LI,39062,2,0
2021-05-05,LI,39062,8,0
2021-05-06,LI,39062,5,0
2021-05-07,LI,39062,2,1
2021-05-08,LI,39062,4,0
2021-05-09,LI,39062,3,0
2021-05-10,LI,39062,4,0
2021-05-11,LI,39062,1,0
2021-05-12,LI,39062,3,0
2021-05-13,LI,39062,2,0
2021-05-14,LI,39062,1,0
2021-05-15,LI,39062,3,0
2021-05-16,LI,39062,1,0
2021-05-17,LI,39062,5,0
2021-05-18,LI,39062,2,0
2021-05-19,LI,39062,1,0
2021-05-20,LI,39062,1,0
2021-05-21,LI,39062,3,0
2021-05-22,LI,39062,1,0
2021-05-23,LI,39062,2,0
2021-05-24,LI,39062,0,0
2021-05-25,LI,39062,2,0
2021-05-26,LI,39062,0,0
2021-05-27,LI,39062,4,0
2021-05-28,LI,39062,0,0
2021-05-29,LI,39062,2,0
2021-05-30,LI,39062,0,0
2021-05-31,LI,39062,4,0
2021-06-01,LI,39062,0,0
2021-06-02,LI,39062,4,0
2021-06-03,LI,39062,1,0
2021-06-04,LI,39062,2,0
2021-06-05,LI,39062,1,0
2021-06-06,LI,39062,2,0
2021-06-07,LI,39062,0,0
2021-06-08,LI,39062,0,0
2021-06-09,LI,39062,0,0
2021-06-10,LI,39062,1,0
2021-06-11,LI,39062,1,1
2021-06-12,LI,39062,2,0
2021-06-13,LI,39062,0,0
2021-06-14,LI,39062,0,0
2021-06-15,LI,39062,0,0
2021-06-16,LI,39062,0,0
2021-06-17,LI,39062,0,0
2021-06-18,LI,39062,0,0
2021-06-19,LI,39062,0,0
2021-06-20,LI,39062,0,0
2021-06-21,LI,39062,2,0
2021-06-22,LI,39062,0,0
2021-06-23,LI,39062,2,0
2021-06-24,LI,39062,1,0
2021-06-25,LI,39062,1,0
2021-06-26,LI,39062,0,0
2021-06-27,LI,39062,0,0
2021-06-28,LI,39062,2,0
2021-06-29,LI,39062,0,0
2021-06-30,LI,39062,2,0
2021-07-01,LI,39062,3,0
2021-07-02,LI,39062,1,0
2021-07-03,LI,39062,2,0
2021-07-04,LI,39062,0,0
2021-07-05,LI,39062,3,0
2021-07-06,LI,39062,2,0
2021-07-07,LI,39062,2,0
2021-07-08,LI,39062,3,0
2021-07-09,LI,39062,2,0
2021-07-10,LI,39062,2,0
2021-07-11,LI,39062,1,0
2021-07-12,LI,39062,1,0
2021-07-13,LI,39062,0,0
2021-07-14,LI,39062,2,0
2021-07-15,LI,39062,1,0
2021-07-16,LI,39062,0,0
2021-07-17,LI,39062,0,0
2021-07-18,LI,39062,0,0
2021-07-19,LI,39062,8,0
2021-07-20,LI,39062,0,0
2021-07-21,LI,39062,1,0
2021-07-22,LI,39062,3,0
2021-07-23,LI,39062,0,0
2021-07-24,LI,39062,2,0
2021-07-25,LI,39062,0,0
2021-07-26,LI,39062,1,0
