date,countrycode,population,cases,deaths
2020-01-27,LK,21323734,0,0
2020-01-28,LK,21323734,0,0
2020-01-29,LK,21323734,0,0
2020-01-30,LK,21323734,0,0
2020-01-31,LK,21323734,0,0
2020-02-01,LK,21323734,0,0
2020-02-02,LK,21323734,0,0
2020-02-03,LK,21323734,0,0
2020-02-04,LK,21323734,0,0
2020-02-05,LK,21323734,0,0
2020-02-06,LK,21323734,0,0
2020-02-07,LK,21323734,0,0
2020-02-08,LK,21323734,0,0
2020-02-09,LK,21323734,0,0
2020-02-10,LK,21323734,0,0
2020-02-11,LK,21323734,0,0
2020-02-12,LK,21323734,0,0
2020-02-13,LK,21323734,0,0
2020-02-14,LK,21323734,0,0
2020-02-15,LK,21323734,0,0
2020-02-16,LK,21323734,0,0
2020-02-17,LK,21323734,0,0
2020-02-18,LK,21323734,0,0
2020-02-19,LK,21323734,0,0
2020-02-20,LK,21323734,0,0
2020-02-21,LK,21323734,0,0
2020-02-22,LK,21323734,0,0
2020-02-23,LK,21323734,0,0
2020-02-24,LK,21323734,0,0
2020-02-25,LK,21323734,0,0
2020-02-26,LK,21323734,0,0
2020-02-27,LK,21323734,0,0
2020-02-28,LK,21323734,0,0
2020-02-29,LK,21323734,0,0
2020-03-01,LK,21323734,0,0
2020-03-02,LK,21323734,0,0
2020-03-03,LK,21323734,0,0
2020-03-04,LK,21323734,0,0
2020-03-05,LK,21323734,0,0
2020-03-06,LK,21323734,0,0
2020-03-07,LK,21323734,0,0
2020-03-08,LK,21323734,0,0
2020-03-09,LK,21323734,0,0
2020-03-10,LK,21323734,0,0
2020-03-11,LK,21323734,1,0
2020-03-12,LK,21323734,0,0
2020-03-13,LK,21323734,4,0
2020-03-14,LK,21323734,4,0
2020-03-15,LK,21323734,8,0
2020-03-16,LK,21323734,10,0
2020-03-17,LK,21323734,16,0
2020-03-18,LK,21323734,7,0
2020-03-19,LK,21323734,9,0
2020-03-20,LK,21323734,13,0
2020-03-21,LK,21323734,4,0
2020-03-22,LK,21323734,5,0
2020-03-23,LK,21323734,15,0
2020-03-24,LK,21323734,5,0
2020-03-25,LK,21323734,0,0
2020-03-26,LK,21323734,4,0
2020-03-27,LK,21323734,0,0
2020-03-28,LK,21323734,7,1
2020-03-29,LK,21323734,4,0
2020-03-30,LK,21323734,5,1
2020-03-31,LK,21323734,21,0
2020-04-01,LK,21323734,3,1
2020-04-02,LK,21323734,5,1
2020-04-03,LK,21323734,8,0
2020-04-04,LK,21323734,7,1
2020-04-05,LK,21323734,10,0
2020-04-06,LK,21323734,2,0
2020-04-07,LK,21323734,7,1
2020-04-08,LK,21323734,4,1
2020-04-09,LK,21323734,1,0
2020-04-10,LK,21323734,0,0
2020-04-11,LK,21323734,8,0
2020-04-12,LK,21323734,12,0
2020-04-13,LK,21323734,7,0
2020-04-14,LK,21323734,16,0
2020-04-15,LK,21323734,5,0
2020-04-16,LK,21323734,0,0
2020-04-17,LK,21323734,6,0
2020-04-18,LK,21323734,10,0
2020-04-19,LK,21323734,17,0
2020-04-20,LK,21323734,33,0
2020-04-21,LK,21323734,6,0
2020-04-22,LK,21323734,20,0
2020-04-23,LK,21323734,38,0
2020-04-24,LK,21323734,52,0
2020-04-25,LK,21323734,40,0
2020-04-26,LK,21323734,63,0
2020-04-27,LK,21323734,65,0
2020-04-28,LK,21323734,31,0
2020-04-29,LK,21323734,30,0
2020-04-30,LK,21323734,14,0
2020-05-01,LK,21323734,27,0
2020-05-02,LK,21323734,15,0
2020-05-03,LK,21323734,13,0
2020-05-04,LK,21323734,33,1
2020-05-05,LK,21323734,20,1
2020-05-06,LK,21323734,26,0
2020-05-07,LK,21323734,27,0
2020-05-08,LK,21323734,11,0
2020-05-09,LK,21323734,12,0
2020-05-10,LK,21323734,16,0
2020-05-11,LK,21323734,6,0
2020-05-12,LK,21323734,20,0
2020-05-13,LK,21323734,26,0
2020-05-14,LK,21323734,10,0
2020-05-15,LK,21323734,10,0
2020-05-16,LK,21323734,25,0
2020-05-17,LK,21323734,21,0
2020-05-18,LK,21323734,11,0
2020-05-19,LK,21323734,35,0
2020-05-20,LK,21323734,1,0
2020-05-21,LK,21323734,27,0
2020-05-22,LK,21323734,13,0
2020-05-23,LK,21323734,21,0
2020-05-24,LK,21323734,52,0
2020-05-25,LK,21323734,41,1
2020-05-26,LK,21323734,137,0
2020-05-27,LK,21323734,150,0
2020-05-28,LK,21323734,61,0
2020-05-29,LK,21323734,28,0
2020-05-30,LK,21323734,62,0
2020-05-31,LK,21323734,13,0
2020-06-01,LK,21323734,10,1
2020-06-02,LK,21323734,40,0
2020-06-03,LK,21323734,66,0
2020-06-04,LK,21323734,48,0
2020-06-05,LK,21323734,4,0
2020-06-06,LK,21323734,13,0
2020-06-07,LK,21323734,21,0
2020-06-08,LK,21323734,22,0
2020-06-09,LK,21323734,2,0
2020-06-10,LK,21323734,10,0
2020-06-11,LK,21323734,8,0
2020-06-12,LK,21323734,3,0
2020-06-13,LK,21323734,4,0
2020-06-14,LK,21323734,5,0
2020-06-15,LK,21323734,16,0
2020-06-16,LK,21323734,10,0
2020-06-17,LK,21323734,9,0
2020-06-18,LK,21323734,23,0
2020-06-19,LK,21323734,3,0
2020-06-20,LK,21323734,0,0
2020-06-21,LK,21323734,0,0
2020-06-22,LK,21323734,1,0
2020-06-23,LK,21323734,40,0
2020-06-24,LK,21323734,10,0
2020-06-25,LK,21323734,9,0
2020-06-26,LK,21323734,4,0
2020-06-27,LK,21323734,19,0
2020-06-28,LK,21323734,4,0
2020-06-29,LK,21323734,2,0
2020-06-30,LK,21323734,8,0
2020-07-01,LK,21323734,7,0
2020-07-02,LK,21323734,12,0
2020-07-03,LK,21323734,3,0
2020-07-04,LK,21323734,5,0
2020-07-05,LK,21323734,2,0
2020-07-06,LK,21323734,1,0
2020-07-07,LK,21323734,4,0
2020-07-08,LK,21323734,13,0
2020-07-09,LK,21323734,60,0
2020-07-10,LK,21323734,300,0
2020-07-11,LK,21323734,57,0
2020-07-12,LK,21323734,106,0
2020-07-13,LK,21323734,29,0
2020-07-14,LK,21323734,19,0
2020-07-15,LK,21323734,6,0
2020-07-16,LK,21323734,16,0
2020-07-17,LK,21323734,10,0
2020-07-18,LK,21323734,6,0
2020-07-19,LK,21323734,21,0
2020-07-20,LK,21323734,6,0
2020-07-21,LK,21323734,0,0
2020-07-22,LK,21323734,22,0
2020-07-23,LK,21323734,1,0
2020-07-24,LK,21323734,11,0
2020-07-25,LK,21323734,6,0
2020-07-26,LK,21323734,12,0
2020-07-27,LK,21323734,23,0
2020-07-28,LK,21323734,5,0
2020-07-29,LK,21323734,0,0
2020-07-30,LK,21323734,4,0
2020-07-31,LK,21323734,1,0
2020-08-01,LK,21323734,0,0
2020-08-02,LK,21323734,8,0
2020-08-03,LK,21323734,5,0
2020-08-04,LK,21323734,6,0
2020-08-05,LK,21323734,5,0
2020-08-06,LK,21323734,0,0
2020-08-07,LK,21323734,0,0
2020-08-08,LK,21323734,2,0
2020-08-09,LK,21323734,3,0
2020-08-10,LK,21323734,27,0
2020-08-11,LK,21323734,9,0
2020-08-12,LK,21323734,1,0
2020-08-13,LK,21323734,1,0
2020-08-14,LK,21323734,4,0
2020-08-15,LK,21323734,4,0
2020-08-16,LK,21323734,3,0
2020-08-17,LK,21323734,7,0
2020-08-18,LK,21323734,2,0
2020-08-19,LK,21323734,0,0
2020-08-20,LK,21323734,16,0
2020-08-21,LK,21323734,23,0
2020-08-22,LK,21323734,6,1
2020-08-23,LK,21323734,6,0
2020-08-24,LK,21323734,6,0
2020-08-25,LK,21323734,12,0
2020-08-26,LK,21323734,13,0
2020-08-27,LK,21323734,2,0
2020-08-28,LK,21323734,3,0
2020-08-29,LK,21323734,6,0
2020-08-30,LK,21323734,17,0
2020-08-31,LK,21323734,37,0
2020-09-01,LK,21323734,43,0
2020-09-02,LK,21323734,9,0
2020-09-03,LK,21323734,10,0
2020-09-04,LK,21323734,4,0
2020-09-05,LK,21323734,6,0
2020-09-06,LK,21323734,2,0
2020-09-07,LK,21323734,0,0
2020-09-08,LK,21323734,17,0
2020-09-09,LK,21323734,7,0
2020-09-10,LK,21323734,8,0
2020-09-11,LK,21323734,14,0
2020-09-12,LK,21323734,26,0
2020-09-13,LK,21323734,39,0
2020-09-14,LK,21323734,28,1
2020-09-15,LK,21323734,9,0
2020-09-16,LK,21323734,0,0
2020-09-17,LK,21323734,5,0
2020-09-18,LK,21323734,5,0
2020-09-19,LK,21323734,2,0
2020-09-20,LK,21323734,4,0
2020-09-21,LK,21323734,12,0
2020-09-22,LK,21323734,14,0
2020-09-23,LK,21323734,11,0
2020-09-24,LK,21323734,9,0
2020-09-25,LK,21323734,12,0
2020-09-26,LK,21323734,4,0
2020-09-27,LK,21323734,11,0
2020-09-28,LK,21323734,3,0
2020-09-29,LK,21323734,11,0
2020-09-30,LK,21323734,6,0
2020-10-01,LK,21323734,2,0
2020-10-02,LK,21323734,6,0
2020-10-03,LK,21323734,7,0
2020-10-04,LK,21323734,7,0
2020-10-05,LK,21323734,111,0
2020-10-06,LK,21323734,739,0
2020-10-07,LK,21323734,207,0
2020-10-08,LK,21323734,29,0
2020-10-09,LK,21323734,35,0
2020-10-10,LK,21323734,105,0
2020-10-11,LK,21323734,124,0
2020-10-12,LK,21323734,92,0
2020-10-13,LK,21323734,194,0
2020-10-14,LK,21323734,132,0
2020-10-15,LK,21323734,74,0
2020-10-16,LK,21323734,110,0
2020-10-17,LK,21323734,121,0
2020-10-18,LK,21323734,63,0
2020-10-19,LK,21323734,87,0
2020-10-20,LK,21323734,186,0
2020-10-21,LK,21323734,167,0
2020-10-22,LK,21323734,309,1
2020-10-23,LK,21323734,866,0
2020-10-24,LK,21323734,368,1
2020-10-25,LK,21323734,351,1
2020-10-26,LK,21323734,541,0
2020-10-27,LK,21323734,457,3
2020-10-28,LK,21323734,335,0
2020-10-29,LK,21323734,586,0
2020-10-30,LK,21323734,633,0
2020-10-31,LK,21323734,239,1
2020-11-01,LK,21323734,397,1
2020-11-02,LK,21323734,275,0
2020-11-03,LK,21323734,409,2
2020-11-04,LK,21323734,443,1
2020-11-05,LK,21323734,383,5
2020-11-06,LK,21323734,400,1
2020-11-07,LK,21323734,449,4
2020-11-08,LK,21323734,510,1
2020-11-09,LK,21323734,356,1
