date,countrycode,population,cases,deaths
2020-03-16,LR,4661010,0,0
2020-03-17,LR,4661010,0,0
2020-03-18,LR,4661010,1,0
2020-03-19,LR,4661010,0,0
2020-03-20,LR,4661010,0,0
2020-03-21,LR,4661010,1,0
2020-03-22,LR,4661010,0,0
2020-03-23,LR,4661010,0,0
2020-03-24,LR,4661010,0,0
2020-03-25,LR,4661010,0,0
2020-03-26,LR,4661010,0,0
2020-03-27,LR,4661010,0,0
2020-03-28,LR,4661010,0,0
2020-03-29,LR,4661010,0,0
2020-03-30,LR,4661010,0,0
2020-03-31,LR,4661010,0,0
2020-04-01,LR,4661010,3,0
2020-04-02,LR,4661010,0,0
2020-04-03,LR,4661010,1,0
2020-04-04,LR,4661010,3,1
2020-04-05,LR,4661010,3,2
2020-04-06,LR,4661010,1,0
2020-04-07,LR,4661010,0,0
2020-04-08,LR,4661010,17,1
2020-04-09,LR,4661010,0,0
2020-04-10,LR,4661010,6,1
2020-04-11,LR,4661010,11,0
2020-04-12,LR,4661010,2,0
2020-04-13,LR,4661010,9,1
2020-04-14,LR,4661010,0,0
2020-04-15,LR,4661010,0,0
2020-04-16,LR,4661010,0,0
2020-04-17,LR,4661010,17,1
2020-04-18,LR,4661010,0,0
2020-04-19,LR,4661010,15,1
2020-04-20,LR,4661010,8,0
2020-04-21,LR,4661010,2,0
2020-04-22,LR,4661010,0,0
2020-04-23,LR,4661010,0,0
2020-04-24,LR,4661010,16,0
2020-04-25,LR,4661010,3,3
2020-04-26,LR,4661010,4,1
2020-04-27,LR,4661010,0,0
2020-04-28,LR,4661010,17,4
2020-04-29,LR,4661010,0,0
2020-04-30,LR,4661010,0,0
2020-05-01,LR,4661010,11,2
2020-05-02,LR,4661010,2,0
2020-05-03,LR,4661010,4,0
2020-05-04,LR,4661010,8,0
2020-05-05,LR,4661010,4,2
2020-05-06,LR,4661010,8,0
2020-05-07,LR,4661010,11,0
2020-05-08,LR,4661010,10,0
2020-05-09,LR,4661010,0,0
2020-05-10,LR,4661010,0,0
2020-05-11,LR,4661010,12,0
2020-05-12,LR,4661010,0,0
2020-05-13,LR,4661010,2,0
2020-05-14,LR,4661010,2,0
2020-05-15,LR,4661010,4,0
2020-05-16,LR,4661010,4,0
2020-05-17,LR,4661010,3,1
2020-05-18,LR,4661010,3,1
2020-05-19,LR,4661010,4,1
2020-05-20,LR,4661010,5,0
2020-05-21,LR,4661010,2,0
2020-05-22,LR,4661010,9,1
2020-05-23,LR,4661010,6,2
2020-05-24,LR,4661010,10,0
2020-05-25,LR,4661010,0,0
2020-05-26,LR,4661010,1,0
2020-05-27,LR,4661010,0,1
2020-05-28,LR,4661010,3,0
2020-05-29,LR,4661010,4,0
2020-05-30,LR,4661010,7,0
2020-05-31,LR,4661010,8,0
2020-06-01,LR,4661010,8,0
2020-06-02,LR,4661010,15,1
2020-06-03,LR,4661010,5,0
2020-06-04,LR,4661010,5,0
2020-06-05,LR,4661010,13,2
2020-06-06,LR,4661010,11,0
2020-06-07,LR,4661010,14,0
2020-06-08,LR,4661010,11,0
2020-06-09,LR,4661010,13,1
2020-06-10,LR,4661010,14,0
2020-06-11,LR,4661010,13,0
2020-06-12,LR,4661010,11,1
2020-06-13,LR,4661010,25,0
2020-06-14,LR,4661010,12,0
2020-06-15,LR,4661010,40,1
2020-06-16,LR,4661010,11,0
2020-06-17,LR,4661010,7,0
2020-06-18,LR,4661010,26,0
2020-06-19,LR,4661010,39,0
2020-06-20,LR,4661010,20,0
2020-06-21,LR,4661010,25,1
2020-06-22,LR,4661010,24,0
2020-06-23,LR,4661010,2,0
2020-06-24,LR,4661010,10,0
2020-06-25,LR,4661010,19,0
2020-06-26,LR,4661010,3,0
2020-06-27,LR,4661010,45,0
2020-06-28,LR,4661010,39,0
2020-06-29,LR,4661010,2,2
2020-06-30,LR,4661010,10,0
2020-07-01,LR,4661010,24,1
2020-07-02,LR,4661010,15,0
2020-07-03,LR,4661010,14,0
2020-07-04,LR,4661010,36,0
2020-07-05,LR,4661010,5,0
2020-07-06,LR,4661010,17,2
2020-07-07,LR,4661010,26,2
2020-07-08,LR,4661010,9,0
2020-07-09,LR,4661010,31,1
2020-07-10,LR,4661010,6,5
2020-07-11,LR,4661010,35,0
2020-07-12,LR,4661010,12,4
2020-07-13,LR,4661010,14,0
2020-07-14,LR,4661010,0,0
2020-07-15,LR,4661010,32,0
2020-07-16,LR,4661010,14,17
2020-07-17,LR,4661010,15,1
2020-07-18,LR,4661010,3,1
2020-07-19,LR,4661010,3,0
