date,countrycode,population,cases,deaths
2020-02-28,LT,2790044,0,0
2020-02-29,LT,2790044,1,0
2020-03-01,LT,2790044,0,0
2020-03-02,LT,2790044,0,0
2020-03-03,LT,2790044,0,0
2020-03-04,LT,2790044,0,0
2020-03-05,LT,2790044,0,0
2020-03-06,LT,2790044,0,0
2020-03-07,LT,2790044,0,0
2020-03-08,LT,2790044,0,0
2020-03-09,LT,2790044,0,0
2020-03-10,LT,2790044,0,0
2020-03-11,LT,2790044,2,0
2020-03-12,LT,2790044,0,0
2020-03-13,LT,2790044,1,0
2020-03-14,LT,2790044,2,0
2020-03-15,LT,2790044,3,0
2020-03-16,LT,2790044,3,0
2020-03-17,LT,2790044,7,0
2020-03-18,LT,2790044,8,0
2020-03-19,LT,2790044,9,0
2020-03-20,LT,2790044,11,0
2020-03-21,LT,2790044,22,0
2020-03-22,LT,2790044,28,0
2020-03-23,LT,2790044,31,0
2020-03-24,LT,2790044,38,1
2020-03-25,LT,2790044,42,1
2020-03-26,LT,2790044,55,1
2020-03-27,LT,2790044,29,1
2020-03-28,LT,2790044,47,0
2020-03-29,LT,2790044,39,0
2020-03-30,LT,2790044,46,0
2020-03-31,LT,2790044,44,0
2020-04-01,LT,2790044,44,2
2020-04-02,LT,2790044,67,0
2020-04-03,LT,2790044,52,0
2020-04-04,LT,2790044,52,1
2020-04-05,LT,2790044,33,1
2020-04-06,LT,2790044,34,2
2020-04-07,LT,2790044,33,1
2020-04-08,LT,2790044,38,0
2020-04-09,LT,2790044,37,0
2020-04-10,LT,2790044,38,1
2020-04-11,LT,2790044,30,1
2020-04-12,LT,2790044,26,1
2020-04-13,LT,2790044,18,1
2020-04-14,LT,2790044,7,1
2020-04-15,LT,2790044,18,4
2020-04-16,LT,2790044,27,0
2020-04-17,LT,2790044,28,1
2020-04-18,LT,2790044,41,1
2020-04-19,LT,2790044,62,1
2020-04-20,LT,2790044,20,3
2020-04-21,LT,2790044,53,0
2020-04-22,LT,2790044,24,1
2020-04-23,LT,2790044,22,0
2020-04-24,LT,2790044,19,1
2020-04-25,LT,2790044,10,1
2020-04-26,LT,2790044,15,2
2020-04-27,LT,2790044,12,1
2020-04-28,LT,2790044,9,0
2020-04-29,LT,2790044,27,0
2020-04-30,LT,2790044,11,0
2020-05-01,LT,2790044,14,0
2020-05-02,LT,2790044,5,1
2020-05-03,LT,2790044,5,0
2020-05-04,LT,2790044,8,0
2020-05-05,LT,2790044,3,0
2020-05-06,LT,2790044,6,1
2020-05-07,LT,2790044,5,1
2020-05-08,LT,2790044,9,0
2020-05-09,LT,2790044,29,0
2020-05-10,LT,2790044,12,1
2020-05-11,LT,2790044,8,0
2020-05-12,LT,2790044,9,3
2020-05-13,LT,2790044,14,0
2020-05-14,LT,2790044,9,0
2020-05-15,LT,2790044,10,2
2020-05-16,LT,2790044,15,1
2020-05-17,LT,2790044,9,1
2020-05-18,LT,2790044,6,2
2020-05-19,LT,2790044,8,0
2020-05-20,LT,2790044,21,1
2020-05-21,LT,2790044,12,0
2020-05-22,LT,2790044,6,0
2020-05-23,LT,2790044,14,1
2020-05-24,LT,2790044,6,1
2020-05-25,LT,2790044,10,1
2020-05-26,LT,2790044,4,2
2020-05-27,LT,2790044,8,0
2020-05-28,LT,2790044,9,1
2020-05-29,LT,2790044,5,0
2020-05-30,LT,2790044,8,2
2020-05-31,LT,2790044,5,0
2020-06-01,LT,2790044,4,1
2020-06-02,LT,2790044,5,0
2020-06-03,LT,2790044,3,0
2020-06-04,LT,2790044,5,0
2020-06-05,LT,2790044,5,0
2020-06-06,LT,2790044,11,0
2020-06-07,LT,2790044,9,1
2020-06-08,LT,2790044,7,2
2020-06-09,LT,2790044,6,0
2020-06-10,LT,2790044,6,0
2020-06-11,LT,2790044,19,0
2020-06-12,LT,2790044,4,1
2020-06-13,LT,2790044,7,0
2020-06-14,LT,2790044,5,0
2020-06-15,LT,2790044,5,1
2020-06-16,LT,2790044,3,0
2020-06-17,LT,2790044,2,0
2020-06-18,LT,2790044,6,0
2020-06-19,LT,2790044,8,0
2020-06-20,LT,2790044,3,0
2020-06-21,LT,2790044,3,0
2020-06-22,LT,2790044,3,0
2020-06-23,LT,2790044,2,1
2020-06-24,LT,2790044,1,0
2020-06-25,LT,2790044,2,0
2020-06-26,LT,2790044,2,0
2020-06-27,LT,2790044,5,0
2020-06-28,LT,2790044,2,0
2020-06-29,LT,2790044,1,0
2020-06-30,LT,2790044,1,0
2020-07-01,LT,2790044,1,0
2020-07-02,LT,2790044,7,1
2020-07-03,LT,2790044,3,0
2020-07-04,LT,2790044,3,0
2020-07-05,LT,2790044,5,0
2020-07-06,LT,2790044,5,0
2020-07-07,LT,2790044,3,0
2020-07-08,LT,2790044,10,0
2020-07-09,LT,2790044,3,0
2020-07-10,LT,2790044,4,0
2020-07-11,LT,2790044,4,0
2020-07-12,LT,2790044,4,0
2020-07-13,LT,2790044,5,0
2020-07-14,LT,2790044,1,0
2020-07-15,LT,2790044,21,0
2020-07-16,LT,2790044,6,0
2020-07-17,LT,2790044,6,0
2020-07-18,LT,2790044,7,1
2020-07-19,LT,2790044,18,0
2020-07-20,LT,2790044,14,0
2020-07-21,LT,2790044,2,0
2020-07-22,LT,2790044,2,0
2020-07-23,LT,2790044,10,0
2020-07-24,LT,2790044,26,0
2020-07-25,LT,2790044,14,0
2020-07-26,LT,2790044,7,0
2020-07-27,LT,2790044,11,0
2020-07-28,LT,2790044,8,0
2020-07-29,LT,2790044,15,0
2020-07-30,LT,2790044,19,0
2020-07-31,LT,2790044,13,0
2020-08-01,LT,2790044,18,0
