date,countrycode,population,cases,deaths
2020-03-02,LV,1891300,0,0
2020-03-03,LV,1891300,0,0
2020-03-04,LV,1891300,0,0
2020-03-05,LV,1891300,0,0
2020-03-06,LV,1891300,0,0
2020-03-07,LV,1891300,0,0
2020-03-08,LV,1891300,1,0
2020-03-09,LV,1891300,4,0
2020-03-10,LV,1891300,2,0
2020-03-11,LV,1891300,2,0
2020-03-12,LV,1891300,0,0
2020-03-13,LV,1891300,7,0
2020-03-14,LV,1891300,9,0
2020-03-15,LV,1891300,4,0
2020-03-16,LV,1891300,4,0
2020-03-17,LV,1891300,15,0
2020-03-18,LV,1891300,22,0
2020-03-19,LV,1891300,15,0
2020-03-20,LV,1891300,25,0
2020-03-21,LV,1891300,13,0
2020-03-22,LV,1891300,15,0
2020-03-23,LV,1891300,41,0
2020-03-24,LV,1891300,17,0
2020-03-25,LV,1891300,24,0
2020-03-26,LV,1891300,23,0
2020-03-27,LV,1891300,36,0
2020-03-28,LV,1891300,25,0
2020-03-29,LV,1891300,42,0
2020-03-30,LV,1891300,29,0
2020-03-31,LV,1891300,22,0
2020-04-01,LV,1891300,48,0
2020-04-02,LV,1891300,12,0
2020-04-03,LV,1891300,35,1
2020-04-04,LV,1891300,16,0
2020-04-05,LV,1891300,24,0
2020-04-06,LV,1891300,9,0
2020-04-07,LV,1891300,6,1
2020-04-08,LV,1891300,29,0
2020-04-09,LV,1891300,12,1
2020-04-10,LV,1891300,23,0
2020-04-11,LV,1891300,18,0
2020-04-12,LV,1891300,21,2
2020-04-13,LV,1891300,4,0
2020-04-14,LV,1891300,2,0
2020-04-15,LV,1891300,9,0
2020-04-16,LV,1891300,9,0
2020-04-17,LV,1891300,7,0
2020-04-18,LV,1891300,30,0
2020-04-19,LV,1891300,15,0
2020-04-20,LV,1891300,12,0
2020-04-21,LV,1891300,9,4
2020-04-22,LV,1891300,13,2
2020-04-23,LV,1891300,17,0
2020-04-24,LV,1891300,6,1
2020-04-25,LV,1891300,20,0
2020-04-26,LV,1891300,8,0
2020-04-27,LV,1891300,6,1
2020-04-28,LV,1891300,18,0
2020-04-29,LV,1891300,13,2
2020-04-30,LV,1891300,9,0
2020-05-01,LV,1891300,12,1
2020-05-02,LV,1891300,1,0
2020-05-03,LV,1891300,8,0
2020-05-04,LV,1891300,17,0
2020-05-05,LV,1891300,0,1
2020-05-06,LV,1891300,4,0
2020-05-07,LV,1891300,9,1
2020-05-08,LV,1891300,19,0
2020-05-09,LV,1891300,2,0
2020-05-10,LV,1891300,9,0
2020-05-11,LV,1891300,7,0
2020-05-12,LV,1891300,4,0
2020-05-13,LV,1891300,1,1
2020-05-14,LV,1891300,11,0
2020-05-15,LV,1891300,8,0
2020-05-16,LV,1891300,27,0
2020-05-17,LV,1891300,11,0
2020-05-18,LV,1891300,1,0
2020-05-19,LV,1891300,3,2
2020-05-20,LV,1891300,4,0
2020-05-21,LV,1891300,9,1
2020-05-22,LV,1891300,5,0
2020-05-23,LV,1891300,16,0
2020-05-24,LV,1891300,1,0
2020-05-25,LV,1891300,2,0
2020-05-26,LV,1891300,4,0
2020-05-27,LV,1891300,4,1
2020-05-28,LV,1891300,4,1
2020-05-29,LV,1891300,3,0
2020-05-30,LV,1891300,1,0
2020-05-31,LV,1891300,1,0
2020-06-01,LV,1891300,0,0
2020-06-02,LV,1891300,5,0
2020-06-03,LV,1891300,8,0
2020-06-04,LV,1891300,3,1
2020-06-05,LV,1891300,3,0
2020-06-06,LV,1891300,1,0
2020-06-07,LV,1891300,2,0
2020-06-08,LV,1891300,0,1
2020-06-09,LV,1891300,1,0
2020-06-10,LV,1891300,3,0
2020-06-11,LV,1891300,2,0
