date,countrycode,population,cases,deaths
2020-03-02,MA,36471766,0,0
2020-03-03,MA,36471766,0,0
2020-03-04,MA,36471766,0,0
2020-03-05,MA,36471766,1,0
2020-03-06,MA,36471766,0,0
2020-03-07,MA,36471766,0,0
2020-03-08,MA,36471766,0,0
2020-03-09,MA,36471766,0,0
2020-03-10,MA,36471766,1,1
2020-03-11,MA,36471766,2,0
2020-03-12,MA,36471766,1,0
2020-03-13,MA,36471766,1,0
2020-03-14,MA,36471766,10,0
2020-03-15,MA,36471766,11,0
2020-03-16,MA,36471766,1,0
2020-03-17,MA,36471766,9,1
2020-03-18,MA,36471766,11,0
2020-03-19,MA,36471766,14,0
2020-03-20,MA,36471766,14,1
2020-03-21,MA,36471766,19,0
2020-03-22,MA,36471766,19,1
2020-03-23,MA,36471766,28,0
2020-03-24,MA,36471766,27,1
2020-03-25,MA,36471766,55,1
2020-03-26,MA,36471766,50,5
2020-03-27,MA,36471766,70,12
2020-03-28,MA,36471766,57,2
2020-03-29,MA,36471766,77,1
2020-03-30,MA,36471766,77,7
2020-03-31,MA,36471766,61,3
2020-04-01,MA,36471766,37,3
2020-04-02,MA,36471766,54,5
2020-04-03,MA,36471766,83,4
2020-04-04,MA,36471766,128,11
2020-04-05,MA,36471766,102,11
2020-04-06,MA,36471766,99,10
2020-04-07,MA,36471766,64,10
2020-04-08,MA,36471766,91,3
2020-04-09,MA,36471766,99,4
2020-04-10,MA,36471766,74,10
2020-04-11,MA,36471766,97,4
2020-04-12,MA,36471766,116,7
2020-04-13,MA,36471766,102,8
2020-04-14,MA,36471766,125,0
2020-04-15,MA,36471766,136,1
2020-04-16,MA,36471766,259,3
2020-04-17,MA,36471766,281,5
2020-04-18,MA,36471766,121,2
2020-04-19,MA,36471766,170,4
2020-04-20,MA,36471766,191,2
2020-04-21,MA,36471766,163,2
2020-04-22,MA,36471766,237,4
2020-04-23,MA,36471766,122,6
2020-04-24,MA,36471766,190,3
2020-04-25,MA,36471766,139,1
2020-04-26,MA,36471766,168,2
2020-04-27,MA,36471766,55,1
2020-04-28,MA,36471766,132,3
2020-04-29,MA,36471766,69,3
2020-04-30,MA,36471766,102,2
2020-05-01,MA,36471766,146,1
2020-05-02,MA,36471766,160,2
2020-05-03,MA,36471766,174,1
2020-05-04,MA,36471766,150,5
2020-05-05,MA,36471766,166,2
2020-05-06,MA,36471766,189,2
2020-05-07,MA,36471766,140,0
2020-05-08,MA,36471766,163,3
2020-05-09,MA,36471766,199,0
2020-05-10,MA,36471766,153,2
2020-05-11,MA,36471766,218,0
2020-05-12,MA,36471766,137,0
2020-05-13,MA,36471766,94,0
2020-05-14,MA,36471766,95,2
2020-05-15,MA,36471766,45,0
2020-05-16,MA,36471766,89,2
2020-05-17,MA,36471766,129,0
2020-05-18,MA,36471766,82,0
2020-05-19,MA,36471766,71,1
2020-05-20,MA,36471766,110,1
2020-05-21,MA,36471766,78,2
2020-05-22,MA,36471766,121,1
2020-05-23,MA,36471766,74,1
2020-05-24,MA,36471766,27,1
2020-05-25,MA,36471766,99,1
2020-05-26,MA,36471766,45,2
2020-05-27,MA,36471766,24,0
2020-05-28,MA,36471766,42,0
2020-05-29,MA,36471766,71,0
2020-05-30,MA,36471766,66,2
2020-05-31,MA,36471766,27,1
2020-06-01,MA,36471766,26,0
2020-06-02,MA,36471766,33,1
2020-06-03,MA,36471766,56,0
2020-06-04,MA,36471766,81,2
2020-06-05,MA,36471766,68,0
2020-06-06,MA,36471766,80,0
2020-06-07,MA,36471766,73,0
2020-06-08,MA,36471766,78,0
2020-06-09,MA,36471766,135,2
2020-06-10,MA,36471766,71,1
2020-06-11,MA,36471766,29,0
2020-06-12,MA,36471766,73,1
2020-06-13,MA,36471766,82,0
2020-06-14,MA,36471766,101,0
2020-06-15,MA,36471766,92,0
2020-06-16,MA,36471766,46,0
2020-06-17,MA,36471766,66,1
2020-06-18,MA,36471766,77,0
2020-06-19,MA,36471766,539,0
2020-06-20,MA,36471766,226,0
2020-06-21,MA,36471766,138,1
2020-06-22,MA,36471766,195,0
2020-06-23,MA,36471766,172,0
2020-06-24,MA,36471766,563,2
2020-06-25,MA,36471766,431,1
2020-06-26,MA,36471766,295,1
2020-06-27,MA,36471766,244,2
2020-06-28,MA,36471766,175,1
2020-06-29,MA,36471766,238,4
2020-06-30,MA,36471766,243,3
2020-07-01,MA,36471766,103,0
2020-07-02,MA,36471766,333,1
2020-07-03,MA,36471766,319,1
2020-07-04,MA,36471766,534,2
2020-07-05,MA,36471766,393,3
2020-07-06,MA,36471766,164,2
2020-07-07,MA,36471766,228,3
2020-07-08,MA,36471766,164,2
2020-07-09,MA,36471766,308,0
2020-07-10,MA,36471766,249,1
2020-07-11,MA,36471766,214,2
2020-07-12,MA,36471766,203,5
