date,countrycode,population,cases,deaths
2020-03-17,ME,621873,0,0
2020-03-18,ME,621873,-1,0
2020-03-19,ME,621873,2,0
2020-03-20,ME,621873,11,0
2020-03-21,ME,621873,0,0
2020-03-22,ME,621873,7,0
2020-03-23,ME,621873,6,1
2020-03-24,ME,621873,20,0
2020-03-25,ME,621873,5,0
2020-03-26,ME,621873,17,0
2020-03-27,ME,621873,13,0
2020-03-28,ME,621873,2,0
2020-03-29,ME,621873,1,0
2020-03-30,ME,621873,6,0
2020-03-31,ME,621873,18,1
2020-04-01,ME,621873,14,0
2020-04-02,ME,621873,21,0
2020-04-03,ME,621873,30,0
2020-04-04,ME,621873,27,0
2020-04-05,ME,621873,13,0
2020-04-06,ME,621873,19,0
2020-04-07,ME,621873,8,0
2020-04-08,ME,621873,7,0
2020-04-09,ME,621873,4,0
2020-04-10,ME,621873,3,0
2020-04-11,ME,621873,8,0
2020-04-12,ME,621873,9,1
2020-04-13,ME,621873,2,0
2020-04-14,ME,621873,9,1
2020-04-15,ME,621873,5,0
2020-04-16,ME,621873,15,0
2020-04-17,ME,621873,0,1
2020-04-18,ME,621873,4,0
2020-04-19,ME,621873,1,0
2020-04-20,ME,621873,4,0
2020-04-21,ME,621873,1,0
2020-04-22,ME,621873,2,0
2020-04-23,ME,621873,1,0
2020-04-24,ME,621873,3,1
2020-04-25,ME,621873,1,0
2020-04-26,ME,621873,1,1
2020-04-27,ME,621873,0,0
2020-04-28,ME,621873,0,0
2020-04-29,ME,621873,1,0
2020-04-30,ME,621873,0,0
2020-05-01,ME,621873,0,0
2020-05-02,ME,621873,0,1
2020-05-03,ME,621873,0,0
2020-05-04,ME,621873,1,0
2020-05-05,ME,621873,1,0
2020-05-06,ME,621873,0,0
2020-05-07,ME,621873,0,0
2020-05-08,ME,621873,0,0
2020-05-09,ME,621873,0,0
2020-05-10,ME,621873,0,1
2020-05-11,ME,621873,0,0
2020-05-12,ME,621873,0,0
2020-05-13,ME,621873,0,0
2020-05-14,ME,621873,0,0
2020-05-15,ME,621873,0,0
2020-05-16,ME,621873,0,0
2020-05-17,ME,621873,0,0
2020-05-18,ME,621873,0,0
2020-05-19,ME,621873,0,0
2020-05-20,ME,621873,0,0
2020-05-21,ME,621873,0,0
2020-05-22,ME,621873,0,0
2020-05-23,ME,621873,0,0
2020-05-24,ME,621873,0,0
2020-05-25,ME,621873,0,0
2020-05-26,ME,621873,0,0
2020-05-27,ME,621873,0,0
2020-05-28,ME,621873,0,0
2020-05-29,ME,621873,0,0
2020-05-30,ME,621873,0,0
2020-05-31,ME,621873,0,0
2020-06-01,ME,621873,0,0
2020-06-02,ME,621873,0,0
2020-06-03,ME,621873,0,0
2020-06-04,ME,621873,0,0
2020-06-05,ME,621873,0,0
2020-06-06,ME,621873,0,0
2020-06-07,ME,621873,0,0
2020-06-08,ME,621873,0,0
2020-06-09,ME,621873,0,0
2020-06-10,ME,621873,0,0
2020-06-11,ME,621873,0,0
2020-06-12,ME,621873,0,0
2020-06-13,ME,621873,0,0
2020-06-14,ME,621873,1,0
2020-06-15,ME,621873,1,0
2020-06-16,ME,621873,0,0
2020-06-17,ME,621873,7,0
2020-06-18,ME,621873,4,0
2020-06-19,ME,621873,18,0
2020-06-20,ME,621873,4,0
2020-06-21,ME,621873,3,0
2020-06-22,ME,621873,5,0
2020-06-23,ME,621873,11,0
2020-06-24,ME,621873,11,0
2020-06-25,ME,621873,25,0
2020-06-26,ME,621873,25,0
2020-06-27,ME,621873,30,0
2020-06-28,ME,621873,12,2
2020-06-29,ME,621873,20,0
2020-06-30,ME,621873,47,1
2020-07-01,ME,621873,28,0
2020-07-02,ME,621873,40,0
2020-07-03,ME,621873,47,1
2020-07-04,ME,621873,57,1
2020-07-05,ME,621873,61,0
2020-07-06,ME,621873,60,0
2020-07-07,ME,621873,66,3
2020-07-08,ME,621873,53,0
2020-07-09,ME,621873,59,2
2020-07-10,ME,621873,0,0
2020-07-11,ME,621873,145,4
2020-07-12,ME,621873,57,0
2020-07-13,ME,621873,66,1
2020-07-14,ME,621873,0,0
2020-07-15,ME,621873,0,0
2020-07-16,ME,621873,0,0
2020-07-17,ME,621873,678,2
2020-07-18,ME,621873,107,4
2020-07-19,ME,621873,116,2
2020-07-20,ME,621873,0,0
2020-07-21,ME,621873,193,3
2020-07-22,ME,621873,91,4
2020-07-23,ME,621873,97,1
2020-07-24,ME,621873,96,3
2020-07-25,ME,621873,82,0
2020-07-26,ME,621873,52,0
2020-07-27,ME,621873,94,2
2020-07-28,ME,621873,56,0
2020-07-29,ME,621873,67,2
2020-07-30,ME,621873,0,0
2020-07-31,ME,621873,57,1
2020-08-01,ME,621873,125,2
2020-08-02,ME,621873,60,1
2020-08-03,ME,621873,43,1
2020-08-04,ME,621873,60,1
2020-08-05,ME,621873,50,4
2020-08-06,ME,621873,69,3
2020-08-07,ME,621873,69,1
2020-08-08,ME,621873,39,1
2020-08-09,ME,621873,30,2
2020-08-10,ME,621873,78,4
2020-08-11,ME,621873,52,3
2020-08-12,ME,621873,65,2
2020-08-13,ME,621873,44,0
2020-08-14,ME,621873,73,0
2020-08-15,ME,621873,30,2
2020-08-16,ME,621873,75,2
2020-08-17,ME,621873,50,3
2020-08-18,ME,621873,47,0
2020-08-19,ME,621873,42,0
2020-08-20,ME,621873,55,1
2020-08-21,ME,621873,48,1
2020-08-22,ME,621873,36,2
2020-08-23,ME,621873,30,0
2020-08-24,ME,621873,35,0
2020-08-25,ME,621873,66,3
2020-08-26,ME,621873,55,1
2020-08-27,ME,621873,59,1
2020-08-28,ME,621873,105,3
2020-08-29,ME,621873,64,1
2020-08-30,ME,621873,63,5
2020-08-31,ME,621873,45,2
2020-09-01,ME,621873,82,2
2020-09-02,ME,621873,102,2
2020-09-03,ME,621873,146,0
2020-09-04,ME,621873,110,2
2020-09-05,ME,621873,147,1
2020-09-06,ME,621873,131,1
2020-09-07,ME,621873,106,1
2020-09-08,ME,621873,216,3
