date,countrycode,population,cases,deaths
2020-10-28,MH,54516,0,0
2020-10-29,MH,54516,0,0
2020-10-30,MH,54516,0,0
2020-10-31,MH,54516,0,0
2020-11-01,MH,54516,0,0
2020-11-02,MH,54516,0,0
2020-11-03,MH,54516,0,0
2020-11-04,MH,54516,0,0
2020-11-05,MH,54516,-1,0
2020-11-06,MH,54516,0,0
2020-11-07,MH,54516,0,0
2020-11-08,MH,54516,0,0
2020-11-09,MH,54516,0,0
2020-11-10,MH,54516,0,0
2020-11-11,MH,54516,0,0
2020-11-12,MH,54516,0,0
2020-11-13,MH,54516,0,0
2020-11-14,MH,54516,0,0
2020-11-15,MH,54516,0,0
2020-11-16,MH,54516,0,0
2020-11-17,MH,54516,3,0
2020-11-18,MH,54516,0,0
2020-11-19,MH,54516,0,0
2020-11-20,MH,54516,0,0
2020-11-21,MH,54516,0,0
2020-11-22,MH,54516,0,0
2020-11-23,MH,54516,0,0
2020-11-24,MH,54516,0,0
2020-11-25,MH,54516,0,0
2020-11-26,MH,54516,0,0
2020-11-27,MH,54516,0,0
2020-11-28,MH,54516,0,0
2020-11-29,MH,54516,0,0
2020-11-30,MH,54516,0,0
2020-12-01,MH,54516,0,0
2020-12-02,MH,54516,0,0
2020-12-03,MH,54516,0,0
2020-12-04,MH,54516,0,0
2020-12-05,MH,54516,0,0
2020-12-06,MH,54516,0,0
2020-12-07,MH,54516,0,0
2020-12-08,MH,54516,0,0
2020-12-09,MH,54516,0,0
2020-12-10,MH,54516,0,0
2020-12-11,MH,54516,0,0
2020-12-12,MH,54516,0,0
2020-12-13,MH,54516,0,0
2020-12-14,MH,54516,0,0
2020-12-15,MH,54516,0,0
2020-12-16,MH,54516,0,0
2020-12-17,MH,54516,0,0
2020-12-18,MH,54516,0,0
2020-12-19,MH,54516,0,0
2020-12-20,MH,54516,0,0
2020-12-21,MH,54516,0,0
2020-12-22,MH,54516,0,0
2020-12-23,MH,54516,0,0
2020-12-24,MH,54516,0,0
2020-12-25,MH,54516,0,0
2020-12-26,MH,54516,0,0
2020-12-27,MH,54516,0,0
2020-12-28,MH,54516,0,0
2020-12-29,MH,54516,0,0
2020-12-30,MH,54516,0,0
2020-12-31,MH,54516,0,0
2021-01-01,MH,54516,0,0
2021-01-02,MH,54516,0,0
2021-01-03,MH,54516,0,0
2021-01-04,MH,54516,0,0
2021-01-05,MH,54516,0,0
2021-01-06,MH,54516,0,0
2021-01-07,MH,54516,0,0
2021-01-08,MH,54516,0,0
2021-01-09,MH,54516,0,0
2021-01-10,MH,54516,0,0
2021-01-11,MH,54516,0,0
2021-01-12,MH,54516,0,0
2021-01-13,MH,54516,0,0
2021-01-14,MH,54516,0,0
2021-01-15,MH,54516,0,0
2021-01-16,MH,54516,0,0
2021-01-17,MH,54516,0,0
2021-01-18,MH,54516,0,0
2021-01-19,MH,54516,0,0
2021-01-20,MH,54516,0,0
2021-01-21,MH,54516,0,0
2021-01-22,MH,54516,0,0
2021-01-23,MH,54516,0,0
2021-01-24,MH,54516,0,0
2021-01-25,MH,54516,0,0
2021-01-26,MH,54516,0,0
2021-01-27,MH,54516,0,0
2021-01-28,MH,54516,0,0
2021-01-29,MH,54516,0,0
2021-01-30,MH,54516,0,0
2021-01-31,MH,54516,0,0
2021-02-01,MH,54516,0,0
2021-02-02,MH,54516,0,0
2021-02-03,MH,54516,0,0
2021-02-04,MH,54516,0,0
2021-02-05,MH,54516,0,0
2021-02-06,MH,54516,0,0
2021-02-07,MH,54516,0,0
2021-02-08,MH,54516,0,0
2021-02-09,MH,54516,0,0
2021-02-10,MH,54516,0,0
2021-02-11,MH,54516,0,0
2021-02-12,MH,54516,0,0
2021-02-13,MH,54516,0,0
2021-02-14,MH,54516,0,0
2021-02-15,MH,54516,0,0
2021-02-16,MH,54516,0,0
2021-02-17,MH,54516,0,0
2021-02-18,MH,54516,0,0
2021-02-19,MH,54516,0,0
2021-02-20,MH,54516,0,0
2021-02-21,MH,54516,0,0
2021-02-22,MH,54516,0,0
2021-02-23,MH,54516,0,0
2021-02-24,MH,54516,0,0
2021-02-25,MH,54516,0,0
2021-02-26,MH,54516,0,0
2021-02-27,MH,54516,0,0
2021-02-28,MH,54516,0,0
2021-03-01,MH,54516,0,0
2021-03-02,MH,54516,0,0
2021-03-03,MH,54516,0,0
2021-03-04,MH,54516,0,0
2021-03-05,MH,54516,0,0
2021-03-06,MH,54516,0,0
2021-03-07,MH,54516,0,0
2021-03-08,MH,54516,0,0
2021-03-09,MH,54516,0,0
2021-03-10,MH,54516,0,0
2021-03-11,MH,54516,0,0
2021-03-12,MH,54516,0,0
2021-03-13,MH,54516,0,0
2021-03-14,MH,54516,0,0
2021-03-15,MH,54516,0,0
2021-03-16,MH,54516,0,0
2021-03-17,MH,54516,0,0
2021-03-18,MH,54516,0,0
2021-03-19,MH,54516,0,0
2021-03-20,MH,54516,0,0
2021-03-21,MH,54516,0,0
2021-03-22,MH,54516,0,0
2021-03-23,MH,54516,0,0
2021-03-24,MH,54516,0,0
2021-03-25,MH,54516,0,0
2021-03-26,MH,54516,0,0
2021-03-27,MH,54516,0,0
2021-03-28,MH,54516,0,0
2021-03-29,MH,54516,0,0
2021-03-30,MH,54516,0,0
2021-03-31,MH,54516,0,0
2021-04-01,MH,54516,0,0
2021-04-02,MH,54516,0,0
2021-04-03,MH,54516,0,0
2021-04-04,MH,54516,0,0
2021-04-05,MH,54516,0,0
2021-04-06,MH,54516,0,0
2021-04-07,MH,54516,0,0
2021-04-08,MH,54516,0,0
2021-04-09,MH,54516,0,0
2021-04-10,MH,54516,0,0
2021-04-11,MH,54516,0,0
2021-04-12,MH,54516,0,0
2021-04-13,MH,54516,0,0
2021-04-14,MH,54516,0,0
2021-04-15,MH,54516,0,0
2021-04-16,MH,54516,0,0
2021-04-17,MH,54516,0,0
2021-04-18,MH,54516,0,0
2021-04-19,MH,54516,0,0
2021-04-20,MH,54516,0,0
2021-04-21,MH,54516,0,0
2021-04-22,MH,54516,0,0
2021-04-23,MH,54516,0,0
2021-04-24,MH,54516,0,0
2021-04-25,MH,54516,0,0
2021-04-26,MH,54516,0,0
2021-04-27,MH,54516,0,0
2021-04-28,MH,54516,0,0
