date,countrycode,population,cases,deaths
2020-01-22,MM,54045422,0,0
2020-01-23,MM,54045422,0,0
2020-01-24,MM,54045422,0,0
2020-01-25,MM,54045422,0,0
2020-01-26,MM,54045422,0,0
2020-01-27,MM,54045422,0,0
2020-01-28,MM,54045422,0,0
2020-01-29,MM,54045422,0,0
2020-01-30,MM,54045422,0,0
2020-01-31,MM,54045422,0,0
2020-02-01,MM,54045422,0,0
2020-02-02,MM,54045422,0,0
2020-02-03,MM,54045422,0,0
2020-02-04,MM,54045422,0,0
2020-02-05,MM,54045422,0,0
2020-02-06,MM,54045422,0,0
2020-02-07,MM,54045422,0,0
2020-02-08,MM,54045422,0,0
2020-02-09,MM,54045422,0,0
2020-02-10,MM,54045422,0,0
2020-02-11,MM,54045422,0,0
2020-02-12,MM,54045422,0,0
2020-02-13,MM,54045422,0,0
2020-02-14,MM,54045422,0,0
2020-02-15,MM,54045422,0,0
2020-02-16,MM,54045422,0,0
2020-02-17,MM,54045422,0,0
2020-02-18,MM,54045422,0,0
2020-02-19,MM,54045422,0,0
2020-02-20,MM,54045422,0,0
2020-02-21,MM,54045422,0,0
2020-02-22,MM,54045422,0,0
2020-02-23,MM,54045422,0,0
2020-02-24,MM,54045422,0,0
2020-02-25,MM,54045422,0,0
2020-02-26,MM,54045422,0,0
2020-02-27,MM,54045422,0,0
2020-02-28,MM,54045422,0,0
2020-02-29,MM,54045422,0,0
2020-03-01,MM,54045422,0,0
2020-03-02,MM,54045422,0,0
2020-03-03,MM,54045422,0,0
2020-03-04,MM,54045422,0,0
2020-03-05,MM,54045422,0,0
2020-03-06,MM,54045422,0,0
2020-03-07,MM,54045422,0,0
2020-03-08,MM,54045422,0,0
2020-03-09,MM,54045422,0,0
2020-03-10,MM,54045422,0,0
2020-03-11,MM,54045422,0,0
2020-03-12,MM,54045422,0,0
2020-03-13,MM,54045422,0,0
2020-03-14,MM,54045422,0,0
2020-03-15,MM,54045422,0,0
2020-03-16,MM,54045422,0,0
2020-03-17,MM,54045422,0,0
2020-03-18,MM,54045422,0,0
2020-03-19,MM,54045422,0,0
2020-03-20,MM,54045422,0,0
2020-03-21,MM,54045422,0,0
2020-03-22,MM,54045422,0,0
2020-03-23,MM,54045422,0,0
2020-03-24,MM,54045422,0,0
2020-03-25,MM,54045422,0,0
2020-03-26,MM,54045422,0,0
2020-03-27,MM,54045422,8,0
2020-03-28,MM,54045422,0,0
2020-03-29,MM,54045422,2,0
2020-03-30,MM,54045422,4,0
2020-03-31,MM,54045422,1,1
2020-04-01,MM,54045422,0,0
2020-04-02,MM,54045422,5,0
2020-04-03,MM,54045422,0,0
2020-04-04,MM,54045422,1,0
2020-04-05,MM,54045422,0,0
2020-04-06,MM,54045422,1,0
2020-04-07,MM,54045422,0,0
2020-04-08,MM,54045422,0,2
2020-04-09,MM,54045422,1,0
2020-04-10,MM,54045422,4,0
2020-04-11,MM,54045422,11,0
2020-04-12,MM,54045422,3,1
2020-04-13,MM,54045422,21,0
2020-04-14,MM,54045422,1,0
2020-04-15,MM,54045422,11,0
2020-04-16,MM,54045422,11,0
2020-04-17,MM,54045422,3,0
2020-04-18,MM,54045422,10,1
2020-04-19,MM,54045422,13,0
2020-04-20,MM,54045422,8,0
2020-04-21,MM,54045422,2,0
2020-04-22,MM,54045422,2,0
2020-04-23,MM,54045422,16,0
2020-04-24,MM,54045422,5,0
2020-04-25,MM,54045422,2,0
2020-04-26,MM,54045422,0,0
2020-04-27,MM,54045422,0,0
2020-04-28,MM,54045422,4,0
2020-04-29,MM,54045422,0,1
2020-04-30,MM,54045422,1,0
2020-05-01,MM,54045422,0,0
2020-05-02,MM,54045422,0,0
2020-05-03,MM,54045422,4,0
2020-05-04,MM,54045422,6,0
2020-05-05,MM,54045422,0,0
2020-05-06,MM,54045422,0,0
2020-05-07,MM,54045422,15,0
2020-05-08,MM,54045422,1,0
2020-05-09,MM,54045422,1,0
2020-05-10,MM,54045422,2,0
2020-05-11,MM,54045422,0,0
2020-05-12,MM,54045422,0,0
2020-05-13,MM,54045422,1,0
2020-05-14,MM,54045422,0,0
2020-05-15,MM,54045422,1,0
2020-05-16,MM,54045422,0,0
2020-05-17,MM,54045422,2,0
2020-05-18,MM,54045422,7,0
2020-05-19,MM,54045422,2,0
2020-05-20,MM,54045422,6,0
2020-05-21,MM,54045422,0,0
2020-05-22,MM,54045422,0,0
2020-05-23,MM,54045422,2,0
2020-05-24,MM,54045422,0,0
2020-05-25,MM,54045422,2,0
2020-05-26,MM,54045422,3,0
2020-05-27,MM,54045422,0,0
2020-05-28,MM,54045422,0,0
2020-05-29,MM,54045422,1,0
2020-05-30,MM,54045422,17,0
2020-05-31,MM,54045422,0,0
2020-06-01,MM,54045422,4,0
2020-06-02,MM,54045422,4,0
2020-06-03,MM,54045422,1,0
