date,countrycode,population,cases,deaths
2020-01-22,MO,683100,0,0
2020-01-23,MO,683100,1,0
2020-01-24,MO,683100,0,0
2020-01-25,MO,683100,0,0
2020-01-26,MO,683100,3,0
2020-01-27,MO,683100,1,0
2020-01-28,MO,683100,1,0
2020-01-29,MO,683100,0,0
2020-01-30,MO,683100,0,0
2020-01-31,MO,683100,0,0
2020-02-01,MO,683100,0,0
2020-02-02,MO,683100,1,0
2020-02-03,MO,683100,0,0
2020-02-04,MO,683100,2,0
2020-02-05,MO,683100,0,0
2020-02-06,MO,683100,0,0
2020-02-07,MO,683100,0,0
2020-02-08,MO,683100,0,0
2020-02-09,MO,683100,0,0
2020-02-10,MO,683100,0,0
2020-02-11,MO,683100,0,0
2020-02-12,MO,683100,0,0
2020-02-13,MO,683100,0,0
2020-02-14,MO,683100,0,0
2020-02-15,MO,683100,0,0
2020-02-16,MO,683100,0,0
2020-02-17,MO,683100,0,0
2020-02-18,MO,683100,0,0
2020-02-19,MO,683100,0,0
2020-02-20,MO,683100,0,0
2020-02-21,MO,683100,0,0
2020-02-22,MO,683100,0,0
2020-02-23,MO,683100,0,0
2020-02-24,MO,683100,0,0
2020-02-25,MO,683100,0,0
2020-02-26,MO,683100,0,0
2020-02-27,MO,683100,0,0
2020-02-28,MO,683100,0,0
2020-02-29,MO,683100,0,0
2020-03-01,MO,683100,0,0
2020-03-02,MO,683100,0,0
2020-03-03,MO,683100,0,0
2020-03-04,MO,683100,0,0
2020-03-05,MO,683100,0,0
2020-03-06,MO,683100,0,0
2020-03-07,MO,683100,0,0
2020-03-08,MO,683100,0,0
2020-03-09,MO,683100,0,0
2020-03-10,MO,683100,0,0
2020-03-11,MO,683100,0,0
2020-03-12,MO,683100,0,0
2020-03-13,MO,683100,0,0
2020-03-14,MO,683100,0,0
2020-03-15,MO,683100,0,0
2020-03-16,MO,683100,1,0
2020-03-17,MO,683100,1,0
2020-03-18,MO,683100,3,0
2020-03-19,MO,683100,2,0
2020-03-20,MO,683100,0,0
2020-03-21,MO,683100,1,0
2020-03-22,MO,683100,6,0
2020-03-23,MO,683100,0,0
2020-03-24,MO,683100,1,0
2020-03-25,MO,683100,5,0
2020-03-26,MO,683100,1,0
2020-03-27,MO,683100,2,0
2020-03-28,MO,683100,4,0
2020-03-29,MO,683100,0,0
2020-03-30,MO,683100,1,0
2020-03-31,MO,683100,3,0
2020-04-01,MO,683100,0,0
2020-04-02,MO,683100,0,0
2020-04-03,MO,683100,2,0
2020-04-04,MO,683100,0,0
2020-04-05,MO,683100,1,0
2020-04-06,MO,683100,0,0
2020-04-07,MO,683100,0,0
2020-04-08,MO,683100,1,0
2020-04-09,MO,683100,0,0
2020-04-10,MO,683100,0,0
2020-04-11,MO,683100,0,0
2020-04-12,MO,683100,0,0
2020-04-13,MO,683100,0,0
2020-04-14,MO,683100,0,0
2020-04-15,MO,683100,0,0
2020-04-16,MO,683100,0,0
2020-04-17,MO,683100,0,0
2020-04-18,MO,683100,0,0
2020-04-19,MO,683100,0,0
2020-04-20,MO,683100,0,0
2020-04-21,MO,683100,0,0
2020-04-22,MO,683100,0,0
2020-04-23,MO,683100,0,0
2020-04-24,MO,683100,0,0
2020-04-25,MO,683100,0,0
2020-04-26,MO,683100,0,0
2020-04-27,MO,683100,0,0
2020-04-28,MO,683100,0,0
2020-04-29,MO,683100,0,0
2020-04-30,MO,683100,0,0
2020-05-01,MO,683100,0,0
2020-05-02,MO,683100,0,0
2020-05-03,MO,683100,0,0
2020-05-04,MO,683100,0,0
2020-05-05,MO,683100,0,0
2020-05-06,MO,683100,0,0
2020-05-07,MO,683100,0,0
2020-05-08,MO,683100,0,0
2020-05-09,MO,683100,0,0
2020-05-10,MO,683100,0,0
2020-05-11,MO,683100,0,0
2020-05-12,MO,683100,0,0
2020-05-13,MO,683100,0,0
2020-05-14,MO,683100,0,0
2020-05-15,MO,683100,0,0
2020-05-16,MO,683100,0,0
2020-05-17,MO,683100,0,0
2020-05-18,MO,683100,0,0
2020-05-19,MO,683100,0,0
2020-05-20,MO,683100,0,0
2020-05-21,MO,683100,0,0
2020-05-22,MO,683100,0,0
2020-05-23,MO,683100,0,0
2020-05-24,MO,683100,0,0
2020-05-25,MO,683100,0,0
2020-05-26,MO,683100,0,0
2020-05-27,MO,683100,0,0
2020-05-28,MO,683100,0,0
2020-05-29,MO,683100,0,0
2020-05-30,MO,683100,0,0
2020-05-31,MO,683100,0,0
2020-06-01,MO,683100,0,0
2020-06-02,MO,683100,0,0
2020-06-03,MO,683100,0,0
2020-06-04,MO,683100,0,0
2020-06-05,MO,683100,0,0
2020-06-06,MO,683100,0,0
2020-06-07,MO,683100,0,0
2020-06-08,MO,683100,0,0
2020-06-09,MO,683100,0,0
2020-06-10,MO,683100,0,0
2020-06-11,MO,683100,0,0
2020-06-12,MO,683100,0,0
2020-06-13,MO,683100,0,0
2020-06-14,MO,683100,0,0
2020-06-15,MO,683100,0,0
2020-06-16,MO,683100,0,0
2020-06-17,MO,683100,0,0
2020-06-18,MO,683100,0,0
2020-06-19,MO,683100,0,0
2020-06-20,MO,683100,0,0
2020-06-21,MO,683100,0,0
2020-06-22,MO,683100,0,0
2020-06-23,MO,683100,0,0
2020-06-24,MO,683100,0,0
2020-06-25,MO,683100,1,0
2020-06-26,MO,683100,0,0
2020-06-27,MO,683100,0,0
2020-06-28,MO,683100,0,0
2020-06-29,MO,683100,0,0
2020-06-30,MO,683100,0,0
2020-07-01,MO,683100,0,0
2020-07-02,MO,683100,0,0
2020-07-03,MO,683100,0,0
2020-07-04,MO,683100,0,0
2020-07-05,MO,683100,0,0
2020-07-06,MO,683100,0,0
2020-07-07,MO,683100,0,0
2020-07-08,MO,683100,0,0
2020-07-09,MO,683100,0,0
2020-07-10,MO,683100,0,0
2020-07-11,MO,683100,0,0
2020-07-12,MO,683100,0,0
2020-07-13,MO,683100,0,0
