date,countrycode,population,cases,deaths
2020-03-18,MU,1266030,0,0
2020-03-19,MU,1266030,0,0
2020-03-20,MU,1266030,9,0
2020-03-21,MU,1266030,2,1
2020-03-22,MU,1266030,14,1
2020-03-23,MU,1266030,8,0
2020-03-24,MU,1266030,6,0
2020-03-25,MU,1266030,6,0
2020-03-26,MU,1266030,33,0
2020-03-27,MU,1266030,13,0
2020-03-28,MU,1266030,8,0
2020-03-29,MU,1266030,5,1
2020-03-30,MU,1266030,21,0
2020-03-31,MU,1266030,15,2
2020-04-01,MU,1266030,18,1
2020-04-02,MU,1266030,8,1
2020-04-03,MU,1266030,17,0
2020-04-04,MU,1266030,10,0
2020-04-05,MU,1266030,31,0
2020-04-06,MU,1266030,17,0
2020-04-07,MU,1266030,24,0
2020-04-08,MU,1266030,5,0
2020-04-09,MU,1266030,41,0
2020-04-10,MU,1266030,4,2
2020-04-11,MU,1266030,1,0
2020-04-12,MU,1266030,5,0
2020-04-13,MU,1266030,0,0
2020-04-14,MU,1266030,0,0
2020-04-15,MU,1266030,0,0
2020-04-16,MU,1266030,0,0
2020-04-17,MU,1266030,0,0
2020-04-18,MU,1266030,1,0
2020-04-19,MU,1266030,3,0
2020-04-20,MU,1266030,0,0
2020-04-21,MU,1266030,0,0
2020-04-22,MU,1266030,1,0
2020-04-23,MU,1266030,2,0
2020-04-24,MU,1266030,0,0
2020-04-25,MU,1266030,0,0
2020-04-26,MU,1266030,1,0
2020-04-27,MU,1266030,2,1
2020-04-28,MU,1266030,0,0
2020-04-29,MU,1266030,-2,0
2020-04-30,MU,1266030,0,0
2020-05-01,MU,1266030,0,0
2020-05-02,MU,1266030,0,0
2020-05-03,MU,1266030,0,0
2020-05-04,MU,1266030,0,0
2020-05-05,MU,1266030,0,0
2020-05-06,MU,1266030,0,0
2020-05-07,MU,1266030,0,0
2020-05-08,MU,1266030,0,0
2020-05-09,MU,1266030,0,0
2020-05-10,MU,1266030,0,0
2020-05-11,MU,1266030,0,0
2020-05-12,MU,1266030,0,0
2020-05-13,MU,1266030,0,0
2020-05-14,MU,1266030,0,0
2020-05-15,MU,1266030,0,0
2020-05-16,MU,1266030,0,0
2020-05-17,MU,1266030,0,0
2020-05-18,MU,1266030,0,0
2020-05-19,MU,1266030,0,0
2020-05-20,MU,1266030,0,0
2020-05-21,MU,1266030,0,0
2020-05-22,MU,1266030,0,0
2020-05-23,MU,1266030,0,0
2020-05-24,MU,1266030,2,0
2020-05-25,MU,1266030,0,0
2020-05-26,MU,1266030,0,0
2020-05-27,MU,1266030,0,0
2020-05-28,MU,1266030,0,0
2020-05-29,MU,1266030,1,0
2020-05-30,MU,1266030,0,0
2020-05-31,MU,1266030,0,0
2020-06-01,MU,1266030,0,0
2020-06-02,MU,1266030,0,0
2020-06-03,MU,1266030,0,0
2020-06-04,MU,1266030,0,0
2020-06-05,MU,1266030,2,0
2020-06-06,MU,1266030,0,0
2020-06-07,MU,1266030,0,0
2020-06-08,MU,1266030,0,0
2020-06-09,MU,1266030,0,0
2020-06-10,MU,1266030,0,0
2020-06-11,MU,1266030,0,0
2020-06-12,MU,1266030,0,0
2020-06-13,MU,1266030,0,0
2020-06-14,MU,1266030,0,0
2020-06-15,MU,1266030,0,0
2020-06-16,MU,1266030,0,0
2020-06-17,MU,1266030,0,0
2020-06-18,MU,1266030,0,0
2020-06-19,MU,1266030,0,0
2020-06-20,MU,1266030,0,0
2020-06-21,MU,1266030,0,0
2020-06-22,MU,1266030,3,0
2020-06-23,MU,1266030,0,0
2020-06-24,MU,1266030,1,0
2020-06-25,MU,1266030,0,0
2020-06-26,MU,1266030,0,0
2020-06-27,MU,1266030,0,0
2020-06-28,MU,1266030,0,0
2020-06-29,MU,1266030,0,0
2020-06-30,MU,1266030,0,0
2020-07-01,MU,1266030,0,0
2020-07-02,MU,1266030,0,0
2020-07-03,MU,1266030,0,0
2020-07-04,MU,1266030,0,0
2020-07-05,MU,1266030,0,0
2020-07-06,MU,1266030,1,0
2020-07-07,MU,1266030,0,0
2020-07-08,MU,1266030,0,0
2020-07-09,MU,1266030,0,0
2020-07-10,MU,1266030,0,0
2020-07-11,MU,1266030,0,0
2020-07-12,MU,1266030,0,0
2020-07-13,MU,1266030,0,0
2020-07-14,MU,1266030,0,0
2020-07-15,MU,1266030,1,0
2020-07-16,MU,1266030,0,0
2020-07-17,MU,1266030,0,0
2020-07-18,MU,1266030,0,0
2020-07-19,MU,1266030,0,0
2020-07-20,MU,1266030,0,0
2020-07-21,MU,1266030,0,0
2020-07-22,MU,1266030,0,0
2020-07-23,MU,1266030,0,0
2020-07-24,MU,1266030,1,0
2020-07-25,MU,1266030,0,0
2020-07-26,MU,1266030,0,0
2020-07-27,MU,1266030,0,0
2020-07-28,MU,1266030,0,0
2020-07-29,MU,1266030,0,0
2020-07-30,MU,1266030,0,0
2020-07-31,MU,1266030,0,0
2020-08-01,MU,1266030,0,0
2020-08-02,MU,1266030,0,0
2020-08-03,MU,1266030,0,0
2020-08-04,MU,1266030,0,0
2020-08-05,MU,1266030,0,0
2020-08-06,MU,1266030,0,0
2020-08-07,MU,1266030,0,0
2020-08-08,MU,1266030,0,0
2020-08-09,MU,1266030,0,0
2020-08-10,MU,1266030,0,0
2020-08-11,MU,1266030,0,0
2020-08-12,MU,1266030,0,0
2020-08-13,MU,1266030,0,0
2020-08-14,MU,1266030,1,0
2020-08-15,MU,1266030,1,0
2020-08-16,MU,1266030,0,0
2020-08-17,MU,1266030,0,0
2020-08-18,MU,1266030,0,0
2020-08-19,MU,1266030,0,0
2020-08-20,MU,1266030,0,0
2020-08-21,MU,1266030,0,0
2020-08-22,MU,1266030,0,0
2020-08-23,MU,1266030,0,0
2020-08-24,MU,1266030,1,0
2020-08-25,MU,1266030,1,0
2020-08-26,MU,1266030,0,0
2020-08-27,MU,1266030,7,0
2020-08-28,MU,1266030,0,0
2020-08-29,MU,1266030,0,0
2020-08-30,MU,1266030,0,0
2020-08-31,MU,1266030,1,0
2020-09-01,MU,1266030,0,0
2020-09-02,MU,1266030,0,0
2020-09-03,MU,1266030,0,0
2020-09-04,MU,1266030,0,0
2020-09-05,MU,1266030,0,0
2020-09-06,MU,1266030,0,0
2020-09-07,MU,1266030,0,0
2020-09-08,MU,1266030,5,0
2020-09-09,MU,1266030,0,0
2020-09-10,MU,1266030,0,0
2020-09-11,MU,1266030,0,0
2020-09-12,MU,1266030,0,0
2020-09-13,MU,1266030,0,0
2020-09-14,MU,1266030,0,0
2020-09-15,MU,1266030,4,0
2020-09-16,MU,1266030,0,0
2020-09-17,MU,1266030,1,0
2020-09-18,MU,1266030,0,0
2020-09-19,MU,1266030,0,0
2020-09-20,MU,1266030,0,0
2020-09-21,MU,1266030,0,0
2020-09-22,MU,1266030,1,0
2020-09-23,MU,1266030,0,0
2020-09-24,MU,1266030,0,0
2020-09-25,MU,1266030,0,0
2020-09-26,MU,1266030,0,0
2020-09-27,MU,1266030,0,0
2020-09-28,MU,1266030,0,0
2020-09-29,MU,1266030,0,0
2020-09-30,MU,1266030,14,0
2020-10-01,MU,1266030,0,0
2020-10-02,MU,1266030,4,0
2020-10-03,MU,1266030,0,0
2020-10-04,MU,1266030,0,0
2020-10-05,MU,1266030,2,0
2020-10-06,MU,1266030,8,0
2020-10-07,MU,1266030,0,0
2020-10-08,MU,1266030,0,0
2020-10-09,MU,1266030,0,0
2020-10-10,MU,1266030,0,0
2020-10-11,MU,1266030,0,0
2020-10-12,MU,1266030,9,0
2020-10-13,MU,1266030,3,0
2020-10-14,MU,1266030,0,0
2020-10-15,MU,1266030,8,0
2020-10-16,MU,1266030,2,0
2020-10-17,MU,1266030,0,0
2020-10-18,MU,1266030,0,0
2020-10-19,MU,1266030,2,0
2020-10-20,MU,1266030,0,0
2020-10-21,MU,1266030,0,0
2020-10-22,MU,1266030,6,0
2020-10-23,MU,1266030,10,0
2020-10-24,MU,1266030,0,0
2020-10-25,MU,1266030,0,0
2020-10-26,MU,1266030,4,0
2020-10-27,MU,1266030,0,0
2020-10-28,MU,1266030,0,0
2020-10-29,MU,1266030,0,0
2020-10-30,MU,1266030,2,0
2020-10-31,MU,1266030,0,0
2020-11-01,MU,1266030,5,0
2020-11-02,MU,1266030,5,0
2020-11-03,MU,1266030,0,0
2020-11-04,MU,1266030,1,0
2020-11-05,MU,1266030,1,0
2020-11-06,MU,1266030,0,0
2020-11-07,MU,1266030,0,0
2020-11-08,MU,1266030,0,0
2020-11-09,MU,1266030,0,0
2020-11-10,MU,1266030,0,0
2020-11-11,MU,1266030,0,0
2020-11-12,MU,1266030,15,0
2020-11-13,MU,1266030,2,0
2020-11-14,MU,1266030,0,0
2020-11-15,MU,1266030,8,0
2020-11-16,MU,1266030,13,0
2020-11-17,MU,1266030,0,0
2020-11-18,MU,1266030,3,0
2020-11-19,MU,1266030,0,0
2020-11-20,MU,1266030,0,0
2020-11-21,MU,1266030,0,0
2020-11-22,MU,1266030,0,0
2020-11-23,MU,1266030,0,0
2020-11-24,MU,1266030,0,0
2020-11-25,MU,1266030,3,0
2020-11-26,MU,1266030,1,0
2020-11-27,MU,1266030,3,0
2020-11-28,MU,1266030,0,0
2020-11-29,MU,1266030,0,0
2020-11-30,MU,1266030,3,0
2020-12-01,MU,1266030,1,0
2020-12-02,MU,1266030,3,0
2020-12-03,MU,1266030,0,0
2020-12-04,MU,1266030,0,0
2020-12-05,MU,1266030,0,0
2020-12-06,MU,1266030,0,0
2020-12-07,MU,1266030,3,0
2020-12-08,MU,1266030,4,0
2020-12-09,MU,1266030,0,0
2020-12-10,MU,1266030,0,0
2020-12-11,MU,1266030,0,0
2020-12-12,MU,1266030,0,0
2020-12-13,MU,1266030,0,0
2020-12-14,MU,1266030,8,0
2020-12-15,MU,1266030,1,0
2020-12-16,MU,1266030,0,0
2020-12-17,MU,1266030,0,0
2020-12-18,MU,1266030,0,0
2020-12-19,MU,1266030,0,0
2020-12-20,MU,1266030,0,0
2020-12-21,MU,1266030,0,0
2020-12-22,MU,1266030,2,0
2020-12-23,MU,1266030,1,0
2020-12-24,MU,1266030,0,0
2020-12-25,MU,1266030,0,0
2020-12-26,MU,1266030,0,0
2020-12-27,MU,1266030,0,0
