date,countrycode,population,cases,deaths
2020-02-28,MX,127575529,0,0
2020-02-29,MX,127575529,3,0
2020-03-01,MX,127575529,1,0
2020-03-02,MX,127575529,0,0
2020-03-03,MX,127575529,0,0
2020-03-04,MX,127575529,0,0
2020-03-05,MX,127575529,0,0
2020-03-06,MX,127575529,1,0
2020-03-07,MX,127575529,0,0
2020-03-08,MX,127575529,1,0
2020-03-09,MX,127575529,0,0
2020-03-10,MX,127575529,0,0
2020-03-11,MX,127575529,1,0
2020-03-12,MX,127575529,4,0
2020-03-13,MX,127575529,0,0
2020-03-14,MX,127575529,14,0
2020-03-15,MX,127575529,15,0
2020-03-16,MX,127575529,12,0
2020-03-17,MX,127575529,29,0
2020-03-18,MX,127575529,11,0
2020-03-19,MX,127575529,25,1
2020-03-20,MX,127575529,46,0
2020-03-21,MX,127575529,39,1
2020-03-22,MX,127575529,48,0
2020-03-23,MX,127575529,65,1
2020-03-24,MX,127575529,51,1
2020-03-25,MX,127575529,38,1
2020-03-26,MX,127575529,70,1
2020-03-27,MX,127575529,110,2
2020-03-28,MX,127575529,132,4
2020-03-29,MX,127575529,131,4
2020-03-30,MX,127575529,145,4
2020-03-31,MX,127575529,101,8
2020-04-01,MX,127575529,121,1
2020-04-02,MX,127575529,163,8
2020-04-03,MX,127575529,132,13
2020-04-04,MX,127575529,178,10
2020-04-05,MX,127575529,202,19
2020-04-06,MX,127575529,253,15
2020-04-07,MX,127575529,296,31
2020-04-08,MX,127575529,346,16
2020-04-09,MX,127575529,396,33
2020-04-10,MX,127575529,260,20
2020-04-11,MX,127575529,403,39
2020-04-12,MX,127575529,375,40
2020-04-13,MX,127575529,442,23
2020-04-14,MX,127575529,353,36
2020-04-15,MX,127575529,385,74
2020-04-16,MX,127575529,448,43
2020-04-17,MX,127575529,450,37
2020-04-18,MX,127575529,578,60
2020-04-19,MX,127575529,622,104
2020-04-20,MX,127575529,764,36
2020-04-21,MX,127575529,511,26
2020-04-22,MX,127575529,729,145
2020-04-23,MX,127575529,2132,212
2020-04-24,MX,127575529,1239,152
2020-04-25,MX,127575529,970,84
2020-04-26,MX,127575529,835,46
2020-04-27,MX,127575529,852,83
2020-04-28,MX,127575529,1223,135
2020-04-29,MX,127575529,1047,163
2020-04-30,MX,127575529,1425,127
2020-05-01,MX,127575529,1515,113
2020-05-02,MX,127575529,1349,89
2020-05-03,MX,127575529,1383,93
2020-05-04,MX,127575529,1434,117
2020-05-05,MX,127575529,1120,236
2020-05-06,MX,127575529,1609,197
2020-05-07,MX,127575529,1982,257
2020-05-08,MX,127575529,1906,199
2020-05-09,MX,127575529,1938,193
2020-05-10,MX,127575529,1562,112
2020-05-11,MX,127575529,1305,108
2020-05-12,MX,127575529,1997,353
2020-05-13,MX,127575529,1862,294
2020-05-14,MX,127575529,2409,257
2020-05-15,MX,127575529,2437,290
2020-05-16,MX,127575529,2112,278
2020-05-17,MX,127575529,2075,132
2020-05-18,MX,127575529,2414,155
2020-05-19,MX,127575529,2713,334
2020-05-20,MX,127575529,2248,424
2020-05-21,MX,127575529,2973,420
2020-05-22,MX,127575529,2960,479
2020-05-23,MX,127575529,3329,190
2020-05-24,MX,127575529,2764,215
2020-05-25,MX,127575529,2485,239
2020-05-26,MX,127575529,3455,501
2020-05-27,MX,127575529,3463,463
2020-05-28,MX,127575529,3377,447
2020-05-29,MX,127575529,3227,371
