date,countrycode,population,cases,deaths
2020-03-22,MZ,30366043,0,0
2020-03-23,MZ,30366043,0,0
2020-03-24,MZ,30366043,2,0
2020-03-25,MZ,30366043,2,0
2020-03-26,MZ,30366043,2,0
2020-03-27,MZ,30366043,0,0
2020-03-28,MZ,30366043,1,0
2020-03-29,MZ,30366043,0,0
2020-03-30,MZ,30366043,0,0
2020-03-31,MZ,30366043,0,0
2020-04-01,MZ,30366043,2,0
2020-04-02,MZ,30366043,0,0
2020-04-03,MZ,30366043,0,0
2020-04-04,MZ,30366043,0,0
2020-04-05,MZ,30366043,0,0
2020-04-06,MZ,30366043,0,0
2020-04-07,MZ,30366043,0,0
2020-04-08,MZ,30366043,7,0
2020-04-09,MZ,30366043,0,0
2020-04-10,MZ,30366043,3,0
2020-04-11,MZ,30366043,0,0
2020-04-12,MZ,30366043,1,0
2020-04-13,MZ,30366043,0,0
2020-04-14,MZ,30366043,7,0
2020-04-15,MZ,30366043,1,0
2020-04-16,MZ,30366043,2,0
2020-04-17,MZ,30366043,3,0
2020-04-18,MZ,30366043,1,0
2020-04-19,MZ,30366043,4,0
2020-04-20,MZ,30366043,0,0
2020-04-21,MZ,30366043,0,0
2020-04-22,MZ,30366043,2,0
2020-04-23,MZ,30366043,5,0
2020-04-24,MZ,30366043,19,0
2020-04-25,MZ,30366043,5,0
2020-04-26,MZ,30366043,6,0
2020-04-27,MZ,30366043,0,0
2020-04-28,MZ,30366043,0,0
2020-04-29,MZ,30366043,0,0
2020-04-30,MZ,30366043,0,0
2020-05-01,MZ,30366043,3,0
2020-05-02,MZ,30366043,0,0
2020-05-03,MZ,30366043,1,0
2020-05-04,MZ,30366043,0,0
2020-05-05,MZ,30366043,1,0
2020-05-06,MZ,30366043,0,0
2020-05-07,MZ,30366043,0,0
2020-05-08,MZ,30366043,1,0
2020-05-09,MZ,30366043,5,0
2020-05-10,MZ,30366043,4,0
2020-05-11,MZ,30366043,12,0
2020-05-12,MZ,30366043,1,0
2020-05-13,MZ,30366043,0,0
2020-05-14,MZ,30366043,11,0
2020-05-15,MZ,30366043,4,0
2020-05-16,MZ,30366043,10,0
2020-05-17,MZ,30366043,8,0
2020-05-18,MZ,30366043,8,0
2020-05-19,MZ,30366043,1,0
2020-05-20,MZ,30366043,10,0
2020-05-21,MZ,30366043,6,0
2020-05-22,MZ,30366043,2,0
2020-05-23,MZ,30366043,4,0
2020-05-24,MZ,30366043,26,0
2020-05-25,MZ,30366043,15,1
2020-05-26,MZ,30366043,4,0
2020-05-27,MZ,30366043,14,0
2020-05-28,MZ,30366043,6,1
2020-05-29,MZ,30366043,1,0
2020-05-30,MZ,30366043,10,0
2020-05-31,MZ,30366043,10,0
2020-06-01,MZ,30366043,0,0
2020-06-02,MZ,30366043,53,0
2020-06-03,MZ,30366043,9,0
2020-06-04,MZ,30366043,36,0
2020-06-05,MZ,30366043,2,0
2020-06-06,MZ,30366043,55,0
2020-06-07,MZ,30366043,15,0
2020-06-08,MZ,30366043,9,0
2020-06-09,MZ,30366043,20,0
2020-06-10,MZ,30366043,19,0
2020-06-11,MZ,30366043,17,0
2020-06-12,MZ,30366043,20,0
2020-06-13,MZ,30366043,44,0
2020-06-14,MZ,30366043,30,1
2020-06-15,MZ,30366043,26,0
2020-06-16,MZ,30366043,29,1
2020-06-17,MZ,30366043,13,0
2020-06-18,MZ,30366043,11,0
2020-06-19,MZ,30366043,6,0
2020-06-20,MZ,30366043,20,0
2020-06-21,MZ,30366043,45,1
2020-06-22,MZ,30366043,4,0
2020-06-23,MZ,30366043,20,0
2020-06-24,MZ,30366043,5,0
2020-06-25,MZ,30366043,26,0
2020-06-26,MZ,30366043,28,0
2020-06-27,MZ,30366043,23,0
2020-06-28,MZ,30366043,20,0
2020-06-29,MZ,30366043,24,1
2020-06-30,MZ,30366043,6,0
2020-07-01,MZ,30366043,14,0
2020-07-02,MZ,30366043,15,0
2020-07-03,MZ,30366043,21,0
2020-07-04,MZ,30366043,30,1
2020-07-05,MZ,30366043,18,1
2020-07-06,MZ,30366043,25,0
2020-07-07,MZ,30366043,28,0
2020-07-08,MZ,30366043,31,0
2020-07-09,MZ,30366043,21,1
2020-07-10,MZ,30366043,19,0
2020-07-11,MZ,30366043,24,0
2020-07-12,MZ,30366043,22,0
2020-07-13,MZ,30366043,62,0
2020-07-14,MZ,30366043,49,0
2020-07-15,MZ,30366043,62,0
