date,countrycode,population,cases,deaths
2020-03-20,NE,24112753,0,0
2020-03-21,NE,24112753,0,0
2020-03-22,NE,24112753,1,0
2020-03-23,NE,24112753,1,0
2020-03-24,NE,24112753,0,0
2020-03-25,NE,24112753,4,1
2020-03-26,NE,24112753,3,0
2020-03-27,NE,24112753,0,0
2020-03-28,NE,24112753,0,0
2020-03-29,NE,24112753,8,0
2020-03-30,NE,24112753,9,2
2020-03-31,NE,24112753,0,0
2020-04-01,NE,24112753,47,2
2020-04-02,NE,24112753,24,0
2020-04-03,NE,24112753,22,0
2020-04-04,NE,24112753,24,3
2020-04-05,NE,24112753,40,2
2020-04-06,NE,24112753,69,0
2020-04-07,NE,24112753,25,1
2020-04-08,NE,24112753,64,0
2020-04-09,NE,24112753,68,0
2020-04-10,NE,24112753,28,0
2020-04-11,NE,24112753,53,0
2020-04-12,NE,24112753,38,1
2020-04-13,NE,24112753,0,0
2020-04-14,NE,24112753,41,2
2020-04-15,NE,24112753,14,0
2020-04-16,NE,24112753,0,0
2020-04-17,NE,24112753,43,4
2020-04-18,NE,24112753,12,1
2020-04-19,NE,24112753,9,1
2020-04-20,NE,24112753,0,0
2020-04-21,NE,24112753,9,0
2020-04-22,NE,24112753,5,2
2020-04-23,NE,24112753,9,2
2020-04-24,NE,24112753,10,0
2020-04-25,NE,24112753,3,3
2020-04-26,NE,24112753,12,2
2020-04-27,NE,24112753,5,0
2020-04-28,NE,24112753,8,2
2020-04-29,NE,24112753,4,1
2020-04-30,NE,24112753,6,0
2020-05-01,NE,24112753,9,1
2020-05-02,NE,24112753,8,2
2020-05-03,NE,24112753,14,1
2020-05-04,NE,24112753,5,1
2020-05-05,NE,24112753,8,1
2020-05-06,NE,24112753,7,0
2020-05-07,NE,24112753,11,4
2020-05-08,NE,24112753,14,2
2020-05-09,NE,24112753,20,1
2020-05-10,NE,24112753,6,1
2020-05-11,NE,24112753,11,0
2020-05-12,NE,24112753,22,1
2020-05-13,NE,24112753,6,2
2020-05-14,NE,24112753,16,1
2020-05-15,NE,24112753,9,1
2020-05-16,NE,24112753,4,0
2020-05-17,NE,24112753,15,3
2020-05-18,NE,24112753,5,1
2020-05-19,NE,24112753,5,0
2020-05-20,NE,24112753,6,3
2020-05-21,NE,24112753,4,2
2020-05-22,NE,24112753,13,0
2020-05-23,NE,24112753,6,1
2020-05-24,NE,24112753,2,0
2020-05-25,NE,24112753,6,1
2020-05-26,NE,24112753,1,1
2020-05-27,NE,24112753,0,0
2020-05-28,NE,24112753,3,1
2020-05-29,NE,24112753,0,0
2020-05-30,NE,24112753,1,0
2020-05-31,NE,24112753,2,0
2020-06-01,NE,24112753,0,1
2020-06-02,NE,24112753,2,0
2020-06-03,NE,24112753,1,0
2020-06-04,NE,24112753,2,0
2020-06-05,NE,24112753,3,0
2020-06-06,NE,24112753,4,0
2020-06-07,NE,24112753,3,0
2020-06-08,NE,24112753,0,0
2020-06-09,NE,24112753,1,0
2020-06-10,NE,24112753,0,0
2020-06-11,NE,24112753,0,0
2020-06-12,NE,24112753,4,0
2020-06-13,NE,24112753,2,1
2020-06-14,NE,24112753,0,0
2020-06-15,NE,24112753,0,0
2020-06-16,NE,24112753,36,0
2020-06-17,NE,24112753,4,1
2020-06-18,NE,24112753,0,0
2020-06-19,NE,24112753,0,0
2020-06-20,NE,24112753,15,0
2020-06-21,NE,24112753,1,0
2020-06-22,NE,24112753,10,0
2020-06-23,NE,24112753,5,0
2020-06-24,NE,24112753,0,0
2020-06-25,NE,24112753,5,0
2020-06-26,NE,24112753,3,0
2020-06-27,NE,24112753,3,0
2020-06-28,NE,24112753,12,0
2020-06-29,NE,24112753,1,0
2020-06-30,NE,24112753,0,0
2020-07-01,NE,24112753,0,0
2020-07-02,NE,24112753,6,1
2020-07-03,NE,24112753,1,0
2020-07-04,NE,24112753,0,0
2020-07-05,NE,24112753,6,0
2020-07-06,NE,24112753,5,0
2020-07-07,NE,24112753,1,0
2020-07-08,NE,24112753,3,0
2020-07-09,NE,24112753,0,0
2020-07-10,NE,24112753,2,0
2020-07-11,NE,24112753,0,0
2020-07-12,NE,24112753,0,0
2020-07-13,NE,24112753,0,0
2020-07-14,NE,24112753,0,0
2020-07-15,NE,24112753,1,1
2020-07-16,NE,24112753,2,0
2020-07-17,NE,24112753,0,0
2020-07-18,NE,24112753,2,0
2020-07-19,NE,24112753,0,0
2020-07-20,NE,24112753,1,0
2020-07-21,NE,24112753,8,0
2020-07-22,NE,24112753,9,0
2020-07-23,NE,24112753,2,0
2020-07-24,NE,24112753,0,0
2020-07-25,NE,24112753,0,0
2020-07-26,NE,24112753,12,0
2020-07-27,NE,24112753,-4,0
2020-07-28,NE,24112753,0,0
2020-07-29,NE,24112753,0,0
2020-07-30,NE,24112753,2,0
2020-07-31,NE,24112753,0,0
2020-08-01,NE,24112753,2,0
2020-08-02,NE,24112753,11,0
2020-08-03,NE,24112753,5,0
2020-08-04,NE,24112753,0,0
2020-08-05,NE,24112753,0,0
2020-08-06,NE,24112753,1,0
2020-08-07,NE,24112753,0,0
2020-08-08,NE,24112753,4,0
2020-08-09,NE,24112753,1,0
2020-08-10,NE,24112753,0,0
2020-08-11,NE,24112753,0,0
2020-08-12,NE,24112753,3,0
2020-08-13,NE,24112753,0,0
2020-08-14,NE,24112753,0,0
2020-08-15,NE,24112753,4,0
2020-08-16,NE,24112753,2,0
2020-08-17,NE,24112753,0,0
2020-08-18,NE,24112753,0,0
2020-08-19,NE,24112753,0,0
2020-08-20,NE,24112753,2,0
2020-08-21,NE,24112753,3,0
2020-08-22,NE,24112753,0,0
2020-08-23,NE,24112753,0,0
2020-08-24,NE,24112753,0,0
2020-08-25,NE,24112753,1,0
2020-08-26,NE,24112753,0,0
2020-08-27,NE,24112753,0,0
2020-08-28,NE,24112753,2,0
2020-08-29,NE,24112753,0,0
2020-08-30,NE,24112753,0,0
2020-08-31,NE,24112753,1,0
2020-09-01,NE,24112753,0,0
2020-09-02,NE,24112753,0,0
2020-09-03,NE,24112753,1,0
2020-09-04,NE,24112753,0,0
2020-09-05,NE,24112753,0,0
2020-09-06,NE,24112753,0,0
2020-09-07,NE,24112753,0,0
2020-09-08,NE,24112753,1,0
2020-09-09,NE,24112753,0,0
2020-09-10,NE,24112753,0,0
2020-09-11,NE,24112753,0,0
2020-09-12,NE,24112753,0,0
2020-09-13,NE,24112753,2,0
2020-09-14,NE,24112753,0,0
2020-09-15,NE,24112753,2,0
2020-09-16,NE,24112753,0,0
2020-09-17,NE,24112753,1,0
2020-09-18,NE,24112753,0,0
2020-09-19,NE,24112753,0,0
2020-09-20,NE,24112753,5,0
2020-09-21,NE,24112753,1,0
2020-09-22,NE,24112753,4,0
2020-09-23,NE,24112753,0,0
2020-09-24,NE,24112753,1,0
2020-09-25,NE,24112753,0,0
2020-09-26,NE,24112753,0,0
2020-09-27,NE,24112753,2,0
2020-09-28,NE,24112753,0,0
2020-09-29,NE,24112753,0,0
2020-09-30,NE,24112753,1,0
2020-10-01,NE,24112753,0,0
2020-10-02,NE,24112753,1,0
2020-10-03,NE,24112753,2,0
2020-10-04,NE,24112753,0,0
2020-10-05,NE,24112753,0,0
2020-10-06,NE,24112753,0,0
2020-10-07,NE,24112753,0,0
2020-10-08,NE,24112753,1,0
2020-10-09,NE,24112753,0,0
2020-10-10,NE,24112753,0,0
2020-10-11,NE,24112753,0,0
2020-10-12,NE,24112753,1,0
2020-10-13,NE,24112753,1,0
2020-10-14,NE,24112753,2,0
2020-10-15,NE,24112753,2,0
2020-10-16,NE,24112753,2,0
2020-10-17,NE,24112753,0,0
2020-10-18,NE,24112753,1,0
2020-10-19,NE,24112753,1,0
2020-10-20,NE,24112753,1,0
2020-10-21,NE,24112753,2,0
2020-10-22,NE,24112753,1,0
2020-10-23,NE,24112753,0,0
2020-10-24,NE,24112753,0,0
2020-10-25,NE,24112753,0,0
2020-10-26,NE,24112753,0,0
2020-10-27,NE,24112753,3,0
2020-10-28,NE,24112753,0,0
2020-10-29,NE,24112753,1,0
2020-10-30,NE,24112753,1,0
2020-10-31,NE,24112753,0,0
2020-11-01,NE,24112753,1,0
2020-11-02,NE,24112753,1,0
2020-11-03,NE,24112753,0,0
2020-11-04,NE,24112753,3,0
2020-11-05,NE,24112753,1,0
2020-11-06,NE,24112753,4,0
2020-11-07,NE,24112753,12,0
2020-11-08,NE,24112753,1,0
2020-11-09,NE,24112753,3,0
2020-11-10,NE,24112753,10,0
2020-11-11,NE,24112753,7,0
2020-11-12,NE,24112753,19,0
2020-11-13,NE,24112753,7,0
2020-11-14,NE,24112753,12,1
2020-11-15,NE,24112753,6,0
2020-11-16,NE,24112753,9,0
2020-11-17,NE,24112753,11,0
2020-11-18,NE,24112753,4,0
2020-11-19,NE,24112753,4,0
2020-11-20,NE,24112753,5,0
2020-11-21,NE,24112753,11,0
2020-11-22,NE,24112753,17,0
2020-11-23,NE,24112753,13,0
2020-11-24,NE,24112753,25,0
2020-11-25,NE,24112753,13,0
2020-11-26,NE,24112753,24,0
2020-11-27,NE,24112753,29,0
2020-11-28,NE,24112753,12,0
2020-11-29,NE,24112753,32,0
2020-11-30,NE,24112753,32,2
2020-12-01,NE,24112753,38,3
2020-12-02,NE,24112753,54,1
2020-12-03,NE,24112753,0,0
2020-12-04,NE,24112753,86,1
2020-12-05,NE,24112753,63,0
2020-12-06,NE,24112753,67,0
2020-12-07,NE,24112753,38,1
2020-12-08,NE,24112753,93,1
2020-12-09,NE,24112753,91,0
2020-12-10,NE,24112753,48,1
2020-12-11,NE,24112753,34,0
2020-12-12,NE,24112753,39,0
2020-12-13,NE,24112753,59,0
2020-12-14,NE,24112753,64,2
2020-12-15,NE,24112753,39,0
2020-12-16,NE,24112753,0,0
2020-12-17,NE,24112753,145,2
2020-12-18,NE,24112753,54,1
2020-12-19,NE,24112753,52,1
2020-12-20,NE,24112753,47,1
2020-12-21,NE,24112753,65,0
2020-12-22,NE,24112753,79,2
2020-12-23,NE,24112753,73,0
2020-12-24,NE,24112753,57,1
2020-12-25,NE,24112753,72,1
2020-12-26,NE,24112753,52,3
2020-12-27,NE,24112753,53,2
2020-12-28,NE,24112753,49,3
2020-12-29,NE,24112753,49,3
2020-12-30,NE,24112753,0,0
2020-12-31,NE,24112753,115,2
2021-01-01,NE,24112753,80,2
2021-01-02,NE,24112753,34,4
2021-01-03,NE,24112753,28,0
2021-01-04,NE,24112753,0,0
2021-01-05,NE,24112753,35,0
2021-01-06,NE,24112753,134,3
2021-01-07,NE,24112753,72,6
2021-01-08,NE,24112753,41,6
2021-01-09,NE,24112753,72,1
2021-01-10,NE,24112753,58,0
2021-01-11,NE,24112753,47,2
2021-01-12,NE,24112753,45,7
2021-01-13,NE,24112753,29,1
2021-01-14,NE,24112753,60,1
2021-01-15,NE,24112753,47,1
2021-01-16,NE,24112753,27,0
2021-01-17,NE,24112753,24,2
2021-01-18,NE,24112753,48,5
2021-01-19,NE,24112753,21,1
2021-01-20,NE,24112753,24,1
2021-01-21,NE,24112753,18,0
2021-01-22,NE,24112753,41,3
2021-01-23,NE,24112753,13,1
2021-01-24,NE,24112753,32,0
2021-01-25,NE,24112753,0,0
2021-01-26,NE,24112753,54,2
2021-01-27,NE,24112753,26,0
2021-01-28,NE,24112753,41,4
2021-01-29,NE,24112753,15,2
2021-01-30,NE,24112753,27,0
2021-01-31,NE,24112753,1,0
2021-02-01,NE,24112753,20,2
2021-02-02,NE,24112753,11,1
2021-02-03,NE,24112753,17,1
2021-02-04,NE,24112753,10,1
2021-02-05,NE,24112753,14,1
2021-02-06,NE,24112753,9,0
2021-02-07,NE,24112753,14,0
2021-02-08,NE,24112753,9,1
2021-02-09,NE,24112753,22,1
2021-02-10,NE,24112753,13,0
2021-02-11,NE,24112753,9,0
2021-02-12,NE,24112753,13,2
2021-02-13,NE,24112753,12,0
2021-02-14,NE,24112753,5,0
2021-02-15,NE,24112753,7,0
2021-02-16,NE,24112753,4,0
2021-02-17,NE,24112753,9,1
2021-02-18,NE,24112753,3,0
2021-02-19,NE,24112753,7,0
2021-02-20,NE,24112753,8,0
2021-02-21,NE,24112753,0,0
2021-02-22,NE,24112753,7,2
2021-02-23,NE,24112753,0,0
2021-02-24,NE,24112753,0,0
2021-02-25,NE,24112753,0,0
2021-02-26,NE,24112753,0,0
2021-02-27,NE,24112753,0,0
2021-02-28,NE,24112753,0,0
2021-03-01,NE,24112753,0,0
2021-03-02,NE,24112753,0,0
