date,countrycode,population,cases,deaths
2020-02-27,NL,17282163,0,0
2020-02-28,NL,17282163,0,0
2020-02-29,NL,17282163,5,0
2020-03-01,NL,17282163,4,0
2020-03-02,NL,17282163,8,0
2020-03-03,NL,17282163,6,0
2020-03-04,NL,17282163,14,0
2020-03-05,NL,17282163,44,0
2020-03-06,NL,17282163,46,1
2020-03-07,NL,17282163,60,0
2020-03-08,NL,17282163,77,2
2020-03-09,NL,17282163,56,0
2020-03-10,NL,17282163,61,1
2020-03-11,NL,17282163,121,1
2020-03-12,NL,17282163,0,0
2020-03-13,NL,17282163,301,5
2020-03-14,NL,17282163,155,2
2020-03-15,NL,17282163,176,8
2020-03-16,NL,17282163,279,4
2020-03-17,NL,17282163,294,19
2020-03-18,NL,17282163,348,15
2020-03-19,NL,17282163,409,19
2020-03-20,NL,17282163,538,30
2020-03-21,NL,17282163,637,30
2020-03-22,NL,17282163,577,43
2020-03-23,NL,17282163,547,34
2020-03-24,NL,17282163,816,63
2020-03-25,NL,17282163,858,80
2020-03-26,NL,17282163,1030,78
2020-03-27,NL,17282163,1179,112
2020-03-28,NL,17282163,1172,93
2020-03-29,NL,17282163,1111,132
2020-03-30,NL,17282163,887,93
2020-03-31,NL,17282163,850,175
2020-04-01,NL,17282163,1029,135
2020-04-02,NL,17282163,1092,166
2020-04-03,NL,17282163,1033,149
2020-04-04,NL,17282163,906,166
2020-04-05,NL,17282163,1226,115
2020-04-06,NL,17282163,973,103
2020-04-07,NL,17282163,783,234
2020-04-08,NL,17282163,973,147
2020-04-09,NL,17282163,1221,148
2020-04-10,NL,17282163,1346,117
2020-04-11,NL,17282163,1322,133
2020-04-12,NL,17282163,1175,94
2020-04-13,NL,17282163,964,86
2020-04-14,NL,17282163,870,122
2020-04-15,NL,17282163,736,190
2020-04-16,NL,17282163,1067,182
2020-04-17,NL,17282163,1236,144
2020-04-18,NL,17282163,1147,142
2020-04-19,NL,17282163,1072,84
2020-04-20,NL,17282163,750,67
2020-04-21,NL,17282163,729,165
2020-04-22,NL,17282163,715,139
2020-04-23,NL,17282163,889,124
2020-04-24,NL,17282163,808,112
2020-04-25,NL,17282163,655,120
2020-04-26,NL,17282163,656,67
2020-04-27,NL,17282163,400,43
2020-04-28,NL,17282163,172,48
2020-04-29,NL,17282163,386,145
2020-04-30,NL,17282163,514,84
2020-05-01,NL,17282163,477,98
2020-05-02,NL,17282163,445,94
2020-05-03,NL,17282163,335,69
2020-05-04,NL,17282163,199,26
2020-05-05,NL,17282163,318,87
2020-05-06,NL,17282163,232,36
2020-05-07,NL,17282163,455,85
2020-05-08,NL,17282163,319,71
2020-05-09,NL,17282163,289,64
2020-05-10,NL,17282163,245,18
2020-05-11,NL,17282163,161,16
2020-05-12,NL,17282163,196,54
2020-05-13,NL,17282163,227,52
2020-05-14,NL,17282163,270,28
2020-05-15,NL,17282163,200,53
2020-05-16,NL,17282163,190,27
2020-05-17,NL,17282163,125,10
2020-05-18,NL,17282163,146,14
2020-05-19,NL,17282163,108,21
2020-05-20,NL,17282163,198,33
2020-05-21,NL,17282163,253,27
2020-05-22,NL,17282163,188,13
2020-05-23,NL,17282163,177,23
2020-05-24,NL,17282163,172,11
2020-05-25,NL,17282163,210,8
2020-05-26,NL,17282163,133,26
2020-05-27,NL,17282163,190,15
2020-05-28,NL,17282163,182,32
2020-05-29,NL,17282163,176,28
2020-05-30,NL,17282163,132,20
2020-05-31,NL,17282163,185,5
2020-06-01,NL,17282163,104,6
2020-06-02,NL,17282163,103,5
2020-06-03,NL,17282163,87,10
2020-06-04,NL,17282163,209,13
2020-06-05,NL,17282163,210,15
2020-06-06,NL,17282163,183,6
2020-06-07,NL,17282163,239,2
2020-06-08,NL,17282163,165,3
2020-06-09,NL,17282163,164,15
2020-06-10,NL,17282163,185,11
2020-06-11,NL,17282163,164,2
2020-06-12,NL,17282163,210,9
2020-06-13,NL,17282163,179,4
2020-06-14,NL,17282163,143,2
2020-06-15,NL,17282163,165,6
2020-06-16,NL,17282163,140,5
2020-06-17,NL,17282163,117,4
2020-06-18,NL,17282163,115,4
2020-06-19,NL,17282163,107,3
2020-06-20,NL,17282163,76,8
2020-06-21,NL,17282163,91,1
2020-06-22,NL,17282163,65,0
2020-06-23,NL,17282163,64,5
2020-06-24,NL,17282163,82,2
2020-06-25,NL,17282163,110,3
2020-06-26,NL,17282163,91,3
2020-06-27,NL,17282163,69,2
2020-06-28,NL,17282163,73,0
2020-06-29,NL,17282163,78,2
2020-06-30,NL,17282163,50,6
2020-07-01,NL,17282163,0,0
2020-07-02,NL,17282163,63,0
2020-07-03,NL,17282163,0,0
2020-07-04,NL,17282163,2,0
2020-07-05,NL,17282163,286,14
2020-07-06,NL,17282163,36,1
2020-07-07,NL,17282163,37,4
2020-07-08,NL,17282163,52,3
2020-07-09,NL,17282163,54,2
2020-07-10,NL,17282163,42,-1
2020-07-11,NL,17282163,81,1
2020-07-12,NL,17282163,101,0
2020-07-13,NL,17282163,71,0
2020-07-14,NL,17282163,54,-2
2020-07-15,NL,17282163,109,1
2020-07-16,NL,17282163,101,1
2020-07-17,NL,17282163,110,1
2020-07-18,NL,17282163,127,-2
2020-07-19,NL,17282163,146,0
2020-07-20,NL,17282163,187,0
2020-07-21,NL,17282163,165,0
2020-07-22,NL,17282163,168,3
2020-07-23,NL,17282163,165,0
2020-07-24,NL,17282163,197,0
2020-07-25,NL,17282163,147,1
2020-07-26,NL,17282163,21,0
2020-07-27,NL,17282163,419,1
2020-07-28,NL,17282163,223,4
2020-07-29,NL,17282163,248,2
2020-07-30,NL,17282163,354,0
2020-07-31,NL,17282163,341,0
2020-08-01,NL,17282163,431,1
2020-08-02,NL,17282163,387,2
2020-08-03,NL,17282163,378,0
2020-08-04,NL,17282163,493,1
2020-08-05,NL,17282163,471,3
2020-08-06,NL,17282163,715,0
2020-08-07,NL,17282163,652,1
2020-08-08,NL,17282163,600,4
2020-08-09,NL,17282163,643,0
2020-08-10,NL,17282163,698,0
2020-08-11,NL,17282163,882,2
2020-08-12,NL,17282163,778,2
2020-08-13,NL,17282163,688,5
2020-08-14,NL,17282163,721,2
2020-08-15,NL,17282163,762,2
2020-08-16,NL,17282163,579,3
2020-08-17,NL,17282163,512,0
2020-08-18,NL,17282163,580,3
2020-08-19,NL,17282163,658,7
2020-08-20,NL,17282163,625,11
2020-08-21,NL,17282163,613,4
2020-08-22,NL,17282163,595,6
2020-08-23,NL,17282163,519,0
2020-08-24,NL,17282163,654,2
2020-08-25,NL,17282163,459,6
2020-08-26,NL,17282163,699,8
2020-08-27,NL,17282163,602,3
2020-08-28,NL,17282163,573,3
2020-08-29,NL,17282163,571,5
2020-08-30,NL,17282163,551,0
2020-08-31,NL,17282163,553,0
2020-09-01,NL,17282163,570,8
2020-09-02,NL,17282163,858,7
2020-09-03,NL,17282163,696,1
2020-09-04,NL,17282163,817,2
2020-09-05,NL,17282163,734,5
2020-09-06,NL,17282163,950,2
2020-09-07,NL,17282163,845,1
2020-09-08,NL,17282163,1090,1
2020-09-09,NL,17282163,1293,2
2020-09-10,NL,17282163,931,4
2020-09-11,NL,17282163,1354,5
2020-09-12,NL,17282163,1339,1
2020-09-13,NL,17282163,1167,1
2020-09-14,NL,17282163,1318,4
2020-09-15,NL,17282163,1479,4
2020-09-16,NL,17282163,1752,3
2020-09-17,NL,17282163,1837,7
2020-09-18,NL,17282163,2083,8
2020-09-19,NL,17282163,1916,2
2020-09-20,NL,17282163,1956,4
2020-09-21,NL,17282163,2274,3
2020-09-22,NL,17282163,2353,11
2020-09-23,NL,17282163,2460,6
2020-09-24,NL,17282163,2595,17
2020-09-25,NL,17282163,2859,16
2020-09-26,NL,17282163,2760,38
2020-09-27,NL,17282163,5351,8
2020-09-28,NL,17282163,640,6
2020-09-29,NL,17282163,3111,14
2020-09-30,NL,17282163,3368,14
2020-10-01,NL,17282163,3295,13
2020-10-02,NL,17282163,3883,12
2020-10-03,NL,17282163,4028,21
2020-10-04,NL,17282163,4032,5
2020-10-05,NL,17282163,32,1
2020-10-06,NL,17282163,9155,29
2020-10-07,NL,17282163,5052,36
2020-10-08,NL,17282163,5867,13
2020-10-09,NL,17282163,6016,14
2020-10-10,NL,17282163,6546,23
2020-10-11,NL,17282163,6394,18
2020-10-12,NL,17282163,6850,12
2020-10-13,NL,17282163,7453,35
2020-10-14,NL,17282163,7351,31
2020-10-15,NL,17282163,7857,29
2020-10-16,NL,17282163,8022,16
2020-10-17,NL,17282163,8149,32
2020-10-18,NL,17282163,8233,14
2020-10-19,NL,17282163,8014,17
2020-10-20,NL,17282163,8194,46
2020-10-21,NL,17282163,8796,60
2020-10-22,NL,17282163,9310,47
2020-10-23,NL,17282163,10029,45
2020-10-24,NL,17282163,8683,55
2020-10-25,NL,17282163,10237,27
2020-10-26,NL,17282163,10365,26
2020-10-27,NL,17282163,10321,70
2020-10-28,NL,17282163,8156,61
2020-10-29,NL,17282163,10321,56
2020-10-30,NL,17282163,11172,87
2020-10-31,NL,17282163,9839,51
2020-11-01,NL,17282163,8711,39
2020-11-02,NL,17282163,8312,29
2020-11-03,NL,17282163,7777,113
2020-11-04,NL,17282163,7680,108
2020-11-05,NL,17282163,6992,88
2020-11-06,NL,17282163,7280,118
2020-11-07,NL,17282163,6715,74
2020-11-08,NL,17282163,5699,44
2020-11-09,NL,17282163,4697,40
2020-11-10,NL,17282163,4724,99
2020-11-11,NL,17282163,5469,75
2020-11-12,NL,17282163,5680,89
2020-11-13,NL,17282163,6157,55
2020-11-14,NL,17282163,5968,86
2020-11-15,NL,17282163,5460,43
2020-11-16,NL,17282163,4876,44
2020-11-17,NL,17282163,4368,86
2020-11-18,NL,17282163,4695,83
2020-11-19,NL,17282163,5741,74
2020-11-20,NL,17282163,6008,52
2020-11-21,NL,17282163,6171,48
2020-11-22,NL,17282163,5473,21
2020-11-23,NL,17282163,5208,54
2020-11-24,NL,17282163,4002,90
2020-11-25,NL,17282163,5054,74
2020-11-26,NL,17282163,4605,75
2020-11-27,NL,17282163,5883,83
2020-11-28,NL,17282163,4594,60
2020-11-29,NL,17282163,5697,23
2020-11-30,NL,17282163,4594,27
2020-12-01,NL,17282163,4199,65
2020-12-02,NL,17282163,5109,66
2020-12-03,NL,17282163,5744,61
2020-12-04,NL,17282163,6058,59
2020-12-05,NL,17282163,6676,39
2020-12-06,NL,17282163,6912,25
2020-12-07,NL,17282163,7122,18
2020-12-08,NL,17282163,6247,71
2020-12-09,NL,17282163,6646,66
2020-12-10,NL,17282163,8830,62
