date,countrycode,population,cases,deaths
2020-02-26,NO,5328212,0,0
2020-02-27,NO,5328212,0,0
2020-02-28,NO,5328212,5,0
2020-02-29,NO,5328212,9,0
2020-03-01,NO,5328212,4,0
2020-03-02,NO,5328212,6,0
2020-03-03,NO,5328212,7,0
2020-03-04,NO,5328212,24,0
2020-03-05,NO,5328212,31,0
2020-03-06,NO,5328212,21,0
2020-03-07,NO,5328212,39,0
2020-03-08,NO,5328212,29,0
2020-03-09,NO,5328212,29,0
2020-03-10,NO,5328212,195,0
2020-03-11,NO,5328212,198,0
2020-03-12,NO,5328212,104,0
2020-03-13,NO,5328212,294,0
2020-03-14,NO,5328212,94,3
2020-03-15,NO,5328212,131,0
2020-03-16,NO,5328212,112,0
2020-03-17,NO,5328212,130,0
2020-03-18,NO,5328212,87,3
2020-03-19,NO,5328212,196,1
2020-03-20,NO,5328212,168,0
2020-03-21,NO,5328212,204,0
2020-03-22,NO,5328212,145,0
2020-03-23,NO,5328212,358,3
2020-03-24,NO,5328212,242,2
2020-03-25,NO,5328212,221,2
2020-03-26,NO,5328212,285,0
2020-03-27,NO,5328212,386,5
2020-03-28,NO,5328212,260,4
2020-03-29,NO,5328212,269,2
2020-03-30,NO,5328212,161,7
2020-03-31,NO,5328212,196,7
2020-04-01,NO,5328212,222,5
2020-04-02,NO,5328212,284,6
2020-04-03,NO,5328212,223,9
2020-04-04,NO,5328212,180,3
2020-04-05,NO,5328212,137,9
2020-04-06,NO,5328212,178,5
2020-04-07,NO,5328212,221,13
2020-04-08,NO,5328212,0,12
2020-04-09,NO,5328212,125,7
2020-04-10,NO,5328212,103,5
2020-04-11,NO,5328212,95,6
2020-04-12,NO,5328212,116,9
2020-04-13,NO,5328212,78,6
2020-04-14,NO,5328212,20,5
2020-04-15,NO,5328212,117,11
2020-04-16,NO,5328212,156,2
2020-04-17,NO,5328212,41,9
2020-04-18,NO,5328212,99,3
2020-04-19,NO,5328212,42,1
2020-04-20,NO,5328212,78,16
2020-04-21,NO,5328212,35,1
2020-04-22,NO,5328212,147,5
2020-04-23,NO,5328212,63,7
2020-04-24,NO,5328212,62,5
2020-04-25,NO,5328212,36,2
2020-04-26,NO,5328212,28,0
2020-04-27,NO,5328212,72,4
2020-04-28,NO,5328212,61,1
2020-04-29,NO,5328212,50,1
2020-04-30,NO,5328212,28,3
2020-05-01,NO,5328212,45,0
2020-05-02,NO,5328212,26,1
2020-05-03,NO,5328212,38,0
2020-05-04,NO,5328212,57,3
2020-05-05,NO,5328212,51,1
2020-05-06,NO,5328212,41,1
2020-05-07,NO,5328212,38,1
2020-05-08,NO,5328212,36,1
2020-05-09,NO,5328212,29,1
2020-05-10,NO,5328212,6,0
2020-05-11,NO,5328212,27,5
2020-05-12,NO,5328212,25,4
2020-05-13,NO,5328212,18,1
2020-05-14,NO,5328212,21,3
2020-05-15,NO,5328212,23,0
2020-05-16,NO,5328212,18,0
2020-05-17,NO,5328212,12,0
2020-05-18,NO,5328212,8,1
2020-05-19,NO,5328212,10,0
2020-05-20,NO,5328212,14,1
2020-05-21,NO,5328212,28,1
2020-05-22,NO,5328212,23,0
2020-05-23,NO,5328212,14,0
2020-05-24,NO,5328212,6,0
2020-05-25,NO,5328212,12,0
2020-05-26,NO,5328212,19,0
2020-05-27,NO,5328212,18,0
2020-05-28,NO,5328212,10,1
2020-05-29,NO,5328212,11,0
2020-05-30,NO,5328212,15,0
2020-05-31,NO,5328212,3,0
2020-06-01,NO,5328212,6,0
2020-06-02,NO,5328212,9,1
2020-06-03,NO,5328212,22,0
2020-06-04,NO,5328212,27,1
2020-06-05,NO,5328212,18,0
2020-06-06,NO,5328212,9,0
2020-06-07,NO,5328212,16,0
2020-06-08,NO,5328212,14,1
2020-06-09,NO,5328212,15,0
2020-06-10,NO,5328212,18,0
2020-06-11,NO,5328212,14,3
2020-06-12,NO,5328212,12,0
2020-06-13,NO,5328212,8,0
2020-06-14,NO,5328212,3,0
2020-06-15,NO,5328212,16,0
2020-06-16,NO,5328212,13,0
2020-06-17,NO,5328212,32,1
2020-06-18,NO,5328212,16,1
2020-06-19,NO,5328212,18,0
2020-06-20,NO,5328212,16,0
2020-06-21,NO,5328212,3,0
2020-06-22,NO,5328212,6,4
2020-06-23,NO,5328212,21,0
2020-06-24,NO,5328212,16,1
2020-06-25,NO,5328212,0,0
2020-06-26,NO,5328212,44,0
2020-06-27,NO,5328212,14,0
2020-06-28,NO,5328212,9,0
2020-06-29,NO,5328212,7,0
2020-06-30,NO,5328212,17,1
2020-07-01,NO,5328212,17,1
2020-07-02,NO,5328212,6,0
2020-07-03,NO,5328212,19,0
2020-07-04,NO,5328212,5,0
2020-07-05,NO,5328212,4,0
2020-07-06,NO,5328212,6,0
2020-07-07,NO,5328212,11,0
2020-07-08,NO,5328212,3,0
2020-07-09,NO,5328212,15,1
2020-07-10,NO,5328212,9,0
2020-07-11,NO,5328212,3,0
2020-07-12,NO,5328212,4,0
2020-07-13,NO,5328212,3,1
2020-07-14,NO,5328212,17,0
2020-07-15,NO,5328212,10,0
2020-07-16,NO,5328212,4,1
2020-07-17,NO,5328212,10,1
2020-07-18,NO,5328212,3,0
2020-07-19,NO,5328212,0,0
2020-07-20,NO,5328212,6,0
2020-07-21,NO,5328212,19,0
2020-07-22,NO,5328212,6,0
2020-07-23,NO,5328212,26,0
2020-07-24,NO,5328212,7,0
2020-07-25,NO,5328212,19,0
2020-07-26,NO,5328212,6,0
2020-07-27,NO,5328212,15,0
2020-07-28,NO,5328212,18,0
2020-07-29,NO,5328212,22,0
2020-07-30,NO,5328212,36,0
2020-07-31,NO,5328212,32,0
2020-08-01,NO,5328212,13,0
2020-08-02,NO,5328212,15,0
2020-08-03,NO,5328212,66,1
2020-08-04,NO,5328212,28,0
2020-08-05,NO,5328212,47,0
2020-08-06,NO,5328212,59,0
2020-08-07,NO,5328212,83,0
2020-08-08,NO,5328212,48,0
2020-08-09,NO,5328212,39,0
2020-08-10,NO,5328212,46,0
2020-08-11,NO,5328212,67,0
2020-08-12,NO,5328212,32,0
2020-08-13,NO,5328212,68,1
2020-08-14,NO,5328212,57,4
2020-08-15,NO,5328212,57,0
2020-08-16,NO,5328212,40,0
2020-08-17,NO,5328212,55,0
2020-08-18,NO,5328212,51,1
2020-08-19,NO,5328212,51,0
2020-08-20,NO,5328212,35,2
2020-08-21,NO,5328212,78,0
2020-08-22,NO,5328212,24,0
2020-08-23,NO,5328212,24,0
2020-08-24,NO,5328212,72,0
2020-08-25,NO,5328212,59,0
2020-08-26,NO,5328212,50,0
2020-08-27,NO,5328212,38,0
2020-08-28,NO,5328212,40,0
2020-08-29,NO,5328212,29,0
2020-08-30,NO,5328212,32,0
2020-08-31,NO,5328212,139,0
