date,countrycode,population,cases,deaths
2020-01-25,NP,28608715,0,0
2020-01-26,NP,28608715,0,0
2020-01-27,NP,28608715,0,0
2020-01-28,NP,28608715,0,0
2020-01-29,NP,28608715,0,0
2020-01-30,NP,28608715,0,0
2020-01-31,NP,28608715,0,0
2020-02-01,NP,28608715,0,0
2020-02-02,NP,28608715,0,0
2020-02-03,NP,28608715,0,0
2020-02-04,NP,28608715,0,0
2020-02-05,NP,28608715,0,0
2020-02-06,NP,28608715,0,0
2020-02-07,NP,28608715,0,0
2020-02-08,NP,28608715,0,0
2020-02-09,NP,28608715,0,0
2020-02-10,NP,28608715,0,0
2020-02-11,NP,28608715,0,0
2020-02-12,NP,28608715,0,0
2020-02-13,NP,28608715,0,0
2020-02-14,NP,28608715,0,0
2020-02-15,NP,28608715,0,0
2020-02-16,NP,28608715,0,0
2020-02-17,NP,28608715,0,0
2020-02-18,NP,28608715,0,0
2020-02-19,NP,28608715,0,0
2020-02-20,NP,28608715,0,0
2020-02-21,NP,28608715,0,0
2020-02-22,NP,28608715,0,0
2020-02-23,NP,28608715,0,0
2020-02-24,NP,28608715,0,0
2020-02-25,NP,28608715,0,0
2020-02-26,NP,28608715,0,0
2020-02-27,NP,28608715,0,0
2020-02-28,NP,28608715,0,0
2020-02-29,NP,28608715,0,0
2020-03-01,NP,28608715,0,0
2020-03-02,NP,28608715,0,0
2020-03-03,NP,28608715,0,0
2020-03-04,NP,28608715,0,0
2020-03-05,NP,28608715,0,0
2020-03-06,NP,28608715,0,0
2020-03-07,NP,28608715,0,0
2020-03-08,NP,28608715,0,0
2020-03-09,NP,28608715,0,0
2020-03-10,NP,28608715,0,0
2020-03-11,NP,28608715,0,0
2020-03-12,NP,28608715,0,0
2020-03-13,NP,28608715,0,0
2020-03-14,NP,28608715,0,0
2020-03-15,NP,28608715,0,0
2020-03-16,NP,28608715,0,0
2020-03-17,NP,28608715,0,0
2020-03-18,NP,28608715,0,0
2020-03-19,NP,28608715,0,0
2020-03-20,NP,28608715,0,0
2020-03-21,NP,28608715,0,0
2020-03-22,NP,28608715,0,0
2020-03-23,NP,28608715,1,0
2020-03-24,NP,28608715,0,0
2020-03-25,NP,28608715,1,0
2020-03-26,NP,28608715,0,0
2020-03-27,NP,28608715,1,0
2020-03-28,NP,28608715,1,0
2020-03-29,NP,28608715,0,0
2020-03-30,NP,28608715,0,0
2020-03-31,NP,28608715,0,0
2020-04-01,NP,28608715,0,0
2020-04-02,NP,28608715,1,0
2020-04-03,NP,28608715,0,0
2020-04-04,NP,28608715,3,0
2020-04-05,NP,28608715,0,0
2020-04-06,NP,28608715,0,0
2020-04-07,NP,28608715,0,0
2020-04-08,NP,28608715,0,0
2020-04-09,NP,28608715,0,0
2020-04-10,NP,28608715,0,0
2020-04-11,NP,28608715,0,0
2020-04-12,NP,28608715,3,0
2020-04-13,NP,28608715,2,0
2020-04-14,NP,28608715,2,0
2020-04-15,NP,28608715,0,0
2020-04-16,NP,28608715,0,0
2020-04-17,NP,28608715,14,0
2020-04-18,NP,28608715,1,0
2020-04-19,NP,28608715,0,0
2020-04-20,NP,28608715,0,0
2020-04-21,NP,28608715,12,0
2020-04-22,NP,28608715,2,0
2020-04-23,NP,28608715,3,0
2020-04-24,NP,28608715,1,0
2020-04-25,NP,28608715,0,0
2020-04-26,NP,28608715,3,0
2020-04-27,NP,28608715,0,0
2020-04-28,NP,28608715,2,0
2020-04-29,NP,28608715,3,0
2020-04-30,NP,28608715,0,0
2020-05-01,NP,28608715,2,0
2020-05-02,NP,28608715,0,0
2020-05-03,NP,28608715,16,0
2020-05-04,NP,28608715,0,0
2020-05-05,NP,28608715,7,0
2020-05-06,NP,28608715,17,0
2020-05-07,NP,28608715,2,0
2020-05-08,NP,28608715,1,0
2020-05-09,NP,28608715,8,0
2020-05-10,NP,28608715,0,0
2020-05-11,NP,28608715,24,0
2020-05-12,NP,28608715,83,0
2020-05-13,NP,28608715,33,0
2020-05-14,NP,28608715,-1,0
2020-05-15,NP,28608715,18,0
2020-05-16,NP,28608715,24,1
2020-05-17,NP,28608715,4,1
2020-05-18,NP,28608715,80,0
2020-05-19,NP,28608715,27,0
2020-05-20,NP,28608715,25,0
2020-05-21,NP,28608715,30,1
2020-05-22,NP,28608715,59,0
2020-05-23,NP,28608715,68,0
2020-05-24,NP,28608715,19,0
2020-05-25,NP,28608715,79,1
2020-05-26,NP,28608715,90,0
2020-05-27,NP,28608715,114,0
2020-05-28,NP,28608715,156,1
2020-05-29,NP,28608715,170,1
2020-05-30,NP,28608715,189,0
2020-05-31,NP,28608715,171,2
2020-06-01,NP,28608715,239,0
2020-06-02,NP,28608715,288,0
2020-06-03,NP,28608715,201,1
2020-06-04,NP,28608715,334,1
2020-06-05,NP,28608715,278,1
2020-06-06,NP,28608715,323,2
2020-06-07,NP,28608715,213,0
2020-06-08,NP,28608715,314,1
2020-06-09,NP,28608715,324,1
2020-06-10,NP,28608715,278,0
2020-06-11,NP,28608715,250,0
2020-06-12,NP,28608715,448,1
2020-06-13,NP,28608715,273,2
2020-06-14,NP,28608715,425,1
2020-06-15,NP,28608715,451,0
2020-06-16,NP,28608715,380,0
2020-06-17,NP,28608715,586,1
2020-06-18,NP,28608715,671,2
2020-06-19,NP,28608715,426,0
2020-06-20,NP,28608715,331,0
2020-06-21,NP,28608715,421,1
2020-06-22,NP,28608715,535,0
2020-06-23,NP,28608715,538,1
2020-06-24,NP,28608715,629,0
2020-06-25,NP,28608715,434,2
2020-06-26,NP,28608715,593,1
2020-06-27,NP,28608715,554,1
2020-06-28,NP,28608715,463,0
2020-06-29,NP,28608715,476,1
2020-06-30,NP,28608715,316,0
2020-07-01,NP,28608715,482,1
2020-07-02,NP,28608715,473,1
2020-07-03,NP,28608715,740,1
2020-07-04,NP,28608715,232,2
2020-07-05,NP,28608715,293,0
2020-07-06,NP,28608715,180,1
2020-07-07,NP,28608715,204,0
2020-07-08,NP,28608715,255,0
2020-07-09,NP,28608715,108,0
2020-07-10,NP,28608715,118,0
2020-07-11,NP,28608715,70,3
2020-07-12,NP,28608715,82,0
2020-07-13,NP,28608715,144,0
2020-07-14,NP,28608715,116,0
2020-07-15,NP,28608715,116,1
2020-07-16,NP,28608715,167,0
2020-07-17,NP,28608715,101,1
2020-07-18,NP,28608715,57,0
2020-07-19,NP,28608715,156,0
2020-07-20,NP,28608715,186,0
2020-07-21,NP,28608715,150,0
2020-07-22,NP,28608715,100,2
2020-07-23,NP,28608715,147,1
2020-07-24,NP,28608715,133,1
2020-07-25,NP,28608715,109,1
2020-07-26,NP,28608715,130,0
2020-07-27,NP,28608715,139,3
2020-07-28,NP,28608715,311,1
2020-07-29,NP,28608715,210,0
2020-07-30,NP,28608715,274,3
2020-07-31,NP,28608715,224,4
2020-08-01,NP,28608715,315,0
2020-08-02,NP,28608715,246,1
2020-08-03,NP,28608715,418,0
2020-08-04,NP,28608715,259,1
2020-08-05,NP,28608715,381,2
2020-08-06,NP,28608715,360,5
2020-08-07,NP,28608715,464,5
2020-08-08,NP,28608715,378,3
2020-08-09,NP,28608715,380,2
2020-08-10,NP,28608715,338,4
2020-08-11,NP,28608715,638,4
2020-08-12,NP,28608715,484,8
2020-08-13,NP,28608715,525,4
2020-08-14,NP,28608715,594,4
2020-08-15,NP,28608715,468,3
2020-08-16,NP,28608715,641,2
2020-08-17,NP,28608715,581,3
2020-08-18,NP,28608715,1016,7
2020-08-19,NP,28608715,681,6
